location,review,name,user_profile,userloc,rating
pithoragarh,"Good hotel Good food / Room service Good location, out of the city .  Hospitality was good. One can spend quality time here . To get to Munsyari is a really tiresome journey but when you get there ,you won't regret . This hotel is expensive as price point of view.Everything else was great.  ",beingankuryadav,/Profile/beingankuryadav,"Shahjahanpur, India",40
pithoragarh,"The place is quite a bit distant from Munsiyari town. As a result, you need not to face the hassel bassels of the town. Mt. Panchachulli comes with its most fastinating view. But the rooms are not clean at all, service of the staffs are also average. You have to make it done.",amisusmita,/Profile/amisusmita,"Kolkata, India",30
pithoragarh,"Hotel was nice, we stayed in first floor, view of Mountains from room was just superb ! Staff was courteous, food was good. If you r going to Munsiyari, please do khalia top trekking ....its tough but view from zeero point is amazing",Dhruv,/Profile/376dhruvp,"Haldwani, India",40
pithoragarh,"Best place to stay in Munsiyari.   The rooms were clean and the view out was wonderful.  The food quality was excellent.  Entire Staff was very much suppotive, especially Ms.Siya was very generous and caring.  Happy client !! 😊",Mieet Shah,/Profile/mieetshah,,50
pithoragarh,"We didn't expect much from Milam Inn before reaching Munsiyari. But we were surprised to find a reasonably nice hotel with great view of Pancha Chulli range from every room. Rooms were spacious, clean and though the hotel seemed a bit understaffed, the service was impeccable.  Being a remote place, they are unable to offer great variety, but the food they served was always good.  We stayed there for three nights and we thoroughly enjoyed our stay.",Ghosh-Chaudhary,/Profile/Ghosh-Chaudhary,Mumbai,50
pithoragarh,"The hotel is situated at a beautiful location in Munsiyari. While standing at the balcony, one can get a straight view of the Himalayan range when the weather is clear. The rate is bit high even during the Off season but yet it is worth to stay.",Debottam S,/Profile/Debottam44,"New Delhi, India",40
pithoragarh,"We visited in last week of May '19 with a group of 28 folks. Initially we were having a good impression about their location and staff etc. But later we faced lot of challenges which made our stay miserable. Couple of junior folks were helpful and hospitable, but rest were unfriendly. We found that the hotel management is completely inhuman with our drivers, not providing them any accommodation even though at cost, food was charged at exorbitant rate compared to other places, even not allowing them to use toilet !!! We stayed there for 3 nights and on last night they even served one third quantity of main dish and quite a few of our group had to survive on dal chawal, which were shameful for some of us who were managing the entire trip.   I have given one star for the location,",Surajit,/Profile/surajitdatta,,10
pithoragarh,"Nice hotel, good behaved & supporting staff, have good food (in taste), superb outside view of mountain & can have good in lawn with view of mountain. Good place to see sunrise. Have ample space for parking also",imvipink,/Profile/imvipink,"Hyderabad, India",40
pithoragarh,the one positive point about this property is the location and the view. its just short of messy Munsyari and every room has a view of the The Panchchuli. The staff is helpful and polite. And that's where the good part ends. The so called luxury room was sort of basic.  Way too many house flies enter the room the moment you open the door and one is literally left swatting them the time one is inside the room. Another wing is under construction which would add to the number of rooms available. The food is a mixed bag and inconsistent. Except the vegetarian noodles (ask them to make it with less oil and no cabbage) don't recall anything worthwhile.,AlpineKorps,/Profile/AlpineKorps,,30
pithoragarh,"Excellent location in Munsyar,  far from the crowded market area. Awesome view from the room window,  and of course balconies/ terrace. Staff friendly and polite, prompt service with smile. Food quite good at reasonable price. Altogethe,  a nice place to stay.",Nilanjana Ray,/Profile/NilanjanaR18,,50
pithoragarh,"Milam inn was a perfect combination of luxury stay, mesmerising view and delicious food...The stay was made more memorable by the service provided by Mr. Dinesh... I truly recommend this hotel if you wish to enjoy everything at one place.",Sneha,/Profile/Sneha_Dongre,,50
pithoragarh,"We had wonderful vacation in Uttrakhand this year and the stay in the Milam inn was something that cannot be expressed in words. We were at luxury rooms serviced by Dinesh. Location wise, service wise I will rate it THE best. We also had some good time with Badal. Please visit to know more about Badal 😀",Kavita R,/Profile/KavitaR77,,50
pithoragarh,"It seems this hotel was built just for the sake of making money. We stayed in a super deluxe room. All it had was good views. Everything else was below average- furnitures without polish, stained carpets and cushions, torn bedsheets. Rooms infested with flies- they say they can do nothing about it but we have to keep the balcony door closed.   Chicken curry served with only two pieces of chicken with below average taste. Fries were however good. No one picks up the phone in the morning when you try to order for breakfast.   This place provide facilities worth of 800 rupees maximum and is still under construction.  Better to avoid.",Arundhati2015,/Profile/Arundhati2015,"Kolkata, India",10
pithoragarh,"The location of the hotel is just right. It is just 8 kms from the most sought after Khuliya top trek base site. The staff of the hotel is very kind and supportive. Also the culinary facilities are excellent. The rooms are well maintained and clean. The hotel has generator facility in case of power failure which is a regular feature. Hot water is available 24 hours except if there is a power cut, coz geysers don’t work on generators. But hot water is available from the kitchen. Our 2 night stay was very comfortable.",ARJ,/Profile/Ami_Jariwala,"Surat, India",40
pithoragarh,"We stayed here for 4 nights. Enjoyed the panchachuli range , awesome view of entire range. Food was great. Service turnaround time was good. Rooms has good amenities, most importantly working geyser and clean facilities. Most of the tourist attractions are nearby to this location.",Sabyasachi B,/Profile/SabyasachiB77,,50
pithoragarh,"We stayed in Milam Inn for 2 nights along with my parents. We stayed in the super deluxe rooms which are on ground floor with an attached balcony offering a view of the majestic Panchachulli in our direct line of sight. This hotel is situated at probably the highest location in Munsiyari offering unparalleled view of the peaks. The deluxe rooms are situated at -1 level along with the dining area, and the luxury rooms are on the first floor. The way the hotel is situated Panchachulli peaks would be clearly visible from all type of rooms.  The rooms were of decent size with clean beds, closet, dressing table and a small table with chairs. The bathroom was clean and well-equipped with 24 hours hot water. Special mention for the managers and the hotel staff ( since it was a low",Sayani_Wanderlust,/Profile/Sayani_Wanderlust,"Bangalore District, India",40
pithoragarh,We stayed here for 2 nights and encountered heavy snow fall. But the staffs were very prompt to serve us proper food . Even they suggested us to take khichdi to make the weather more enjoyable. Manager also was very cordial. Love to visit again.,Walkntalk2015,/Profile/Walkntalk2015,"Kolkata, India",50
pithoragarh,"In one word Awful. Trusting reviews have become difficult. The hotel does not have hot water in Gyser. Food is tasteless With conditions in breakfast, no Wi-Fi,  it's really humiliating and disgusting staying at Milam Inn at Munsiyari",Atanu Kumar D,/Profile/atanukumard2018,"Kolkata, India",10
pithoragarh,"We stayed here for two nights on our trip to munshiyari and we had a great time there.The property is beautifully located which offers an excellent view of the whole group of panchachulli peaks right from the room.The first floor room was spacious and clean but very cold specially at night(month of December).Now due to the huge glass windows the room gets very cold at night and the fancy thin curtains doesn't help in blocking the cold , so if they replace the thin curtains with the thick ones that might help somewhat insulate the room from the biting cold at night specially at winters  Location - Excellent.Near to maheshwari kund and khaliya top. Room - Spacious and clean but good insulation from cold specially at winters needed. Bed - Clean and Comfortable. Bathroom - Clean and",abhishekbose,/Profile/abhishekbose,"Kolkata, India",40
pithoragarh,We visited this hotel on 29th December.It is nice and simple hotel situated well before town and nearer to khalia trek spot.Views from this hotel are breathtaking right from bedroom window.But we felt quite cold due to proximity to mountains.Food is ok,Rajiv Sadhanala,/Profile/sadhanala,"Karimnagar, India",40
pithoragarh,"Milam inn is located 3 km from town crowd which is good as you get quite a self time and probably it's the only hotel there which gives nice and clear view of Himalayas and it's peaks. We booked family room which is at -1 floor which has restaurant and big green area against balconies which other floors has.   Food was tasty, one should definitely try their mutton curry with jeera rice and parantha in breakfast. Chinese food needs to b avoided.  While we were there it snowed heavily and our car got some issue and snow came in car, we kept on asking for a help from hotel staff but no one came forward and provided any assistance, rather they were standing in shade and watching me and my wife clearing our car in heavy snow.   Overall, good experience because of view this hotel",veenukumar,/Profile/veenukumar,"New Delhi, India",30
pithoragarh,""" When you visit Munsiyari, don't even think of booking any other place other than Milam Inn. Located in the lap of the Himalayas ....... amidst calm & serene nature, Milam  Inn (VIPIN JEE ) offers the best panoramic view of the Himalayan mountain range and the best of hospitality.All rooms provides great view. Rooms were spacious with all modern amenities. The hotel is located right at the start of Munsiyari town and away from the main bazaar area, which is good.Vipin Jee is superb!!! """,utpal dutta,/Profile/utpaldutta2018,,50
pithoragarh,"Would like to start my review by thanking Swati of Kumaon trip from the core of my heart. It's because of her help that our trip was made possible. Though I planned this trip inside out in June 2018, but God had something else planned for us . We made our bookings in the month of Jan 2019 but due to unplanned official trip of my husband during the same time made our trip possibility dicey. All I could do was to call Swati. She made last minute changes in  bookings just two days prior of our trip.  Now about the hotels, we stayed in hotel Uttarakhand in kausani(pit stop) , hotel Milam Inn in Munsiyari, and hotel himadri in almora(pit stop). First two being own property of KT, last one was tie up.  We are pretty impressed with the ,breathtaking view , prompt service, warm",Payalroy,/Profile/Payalroy18,,50
pithoragarh,"We traveled to Munsiyari and stayed in this hotel in the second half of November'18. Bookings were done in advance and hence there was no problem with the stay. We had driven non-stop from Delhi and had reached Munsiyari by 10.00 PM at night. We were delayed due to traffic jams at Pikhuwa (UP) and Garh-Mukteshwar.   About Munsiyari: While there are a few more hotels in Munsiyari, Milam Inn would be the one you would choose to stay. There's nothing much in terms of town and market but there are quite a few glaciers and treks that backpackers would love. Munsiyari is an extremely remote location and one is advised to come prepared in terms of warm clothes and medicines. The nearest major town is Bageshwar and that is a long way off. Families driving their own car should think",Amitabh Kumar,/Profile/Amitabh05,"Ghaziabad, India",40
pithoragarh,Great Place. Perfect Location. Clean rooms. Food was very good and the service was fantastic.  Stayed in 2nd floor - the super deluxe luxury rooms are superb. It was difficult to look for any flaw. Please continue to maintain the hotel like this.,Tripper69LJ,/Profile/Tripper69LJ,"Noida, India",50
