location,review,name,user_profile,userloc,rating
ladakh,"This was our fourth annual visit to Leh and Gangba and our longest stay to date - a total of three weeks. What a pleasure they were in this immaculately clean and comfortable homestay.  For the first time, I suffered from altitude sickness and was grateful for the immediate care provided and action taken by both Stanzin and Dolma in getting me the services of their own excellent doctor.  Would we stay there again? We absolutely intend to. As always, the privacy, comfort and warmth extended to us at Gangba is priceless and we do indeed look forward to staying with them again next year.   There is no greater recommendation I can make.   Jullay!!",Piainindia,/Profile/Piainindia,"Goa, India",50
ladakh,This homestay is very clean and very  beautiful. I was 3 Weeks there and it was a very good typical meal and very friendly people. The Rooms are very clean and the Place is beautiful. Travel with friends.,Hermi,/Profile/HermiF68,,50
ladakh,"I was lucky to find this place by asking a local woman on the street for directions. She spun a prayer wheel and took me through the back streets. Then I arrived and was welcomed like family. This is my new family in Ladakh, loved meeting and connecting with them and with their little girl who was a nomad they adopted and is so beautiful and sweet! I’ll always remember the garden, the host, the family and sitting with them enjoying a dinner together in the original family home, was a special moment in time for me. I am forever grateful. Jullay my Ladakhi Family !!!",Andres C,/Profile/andresc843,,50
ladakh,Excellent super comfortable and clean rooms. The area is very quiet and calm . Very very delicious food with a lot of different tasty dishes. The staff is very welcoming and nice- I highly recommend a stay here ! ,Michael K,/Profile/A1545ONmichaelk,,50
ladakh,The house is well-kept and staff are extremely efficient; did not miss home when I was there. The already amazing trip was made even better by the people I met there. The owners are really sweet people. They took all the efforts to accommodate our needs. I will definitely recommend anyone who goes to Leh to stay at Gangba. I look forward to going there again.,Indira,/Profile/990indirab,,50
ladakh,"This was my second visit to Ladakh and for the second time I stayed at Gangba House. As the last time I had a great stay. Surrounded by nice people.  Though the hotel is not far from the center of Leh the area is very quiet and you can enjoy beautiful views.  They have a very good kitchen, so no need to eat outside and the owners make you feel really at home.  Beautiful place to start your way to discover the idiosyncrasy of Ladakh 💝",Clara M,/Profile/claram801,,50
ladakh,Had a good room on the ground floor. The owner couple are quite hospitable and go out of way to help guests.the staff is just great. The rooms sport a got d view. The housekeeping is excellent. The ambience is really great.,geetagem,/Profile/abandonedTravellar,,50
ladakh,"The time you reach Gangba Homestay, you feel at home. The owner Mr. Stanzin is very helpful and cooperative. He also guided us on various trips we can take in Leh. The staff is also very friendly. Restaurant is very nice and you can order anything which is made fresh.",Sushil Malik,/Profile/SushilMalik,"Gurugram (Gurgaon), India",50
ladakh,"Actually when we decided to visit Leh, Gangba was our unanimous choice to stay as it was recommended by a close relative of ours. And after staying here I am really grateful to my relative that he recommended this place to stay. The staff here is amazinly cooperative, the rooms are very clean and comfortable, the location is just great, the view from the gallery is breathtaking and the food served is just too good. Since we were travelling from Pune to Leh by car, there vwas ample space to park our car. I have never met a host as friendly as Mr.Stanzin who owes this place. He was always ready to offer whatever help was required from him. Since our car had developed certain problems on account of low oxygen at Leh, Mr.Stanzin was always a call away from answering his solutions.",pendharkar2015,/Profile/pendharkar2015,"Pune, India",50
ladakh,"I returned in Summer 2019 after previous stays in 2014 and 2016. I am delighted to say that Gangba has just gotten even better. Ownership is unchanged with Mr. Stanzin W. and his wife Dolma, and I also had a chance to chat with their college-age daughter, Stanzin's mom who is still out every day in her 80's, and their delightful adopted 5 year old daughter Lhazes. Staff this year is a group of helpful and polite young men from Agra. The main catchword for Gangba I would say is flexibility.  Whatever your needs or plans are, Stanzin, Dolma and the staff can make it work. For me, this included arranging a ""rescue"" driver when travel plans went awry, storing miscellaneous trekking gear safely, visiting a local clinic, organizing nearby taxi rides and hotel reservations, and so on.",viralimm,/Profile/viralimm,"Seattle, Washington",50
ladakh,"I stayed at Gangba Homestay during my visit with to Leh with friends. This place has a convenient location and super friendly staff. It is really well maintained, clean and value for money. The owners are extremely helpful and go out of the way to make your stay comfortable. Mr. Stanzin especially is always available to guide you. Indeed a very memorable experience. Highly recommend for anyone looking for an enjoyable stay in Leh.",Subodh Sarwate,/Profile/Subodh2611,,50
ladakh,"I stayed at Gangba Homestay along with my family including my mother aged 74. Our stay was very pleasant. Actually it was my second time at Gangba. I had stayed there in September 2018 along with my friends. I liked the place and I returned again with my family. Gangba homestay is very clean, homely, economical and safe place to stay. Food quality is also good. Owner Mr. Stanzin is very friendly and always helpful.   Rajesh, Mumbai",Rajesh Wagle,/Profile/waglerr,,50
ladakh,Gangpa homestay is the best hotel u will get in Leh. Very good food and facilities. Very friendly staff. Highly recommend to everyone. The rooms are cleaned regularly and most importantly the staff is very co operative and friendly,Ravi004,/Profile/Raviopu,,50
