location,review,name,user_profile,userloc,rating
tehri-gharwal,"The worst ever experience in my travel saga. We booked this hotel after seeing good reviews  and location pics,exactly 2 months before and transferred half amount ie. 2000rs,reminded them in between. When we reached on 30 th evening, the first glimpse itself was not satisfying. A small parking in front of a tin sheeted room,so called dining hall,not having enough lighting and a dull look.As we were over with check in process,we were waiting for the room key.Then the manager told us that they had a group booking of 40 youngsters,so its not safe to stay there with family and they will take us to family suits just 300m ahead. We were not happy and told him that we booked the hotel on account the scenic beauty. Anyhow we decided to move on to the family suit as were tired of long",Sruthy1234,/Profile/Sruthy1234,,10
tehri-gharwal,"I visited this lovely place last month with my colleagues !!  I really liked the service and polite, helpfull staff !! Delivered the best service with our one request.  Rooms and garden area is very spacious also everything is very neat and clean !!  This place made my trip very special !! ",Neelam Rawat,/Profile/Neelamrawat05,"New Delhi, India",50
tehri-gharwal,First of all the place location is good but nothing is like resort here. We stayed here for 1 day but feels like the person who manages this place was not quite good to handle his customers . We were not entertained by oyo rates and was over charged Rs3000 for each room even though we checked in late . After much of conversation things came down to Rs.2000 without BF/ dinner . Menu card rates were not being followed and unnecessary charges were been put up stating . For example we ordered a chicken curry for which we end up paying 400 inspite of its printed rate as 350 for full . We wanted to extend our stay for one day just because of the location but the manager here doesn’t feel bothered to reduce the rates and stuck at Rs. 3000 . I guess the oyo has marked this place at,Rahul R,/Profile/rahrai85,"Bengaluru, India",20
tehri-gharwal,"I stayed at this property with my parents for 3 nights during Holi, 2019. The place is located about 6km from the Club Mahindra resort, towards Chamba. Car can go straight inside the resort and they have parking available as well, which is great for elderly people. The resort has an amazing lawn where seating arrangements are made available. The cottages are all hill and west facing which provides you with amazing view of the landscape and a great sunset. The rooms itself is not much to write home about. Moderately sized with a queen sized bed and a small lcd tv. Bathroom had geyser with running hot water. The rooms however could do with a bit more maintenance. Coming to the staff, i have to mention the amazing hospitality shown by the three staffs there, Rajender, Rajesh and a",arkobanerjee009,/Profile/arkobanerjee009,,50
tehri-gharwal,"One of the most important things to do is Just Relax and enjoy, best Location best Hospitality,  Strongly Recommended this property, Beautifully presented ❤️❤️❤️❤️♥️💞💞  Staff are very polite and helpful,",Rohit Sethi,/Profile/Rohittravl1,"Daman and Diu, India",50
tehri-gharwal,"After 2015 it's  my second  visit in this resort, Amazing  views of the mountains are waiting for me, this resorts is my second home in uttarakhand,   Lovely Atmosphere and Awesome Location, Must visit.   Thanks to Team ",Anshika67,/Profile/Anshika67,"Gujarat, India",50
tehri-gharwal,"Very Nice and Beautiful Resorts in this area,we had good time and enjoyed our entire trip, Resorts are pervoid all basic facilities,food was very nice and delicious, very interested to visit again this property.",The Nature Inn,/Profile/TheNature_inn,"Rishikesh, India",50
tehri-gharwal,"The resort is located in a very beautiful location and well constructed. However, the food quality was very bad.  The staff was not at all cooperative. Rooms were not at al clean and when asked they said due to rainy weather the cottages are dirty. It’s little difficult to digest these answers.  If a management is running a business they should be ready to handle all the issues.   I would not recommend this property to Family and couples. Anyone who can compromise with service and luxury, and love nature than only plan your trip to 180 degree resort. ",Aakash Kulshrestha,/Profile/802aakashk,"Ghaziabad, India",30
tehri-gharwal,"This resort is in the midst of nature with excellent facilities. It is reasonably priced with an ever-smiling staff, always ready to deliver. The rooms are comfortable, neat and clean. The food is delicious and homely.  We went in a group and our stay of 2 days was indeed memorable. The owner, Mr Shyam deserves full credit for maintaining such a beautiful resort amidst the mountains.",Rita D,/Profile/411ritad,"New Delhi, India",50
tehri-gharwal,"Kanatal, at a very feasible distance from Delhi is obviously the first choice for most of the Delhiites to spend a peaceful weekend. We have been to the same resort twice in the past three years. On our first visit, the resort was probably amongst lesser known places and the hotel service, cleanliness and food were awesome. Since we like to search for places that are away from the crowded tourist destinations, we zeroed in on 180 degrees resort and we weren't disappointed.   However, on our second visit (Feb 2017) the same resort was flooded with people. It was quite evident that the hotel staff and resources were not equipped well to handle the overflow of guests. One group of youngsters from Delhi hogged the entire lawn area for the whole evening playing loud music and dancing",Travelbugweiser,/Profile/Travelbugweiser,"New Delhi, India",30
