location,review,name,user_profile,userloc,rating
ladakh,"Smanla was the best homestay we had in Ladakh. Room and bathroom were clean. I have to mention the great matress and the cozy blankets - our best sleeps within 2 weeks in Ladakh. The view on stock kangri out of the rooms on the first floor and from the terrace is amazing. Staff and host were very friendly and helpful. It's a 15 min walk to main market, small grocery market is just 3 min away. If we come back to Leh we will definitely go to smanla guesthouse!!!  PS: we asked for bowls and spoons to make our own (gf) musli for breakfast on the terrace (see picture)",arvidk1312,/Profile/arvidk1312,,50
ladakh,"This family-run place was recommended to us by some German travelers and we could not have been happier with our stay there. The guest house consists of simple, cozy rooms with attached bathroom; prices range between INR1000-1500 depending on size and view. The view from the terrace is spectacular. There is a restaurant but I cannot comment on the food, as we never ate there, as we preferred to eat out and taste the cuisine of the various restaurants and eateries across the city. In some cases, breakfast is included. The guesthouse is located a twelve-minute walk from the center of town. The delightful, hardworking owner (a doctor in Tibetan medicine) and his son run the operation and both speak excellent English. All staff are incredibly kind and obliging. Should I ever make it",Billy Bob,/Profile/thelynx68,Abu Dhabi,50
ladakh,"Unique place, full of peace, cozy and clean rooms.Owner very friendly and helpful. We felt at home.Beautiful garden full of flowers.Good place to rest between switches.Beautiful view from the terrace to the palace in Leh and snowy mountains.",annalukacz,/Profile/annalukacz,"Olsztyn, Poland",50
ladakh,"Located at a very beautiful location loved the view outside my room. Rooms are clean, cozy and comfortable. Since we were a huge group they gave us generous discount also. The owner is very friendly and very caring, he helped us with all the necessary information wherever required the son was also quite helpful.   The food served at their restaurant was so homely very well prepared. We got the perfect spot to relax and good food after our long journey from delhi to leh.   Only the service is little slow but until it was served with smiling faces we didn't mind.   If you are looking for calm and little out of the main market but also walkable distance stay this is the place. They also grow their own herbs and vegetables in the season.",Sneha T,/Profile/SnehaT120,"Hyderabad, India",40
ladakh,"We stayed for eight days at the end of August 2016. The rooms are very clean, light and spacious with excellent views. Beds are comfortable, sheets and towels are clean, there's plenty of solar heated hot water. There's a marvellous terrace to sit out and soak up the views of the mountains and acclimatise to the altitude.  Tsewang and his family were wonderful hosts - very welcoming and thoughtful, full of suggestions for walks and trips - and caring when we were getting used to the altitude and when we came down with food-poisoning (from the Wok restaurant in Leh). They made tea and cooked meals for us when we didn't have the energy to go out, and once we were recovered, organised taxis, permits and homestays for trips to Lamayuru and Pangong Lake - which were amazing.  The",GrahamBlueSoup,/Profile/GrahamBlueSoup,"London, United Kingdom",50
ladakh,"Stayed here for 2 nights, 30th June & 1st July in one of the standard rooms on the 1st floor. Couldn't get the deluxe rooms.  Room as well as the linen was clean & we had good rest here before starting our Nubra trip.  It's a small but neatly maintained place & Dr. Tsewang, the owner, makes a good effort to keep you comfortable.  Room we stayed did not have TV & I believe that's true for all the rooms. The Wifi too was extremely patchy which pretty much all the places in Leh have in common.  Also, there isn't any parking space, even for bikes. It's a cozy small place frequented by foreigners staying for longer durations & not really looking for any amenities.  ",anandqk,/Profile/anandqk,"Bengaluru, India",30
ladakh,"I stayed here with a large group.  We stayed about 7 days during 2 different time periods.  It was a bit of a walk up a gentle hill on the edge of town.  During the day the walk in and out of town was fine.  In the dark it was a bit precarious-a light is helpful to carry.  I loved the quiet and the views.  Has a roof top deck that overlooks beautiful peaks.  The rooms are on the smallish size for 2 with luggage, clean and warm water most of the time.  The flower plantings are random and charming.  We held several yoga classes in a large room with a big window facing the mountains.  They do have some yoga mats.  The breakfast was decent and they always made sure we had hot water and tea thermoses. Internet was iffy but I have a feeling that was the same everywhere.   I found the",tamanapa,/Profile/tamanapa,"Napa, California",50
ladakh,"Visited this place about week ago, it was a base camp for us. You feel like home, we used to leave all our baggages without any worry and go for an overnight trip to pangong and Nubra. Mr .Amchi, is a great man, provided us with what ever we needed. Will definitely visit this place whenever I go to Leh.",praatiek,/Profile/praatiek,"Mumbai, India",50
ladakh,"The guest house is situated a bit away from other hotels, but it is a good place to live in. Amchi is a great man and knows how to treat his guests. The tea with extra ginger was just fantastic. Overall it is great.",review_kng,/Profile/review_kng,,50
ladakh,"I had terrible experience with this place. They don't know how to behave with guest. They don't have enough decency to treat a solo girl traveller properly. Rooms were fine, Its distance from market is reasonable but seems long at night.",megha b,/Profile/749meghab,"Mumbai, India",10
ladakh,"Amchi (tibetan doctor) Tsewang Smanla is most welcoming host and treats his guests as part of the family. He will provide any sort of support and will make your stay in Leh nice and easy. The Guest House is 15 minutes walking distance from the noisy town centre, even less is you take a shortcut that leads through the street where all the bakeries are, do not miss the chance of fresh bread every day! My room on the first floor had a nice view towards the glacier and Leh Palace. Breakfast is simple but healthy and any request is warmly welcomed. Dinner is also available on request. Taxi/jeep/travelling permits. Tsewang is an attentive doctor that looked after us in a mindful way aware of problems altitude and long distances travel may cause. I warmly recommend this place.",FedericaRaggio,/Profile/FedericaRaggio,"Milan, Italy",50
