location,review,name,user_profile,userloc,rating
joshimath1,Mesmerized with their gesture of giving a wonderful service. Really it was a wonderful experience staying at your home stay Himalayan Abode . I will definitely recommend it to everyone staff is quite good and supportive.,Poonam,/Profile/Travelpoonam,,50
joshimath1,Best place at Joshimath with an amazing view and lovely owners. Skip your hotels and try this home stay for sure you will have a great time. Pocket friendly and nice food as well.homely environment with the best facilities.,ramk,/Profile/chauhanramk,,50
joshimath1,"Himalayan Abode Joshimath.  Homestay is situated 20 min drive from main city. The homestay offers a perfect view of the mountains, river & waterfall, The hosts of the homestay are nice and offer their valuable input for sightseeing as well about their culture. They served us their local food which was amazingly prepared. The place is highly recommended.",Sarkarkhandekar,/Profile/sarkarkhandekar75,,50
joshimath1,"We went for chardham yatra and our last destination is badrinath. While on the way to badrinath we got stuck with landslide near pagalnala. Our home stay at himalayan abode is booked. We called the owner,and expressed our condition. He sent a cab for our pickup in response which got invain due to huge water flow on roads. We spent that night in despair. Next day morning he once again sent cab, after debris clearing,and we went to check-in. The room was well maintained. Hot water facility is also good.Our balcony has a view of vishnu prayag. I'll remember their hospitality forever.",latha c,/Profile/lathac23,"Singapore, Singapore",40
joshimath1,"Lovely stay at Himalayan abode. Beautiful setting with the room facing the valley and excellent services. The terrace where the restaurant is situated has a Panaromic view of the mountains. Best thing is the excellent collection of cacti and succulents planted all through the home stay. Must compliment Ajay Bhatt for the overall hospitality and upkeep of the property. Our Guide, Mr. Lalit  for the valley of flowers was also arranged by Ajay. Lalit took extra care to ensure that my father and me enjoyed the stay at ghangharia and experience the vof and hemkund in the best possible way.",SRK,/Profile/SRK4501,,50
joshimath1,"We stayed at this place for 3 days but wanted to run away first day itself. But with a family and kids along it was not possible during peak season, hence had to continue. The rooms were tiny and could just accommodate small beds. Also, totally unhygienic and dirty. The washrooms were also not clean, we could see just three servants managing everything - cooking, serving guests, carrying luggage etc. Hence lot of delay in everything, food options were also limited ( ice cream and cold drinks not available ). Overall the experience was pathetic, especially considering price of 4500 per day. Justified price should have been 1200-1500 per day, considering room sizes, conditions and services provided.",Rachna V,/Profile/rachnav2017,,10
joshimath1,"The most disappointing hotel I have ever stayed in. I was shocked to enter the room as it was a dust central, dust had settled everywhere and even after us trying to clean it would re-settle. Under the bed,there was filthy dirt. It looked like the cleaner had forgotten to clean the room since days.When we contacted the staff,they didn't pay any sort of attention to us. We tried to contact the manager and it took him so late to reach us. We had to wait for 1.5-2 hrs.Truly a bad experience. It was so unhygienic to even stand there.The bed was so firm which made impossible to sleep at night.  	The staff has zero knowledge about housekeeping,as nothing was up to date. We had to ask for basic thing like TOWEL.Not only staff,the food here was also not good.They have very limited",Aashi,/Profile/wanderrsoul,,10
joshimath1,"We stayed at Himalayan abode for a day, while checking out we just wished to have stayed a little longer. Excellent place to stay, good home made food, supportive staff and a good scenic view. Rooms were very neat and clean. View from the balcony was too good to ignore. Overall a very good experience. We plan to stay here again.",Manish N,/Profile/ManishN287,,40
joshimath1,"We stayed here for one night on the way back from Auli. We had booked this along with the Mountain Rover at Auli, as both the places are owned by the same person - Mr Ajay Bhat. While the experience at Mountain Rover was very good, the one at Himalayan Abode was truly disappointing. We opted for the ""backpackers"" room which was in the annexe. When we entered the room, we were shocked to see that the room was not cleaned for days together - there were dead insects and flies all over and totally unhygienic. When we asked for a different room, the manager refused, saying the other rooms were all full - which I doubt. The only saving grace was a young servant who did his best to clean up the room as fast as he could and the one additional star is only for his efforts. The least you",Srinathkamath,/Profile/Srinathkamath,"Bengaluru, India",20
joshimath1,Himalyan abode is very nice n beautiful place to stay. We were here for 3 nights on first day we reach very late but the hospitality of Mr.Ajay n his staff was such that they were waiting for us outside the gate. As soon as after checking in we were greeted with nice hot tea. They also prepared nice meal for us. The staff was very very helpful specially the little boy Suraj he was very active n supportive. The view from our room was breathtaking. Rooms was quite spacious and so was bathroom. The sit out space outside the room was very nice n relaxing. Loved the hospitality of Mr.Ajay. Tasty n homely food.,poija,/Profile/poija,"New Delhi, India",50
joshimath1,"Well situated with view of the mountains, this facility has reasonably done-up rooms with bathrooms of acceptable standard (commensurate with its star rating). We visited in April (off season) and found it runnung on skeleton staff. The food choices were limited but well prepared. The staff is keen to help. Parking is on the road outside. The owner is a winter sports enthusiast and can arrange activities at Auli.",Balisc,/Profile/Balisc,,20
joshimath1,"So, this ""homely"" home stay is in Joshimath with providing a lovely view of the snowcapped mountains and Alakananda river. The rooms on the ground floor (that's where you enter from) have beautiful balconies and the room size and decor is just apt and extremely cozy. It's one of those home stays that truly provide a homely feeling.  The staff and the cook are the people that add the warmth to this place. Extremely friendly and customer focused, they keep saying ""Koi Dikkhat Nahi"" and try to meet almost every reasonable demand of yours.  Sleep quality is a bliss here with quietness all around and the rates are pretty reasonable depending on the room you choose. Food is simply amazing and extra blankets are provided on request.  In short why this place stands out from rest of the",Samir Khan,/Profile/SamirKhan85,"Hyderabad, India",50
joshimath1,"It is 5km from the village,  but If you plan to sleep in Joshimat,  you don't want to miss this place. The view from your balcony is beautiful. The food is  delicious and the people are very friendly. The owner Ajay has trekking agency and can arrange all your needs. ",Amos G,/Profile/amosg350,"Modi'in-Maccabim-Re'ut, Israel",50
joshimath1,"What a lovely place this is. Built on a ledge below (and a bit away from) the town of Joshimath, this one is a real find. The rooms are warm and cosy with a balcony that overlooks the mountains of the other side of the Alaknanda river. The hospitality of the owner Ajay Bhatt and his family is as warm and friendly as it gets. We were using Ajay Bhatt's company for our trek to Valley of Flowers and Hemkund Sahib and used his home-stay as a sort of a base, and absolutely loved it. A small dining room is located on the terrace of the building and the meals are homely and unfailingly tasty. Ajay warmly engages with his guests and shared with us stories about his treks, about the tragic floods that happened here a few years ago, and about his experience with the mountains is general.",UpamanyuB,/Profile/UpamanyuB,"Mumbai, India",50
joshimath1,"we stayed here on our way to Auli, the rooms have really beautiful view and are done beautifully and are warm and cozy!!! full glass windows open to beautiful valley view in d mornings...the food is good..must carry your cameras for some really good pics in d balconies and their beautifully made library in the corridor",ToothForTaste,/Profile/ToothForTaste,"Ghaziabad, India",50
joshimath1,"We stayed at this beautiful place on our wsy to Kedarnath. The three rooms we took were tastefully done in vibrant hues . It was clean and welcoming . We had the top floor rooms with a view to die for . The food was delicious and warmly served . The staff were warm , helpful and caring . It is definitely s home away from home",Minima K,/Profile/MinimaK1,,40
joshimath1,"Himalayan Abode has been a great experience. The location of the home stay is beautiful with an amazing mountain view right from the room balconies. The rooms are clean and nicely furnished, with all necessary amenities. Food is slightly on the costlier side, but the flexibility of the menu and food timing more than makes up for it. The caretaker is the cook as well and he took great care of us during our stay, specially with his amazing cooking. I would recommend this for everyone visiting Auli/Joshimath, specially couples or family.",SharitWrites,/Profile/SharitWrites,"Bangalore District, India",50
joshimath1,"I stayed one night only while going to Badrinath prior to open the temple. It was above my expectations. Room has beautiful view, balcony, hot shower, intercom phone and wooden flooring, Morning sun light in room. Roof top restaurant is good. Location is very good and quite. Owner Mr Ajay is very friendly and down to earth. ",RAJNISHSHARMA,/Profile/RAJNISHSHARMA,"Rishikesh, India",50
joshimath1,"1. The view of mountains from the room is amazing. The front portion of the home stay offers a view of whole of Joshimath which is beautiful at night. The roof top dining area Is also worth mentioning. 2. Room size is okay. Amenities are upto the mark. 3. The uttarakhand transport service bus can be taken from right outside the hotel for rishikesh. 4. Food is nice, homely environment, helpful staff and decent price.",Abhinav R,/Profile/AbhinavR183,,40
joshimath1,"We have stayed there for two days. I've spent more than Rs 5000 for three days in Himalayan Backpackers room  but unfortunately rooms are overrated. There was no TV ,even not a cupboard in that room. However view from Balcony was spectaculaire,and stuffs were also friendly, that's why I'm giving three stars. Better you stay near Joshimath market.",umaprasad,/Profile/umaprasad,,30
joshimath1,"Staff were friendly and helpful. Room was clean, quiet and had good hot water. Staff stored our bags while trekking. Good breakfast and pleasant atmosphere . Situated in interesting part of town with all facilities.",Vikas C,/Profile/VikasC471,,50
joshimath1,"This place gets a mixed bag of responses, since people arrive with different type of expectations.   The best highlight is the fabulous views offered from the balcony overlooking the river and valleys. Since its far away from the busy market road it provides a quiet setting for those looking for peace.  For people expecting 24 hour hotel type of service, this is not the right choice. This is more of a homestay concept and you will enjoy the stay if you are willing to accept the shortcomings of this place. Food arrives at its own pace - so just loosen yourself! Food was tasty though.   Ground lvl rooms are better - usually kept for senior citizens on temple trips(no steps involved). Lower lvl rooms with stairs access are kept for trekkers  Since we stayed in October, we didnt get",Kumaresh_sekaran,/Profile/Kumaresh_sekaran,Bangalore,40
joshimath1,"We were a group of 18 who occupied all 9 available rooms at Himalayan Abode Home stay the Ney year  week end for 3 nights (Dec 30th - Jan 2nd). It was one of the best holidays we have had.,Ajay, Debu,Satiji& Bharat made sure we were well fed and looked after. The best part is that they do this with a smile and a genuineness, which shines through. It comes from their heart and this is what makes Himalayan Abode special. The food both Non veg and Veg was perhaps the highlight of Himalayan Abode because it is made with lots of love. Each room is uniquely done up with a personal touch and spotlessly clean. All  rooms have a great view of Mountain River & Waterfall and all of the rooms have sit outs. All at Himalayan Abode team went out of their way to ensure we had one of the best",sanjay s,/Profile/sanjays3662,,50
joshimath1,I booked this hotel in October 2017 through clear trip for my December (5 day trip). When I reached the place(Delhi to Joshimath) I got a shock that he(Ajay Bhatt) has given this room to someone and didn't bother to inform me or Cleartrip. Later after having strong argument with him he provided some other hotel and that is the reason of giving him 2 stars otherwise deserve 1 star. Please always call him in advance irrespective how you booked that room. Also remember this hotel is very far from city center so once you are here then cannot walk to Joshimath main market and you would be needing car/bike to come the city center.,Amit S,/Profile/AmitS5721,"Ghaziabad, India",20
joshimath1,"Done the booking based on good reviews, however really disappointed.  Although location offers good view this place doesn't offer much.Following things did upset us. Bed and pillow covers were not very clean.Strictly no no.  Had to ask thrice for drinking water, ultimately we had to visit their staff and bring it. Some electric plugs were not working. One switch was literally broken with open wires. They didn't provide us the hand soap  saying they don't have single in stock.Kinda unprofessional! Provided single towel for booking of three! Food options were very limited.  We got green salads after specifically requesting them, but only after we finished our dinner. There was no T.V in the room, however it goes with eco theme so it's ok. To summarise, you will get much better",Dipalisar,/Profile/Dipalisar,,10
joshimath1,"Pros: 1) Nice view from room. 2) Away from market(about 5 kms) so a very quite place. 3) Friendly staff, they are not after tips and money.   Cons: 1) Room doors leak air from gaps all around, outside air chills the room within minutes and it stays that way. 2) No proper heaters provided, got 3 heaters replaced none of them worked properly. Believe me in december temperatures are in minus degrees and you will need proper heating to enjoy ur stay. 3) Very limited choices for food. When you ask for some sweet or bread toast.. They say bhaiya nahi h... 4) Have noticed power cuts and there is no generator, only inverter that can't take load of room heaters. 5) No tv, only in dining area they have one. It depends though you dont need tv as nice scenic view is there to enjoy. ",Rahul R,/Profile/BattleDrone04,"Thane, India",30
joshimath1,Himalayan Abode is THE place if you are looking for accomodation in joshimath. The breathtaking view it offers from the balcony is unforgettable. We were tired to the corse after a 60km trek to Valley of Flowers and Hemakund sahib and reached abode by evening. Rooms were absolutely clean and beautifully maintained. The balcony was just a bliss to sit by with a tea cup and one of the books from their good library collection. We were given hot onion pakodas for snacks and a tasty dinner.  Breakfast was good. We had a short stay as we had a flight to catch. But we had a memorable stay. ,Tej,/Profile/Tejastej,"Bengaluru, India",50
joshimath1,"My second day of road trip, riding from Lansdowne to Mana and coming back to Joshimath for the night's halt.. this was definitely a right choice to stay in.. good thing i had given them a heads-up before.. a homely atmosphere.. home-style cooked food.. nicely situated with a good view of the mountains on the backside.. Warm hospitality..   P.S: very easy to miss out this place.. once you proceed from Joshimath towards Badrinath, pass by the JP Hydro company you come across a hairpin turn to the right.. this is just on the left side.. took me a while to find it.. :)",Subbu201504,/Profile/Subbu201504,"Gurugram (Gurgaon), India",40
joshimath1,"We did our very first trek to Valley of Flowers and Badrinath, etc through Mr. Ajay- the Himalayan Snow Runner.  Himalayan Abode was a fantastic stay, with the most beautiful view over the waterfalls and mountains and the winding roads.  Our entire trip was well organised by Mr. Ajay and the rental cars, his staff and the Badrinath stay were all wonderful. They went out of the way to procure a medicine needed by us, and my lost earring too was returned safely through several hands. We are grateful to Mr. Ajay and his team for making our trip a memorable one.",docmaniar,/Profile/docmaniar,"Mumbai, India",50
joshimath1,"Excellent homely place with great facilities. Owners are very polite and professinal.Location is good, away from main town , facility the great waterfall. Homestay is neatly done and best the rooftop cafe with nice library ",Ajay K,/Profile/Alpinestar_Doon,"Dehradun, India",50
joshimath1,Himalayan Abode Hotel at Joshimath is conveniently located on highway to Badrinath. It does not have car parking facility. The staff is untrained. Food quality is so-so. The hotel is perched side of a mountain and has good valley view.,anands983,/Profile/anands983,"NEW DELHI, India",30
joshimath1,"I stopped here in June 2014 on the way to and from Vallely of flowers. The rooms were airy, cosy and well maintained. Washrooms were clean and hot water was avaialble. The exact stop over one needs after a trek. The food served was delicious and they managed to make chicken on our special demand. Good view from the rooms.",kalyanimirajkar,/Profile/kalyanimirajkar,"Gurugram (Gurgaon), India",50
joshimath1,"I stayed here twice. Once on way to valley of flowers, next on return from badrinath.  Excellent view, clean bathroom, good service. And has WiFi in rooms.   Is a great place to stay.   Owner Mr. Ajay is very helpful. Auli cable car is close by.  As is the Narsingh Dev temple.  ",skk3006,/Profile/skk3006,,40
joshimath1,"This is the view from our room at the Himalayan Abode  Homestay!  Our balcony opens right into the Himalayas. What else can one ask for when one sees the mountain that's to be conquered next day?   A very welcoming place with delicious homely food. An extremely warm owner, smiling staff. For the price you pay this is more than a steal.  ",gautamlunawat,/Profile/gautamlunawat,,50
joshimath1,"Convenient location on the way to Badrinath and Valley of Flowers. Amazing views from the balcony and terrace. Helpful positive staff. They will organize full trips and treks for you. Nice rooms and beds. Problematic WIFI, but it come from time to time. Rugged bathroom. No TV in the room.",dmitrykulish,/Profile/dmitrykulish,"Moscow, Russia",50
joshimath1,"I highly recommend Himalayan Abode Homestay to all who wish to travel to Joshimath-Auli-Badrinath region.  I keep travelling to this area and have always stayed at this property.  Long stay this time!  Everything was just perfect.   Beautifully designed rooms give a very welcoming feel.  It's an instant appeal.  Rooms are spacious and spotlessly clean.  Beds are so comfortable with clean linen and weather suitable rugs/quilts, you will sleep like a baby!  Loved the delicious food (homely flavours with good variety the chef Bharat can make - a big relief when you are staying longer).    Mountain view from this property is stunning. I spent hours sipping coffee/working/ reading on the terrace, rooftop dining or in my room's private balcony - picture perfect location! Good",Anagha M,/Profile/anagham2017,"Mumbai, Maharashtra, India",50
joshimath1,"We have stayed just one night on our trip to Badrinath this place is incredible view of valley from rooms & excellent home made food . Restaurant on roof top is amazing for dinner & you can just count the stars on your head in the night , One of the finest home stay hotel with minimal & classic furniture placed in side the rooms & lobby . Perfect place to stay at least for 3 nights if you loves nature . Will recommend this place for every nature lover .",Prashant8,/Profile/Prashant8,"Navi Mumbai, India",40
joshimath1,"Stayed for one night, Location is very nice, rooms are quiet spacious, furnishing & cleanliness is very good, food is good, service is very good. enjoyed morning coffee on the terrace. very soothing experience. home away from home experience.",Abhay0309,/Profile/Abhay0309,"Gurgaon, Haryana, India",40
joshimath1,"Perhaps one of the worst experiences, I have ever come across. I and my Mother were traveling for Badrinath Ji Darshan, and stayed over in this property.  Originally booked it for 02 nights. But being heavily disappointed, we had to leave the property just after 01 night stay and moved to other place.  On arrival, we were said that, i am being upgraded to a Super Deluxe room on the upper floor, as against the Deluxe room that i had booked)  Pros: - Amazing views from the rooms (Super Deluxe, as they call them) - Ideal location to visit Badrinath Ji Darshan (02 hours drive uphill) - Or back to Rudraprayag / Guptakashi (as per your trip planning)  Cons (It's a Homestay, but that cannot be an excuse for the basics missing)  - Absolutely ill-maintained Small cramped rooms. - Owner",Chandan M,/Profile/ZanosA,,10
joshimath1,"Stayed on May 7th to May 8th morning. Almost 7 kms from Joshimath enroute to Badrinath. Felt over priced for the faciliteis, size of the room and food. Food ordinary. Views of mountain ranges and the badrinath road. Maintainence of the bath room need to be updated.",vselvarajfca,/Profile/vselvarajfca,"Coimbatore, India",30
joshimath1,"We stayed in this hotel for 2 nights and had taken super delux rooms, the rooms were spacious and had a pretty good view from the balcony, the bathroom was also spacious and clean. Special mention goes to the host Mr. Ajay Bhatt and his team, they were just fantastic, super polite and very very helpful, Mr. Bhatt was going out of the way in helping us with local travel and nearby destinations, the food prepared there was fresh and mostly of your choice and served on time, kudos to the entire team.",Nirav Thakkar,/Profile/niravthakkar99,"Kolkata, India",40
joshimath1,"This homestay is situated on d route of Badrinath. 10minute drive from josimath market place. If you are driving ur own vehicle then it has to be parked on d roadside as d homestay doesn't have its own parking place. We stayed in d super delux room which was booked through make my trip and i ended up paying almost 2000 bucks more then d hotel charges. So before booking through any travel site just checked vth d hotel rates. The food was good. The room was comfortable and done well. The view from the room was beautiful and serene. Devender, i called him debu  took great care of us.",shailendra g,/Profile/shail998,"Auckland, New Zealand",40
joshimath1,"We reached Joshimath just after sunset and were looking for a nice place to stay and after a couple of calls got reference to this place. It is 5 kms after Joshimath on the Badrinath Road overlooking the river and a waterfall to the left. The place is absolutely wonderful, serene and best for someone looking to disconnect. It is a Home-stay and do not expect Resort type features. The rooms are pretty nicely done with nice huge windows that let you glance at the stars and you can follow the morning sun easily. The staff is very nice (as is expected from a homestay), Devendra took good care of us and Bharat cooked some nice meals for us.   The place also has a good collection of books for the avid readers who have time to unwind. Ajay, the owner of the place was not there but my",Sudhir S,/Profile/510sudhirs,Gurgaon,50
joshimath1,"Himalayan Abode is located 5 kms  from Joshimath, Room are spacious,clean and beyond my expectation for a homestay. Plus point with large glass windows showing the valley and snow caped mountains. The food was so good and homely . we had a relaxed and sound sleep. If you are visiting auli this place is highly recommendable .",mkmanisha,/Profile/mkmanisha,"New Delhi, India",50
joshimath1,We stayed in this hotel for one night. The view is good and service nice. We were little disappointed with the cleanliness in the room. The mat was dusty and the tables too were covered with dust. The hot water too was an issue. The food was nice and the staff were amiable and courteous.,KhalidNavigator,/Profile/KhalidNavigator,"Mumbai, India",30
joshimath1,"We checked into the most awesome view ever. Rooms are great, View was great, food was great Cons- Around 5 km away from nearest bus stand with no public transportation, better to go by own vehicle or arrange in advance.",Jagmohan R,/Profile/JagmohanR16,,50
joshimath1,We stayed at the Himalayan abode for two nights- before and after our trek to Kuari Pass. This home stay is at a 10 min drive from the Joshimath city centre. The rooms are very clean and well maintained. The homestay offers excellent views particularly from the terrace where they have the dining area. The food is also excellent. Will stay again at this place when we visit Joshimath the next time.,sriram_rajagopal,/Profile/sriram_rajagopal,"New Delhi, India",50
joshimath1,its a small home stay. we were there for night halt on our way up. the rooms were decent and the dining hall was very pleasant with a terrace attached. the food and service was decent. one thing I liked was that they had a good collection of books and there was a tv and disc player in the dining hall.,J_Majethia,/Profile/J_Majethia,"Mumbai, India",30
joshimath1,"Stayed here just one night in Sept 2016 prior to a fantastic trek organised by the proprietor, Mr Ajay Bhatt. Both the hotel and trek worked out very well - I would definitely recommend both. Spacious rooms and great views of the river. Staff were very attentive and Ajay was very easy going and welcoming.",Dave T,/Profile/DaveT216,"Perth, Australia",50
