location,review,name,user_profile,userloc,rating
ladakh,We had been to Hunder for 2 days. 25 Sep check in and 27 Sep checkout. On reaching the property we were told there was no reservation in our name. This is the last thing you want to hear after a tiring long journey from Leh to Hunder. The staff seemed to be utterly confused and not helpful. This is not a attitude that will have property survive for longer. Not recommended at all.,amarddave,/Profile/amarddave,"Mumbai, India",10
ladakh,"We selected this hut stay in the last minute based on the suggestion from our driver and ended up as the best stay in our Leh trip  Excellent location near the valley and has a good view of the mountains  Hut has all the basic amenities with a decent space and has a queen size bed and  couple of chairs and has an attached bathroom.Charging points are there with a light in bedroom and bathroom.Being a hut don't expect too much of amenities and luxury.You have zip to open the room and from room to bathroom also a screen with zip.You won't have power from 11pm to 5am  Food was good ,we had only dinner and that is complimentary and a mini version of buffet  Service was the outstanding part of the stay.Staff are always looking to help.They provide their mobile to make calls as only",TravellingLife_06,/Profile/TravellingLife_06,"Chennai, India",40
ladakh,Stayed there for one night. Insulated tents with neat and clean bathroom.Hot water available only in the morning times.located close to hunder sand dunes around a km and walking distance to cultural Ladakh dance show. Food was good and staff was helpful.Dont forget to zip the door flaps of the tent tightly otherwise would be noisy overnight due to strong winds.As its a closed space so no open view available.,Drvijita,/Profile/DrVijita,"Ludhiana, India",40
ladakh,We stayed in the place for one night. The stay was comfortable as the camp was good and well maintained. The staff were polite and humble in their service. The food was fine. You can expect the basic food only. There was no warm water in morning but that was fine us as the temperature was pleasant. Overall it was a good stay. ,Vivekhanand,/Profile/VivekhanandC3,"Bengaluru, India",50
ladakh,The place is very close to the sand dunes and if you are interested in seeing the local folk dance it is right opposite the camp.  The tents are decent. Staff is courteous and helpful. The food served is decent. The only issue you may face if there has not been sun shine during the day as the electricity and hot water is entirely dependent on Solar system.  Good place...,pgargya,/Profile/pgargya,"Meerut, India",50
ladakh,"We stayed here for just 1 night. The views from this camp are amazing, especially at sunset. Their service is quick. This camp is very close to the sand dunes, that is the biggest advantage. Food was good.",Himani R,/Profile/himanirana107,"New Delhi, India",40
ladakh,This camp is very Close to Sand Dune and Camel safari point. The view of mountains from the camp is very beautiful.  My family had a very good camping experience ever in Nubra valley. Dinner has limited options but was tasty. This is the only camp in my entire trip who was providing hot water for showers in the morning. Staff were very jovial and I have seen them running around with buckets of hot water to help the guests with their morning chores. Overall a very place to stay whole in Nubra valley.,Raghu,/Profile/RaghuB93,,50
ladakh,"I stayed in this property on the 6th of May, 2019. It was a very peaceful and beautiful property. The view from the property was breath taking, its just 5 minutes away from the sand dunes. In the middle of nature , surrounded by Himalayas . The camps are complete taking care of all the basic necessities and the left overs are taken care by the helpful staff like hot water and other requests. There was no wifi which was perfect to connect to yourself and to the nature around you as you would initiate  a walk around the property which is green and fresh. The dinner is delicious and the camps are amazing . All in all we had a lovely time at DeNubra .",Kush7799,/Profile/Kush7799,"Doha, Qatar",40
ladakh,camp is very Clean and view of the camp is awesome. Sand Dune and Camel safari point is close. Good camping experience ever in Nubra valley. Served good food but veg only. morning view is awesome. close to nature.,Roy,/Profile/ariroy,"Kolkata, India",50
ladakh,This camp is very Clean and view of the camp is awesome. Sand Dune and Camep safari point is very close to the camp walking distance. Best and luxury camping experience ever in Nubra valley. Sunil was arranged our whole trip. Thanks Sunil for arranging our memorable trip to leh.,Sk s,/Profile/855sks,,50
ladakh,"Very nice and quiet place. Good for those who like nature and its serenity. Its good for those adventure goers. I cant commend on the roads entering the camp cos its Ladakh btw. Hahahahaha!! Overall, im satisfied with my stay there",Iskandar I,/Profile/IskandarI105,,40
ladakh,"It is a great place to stay. The rooms are comfortable and the food is very delicious. It is very close to the sand dunes and the camel rides. The best part about the property are its hosts Mr. Jamyung, my contact in Leh and Mr. Sunil. They not only helped me with the stay, they coordinated with me for for bike rentals, permit and local shopping as well. They went out of their way to ensure my stay was comfortable and hassle free Thanks guys Highly recommend this place! ",Tejaswi G,/Profile/tejaswig2018,,50
ladakh,"Place is very comfy and nice. Hospitality was good. Staff was friendly and helpful for any requests. We were 4 couples and had a great time. Beds were fresh and comfortable. Bathrooms had hot water only in the morning, till 11 am approximately. We had complementary tea in the evening. A good place for a family stay as well.",Shantanu J,/Profile/ShantanuJ42,,50
ladakh,DE Nubra Camp is very good for stay. Those luxurious camp are at the best location and with a good view. Hospitality is also very great. I will definitely suggest people to stay here. Food is also good,Bhavesh Solanki,/Profile/longrocker,,50
ladakh,"Best arrangements. Breakfast, cleanding. the housekeeper..the food is beyond perfect and great value for money,my room was well equipped and comfortable.its so fantastic ,I highly record!ent it to everyone.",Sandeep S,/Profile/D238ICsandeeps,,50
ladakh,The whole trip was very exciting. Thanks to the organizers and hosts. The hospitality was awesome at the accommodation site. They treated us very well. The guidance throughout the trip showed their experience in the field. Excellent! Memorable...,Somnath Oli,/Profile/SomnathO2,,50
ladakh,"We stayed in this camp for two nights. It’s a new one , staff here needs some more experience. They have a good ambience but have to improve little bit in food. Nubra culture camp is just 5 minutes walk from here, evening time we can go their and enjoy culture dance of that region.",resh2018,/Profile/resh2018,"Bangalore District, India",40
