location,review,name,user_profile,userloc,rating
tehri-gharwal,"If you are looking for a peaceful stay and want to feel close to nature this fits the bill. Kind, gentle, and polite staff who helped us get our luggage down the track in the snow.  The track was icy and it was cold in the cottage but it was truly magical . The image of the Himalayas  is firmly etched on my memory.  If you want luxurious facilities don’t come but if you want to experience the view of the majestic mountains in the different lights and enjoy local home cooked food and experience life like a local  then you’re in for a treat. Thank you.",Alicat424,/Profile/Alicat424,"Cheltenham, United Kingdom",50
tehri-gharwal,I was searching for a farm stay when i came across this property and as true to its name it was one of the best farm stay i ever had . The staff was very polite and responsive. There were a lot of treks to enjoy around the property and also it's surrounded by nature and great views .   A must visit for a laid back solo travel ,Harsh vardhan,/Profile/hraim1,,50
tehri-gharwal,I visited with a bunch of close friends and had certain expectations about this place. I will apprehensively admit that all my expectations be it solitude or be it the organic and natural ecosystem around the property everything was fulfilled. Also there's a volunteers from Tata School of Social Science who helped us with some new vegan yoga tricks and skills. I had never done Yoga with such breathtaking views and perfection. It is the best organic homestay in Kanatal.,Himanshu,/Profile/Kilwish,,50
tehri-gharwal,A highly recommended experience. The simplicity of this place is just brilliant. Beautiful views! Great Treks around. Staff is very polite and hospitable. Food is all made with local produce and is outstanding. A highly recommended place for a getaway. ,Anish,/Profile/AnishVeigas,"Bali, Indonesia",50
tehri-gharwal,A Highly recommended place for budget traveller's. The place can accommodate around 12. The place is lit up by Candles and Kerosene Lamps. The place is simple and clean. Treks around the property is recommended and has fantastic views. ,Anish Veigas,/Profile/anishveigas1990,"Gurugram (Gurgaon), India",50
tehri-gharwal,"I went there with my family and had an experience like never before. I was looking for some offbeat experience and eco-friendly location in Himalayas and that was when I got to know about this homestay.Dlip – Farm care taker one of the staff members at the place was extremely helpful. Amazing location with breathtaking views, heartwarming hospitality from the staff, and homemade food made our stay memorable.. An absolute delight!",Vinay S,/Profile/8vinays,,50
tehri-gharwal,"I visited this place back in the last week of August. To be honest, I was a bit skeptical at first for an authentic farm stay experience but it this place really took me by surprise. Having visited a number of ""farm stay"" concept properties, I must say that the experience here was more than what I expected. When I reached the property, I was warmly greeted by Mr. Pradeep who is the caretaker and conversations with him were so insightful on Uttarakhand's culture and lifestyle. While we indulged in a number of farm activities, we met Mr. Dlip, who is the farms caretaker and we indeed took back great knowledge on the various farming practices and methods, which could also be handy for the little gardens of our city homes. To sum it up, this property has set the benchmark for being",Greg N,/Profile/GregN1152,,50
tehri-gharwal,"I stayed here for a couple of days in the month of August with my family. Mr. Pradeep is an amazing caretaker and took care of all our needs. The cottage we stayed in, the view from there was breathtaking. The 7km offbeat trek from Kanatal to Khurath was an amazing & adventurous experience, passing through the areas where people are still involved in a rural way of living.",Shiksha Swaraj,/Profile/lostilllusion,"Gurugram (Gurgaon), India",50
tehri-gharwal,"I visited Kanatal , on the last weekend with my friend.   We stayed there for 2 days. Located on one of the most serene spot at Kanatal, the property has 3 cottages and a beautiful dining area with views to die for. Mr. Pradeep the manager cum caretaker of the property was extremely humble and welcoming nature. He cooked us some amazing homegrown organic pahadi dishes. We visited New tehri dam and went for a short trek to the Wish Tree along with packed lunch.   The stay and experience was perfect. One would just love to spend the whole day on the shack along with some refreshments.   Would definitely recommend everyone to visit here.",RANGEET M,/Profile/rangeet2k20,"Gurugram (Gurgaon), India",50
tehri-gharwal,"For those looking to delve deeper into Uttarakhand's culture and interact with the local community, TGV Escape will be a perfect choice. We thoroughly enjoyed the slow pace of life, the wholesome local food and the abundance of greenery, fresh air and smiles.",Rukmini V,/Profile/rukminiv,,50
tehri-gharwal,"Delayed my review writing because of the busy schedule in the city but I have no words to express what I felt like while visiting and staying in Kanantal and Nagtibba and especially at the TGV. Its an experience which gets you back to the time where you don't even feel the need to take out your phone or laptop. It gives you that feeling of Serenity that you wish for. The natures beauty is so beautiful that wish it can be carried in eyes forever. No digital made all co-holidayers interact and enjoy together, despite of not knowing each other from past we all bonded well with bon-fire, singing, playing and eating together.  TGV is the real icing on the cake, the place that lets you feel this beauty in its natural way with just NO artificiality. Stayed in TGV for 5 nights, i.e. no",Manjari Soni,/Profile/sonimanjari,"New Delhi, India",50
tehri-gharwal,"I stayed there for a couple of days and the service and ambience was more than what I had expected. Our host, Pradeep, the entire staff, volunteer madhuj were the sweetest!!  The view from the cottages is breathtaking and the food provided is perfectly cooked.  All in all, it’s a great place to stay if you want to just connect with the nature, have a peaceful time and meet amazing people!",soumya s,/Profile/soumyas516,"Bengaluru, India",50
tehri-gharwal,The beautiful Devdaru tress and the fresh raindrops on the car windshield.  The feeling was un expressive as it was the month of March and stilll i was in winter cloths and half an hour to arrive at kantal and on the way the magnificent view of the great himalayas kept me driven with the fact that it was my home for some time . It was a rainy Day and the Mountains were actually covered with snow caps and while i reached Mr Pradip Uniyal and Suraj came to pick me and had to walk down 800 metres and with the stories didnt realize we reached.  while getting up the Next  Morning I realized that I could see the Entire Shivalik Range and the beautiful Chukhama Mountains. The Birds calls and Nature splendid the open heart to creat the sound of Solace. while the Neighbour Prthivi Ji,hirak sharma,/Profile/hiraksharma,"Shillong, India",50
tehri-gharwal,"Away from every bit of noise and belongingness of the cities, TGV Escape provides you with soothing ethos of the majestic hills. You get to feel the calmness and peace the nature brings with the sunlight and the sound of the winds. Local food and hospitality is absolutely wonderful with a homely environment. Overall the concept of TGV escape will make you want to visit this place again.",Madhurjya Sarma,/Profile/madhurjya46,,50
tehri-gharwal,"I really loved my stay in the Goat Village. I stayed some days in Nag Tibba and 4 days in Kanatal. Phantastic staff, great food. Did some trecking in the hills. Especially enjoyed the morning sun in the glass house with gorgeous view to the Himalayan range.",And_scha,/Profile/And_scha,"Stuttgart, Germany",50
tehri-gharwal,"This was one of the most impromptu yet (hence) satisfying trips of my life. I was visiting a friend in Dehradun, and on a whim, I decided to leave the next day and stay at The Goat Village in Kanatal. All I knew about the place was that they have no electricity or internet connectivity, and I jumped at the thought of being absolutely alone with my book. And that's exactly what I did. I spent 4 days snuggling in my blanket with only Jane Austen for company. The staff (local families) was very friendly. They would give me a bucket of hot water every morning, 4 delicious home-cooked organic meals at all the right hours, and solar-panelled torch lights for evening - and honestly, I didn't need anything more. Would highly recommend the place for how humble yet fulfilling the",NidhiThakur,/Profile/NidhiThakur,"Dharamsala, India",50
