location,review,name,user_profile,userloc,rating
almora,"I reached in the evening at around 5pm and found difficulty to find the property bcoz there was no sign board on the road. The caretaker arrived in 5 mins and took us to the property.  But once we reached the place we forgot about the initial difficulty faced to find the property. The house is very well located and maintained. You have a clear view of the snow covered peaks from balcony, terrace and lawn. Rooms are spacious, airy, well furnished and maintained.  We were very well hosted by the caretaker. He took good care of us. Food prepared by him was finger licking good.   Undoubtedly the best property in the area. I strongly recommend it.",Ashish Singh,/Profile/Singhashish2892,,40
almora,"Very welcoming hosts, helpful caretaker and the majestic view of the himalayan range from the room, made our hearts smile with joy. This place connects to multiple forest trails. You can go for a quick hike , crossing various pine trees and the fallen cone and small mountain ranges. It's away from the city lights and noise but very calming and peaceful.",Archana Kar,/Profile/Archenemy27,,50
almora,The villa has a great view of the himalayas. But a special shout to Manisha and Rajnish who were the perfect host and made our stay really special. The hike up the apple orchard was special and the food and room were homely. A bigger sign board on the main road will be helpful for travellers to locate the hotel.,Saurabh B,/Profile/Saurabh_reeja,"Singapore, Singapore",50
almora,it was a memorable experience for me and my family . They really enjoyed the view and comfort of your Villa. Your staff was very courteous and very diciplined.  Thanks for the hospitality. One of the best views of Himalayas can be viewed from here.,Tejas Mehta,/Profile/TejasM61,,50
almora,"Thanks a lot first of all to the cosmos team for their overwhelming hospitality. It was a wonderful experience especially for accommodating our family (including our pet).  I will recommend this place anytime for families, writers, backpackers and groups who love serenity and peace and will like to find themselves under the mesmerizing view of the Nanda Devi Himalyan Range.   A great place, very well built from the lush green entrance to the porch, while you can view plums hanging around you.We really enjoyed the entire Villa, especially the way its interiors are well thought through. Enriched with the presence of classical wooden interiors, stone walls, a marvelous fireplace, frosted glass, porch and ambiance lighting.  Best time to visit is either in monsoons or in winters",Deeptesh B,/Profile/deepteshb,,50
almora,"Amazing view from every corner of the house, tastefully done up wooden interiors, a cottage I didnt feel I was coming to for the first time. Naveen uncle the caretaker took care of all our needs and I found the place at a very central location, from where locations such as Bubudham Tepmple, Kalika Temple on one one side and the local town of Majkhali on the other side were easily accessible. When you find personalised luxury and scenic beauty all at one place. you know thats home away from home.",Bhuvan R,/Profile/BhuvanR18,,50
almora,It was a family trip and stay at the Cosmos Himalayan made it memorable for us.  Himalaya's peaks are clearly visible. Orchard in the property make it a real fun for kids. Food is awesome and is prepared as per your taste and preferences. It was all together an excellent stay.,Rahul R,/Profile/rahulr994,,50
almora,"All the features, and detailed provided by the cottage's owner is fake and false. There was no room service, no Television in room, no electric kettle and the worst of all no one to address your issues. Manisha stays in Delhi and only collects money that too all in advance. No bill provided for the payments of cottage room, and food was pathetic as well as overly priced. Small rooms and very expensive doesn't even include breakfast (Rs. 4500/day for the room). Absolute waste of money... worst experience I ever had.",Deep C,/Profile/572deepc,"Noida, India",10
almora,We stayed in this property for 3 nights. We were two families. This villa has four rooms and we were the only guests here. So the entire place was available to us. My kids enjoyed the most. The garden is well maintained. If you are expecting some sort of hotel or resort  then strike this place out. This is meant for people who are looking for a beautiful holiday villa at a peaceful hilly location. The caretaker is a nice person. We didn't face any trouble during our stay. He willingly accommodated all our sundry requests. We chose the wrong month to visit. Hence missed the Himalayas views. Locals say one should plan to visit Ranikhet during December - January to have clear view of Himalayas peaks. We will definitely come back to this place. ,Kunja Joshi,/Profile/kunjajoshi,"Noida, India",50
almora,"This property is wrongly listed on Makemytrip as a Villa, no water, no fan, no Restaurant, all the facilities mentioned are FAKE. You might get died of hunger as there is nothing to eat. The property is just managed by a caretaker who is helpless, they will not serve you any food, neither will allow to bring anything from outside. The owners are very rude and always look for making money from the guests, they will force to eat the food prepared by the caretaker which is super expensive. You will not be able to find this place even with the help of Google.",ranjan464,/Profile/ranjan464,"New Delhi, India",10
