location,review,name,user_profile,userloc,rating
ladakh,"This is a lovely family that makes everyone feel welcome and cared for. It’s well worth joining in for the home-cooked dinner, as they use fresh vegetables from their garden. During meals or over tea you’ll have a chance to socialize with an interesting variety of people with a wide range in age and nationality. ",Steph50357,/Profile/Steph50357,United States,50
ladakh,This home stay is in a quiet location in upper Changspa. The family is very helpful (took us to the hospital in the middle of the night!) and we feel like we are at home there (this is our second time staying here). The location is great for walking (download maps.me before you arrive). There are usually interesting people staying there and we had many pleasant conversations with other travelers from around the world.,Jay J,/Profile/JayJ9876,,50
ladakh,"That’s how you feel when you get there... the family run business take great care of you during your stay.  Dinner can be provide if you ask for and it’s delicious ! Raisonnable price for quite big room and pretty quiet at night. Seriously O was more then satisfied with the guest house. I also used the place as a base camp when I went exploring different villages for days and no worries to leave any gear over there, they took great care of my stuff ! Mom Dad and Tsetan brothers are amazing local ppl... hope to get back eventually  Cheers !",Seb B,/Profile/seb4evo,"Garibaldi Highlands, Canada",50
ladakh,"At Tsetan Guest House its like being at home: safe, welcoming, cosy,... Tsetan and his family run the place in a very genuine, flexible and personal way and yet leave you all the freedom and privacy. They are all very sweet and caring.  I loved the view on the huge green garden from my room. I had one of the most delicious and most authentic dinner there. And one of the best/fastest Wifi connection! :)",Lellaem,/Profile/lellaemas,Switzerland,50
ladakh,"The family is lovely and very smily, allways trying to help. The food they cook is delicious! Their hause is a quiet and peaceful place very closed to the river, perfect place to be relaxed. I'm looking forward to come back again Ana",Ana T,/Profile/Z422JIanat,,50
ladakh,We had a great stay here. By far the best value in Leh. The family is so nice and helpful. The room is spacious and clean with good hot water. They always have water and mint tea available. They also have a laundry station! Bit of a walk from town but that means it is nice and quiet and the walk is a pretty one. ,Tammy2124,/Profile/Tammy2124,"Vancouver, Canada",50
ladakh,"Very pleasant atmosphere, good food, frendlly and interesting trevelers. Price is ok. If you need some extra info or service Tsetan is always there ready to help you. Not the nearest to the main bazar, but that is ok.",Žiga Rozman,/Profile/Zigaroz,,50
ladakh,"I just spent three beautiful weeks with my friends in Ladakh. Having a home-base at Tsetan-Guesthouse was a very important factor for the great time we had - and writing home-base, I mean ""home""-base! Tsetan and his parents felt like a little, very warm-hearted family to us. Tsetan is extremly well-organized, helpful and flexible, he arranged transport (airport, hikes, trips to nubra valley...) and always managed to accomodate us in his guesthouse when we came back to Leh for some nights (we were also able to store some of our bagagge there while we were trekking). When one of our group fell ill in between, they cared for him and even prepared special food.  Apart from the warm and cosy atmosphere in the guesthouse (nice courtyard with flowers as a relaxed meeting-point with",Kerstin,/Profile/KerstinReise,,50
ladakh,"We made Tsetan Guesthouse our home away from home in Ladakh for the month of July, while we ventured out on various treks, tours and monastery visits.   In many ways, Tsetan is like a homestay. From the moment you arrive, Tsetan and his family will make you feel at home, with lots of tea, comfortable living space and lots of advice about how to make the most of your visit. As we travelled to and from Leh, Tsetan was always flexible and accommodating. Even when we returned unexpectedly early from a trek and Tsetan was full, he walked us to another nearby guesthouse to set us up there until they had vacancy again. They even let us come back to use the space, use WiFi and eat dinner with them in the meantime, making us feel like it was still our home in Leh.   The food at Tsetan",Chris H,/Profile/chumbledore,,50
ladakh,We stayed in a number of different rooms at this homestay and all were great! The owners of the guesthouse were very hospitable and the cooking was amazing! I highly recommend staying here for an authentic and peaceful experience!,Maryam O,/Profile/maryamo562,"London, United Kingdom",50
ladakh,"I've stayed a month at Tsetans Guesthouse and really enjoyed it. It's a nice and quiet homestay at the edge of town.  The family is very friendly and helpful. They helped me organize my trips in Ladakh (renting a scooter, booking a shared taxi, planning the markha valley trek, etc.)  The ladakhi food that they make is delicious! ",Erin M,/Profile/erinmA1171JA,,50
ladakh,"It’s amazing how quickly the warm hearts of the Tsetan family melts everyone’s hearts who stay at the guesthouse. They are always working the hardest to provide for you in anything you need and I’ve had the best stay of my life at this place since it’s more like a home than any other guesthouse. Their little farm adorned with mountains and their two little dogs will be something I’ll always remember about this place. This is the place where you’ve not just come to a hotel and to roam around leh, this is the place that shares the local treasures of a Ladakhi family with you. I saw the summer sun in two places in Ladakh, one in the sky and one at Tsetan guesthouse. They were both bright and warm.",Ves Vessin,/Profile/VesVessin,,50
ladakh,"A home away from home, to make you feel welcome with a warm glass of freshly brewed mint tea. That is the best one line summary of what I can say about Tsetan and his family's homestay. I stayed here for a week and the whole family was so warm, smiling and welcoming. It felt like an authentic Ladakhi experience, especially since most other places were full of local tourists. This place is tucked away between the market and Shanti Stupa, about 15 mins walk from the start of the market. Lots of good eateries around as well like the German Bakery and Chanspa restaurant. The location is quiet, peaceful and Tsetan's garden and backwoods are a treat for the soul seeking some solitude in this holy place. They have two little dogs to always cheer up the mood and ofcourse, his mother's",Zeeshan D,/Profile/diwanzee,"New Delhi, India",50
