location,review,name,user_profile,userloc,rating
kinnaur,"We traveled to Kalpa after 4 days in Taj Theog, Simla, and since this is a tiny village we hadn't expected much, but oh we were in for such a surprise! The views of Jorkanden and Ralden from each room are to die for, and you can even spot the Kinnaur Kailash trident using the binoculars present in the upper deck/ library in the hotel. The sit-out here on the library deck was perfect for watching the sun rise (I even shot a time-lapse video).   The hotel is owned by Mr Prithviraj Negi, who was traveling, but we were well taken care of by Mr Yashpal (the manager), Mr Devender and Mr Shubham, who were all courteous, ever-smiling and very friendly. They accommodated our request for food items which weren't even on the menu, and we relished the tastiest bowls of Thukpa here. The",soniavad,/Profile/soniavad,"Visakhapatnam (Vizag), India",50
kinnaur,We visited Kalpa on 10 th 11th and 12th December 2019. The high light of our stay was in Grand Shamba La Kalpa  we were a Group of 10 Adults and  one child and we had senior members on the  group the staff were very courteous and helpful food was excellent and Yashpal thr Manager had taken personal responsibility of our safe return when it started snowing heavily  I recommend this hotel for every body and I travel a lot but this was the best experience ofy travel in a Decade  Mahesh Kumar,Mahesh Kumar,/Profile/Wanderer318555254,,50
kinnaur,"Where do I begin writing about this exceptional hotel perched in the midst of the himalayas, with uninterrupted views of the kinner kailash range! The hotel is a great hub if you wish to visit chitkul, sangla or nearby hill stations.  Rooms - spacious enough for 2-3 people. Every room has a 3 kW heater that should heat the room until -10C. The rooms have dish tv connection, continuous hot water supply, hot water kettle etc.  Food - when we visited in the month of december, winter was on and all we tried was thukpa. The food prepared and served by Devender was very tasty and fresh. Since the hotel operates on a MAP plan, you wont need to pay extra for an additional order.  Location - poets/writers can just sit in the rooms balcony and write their magnum opus. The amazing views of",Surya Kiran,/Profile/Surya1313,"Visakhapatnam, India",50
kinnaur,"I have been traveling to Kinnaur during the last 12 months and I spent nights and time in this excellent hotel. High level service, great food and perfect position in a apples orchard... No one hotel has the same level. Warmly recommended",Con14,/Profile/Con14,"Castelfranco Veneto, Italy",50
kinnaur,"Love the grand shamba la and village of kalpa. .  Quick, get there while it is still unspoiled by tourism!  There has been a building boom of new hotels since we were there in 2016.   Hotel is immaculate, staffed with wonderful people and serves excellent food. Gracious owner , Prithvi, helped us arrange excellent safe driver to take us through amazing  spiti valley to leh, He was open to switching us when we didn’t like s couple of the hotels he had booked.  Unfortunately hard to match standard of grand shamba la .. it is so top notch.",STM666,/Profile/STM666,"Pasadena, California",50
kinnaur,"Location – The hotel is located on the road to Roghi village. Though the hotel can be seen from the road, access is through a narrow road which leads to the small parking area of the hotel. From Rekong Peo its about 30 minutes drive.   The Hotel – The hotel structure consists ground + 6 floors which the top floor being the library. The library is well stocked. Each floor has 4 rooms with 2 facing the majestic and scenic Kinner Kailash Ranges. The ground floor houses the reception area and the dining area where all meals are served. Behind this there is a dining area for buffet meals with a small open courtyard. The bar i.e. Yeti Sports Bar and the meditation room i.e. Yeti Retreat can be accessed from this area.  The meditation room is a must visit and one can enjoy the solitude",Gautam_Rathor,/Profile/Gautam_Rathor,"White House, Jamaica",40
kinnaur,"We had an unexpected two night stay in the hotel due to a roadblock ahead of Kalpa. We could not have ended up in a better place. The rooms are beautiful, offering a great view of the snowy peaks. The staff is extremely friendly and helpful. The attached bar too has some great views and stylish seating, offering local and punjabi dishes. Next time we are in the area, we will definitely come again.",Jesse_india,/Profile/Jesse_india,"Gurugram (Gurgaon), India",50
kinnaur,The hotel has lovely views of the snow capped mountains. The approach to the hotel is very narrow but it is compensated by the lovely service of the staff. Special thanks to Mr Yashpal & his team for the lovely hospitality. The special Jain food prepared for us was of very good quality. The only draw back is the stairs that you need to climb to get to your rooms as there is no lift.,Manoj Vora,/Profile/Manoj_V64,"Mumbai, India",40
kinnaur,Great place with a super view of kinner kailash. Very great hospitable staff  The food is good.  Would strongly recommend staying on the third floor  This hotel is really amazing view from the rooms.... Very nice palace  Service was great  Food is good  ,dnash S,/Profile/dnashs2019,,50
kinnaur,We stayed in this hotel for two nights and the experience was great. The room was super clean and the staff was really friendly. If you're doing the spirit kinnaur route and need to relax for a day or two before going back to hotel  Very nice place  Thanku so much for the services provided By ya she 🙏,Culture33546722503,/Profile/Culture33546722503,"Rekong Peo, India",50
