location,review,name,user_profile,userloc,rating
ladakh,This hotel is tied up with cox and kings pacakages .please dont get into rooms are small toilets are bad no exaust in rooms only the staff is very freindly over here .cox and kings being such a big travel agent why it has to stoop down to low quality  hotel .,sunilchopra1,/Profile/sunilchopra1,"Navi Mumbai, India",10
ladakh,"One of the best advantage of the hotel is the location. Its located near the market.Easily accessible.  The hospitality, the food, the staff is excellent.The staff is very humble and helpful.  Hotel has In-house restaurant.",sameersal0dkar,/Profile/sameersal0dkar,"Navi Mumbai, India",40
ladakh,The hotel has one of the best location and central garden to laze around with beautiful view of leh palace and namgyal monastry just in front of the hotel. Market is just around the corner 200 meters from the hotel yet so peacful inside. Amazing staf and service. Clean rooms and washrooms. Food is also amazing specialy apricot jam which they prepare fresh in the morning from there garden and fruit salad with freshly plucked fruits from their own garden. One can also pluck fruits like apples and apricot from the garden and try. All and all awesome experience staying here will definetly recomend every one to have this experience in leh.,Rohan T,/Profile/RohanT168,,50
ladakh,We Three Friend Reached 12 May 2015 by Flight & stay 4 Night hear Good food Staff & Manager is very honest like a homely stay.Nearest to market walking distance overall good experience we enjoy comfort stay.,SaibabaHolidays,/Profile/SaibabaHolidays,"Palanpur, India",40
ladakh,"We stayed in this hotel for 3 days. The hotel is very close to the market, has a small but decent garden and a lounge where you can relax. The hotel water is only avaioable from 6 to 9 in both morning and evening.",gshaks,/Profile/gshaks,"National Capital Territory of Delhi, India",40
ladakh,"Hi we reached on 12 th  May through our travel agent Cox and Kings , as we reached there we where welcomed by the manager Mr.Vijay very nicely he gave quite a lot of handy instructions to keep away the altitude sickness and get used to the place.We stayed there for 5 nights it was a good experience from the first day till the last day.Food served was of good taste and  soups were the best out of the whole spread served to us .The chef Mr.Vikram Singh was always available to make you comfortable and provide you with what u want .The staff was very friendly and hospitality was good .the main advantage of the place is that market is walking distance from the  hotel.Only con I found in the place is the room are too old furnished and the tv they use are the old type .Few changes made",Nimitt B,/Profile/nimittb2016,,40
ladakh,We travelled with family to Leh and hence stayed here. This was an ok stay. Staff was friendly and close to market place. Overall a good budget hotel. Rooms in top floor have good views. Buffet has good options,sayam123,/Profile/sayam123,,30
ladakh,"they have their own garden with apple and apricot planted over there ,you can enjoy fresh fruits . Food was very good and they have variety too. hospitality at its best from reception to room service . its close to market .",ravinder p,/Profile/ravinderpatial,"Gurugram (Gurgaon), India",50
ladakh,Its a simple hotel for a night stay . The advantage of this hotel is that its very close to the market place. Staff is very friendly and accommodative. Its clean and comfortable. The food was good but not that many option.,Sarita2508,/Profile/Sarita2508,"Mumbai, India",40
ladakh,Simple hotel for a night stay. We had a very short stay before heading to Pangong lake. Don't expect luxuary.   • Close to the market place • Friendly and accommodative staff • Cleanliness was ok • Nice boutique hotel • Buffet food options,sayam123,/Profile/sayam123,,30
ladakh,"Set up in a locality very close to the market place, one can reach out to the market in a few minutes by foot. The staff members are very friendly and are quick in fulfilling our needs.The food served is very tasty and the chef there eagerly waits for our sincere comments. On the whole I enjoyed the ambiance atmosphere here. Great Job done....keep it up.",bushrahamed1210,/Profile/bushrahamed1210,"Mumbai, India",40
ladakh,"We stayed in this Hotel for 5 nights in two stretches....2 nights & 3 nights. The experience was great. We were 3 adults and were to be provided an additional bed in the room. It was in place before we reached. We had been traveling for 2 days prior to that from Srinagar to Leh and needed the rest urgently, which the hotel seemed to be fully aware of. They even told us that they will not disturb the room in the intervening night when we will be out (to Pangong Lake) and we may even keep our luggage back. We had booked through Make My Trip and would like to thank them for the choice. The food is superb. They have a lot of European guests and as a result are forced to offer a sort of continental buffet. But a couple of spicy Indian items are also available. They also offered us to",Subhasish M,/Profile/15subhasishm,"Kolkata, India",50
ladakh,It is very well located hotel close to main market. I stayed here for 5 nights( arranged by cox and king). The rooms are very comfortable. The staffs are very friendly and that the food in the restaurant is very good. But the breakfast menu is very limited and same for all days. No heater and no geyser. We had a nice comfortable stay.,Mitali88,/Profile/Mitali88,"Hyderabad, India",40
ladakh,"We checked in this hotel in 16-May-2014. Our travel agent was Cox and Kings. The Hotel is right next to the main market area of Leh, so it is just a short walk for local shopping. We were warmly greeted by the manager Mr. Vijay and briefed about altitude sickness and what to do and not to do for taming it. He and his staff made our stay like in home away from home. Hot water, at odd hours too, were arranged immediately without any fuss. One day we had to get ready at 5AM. Hot water for bathing and breakfast was ready on time. Though the roads and supplies were not fully opened at that time of the year, Mr. Vijay tried his best to provide variety in Lunch and dinner. Food was light (to keep your digestive system under control) but delicious, especially soups. One day he even",Kishalay H,/Profile/Kish4Travel,"Bengaluru, India",50
