location,review,name,user_profile,userloc,rating
ladakh,"I have been at this camp at may first week. The check in was easy. The tent is very poor condition. The toilet is not fully functional. And the tent is very small. A six feet man cannot easily stand up. Very little space. Food is great, very tasty and the service is excellent.",DINU50,/Profile/DINU50,"Alappuzha, India",30
ladakh,"the camp has both rooms and tents. Rooms are quite smaller than tents but far warmer than tents and there is no issue of rains seeping in. There are different quality tents also, the one near the rooms are far better and the one near the pangong lake is quite thin. If you are feeling cold Prefer the rooms or the tents near the room. The staff was quite friendly and helpful, but the water there was quite cold and salty. You should probably not take bath with it. Bathrooms were just ok,can't expect much from tents. The camp is situated at the start of pangong lake and is far away from 3 idiots shooting site, there is nothing between the site and other site so all items are sold at double the MRP. We were asked to pay INR 1500 for the campfire, which we did not take. Electricity is",Krishna B,/Profile/KrishnaB531,,40
ladakh,The check-in process was easy. No ID documents verified. We stayed in one of the rooms. The camp has nomadic conditions. The bed and bedding was OK. However the bed linen was not changed or cleaned after previous customers checked out. There was not much house keeping done. The dust bins were not emptied after the last customer checked out.   Toilets were another league all together. The toilet seat was wobbly. Wash basin had saline water- no sweet water as we are used too. Wash basin drainage pipe was not connected to the drain and waste water instead was flowing in the shower area.  No shower facility- common or private. You have to ask for warm water which is provided once in a day in the morning; roughly one quarter of a bucket is provided which is enough to wash your face,Uday V,/Profile/UdayV,"London, England, United Kingdom",10
ladakh,"This camp is well located along the Pangong Lake. It is one of the first properties along the lake. Nice tents with ample thick blankets for the night made for a cozy experience. Their food spread was outstanding (dinner as well as breakfast) In my entire Leh-Ladakh trip, this was the only place with such a lavish spread. The hospitality was simply warm and excellent. The camps have a nice view of the lake. They have created lot of space around the camp for a sit-out, you can play games, music, dance around the bon-fire. If you are up for an early morning trek, you can take a short trek behind the camp which will give you mesmerizing views of the Pangong lake. The owner and staff are so soft spoken and helpful with a constant smile, it adds to the charm of this place.",RishmaShetty,/Profile/RishmaShetty,"Mumbai, India",50
ladakh,"This camp is on the shores of Pangong lake at an altitude of above 17000 feet. The view is great from this area, the lake as well as the mountains. Highly windy and hence very cold. The camps have toilets but no shower. They provide hot water in buckets in the morning. Electricity is available only for a limited time so schedule accordingly the charging your mobile phones. The food is great with a wide choice to select from. Overall worth the money.",njan45,/Profile/njan45,"Kochi (Cochin), India",40
ladakh,"Once again, excellent hospitality. The owner and his Omnipresent crew did their best to make their guests comfortable.  The tents could have been a bit higher as a 6footer needs to bend once inside the tent but your not spending hours inside standing so it’s manageable. The mess hall tent was amazingly laid out. Was very cozy and exquisitely arranged. The food was top notch. Having good warm food on a cold night definitely lifts ones spirits. The camp is located at the foot of the surrounding hills which makes short treks a possibility. If you want a bon Fire you need to book it at the reception tent. It will cost you around 2000 to 2200 Inr. Beware of dogs at night who come in search of food and may run off with your foot wear Incase you have left it outside your tent. There",Raoul_Dsouza,/Profile/Raoul_Dsouza,"Dubai, United Arab Emirates",50
ladakh,"it was a very basic camp with cold non responsive staff. while booking if you call up and speak to the marketing team in leh, they are warm and responsive promising many things. when we reached we realized it was the very first camp with minimum view of the lake. the camps further up all had better views of the lake but i cannot comment on the amenities they had. when you reach the camp you are very much at the mercy of the staff. all packed items like water, chips peanuts etc are sold at twice the mrp.",Arun771512,/Profile/Arun771512,"New Delhi, India",30
ladakh,The location of this place is great as it is away from the crowded area of camps. Also close to the start of the lake. The camp is deteriorating in condition and the staff is not very welcoming.  Make sure to get a concrete hut as it is very windy and cold. We thought we will get one but were told (at check in) that all are taken. ,parulgagan,/Profile/parulgagan,"Kuala Lumpur, Malaysia",20
ladakh,This place is just located at exact distance from pangong lake. Not too close not too far. You will have an amazing view from here. Food was just outstanding and unexpectedly delicious. There is small mountain to trek just behind the property but beware of the local dogs i.e. KHEE. I would suggest this is most preferred camp at pangong.  Cons- smell of toilet. You have to bear it. ,Prasad Thosar,/Profile/prasad9899,"Pune, India",40
ladakh,"After looking lot of camps, we decided to book this one. We directly contacted the camp owner Mr. Mutup. And he was sweet enough to guide us with all the booking. Best part is they are not at all money minded people. I just transferred min. 2k amount and he confirmed my booking. The camp can  be easily located and it is a big property. About the camp: We had booked two super deluxe camps with 3 people in each. The camp has a good view of pangong lake. They have different dining area, tea area and a small shop which caters all the need of people. In the center of camp, there is bon fire area and some benches have also been kept to enjoy the view of pangong lake.  About the Camp Rooms: The super deluxe rooms were really neat & clean including toilets as well. The rooms had",Travellerpenumbra,/Profile/Travellerpenumbra,"Mumbai, India",40
