location,review,name,user_profile,userloc,rating
rudraprayag,Lovely place and great hospitality The breathtaking view adds to the charm of the place.looking forward to visiting again soon.A place that beckons again and again.LoLovely place and great hospitality The breathtaking view adds to the charm of the place.looking forward to visiting again soon.A place that beckons again and,@Meenakshi.171,/Profile/Meenakshi171,,50
rudraprayag,Very comfortable place to stay. A cool place to plan holidays. Felt very relaxed during visit.This place is full of greenery. Staff is very good. Food is excellent. If someone wants to enjoy the beauty of nature should visit this place once. They have maintained it properly and you can just have a peace of mind with enjoying silent beauty of the nature. It's very peaceful and perfect place to unwind and relax.,Gaurav264,/Profile/Gaurav264,,50
rudraprayag,"The hotel is right on the Guptkashi Sonprayag highway NH7 and the initial impression is it was rather dusty. In fact even though it is mentioned that parking is available it is basically parking on the highway only. And because of roadwork for broadening the highway it is more dusty. In fact our driver was really unhappy because of the car really got dusty parked on the highway. Also even though wifi is mentioned, there is no wifi in actuality. Even for a family of 3 the room is rather crunched and there was hardly any place to even put the mattress for the 3rd person. So there may be a doubt that inspite of all these negatives.  We stayed for 3 nights, and with the crunched space and dusty condition we were a bit upset. What is best about the resort is the helpful attitude of",Kaushik_Basu_1969,/Profile/Kaushik_Basu_1969,"Kolkata, India",50
rudraprayag,"the rooms were good,clean and spacious. the location was very near to the helipad. we had taken four rooms and had no problem what so ever. we prefer rooms than huts and close to main road. the huts were little down stairs and we all were senior citizens so we chose rooms.",Suresh M,/Profile/skmadan144,"New Delhi, India",50
rudraprayag,"My family and I had a great time here. The location of the hotel is great. It’s in Narainkoti village – little outside the Guptakashi town and close enough to the helipads for Kedarnath helicopter services. The view of the mountains is beautiful. The rooms are quite nice, clean and well-appointed – great value for what they cost. The food at their restaurant is simple and tasty.  We are impressed with the staff and the hospitality. They were kind and helpful throughout our stay. Special shout out to Mr. Shivam Joshi and Mr. Pawan Joshi. They provided us with all theight information and really went out of their way to help us with our Kedarnath helicopter booking. When I could not travel back from Kedarnath due to bad weather and limited helicopter service, my parents had to come",Saarthak Mahapatra,/Profile/Saarthak_Mahapatra,"Sydney, Australia",50
rudraprayag,Amazing property located in serene valley. The best fit for stay at Guptakashi. Additional benefit is that Aryan Heli-pad is just a stone throw away. The warm staff will amaze you with the level of hospitality at such a small place.,pawankes,/Profile/pawankes,"Bangalore District, India",50
rudraprayag,"Best hotel in that vicinity, very close to helipad for Kedarnath. Homely food. Staff is very co-operative and courteous. We wanted to extend our stay but had to leave because of non-availability of rooms .In all excellent experience. ",Radheyshyam Agarwal,/Profile/radheyshyama,"Mumbai, India",50
rudraprayag,"I have stayed several times at this place, and know what to expect. It meets my main expectations, of quiet, decent food, and a good sleep, every time. This time was no exception. I arrived late in the evening and I left early the next morning after a solid sleep and a fresh breakfast. This is all that I wanted.",Ajit C,/Profile/AjitC99,"Mumbai, India",50
rudraprayag,Good view from the cottages. Very good host. Neatly maintained rooms. Did not expect to have such a good experience in this place. Thanks to the brigadier from Noida to have opened a place here. Will come back for sure!,Sreevats G,/Profile/SreevatsG1,,50
rudraprayag,"We stayed in the property in the month of October as part of our visit to Shri Kedarnath. Honestly, we didn’t expect the kind of hospitality we received there, courtesy the entire staff of the resort. I shouldn’t miss this opportunity to mention the names of MR Pradeep and his brother MR Chandan who went all the way to ensure our stay remained comfortable . The best thing about this resort is its close proximity to the helipad and you could just walk down the road and catch the helicopter for a breathtaking ride towards Kedarnath temple.You can also book the helicopter ride through the resort itself. Overall,it was a lovely experience staying in the great hospitality of a few dedicated, wonderful human beings.",debanjandoc,/Profile/debanjandoc,"Kolkata, India",50
rudraprayag,"Recently visited Kedarnath with family, stayed at Himalayan comforts. At Himalayan comforts you feel like at home. Rooms are spacious with all amenities. Hotel staff is very cooperative and provided us the best of services. Food was great and homely. Above all the view from cottage was mesmerizing. Love to stay again.  ...Ashim Dey",ashim2001,/Profile/ashim2001,,50
rudraprayag,"Went with family to Kedarnath and chose to stay in Himalayan Comforts Resort for 2 nights. The place has comfortable rooms, clean washrooms and excellent view of snow peak mountains. The staff is very helpful, simple and friendly. They offer buffet dinner which contains home made food. Must try their pakoras and masala tea. It is certainly a stress buster after a day long exerting trip! Recommended to everyone without second thoughts!",Scenic824118,/Profile/Scenic824118,,50
rudraprayag,"I cannot write enough to praise the staff of this place. I reached Himalayan Comforts after 14 hour grueling bus journey from Delhi. I was tired and hungry and asked the manager if they could arrange lunch for me because they normally serve only  breakfast and dinner to guests. He said ""Not a problem"". After a relaxing warm  shower when I reached dining hall, I was surprised to see 3 course meal with daal,subzi, rice, salad, papad and not to mention hot hot puffed fulkas (roti), right off the stove. I could not have asked for more.  Best part is that they have cottages as well as rooms and if you are a single traveler on budget like me, rooms are equally good at half the price of cottage. The manager Mr Singh is very friendly and does not try to oversell you anything. I think",sanjeevrsharma,/Profile/sanjeevrsharma,"Boston, Massachusetts",50
rudraprayag,Recently my guests stayed @ Resort...they are very much pleased with resort hospitality... too much carrying staff.... my guests are senior citizens age of 74 years and 78 years ....they are very much happy during their stay... Staff takes them for all procedure on wheelchair ...serve good food... Even Resort person Mr.Shivam well arrange  their heli tickets and Priority Darshan without any trouble....Close to helipad and open nice natural view from resort premises...,Dherauge J,/Profile/DheraugeJ,,50
rudraprayag,From my booking to my stay everything was perfectly planned and handled. I did not face any trouble given the fact that I went with my friends none of whom had been to Guptkashi before.  Rooms were clean. Staff was very helpful. Food was delicious. You don’t get many facilities in the hills but this resort had it all. Must visitt!,Mehul Chabri,/Profile/MehulC68,,50
rudraprayag,"Stayed there two nights on our way to Kedar. It was a pleasant stay. Cozy accommodation with nice view of Himalayan peaks. Room was clean, toilet is okay, uninterrupted hot water, clean towels. We took breakfast, lunch and dinner there. Food was fresh, hot and tasty. Service is too good.",A Tripadvisor Member,/Profile/null,India,40
