location,review,name,user_profile,userloc,rating
pauri-garhwal,The perfect hotel for friends and family.  Clean rooms with superb view . I would recommend go for terrace room for best experience.  Amazing food  Very friendly staff  Location is very good. All sightseeing are nearby.,Yash,/Profile/Yash151193,,50
pauri-garhwal,"The good: -Location of the property is good, view of the corbett side of the valley right from the room balcony itself.  -Food was excellent.  -Dining hall overlooks the valley.  -The terrace offers a much panoramic view of the valley and slight view of the inner himalayan peaks. Mt. Chaukhamba and adjacent peaks were seen from terrace itself.  I booked a super deluxe room but it was average in amenities. Some fellow travellers reported unclean rooms.  But few downsides that we encountered were: -no coffee making kit in the rooms (its a small thing but makes a difference when you want to enjoy the valley view with hot sip of a coffee/tea) ,  -cable tv not working on first day,  -cushions not clean, -room dustbin not cleared on second day, -no dustbin in the bathroom to throw",Harshit Srivastava,/Profile/harshitsrvstv,"Noida, India",30
pauri-garhwal,It is awesome hotel...Its rooms are spacious with balcony and hygeinic with facilities of hot water etc. The hotel staffs are cooperative and polite. Its food are according to our taste...Its mountain veiw is amazing and its built between the hills and it is nature friendly,Tirath Babu,/Profile/BTIRATH5758,,50
pauri-garhwal,"Hotel is located at excellent location, best view of hills from room. Rooms, terrace, dining was awesome, food is so tasty, friendly staff.  Lansdowne is 3-4 km above from this hotel. Me and my family have enjoy at this hotel.",ishu06,/Profile/ishu06,"New Delhi, India",50
pauri-garhwal,"Owner,staff, cleaniness, everything was suprb. Please stay there if you visit Lansdowne , average costing and excellent response you will get. I had a very comfortable and peaceful time there. Food taste is epic.",Jyotsana,/Profile/Experience696615,,50
pauri-garhwal,We reached early morning at 5..dint know where to go .. found this place ..and it was just AMAZING !! The view from the room makes u feel ur at a peacefull place. Spl thanks to mr. Pankaj at front desk for amazing hospitality. For frends two rooms on top floor with big terrace is amazing place to chill out .,Naresh Choudhary,/Profile/393nareshc,,40
pauri-garhwal,It was a well located hotel giving the best view of the Himalayan Ranges. The food was really very tasty. Terrace accommodation & dining was awesome. Owner became friend with us & we had a great time. Lots of memories now !! Tarun we remember u !!,sudip kumar p,/Profile/sudipkumarp2017,Bangalore,40
pauri-garhwal,"Staff was very courteous and helpful, location is good (less than 10 minute drive up to downtown area), food was good, room cleanliness was okay. Rooftop terrace also had great views and super fun space for families with kids. Would definitely stay again. ",David H,/Profile/davidhA2946LM,"New Delhi, India",40
pauri-garhwal,"Although set at a good location, yet the property is I'll maintained...Rooms are not furnished at all..Even the toilets are stinking and bed too is not  upto the mark.. Food item are ordinary.. ! Only from top floor the view of valley is good.. Average property !!",Dushyant S,/Profile/1951dushyant,Muzaffarnagar,20
pauri-garhwal,"The Garwhali Inn is located at Deriyakhal, 100 Meters far from Blue pine Resort. we reached lansdowne by 7:30 early in the morning and we had booked 3 rooms for 8 of us. We requested for the room and we thought that we won't get the room. however to our surprise we got all the three room allocated to us in ground floor. Rooms were not Clean. we asked the House keeping to clean the room and they did it for us. They are not the bestest of the rooms available in Lansdowne. however the service was good. Food is also good. Overall a comfortable Stay",satyen072017,/Profile/satyen072017,"New Delhi, India",30
pauri-garhwal,"The location of the hotel is easy to find but it is not inside the Lansdowne Cantt. As of March vodafone and airtel does not work in the hotel - you have to walk a little to the right of the property to get a signal. The Hotel in 1 word - NOISY. It is not carpeted and so all the noises of doors slamming, cooking, laughing shouting etc etc etc is amplified. I had a room on the 1st floor but degraded to underground rooms with a smaller balcony. The rooms are really dirty , not cleaned well, poor furniture, really poor toilet. Sticky tables etc. The only saving grace is the food and the Chicken Tandoori especially. I will not stay here again unless this hotel makes it price 1/2. Definitely not worth. Lanscastle looked far more worth than this. The room service is very polite but",Livetodrive666,/Profile/Livetodrive666,"Ghaziabad, India",20
pauri-garhwal,"We visited Lansdowne in 3rd week of Feb and booked the Garhwali inn after reading positive reviews on TA. Our stay was excellent. Rooms were clean and big. We booked super deluxe and the manager (Mr. Anup), who is a gem of a person, upgraded us to room with terrace and Himalayan view. The view from this hotel is very beautiful and scenic. Real joy is shipping tea in the morning enjoying sunrise behind the snow covered Himalyan ranges. The hotel also arranges bonfire on request. Food here is also good and reasonable on pocket, best part was they prepared special Garhwali food on request. It also has a small parking space in front of the hotel. I want to mention about the owner, who is very helpful and humble. He made a map of our returning trip via rishikesh to dehradun which is",rohit k,/Profile/rohitk747,,50
pauri-garhwal,We had a one day stay. It was a comfortable stay  and it is 2km  before Lansdowne. Hotel staff and manager are good and helpful. Food is also good. Rooms are spacious with valley view. Overall we had a good Experience. Would Recommend to stay in this hotel.,isha k,/Profile/ishak153,,40
pauri-garhwal,We are really happy with hotel staff specially Manager.location of hotel is good & nice nature view.Rooms(first floor) are spacious & present excellent view. service needs improvement but if guest plan properly same can be managed.,Atul D,/Profile/Genuine736,Delhi,50
pauri-garhwal,"I stayed here for 3 days/2 nights during my visit to Lansdowne in Oct-2016  Let's start with Pros of this hotel  One of the best locations to stay in Lansdowne They serve some delicious food especially vegetarian food like Veg Biryani, Parathes, Fried rice etc. Awesome view form balcony The Staff is quite friendly and helpful Safe & Secure place to stay  Areas where they need to improve -  Bad Furnitures Bathrooms are quite small No Vodafone, Airtel or Idea signal Wifi available but of poor strength",Anurag P,/Profile/AnuragP243,,40
pauri-garhwal,1. Rooms are not very clean. Bad maintenance. 2. Manager had no prior information that we had paid for the dinner too. Had to show them booking voucher. 3. Restaurant took one hour to serve food. By then we lost our appetite.,Shubhranil D,/Profile/ShubhranilD2,"New Delhi, India",10
pauri-garhwal,"Lansdowne is one of the best decisions I have made in terms of travelling to the hills. Very silent away from the busy and commercial lives that we find in other hill stations. I would recommend this place for greenery/calmness. A good weekend getaway,",imgauravsingh,/Profile/imgauravsingh,"New Delhi, India",40
pauri-garhwal,"Lansdowne is definitely one of the most beautiful places we have visited...away from the hustle bustle of city life and giving you wonderful, peaceful, picturesque views... Coming to the hotel, the location is quite accessible, though main town is actually a few kms up the hill, most of the good hotels are in this locality only... Staff is friendly, rooms comfortable, food is average bordering on good and they also have parking space for a few cars... Wifi was erratic but available... They have two rooms on hotel top floor which have a beautiful terrace in front, providing a wonderful valley view... Overall a nice hotel, not very expensive, providing the basic facilities...",romeshgaur,/Profile/romeshgaur,"Cavelossim, India",40
pauri-garhwal,"We were a group of six people and had booked two rooms for a stay in this hotel from 16th June and 17th June, 2016. Unfortunately the stay in this particular hotel turned out to an obnoxious and a very disappointing stay. Even though we gave our details and preferences of rooms while booking, we weren't given the same. We had to waste some of our time requesting the manager of this hotel to give us rooms which were somewhere according to our preferences. Anyway we got two rooms, one having a very beautiful view from the balcony and the other one which was quite dingy. Honestly I am quite surprised how can such a shabby hotel be owned by a retired army officer!.. We were denied lunch as it was 3:00pm already and the lunch timings were from 1:00- 3:00pm. Hence we had to eat out.",Bidisha R,/Profile/BidishaR8,,20
pauri-garhwal,I dont need to upload pics here as I am pretty sure lots of people who have reviewed this property has already done so.  I had heard that Lansdowne is pretty scenic place with quite average resorts but I found The Garhwali Inn to be a place that can be improvised to a much better level as it has scope. It basically reminded of a big house turned into a resort with extermely basic amenities. Some plus points: 1) The staff was very courteous and friendly contradictory to many previous reviewers who considered them rude. 2) The scenic view from the personal balcony view as well as from the terrace above 3) The pleasant walk down the hill from the resort. 4) The 24 hr hot and cold water service 5) The TVs with cable connection catering to most of the channels (when there is,YLMIndia,/Profile/YLMIndia,INDIA,30
pauri-garhwal,"We stayed at this hotel as a family of 14 persons including 3 children in 5 rooms for 2 nights in June 2016. Our plan was made at a later date so we could not get a more centrally located or better hotel which could offer us 5 rooms. So we had to settle for this hotel which we booked through Make My Trip. This hotel has 3 floors-top floor is on ground level, 1st floor is below ground level & 2nd floor is below that. Rooms are good at 1st & 2nd levels. They are spacious with a third bed & also a big balcony with a good view. The bathrooms are quite small. Overall it is neat & clean. Bathrooms have hot water. But there are no electric kettles in the room. Also, they have TVs & free wifi but there is no wifi connectivity on 2nd floor. The hotel is under staffed so the service is",TanujaDubey,/Profile/TanujaDubey,"Lucknow, India",30
pauri-garhwal,I will say total worthless. They charge as a 4 star hotel. But when we talk about facilities and service its zero.  Cons: No Drinking Water in Room 3rd class Room Furniture Poor Food Pathetic bathroom space & cleanness No Facility at all  Pros: Good Location Room Space Good Staff Cooprative  Don't book from MakeMyTrip because in that case they will not provide complimentary breakfast even,bansalrajeshkr,/Profile/bansalrajeshkr,"New Delhi, India",20
pauri-garhwal,"Quick Facts & Tips: 1. The hotel is situated just before entering Lansdowne and is ~4-5 kms away from the Lansdowne main market. 2. Mobile connectivity: Only BSNL works in this hotel. 3. The hotel staff is extremely supportive and responsive to any query / request from the guest's side 4. We were allowed an early check-in (9 AM instead of 12 noon) that helped us a lot in planning the Day 1 in Lansdowne. 5. On ordering the breakfast, staff ensured that we get out to the restaurant only when our order is ready and that we get the best experience. 6. We got prompt help in arranging for travel services along with last minute co-ordinations (which is very much required in absence of a mobile network). 7. WiFi support in hotel rooms is amazing and is a huge PLUS point of this hotel.",HDAG,/Profile/Dhiman_HD,"Hong Kong, China",40
