location,review,name,user_profile,userloc,rating
badrinath,"We stayed at New Snow Crest for 2 nights while up in Badrinath.  The staff were super helpful and friendly and we really enjoyed out stay here.    It was cold, but we had hot water and hot water bottles!!   As there isn't many places to eat around here, you need to eat in the hotel especially when you have a group, and they gave us great meals everytime...     I will be back... with 20 people next time!!",Geoffrey R,/Profile/GeoffreyR430,,50
badrinath,It was a great experience to visit this hotel in month of October in first week..Hotel is near to temple..staff is humble..thr re some shortcoming like lack of electric kettle in d room as pilgrims ve to go early morning to d temples..we left our mobile at lobby thr...thy took extra efforts so tht it reached safely to us...always remain in contact with us..n it reached safely to our own town Lucknow .esp thanks to karan n thr team...would love to stay here again ...esp mentioned tht thy have room heaters in d room.wch re most reqd at low temperature.,Shilpi M,/Profile/909shilpim,,50
badrinath,Among very few hotels in such high altitude places which provide complete services for guest's comfortable stay. rooms are nice and clean. you have heater and running hot water. checkin is swift and front office people are very polite and helping. best thing about this hotel is its food. taste and variety is something to be appreciated considering its remote location.one of the best hotel in badrinath to have a pleasant stay. very near to temple and have ample parking space.,Ankit Daga,/Profile/DAGANKIT,"Raipur, India",50
badrinath,A great location for the Shri Badrinath darshan. Very walkable and convenient. The hotel manager makes your stay quite comfortable. Though no electric kettle or tea milk etc  in the room. But the restaurant provides quite good food. The room has sufficient bedding and quilt etc for taking care of cold nights. Room heater is provided in the room. Overall this is a nice hotel.,S B Khare,/Profile/sbkhare,"New Delhi, India",40
badrinath,I was traveling in off season and it was in the cold season. The heater in the room worked. There was hot water. The room was clean but small. The restaurant hotel seemed clean and good food. The staff was helpful. ,MyIndiaPilgrimage,/Profile/MyIndiaPilgrimage,"Cleveland, Ohio",40
badrinath,"We stayed for a day in this hotel, when visiting Shree Badrinath temple. This hotel is just 500 m away from temple. The rooms are  clean with bathrooms also clean, with hot water. Its expensive, even the food is expensive. But because the temple id close-by, its worth staying     There is no lift!!!",Ruby4861,/Profile/Ruby4861,"New Delhi, India",30
badrinath,The location of the hotel is its strong point. To find a hotel at such an altitude is a bliss. The hotel has a heater in the rooms which is an added advantge.The rooms are very spacious and clean.The food is outstanding with a varitey on its menu.One notable thg is they serve you even though u r late than the dinner or breakfast time. I loved that coz we were very late for the breakfast. They specialy made the sandwiches and parathas for us.The owner is very friendly and is personally available for any querry. Must visit property.,Archana B,/Profile/445archanab,,50
badrinath,A Very nice hotel with exptremely well-mannered and helpful staff who provide great service. Total value for money. The hotel is located very close to the temple. The rooms are very cozy and very well maintained. Bathrooms are neat and well equipped. A special mention for the food. A wide range of varieties with excellent taste. ,Gareema,/Profile/GAREEMA_AGARWAL,,40
badrinath,"i am bharat ahir from kutch for with family visit,soo cold atmosphere,Nice hotel,staff is Good ,Food Good ,nice room service,this place in nice hotel,over all staff and owner mr karan is nice person. badrinath in nice hotel",bharat ahir,/Profile/BHARATLAVADIYA,,40
badrinath,"We went to Badrinath Dham on 12 th May ,2019 by prior booking this hotel online ( premium 4 bedded room) which charged around 11,000 per night basis for 3 nights!!  On arriving we were given a double bedded room excusing that the four bedded room was already ocuppied when we showed the mail they blankly refused!! Hopeless we stayed in it but to our surprise we found the four bedded room later to be empty!!  Besides there a no facility of hot water in such cold, even the staffs doesn't know how to behave with their customers!! Full of arrogant attitudes they even refuses to give u extra bed or towel!!  Rooms are very shabby and not properly cleaned with also the telephone not working!!  Our room was on the 2 ND floor room no. 301 and for any requirement one has to go downstairs",Sayan Palit,/Profile/Sayantraveller123,,10
badrinath,"This hotel was booked through make my trip. Little away from main town, location is good for viewing lofty mountains from hotel rooms. Rooms are specious, well heated for winter,with hot water available and all meals as per menu to suit all visitors from any where. Staff is very helpful, drivers can stay in dormitory, and you can walk upto mandir .",viju_77,/Profile/viju_77,"Pune, India",50
badrinath,The hotel is located at the foothills of the mountains surrounding Badrinath. It is at a walking dist from the Badrinath Temple and about 3km from Mana. The rooms are spacious and adequately furnished (including room heater). The view from the rooms is spectacular. The staff is extremely helpful and accommodating. It is definitely the best hotel in the area.,soummo1472,/Profile/soummo1472,"Jamshedpur, India",40
badrinath,"In the last 4 years that we have been to Badrinath Yatra, we have not come across any other stay option which is warmer and cozier than New Hotel Snow Crest in the freezing cold weather. Rooms were clean, tidy & elegant with separate heater units to keep the cold away. Delicious food is prepared as per our requirements and timings. Support staff are very helpful and kind.  We were a group of 24 devotees and Mr Karan, the hotel owner took very good care of us and was very cooperative & helpful in accommodating all our needs - be it late breakfast (brunch), last minute changes in our orders, packing breakfast for a group of 24 during for return trip, giving suggestions for our yatra planning or arranging local transport for darshan of Shri Badri Vishal.  Thanks to New Hotel Snow",FellowTraveler821147,/Profile/FellowTraveler821147,,50
badrinath,"My partner and I rocked up at this place dripping wet, cold and tired after a long 12 hour bus journey. This place looked very neat, clean and professional from the outside and the entrance so we thought we'd try it. The manager was immediately very friendly, professional and helpful. He gave us a good deal due to the low season. The room was very clean and comfortable with soft beds and pillows. The electricity and hot water was reliable too.   It has a good location on the top road which isn't far from the main bazaar and the temple which is the main attraction here.    Due to poor weather we didn't know if we'd be able to get to our next destination. But the manager was again, very helpful and understanding providing us with plenty of information and assistance. Thanks to him",Ollie L,/Profile/743olliel,"Yangon (Rangoon), Myanmar",50
