location,review,name,user_profile,userloc,rating
kangra,"Stayed here 5 nights and room was clean, and bed was very comfy (King size) with great views of the mountain from my bed & room balcony. Staff were very friendly and helpful. Food was nice and cheap, the staff always happy to help and Jagdish in particular  (worked in restaurant) was also most welcoming and always cheerful. The hotel manager was also very kind, and always willing to accommodate any requests. Hotel is situated quite close to Bhagsunag waterfall (approx 1.5-2km away) and was an easy walk there (probably 30-35 mins walk from hotel).  On the downside, my room had no heating (got down pretty chilly at night) and although I had a nice warm duvet blanket, I had to request another blanket, and they quickly provided me with a huge warm blanket. Power cuts were",Booka71,/Profile/Booka71,"Marrakech, Morocco",30
kangra,Holiday hill is a very nice property. The hotel is at a very nice location.  The view from hotel rooms is very nice. Rooms are very spacious and clean.  They serve tasty food. Hotel also offers private balcony. Hotel is close to mall road. Very peaceful area. Hotel also has private parking space. Only one drawback is the road to the hotel is little bit steep. Rest everything is fine. Below points gives it plus points. 1) Food 2) Clean Rooms 3) Clean Washrooms 4) Nice Location,Hitesh Kumar,/Profile/Hkumar92,"Chandigarh, India",40
kangra,"   After booking thru goibibo post my extensive search on TripAdvisor , I reached my hotel in main jogiwara road @walkinf distance to the city main square n in close proximity to the lovely *cafe budan*.. They graciously allowed me to check in an hour prior n also *Mr hemraj"" at the counter was courteous enough with my room selections n provided me a great room ..  My room didn't have a water kettle n on my single request , they provided me with the same ..   Room is good enough for 2 persons .  Well lighted , with 2 huge windows opening in the adjoining alley and the valley respectively .. With an attached balcony (mine was supposedly **side-view** room) , but still view was amazing n soothing ..  I could sit for hours in d chairs provided in d balcony n relax without any",Manik Agarwal,/Profile/manikagarwal2,"New Delhi, India",50
kangra,"Overall a nice stay and satisfactory experience. Almost 800m from main square. Food was good. Views were nice. Lift could have been better. However, approach road to hotel is very steep. It requires skilled driver to be there.",deepak2506,/Profile/deepak2506,"Gurugram (Gurgaon), India",40
kangra,"I brought a group of 18 people to stay here. The hotel was beautiful, updated, and very comfortable. The hosts Showkat and staff were helpful, kind, and generous. The food in the restaurant was decent, though I mostly ate while we were out on excursions. The hotel was walkable to all the main attractions in Mcleodganj, and I felt safe (well, maybe a little nervous about getting hit by cars but less so than in other parts of India). No one in my group had any issues. I would definitely return here with my next group.",phoenixacudoc,/Profile/phoenixacudoc,phoenix,50
kangra,We stayed as long as for a week.. And believe me it's an awesome one.  Mr Showkat(The Pro-active Man) Made all arrangements before we say anything.. Hotel staff was so polite and humble.  They all doubled our happiness  during stay n trip.. If you want JANNAT in mcleodganj check in to Hotel Holiday Hill.. It's rocking especially for family n couples... I personally provide 5 star rating or  99/100 Thnku all,Ashwani Ji,/Profile/ashwaniji,,50
kangra,We are family of 4 people truly impressed by amazing people of Dharmsala. We stayed at the hotel Holiday Hills on May 2019 and needless to say it was an authentic experience! They treated us as a family members. We recommend you to stay there! Staff was very friendly and helpful! Thanks a lot!,Erzhena C,/Profile/erzhenac2019,,40
kangra,"The proximity of the hotel is the big advantage it carries. The approach is very steep and narrow with one-ways in between but you once reach the room, you feel at ease. The view from the balcony is spectacular. With snow clad mountains and serenity all around, the service is too good too. They have pretty good food options and kitchen staff are very friendly. We had a driver with us and they took care of the driver by providing food and blanket. The hotel is very close to Dalai Lama temple and market place. Its a steep yet a good walk from hotel.",Ravinder,/Profile/esravinder,"Bengaluru, India",50
kangra,"I stayed at the hotel for 2 days with my family and really my experience was unforgettable. I have not thought about so comfortable stay. Mr sowkat is a very nice person. He, hemraj and all other staff were so good and cooperative that they made my holiday good. The location of hotel is also very nice. Not far from market and also away from market crowd. NICE LOCATION, HUMBLE STAFF, GOOD FOOD.",pawan,/Profile/pkbaid,,50
kangra,"Clean rooms and cleanest washrooms I have ever seen in a hotel, very helpful staff, hotel is very near to Illiterati (the best cafe in mclo), local market (including mclo restuarant again an amazing one to visit). Overall this hotel is a value for money and is suitable for families, couples or group of friends. Restuarant balcony has an himalyan view as well.",Divye Handa,/Profile/divye_1992,,50
