location,review,name,user_profile,userloc,rating
badrinath,"One of the best property of GMVN, beautiful location,backdrop of mountains,well maintained,car parking, close to temple, friendly service from staff,tasty food with a reasonable price with complementary break fast,... highly appreciated.. will visit again",Tanmay,/Profile/simplyheaven_Sep2019,"Kolkata, India",50
badrinath,"We had a wonderful stay @ Devlok.  The view was awesome.  Especially the  Nilkand parvath. No words to describe the view during the sun rise and that too the snow clad mountain turning to golden colour for few seconds. Wow ... no words to describe.  The Food was excellent and the staff and the Restaurant people were very helpful. When we mentioned  that we leave early morning the next day say around 5.30am,  tea and bread toast were served and they asked us whether we need any thing more.. Very friendly and care taking staff ...  The Rooms were so comfortable and it was spacious. It was so clean. Overall it was a home away home for us...  I would love to stay there only during my next trip to Badrinath.",Uma,/Profile/UmaNatarajan15,,50
badrinath,"At the outset it is heartening at that there is accommodation available in Badrinath, a place that works (open) only for about half the year. Devok provides basic accommodation, the building though painted etc is still old, has old styled doors etc. No heaters in the room and it was really cold. The geyser in the bathroom just about worked was able to only get water out of the geyser in small trickles when we needed it and even complaints made could not get it fixed. Restaurant also offered limited choice, but welcome, when you have no choice ",Govind R,/Profile/govindrajv,,30
badrinath,"Dear Bisht Ji,  Thanks for your generous cooperation and the warm hospitality of your staff members. Our stay at GMVN has once again been a pleasure.  Wishing prosperity to your institution which makes travelling a memorable experience.  Kind regards,  Somnath",Somnath,/Profile/Footonwheels,"Kolkata, India",50
badrinath,"We had a wonderful stay  devlok. The view from the hotel .Located very close to the temple, it's an ideal place to stay. The staff are extremely  courteous  and attend to your needs immediately.  The food is well prepared  and very tasty.  Great experience.",Shuba Padmanabhan,/Profile/Shubasri123,,50
badrinath,The location of the hotel is just the best. The rooms are a bit high priced but still do not pinch as are well kept. The quality of the food is good and there is ample parking in the hotel complex. Room washrooms have 24 x 7 geysers for hot water and well equipped with extra quilts / pillows for comfort of customers.,ANUJ,/Profile/anujchopraji,"New Delhi, India",40
badrinath,"The location of the hotel is amazing. From the courtyard , the view of Nilkanth peak is breathtaking.Two types of room, Deluxe and semi Deluxe. Tariff is bit high but worthwhile as the rooms are cosy and clean with 24 hours geyser servicing.Its very near to the temple. Good quality foods are available in the restaurant. Enough quilt and blankets are available. Car parking available.No provision for room heater. Ambiance is nice and the staffs are polite and helpful.",Rahul C,/Profile/358rahulc,"Kolkata, India",40
badrinath,"We had booked a room in Devlok for a night stay.  On reaching the place we encountered very rude staff members especially one Mr. Vinod Negi... Whose approach to everything was take it or leave it!  There is no intercom in the room and no attendant at the reception,  so in case anyone needs anything in the night... Good luck... The place is deserted from 10pm onwards!  The staff asks you to adjust with only one towel per room as they do not have enough of them!  Though the place is clean it would have helped if the staff was a bit courteous!!",Alpana71,/Profile/Alpana71,"Mumbai, Maharashtra, India",30
badrinath,Shri Badrinath ji  Shri Vishnu Temple of northern India and called as last moksh Dham situated in Himalaya. High altitude shrine is open only in summer and rainy season. Rest of the time minus degree temperatures & Mostly covered by snow do not permit livelyhood.. GMVN hotel Devlok is neat n clean superb stay facility place in Badrinath near temple. Fabulus hospitality including all good dining arrangements.,pckimothi,/Profile/pckimothi,"Dehradun, India",40
badrinath,Thank you so much everyone at Devlok. We loved our comfortable stay in clean rooms of perhaps what I can all GMVN's best tourist rest houses. Special thank you to Lakshman who helped us with our dietary preferences.   The rooms were clean. Service was very efficient and staff helpful with information or any other aid. They had placed a jar with warm drinking water in front of the reception for guests. This was a perfect touch to our overnight stay in a rather cold Badrinath.,AmritaDas,/Profile/AmritaDas,"New Delhi, India",50
