location,review,name,user_profile,userloc,rating
ladakh,The tents are furnished with all amenities and bathroom attached with running hot water. The food was excellent. Its quite good to have a walk around the surroundings of the camp and its an excellent spot for bird watching,jkkartha,/Profile/jkkartha,"Kochi (Cochin), India",50
ladakh,We stayed at Nubra Sarai for Night as part of Khardung La-Hundar-Pangong route. We got probably the best food in our entire stay in Ladakh. Thanks to the folks in restaurant to satisfy our taste buds in the barren and intimidating Nubra Valley. Tents are good enough with clean toilets. Areas to improve upon is hot water connection in toilets (instead of providing bucketful of warm water) and tackling the stay dogs roaming around.,PradeepPaliwal,/Profile/PradeepPaliwal,"Gurugram (Gurgaon), India",40
ladakh,"- Located in the midst of sand dunes of Nubra valley 10,000 feet above sea level - Different experience specially chilly nights - Could have been more cosy and better amenities but due to extremely difficult terrain nothing more than basic amenities. - In house restaurant as well as in house dining - You can enjoy a cup of tea and pakodas sitting outside your tent looking at Karakoram range (Himalayas) - Daunting experience if you look out at mountains at night. - Sand dunes nearby, private vehicle is a must",Vaibhav B,/Profile/686vaibhavb,"Mumbai, India",50
ladakh,"We booked a package tour via Yatra and we were just disappointed with the stay here. The attached bathroom had a stinking smell, basin water flowed inside the bathroom, the lawn was not mowed, the tent material was not clean and so filmsy that we could hear people in the next tent talking. It is also far from the other tents (this can be a good thing for some). I find two pros -   a) the stuff was very well behaved and helpful b) the view was good (when I say good it means you can get a couple of good shots if you walk out of the tent area - nothing more)",saurav_chat,/Profile/saurav_chat,Kolkata,20
ladakh,"The place is scenic beauty. Camps were well managed, clean and maintained. The food and services were good too. But the staff was very disciplined and they were following army rules in terms of providing services and were not ready to deviate themselves for any comfort to visitors.",rishikawatra2001,/Profile/rishikawatra2001,"Jodhpur, India",30
ladakh,Let's talk about bad things first as there aren't many except that they need to work on developing their garden which is almost barren currently. Now the good things- 1. Excellent food - can you imagine eating all sorts of cuisines in the middle of nowhere. Yes. And that to well prepared and staff serving was so courteous. 2. Water stream flowing through the property gives it an edge. 3. Service really good 4. Attached washrooms are not temporary. They are proper concrete structures which is very smart and hygenic. 5. The circular way in which tents are put up gives it a good look with no 1 tent better than other. All are equal and good.,vagrant_wanderer,/Profile/vagrant_wanderer,"New Delhi, India",40
ladakh,"This tents are average one. Yes its neat and clean. There is a good view of the mountains around. but since its hosted at the place where there are trees and bushes you can expect some unwanted insects roaming in your tents :P . They do not have any insect replants.  One plus point is they have a table fan which most of the others do not have. It makes your sleep comfortable when u need it. The bathrooms are clean and dry. Yes the service is excellent. U can for Tea, you call for hot water or anything and they will be their immediately. All the staffs are nice and helpful.  Food- I didnt liked. Menu was ok but taste was totally missing :(. Most of the food i didnt felt like repeating again after we took the initial plate.  Its just 10 min from the Sand Dunes.  Its a budget stay",debarghyadatta,/Profile/debarghyadatta,"Bengaluru, India",30
ladakh,"Stayed here for a night but property was not in good condition n even location is nothing much to describe. There was not much hygiene around, tents were shabby. Stay was very courteous n helpful all d time. Food was average. ",Satyajit D,/Profile/SatyajitD64,,30
ladakh,This camp in Nubra valley is beautifully located amidst the mountains.. I stayed here for a day along with 2 of my friends.. The staff was very cooperative and warm.. Food was way better than what we had expected.. Running Hot water is not available but is provided in buckets by the staff!!  Weather is hot during the day and cold at nights (in June) .. Overall a great experience of staying in tents in the lap of nature !!  PS: Do watch the traditional dances and go for a camel ride in the desert which is quite close by to this place!!,Prachi1991,/Profile/Prachi1991,"Bengaluru, India",50
ladakh,Reached Nubra sarai after travelling 5hrs from Leh thru very bad roads.....tents were ok....electricity was off most of time....even we hav to eat dinner before 9.30pm as electricity goes after that....a small handy emergency light is provided in rooms...food was good & with varieties.... ...but overall didn't njoyed as there  is nothing to do much....simply lie in ur tent....so not worth going there thru very bad roads.....bad roads means really bad.... ,ravirohra,/Profile/ravirohra,,10
