location,review,name,user_profile,userloc,rating
pauri-garhwal,"There is always a scope of improvement. Mine was 5th trip in last 4 years, and I have always seen Second Life Resort Improving. So the people behind are on right track. Newly built cottages with traditional hut feel are just awesome to look at and live in !!",GunjanGuptaBJP,/Profile/GunjanGuptaBJP,,40
pauri-garhwal,"one must visit camps for desi feel and not for luxury. basic amenities and food was excellent, enjoyed bonfire. a perfect getaway from city life to a peaceful and nature's lap.   best cottage in my budget I could find anywhere in Rishikesh.  staff was very cordial and strict about self service concept. even though helped us a lot for evening snacks service.  all the best.  great deal in budget",Gagan A,/Profile/Quest587902,,40
pauri-garhwal,"Worst experience.Huge difference in the pictures shared and the condition of resort on site.Cows and Dogs roaming inside,open area not maintained.Pictures shared with me had green garden ,here it was dusty. Condition of super luxury rooms is horrible.They have put mattress on the concrete structure.Floor of this room was broken.Swimming pool was really very very dirty.Not just the water which had insects but the floor was black too. Poor room service with no intercom and the kitchen is far.You need to shout or walk all the way to kitchen for any need as the network is not available to make a call to the manager.All in all a very poorly maintained so called resort not recommended for family gathering . I am writing this for my experience from 2nd week June 2019 with a family",NEAL S,/Profile/neals231,Bangalore,10
pauri-garhwal,"I will highly recommend to all those people who want to go and visit a resort at amazing location in the valley of nature..... amazing rooms , fantastic food quality was provided ... we were 5 families and resort staff was very nice and friendly .. I really loved the place !!!!  <<<< FULL PAISA VASUL >>>> HIGHLY RECOMMENDED IN GREAT PRICES",Sarthak J,/Profile/SarthakJ61,,50
pauri-garhwal,Me and my family went to this resort in Rishikesh for a weekend getaway and it was literally the perfect place as far as we could imagine. The rooms were clean and nice and the service too is really good. Must visit if you're looking for a peaceful get away.,arpanmehra,/Profile/arpanmehra,"Mumbai, India",50
pauri-garhwal,"Very worst location , for old people and handicap it is really tough to cross that area it was not like a resort. I have never seen like this resort I was very ugly staffs were not so much good            Don't choose that resort ",Montu J,/Profile/montuj2017,,10
pauri-garhwal,"As excited we were to stay in a camp, all our excitement went into drain the moment we stepped in this camp. First of all it's so far from the main river and city. It took us more than 1 hour to figure out the location but on website it was mentioned very conveniently located. Secondly it is not maintained very well. The kitchen and food area was not even close to be called clean. Their sales manager Mr Ashish Rawat and property manager Mr nitin were very cordial over the call. But since we decided to not to stay put in this resort and we had done full advance payment we requested them to refund atleast half amount. But all in vain, initially they agreed to refund some amount but even after multiple follow up calls we have got no response. In short it's a horrible place to stay.",shipravjain,/Profile/shipravjain,,10
pauri-garhwal,"I visited this resort in July, 16 for one night. The resort was located very far from the main city and it took around 1/2hr to reach there from the city. The rafting and stay package was provided for a decent price of 1200/- per person including lunch, dinner and breakfast. The resort has eco tents which are quite comfortable... The food tastewise was amazing.. In the evening there was an arrangement of bonfire along with good food and music.. overall a must visit place....",Vikas G,/Profile/VikasG68,,50
pauri-garhwal,Good team with cordial nature.wonderful experience. good going.the total abience was super cool n the best part was the swimming pool where we had couole of drinks n evening snacks......bonfire with live music made our day...,yogtree1,/Profile/yogtree1,"New Delhi, India",50
pauri-garhwal,"I chose a ""Camping & Rafting - 1N/2D package after talking to Mr. Nitin Gupta (Owner Of Second Life Resort)  on phone. I would start with the things was their in our package As per Mr. Nitin Gupta and same mentioned on the website as well.  Accommodation + 3 times Meal + 16km Rafting + Tracking (Patna waterfall)  - Accommodation : We were 6 with 2 children, so chosen 1 Royal Bamboo Cottages + 1 Executive Luxury Suite (Suggested By Mr. Nitin Gupta) the benefits were told, attached bathroom with 24hr electricity, water & Wifi facilities. But during our stay power supply provided hardly for an hour in whole day and worst part was the water supply..... there was no water in the both bathrooms, we couldn't bath for 2 days and our tour ended with out bathing at resort... they provided",mishra1813,/Profile/mishra1813,"New Delhi, India",10
pauri-garhwal,Went with friends at this place on a weekend..... Positives- Located between hills; quiet and far from noise;music at night makes ur mood; Negatives-too far from town;no eateries nearby;gets real hot in d afternoon with only a fan for 5 beds in a single room;,kmanish08,/Profile/kmanish08,"New Delhi, India",30
pauri-garhwal,"We had an amazing experience at Second life resort. I strongly recommend a visit Second life resort food, fun and stay. The facilities at the resort are nice. We really liked the hospitality of the resort staff.  Rajkumar (Hindustantimes)",raj k,/Profile/rajk520,,50
pauri-garhwal,"We were 11 people (girls and boys), co-incidentally we reached to Second Life Resort on the day of Holi Festival and we were surprised to realised that there was a Party. We had loads of fun. The staff was great, food was good and the best part was it was so close to the little river that we could easily go there and enjoy. Nitin (Resort owner) and his wife were a great host along with the boys. Thanks",AnonymityS,/Profile/AnonymityD,"Jaipur, India",50
pauri-garhwal,"trillfull adventurous beautiful place to go with your family & dear ones. location excellant with lots of hill,river mountains, waterfall near by with good service. special thanks to mr nitin for making our visit really unforgetable along with his dear persons & people.",amee999,/Profile/amee999,"New Delhi, India",40
pauri-garhwal,"excellent service really helpful in all manner,children was enjoyed a lot.it is near by river very neat & clean ready to help for anything good staff, nice amenities, good experience, try to feel the experience  shibu 9911234293",shibuks,/Profile/shibuks,"New Delhi, India",50
pauri-garhwal,"Surrounded by mountains,  and river.  A very rare resort to find.  Staff and owner was very helping they will take care for you in every possible manner.    I booked a package for rafting plus camping,  and they offered my it for a very good price.  Just take a note if you are not traveling with you own  vehicle you will have to pay a good amount of money in transportation form rishikesh to camp.  Otherwise there is no issue with this.  Food is good and swimming pool adds charm to this beautiful place. ",Abhishek A,/Profile/abhisheka557,,50
pauri-garhwal,"I visited the camp in June and the camp is located away from the main Ganga river. You will see a small river stream by the camp side which you can cross easily as it has only ankle deep water. The camp has good options of sports as it has badminton, volleyball, cricket, football however there is no adventures activity in the camp. The only adventure you will feel is when you visit the camp from the main road as you have to trek down the hill to reach the resort. The camp is not very big and has almost 10 tents. The camps are good with attach bathroom. The camps are fitted with the standing fans and you have electric sockets to charge your phone also. You will also see a small pool in the middle which is also a plus point as it has Ganga river water in it. The food is good as",Rahul Sharma,/Profile/sharmarahul89,"New Delhi, India",30
pauri-garhwal,"Well what shld I say everything has some positives and some negatives . So let's start with the positives: pretty large area with swimming pool,where u can play badminton ,volleyball. Food was decent enough ,but they shld start dinner in time in our case dinner was served after 10:30 PM. Then there was a DJ that played music that people can enjoy. Gud place for corporate get togethers. And if u want a camp with attached washrooms they do provide those too.The best part was the owners pet dog Sherry he was so cute. Negative points : very far from shivpuri,u keep on going and going but this place never comes. No river around it,they don't provide transport facilities to commute so if u don't have ur own conveyance then it's not possible to roam around . If u guys want to enjoy a",Rahul Bhalla,/Profile/RahulBhalla,New Delhi,30
pauri-garhwal,"We have stayed in Second Life Resort with my family & office colleague on April'15. This is very beautiful camp. I have visited so many camp in Rishikesh, but main thing you can get here that is peaceful, very close to nature and fantastic food which you will not get at all beach camp nearby Sivpuri. This is located at Jogiyana village, the area is very peaceful. The all staff of the camp is very friendly & helpful. All food provided by the camp is awesome & hygienic. You can walk all around the camp/village & can see loot of unknown bird & peacock, also you walk over the small hilly river which will make your mind fresh. Over all stay at Second Life Resort was perfect weekend.",BiplabDelhi,/Profile/BiplabDelhi,Delhi,50
pauri-garhwal,"We stayed here as part of our team outing. The place has decent tents (2 categories) and is right on banks of the river. They have all necessary items for a camping adventure. Mobile signal can be weak - so do not depend on it. Carry mobile power bank chargers. Adequate arrangements were made for meals (somewhat rustic, but that's what you look for at a camp). There are dry toilets - so carry tissues and sanitisers.",indiavoyager,/Profile/indiavoyager,"New Delhi, India",40
pauri-garhwal,The place is about 7-8km away from Rishikesh.. It is much better compare to other tents accommodations in Rishikesh / Shivpuri... Excellent food.. You will love the sound of birds & river flowing besides the tents..,BhaveshMehta86,/Profile/BhaveshMehta86,"Mumbai, India",50
pauri-garhwal,Location and around areas are good. Property is well maintained. If you looking for luxury then choose swiss tent & bamboo cottage. Executive tents are not suitable for everyone. Staffs are really cooperative. Food quality of non-veg has to be improved. veg food is good.,aashishsahrawat,/Profile/aashishsahrawat,"Greater Noida, India",40
pauri-garhwal,"Second life resort is an amazing property enclosed within lush greenery and on the banks of a tributary of river Ganga. I visited here with eight friends in start of November 2013. Personally, this is the best time to visit Rishikesh as its least crowded which eventually leads to better hospitality and more peace of mind. Patna Waterfalls are nearby, around 5 km, is a must visit spot. It involves a steep trek of 2.5 km (one side) which is a bit tiring if you are not used to physical work but its totally worth it. You will realize that once you reach at the top and have the beautiful view of waterfall pleasing your eyes :).  The property has a swimming pool in its perimeter, although non functional in off season but this is something you wont find in most of other camps. The",ManujG,/Profile/ManujG,"Gurgaon, Haryana, India",50
pauri-garhwal,"Its has everything that you would expect from a tent accommodation- attached clean bathroom and WC, clean rooms, water flowing next to your tent, mountains, forest & good food. This hotel was recommended by a friend and it surely didn't disappoint us. The resort is placed very close to Jumping heights so your dose of adventure is also very close by. They also arrange a campfire in the evening and provide delicious snacks. They also arranged rafting for us and it was fun.  Now coming to the couple of downsides of the resort since its located in Rajaji National Park you cant be out till late. The gate of the park(about 8-10 kms away from the resort) closes at 8pm I guess and you have to be inside the gate by then. Though the staff is very friendly; its managed by young guys and",Priyesh10,/Profile/Priyesh10,"Mumbai, India",40
pauri-garhwal,"Planing a trip for a vacation when you have spent the last two years in a metropolitan, is a difficult and crucial job. You have to make all the right decisions otherwise you are going to sulk for another year before you can get away from work for a break. :)  And we made one hell of a decision when I along with my friends decided to visit Second Life Resort for a reunion. It is a perfect holiday destination providing an excellent mix of relaxation with adventure to nourish your soul back to health (which probably has been sucked out in the corporate world).  We were a group of five, all in our mid twenties, looking for some time away from the maddening city crowd. We wanted to enjoy but with a peaceful mind and that is exactly what we got. Sitting in the laps of the mountains",Adilkhan_209,/Profile/Adilkhan_209,"Bengaluru, India",40
pauri-garhwal,Its one of the best adventure spot....every thing about second life life resort is special....the food...the accommodation....the river....the atmosphere...and what friendly people...me and my friends had the most interesting holiday ever...I'll be definitely coming back again every year...,Mohsin131217,/Profile/Mohsin131217,"Dehra Dun, Uttarakhand, India",50
pauri-garhwal,"The site was really awesome and unique. It was around 13kms far from the Laxman jhoola . It was surrounded by the Mountains & forest.This tour adds several amazing memories in our life.  There are lots of leisure and adventure activities which someone can fully indulge into completely besides the white water rafting. Rock climbing and trackking are some of the activities which give genuine and nature’s taste to the visitors, Jungle walk, bird watching, natural and wild life photography and angling are some of the other activities which the visitors can explore and have fun and excitement as they set their plan to visit the Secondlife Resort.  Our best  treat was the pool volley ball game we that we enthusiastically took part at but saluting the game spirit we never cried on our",samayraa,/Profile/samayraa,noida,50
pauri-garhwal,"I think my title says it all! What an experience! If you truly want to connect with nature then there is no better place than Second Life Resort in Rishikesh. The food was delicious... The staff was friendly... The service was amazing! The swimming pool was Awesome! The river flowing next to the resort looks mesmerizing! I had gone there purely because I wanted to try river rafting, but ended up discovering so much more at this beautiful resort! This is a great place to visit and enjoy with your family and friends!",RonakSheikh,/Profile/RonakSheikh,"Bangalore, Karnataka, India",50
pauri-garhwal,"I didn't know much about this place and had little expectations when we went to it. I have to say it was an excellent decision to go to Second Life Resort. A quiet place but with a lot of adventure. The food, service, hospitality, everything was top notch! Next to a river bed, the view is amazingly beautiful. I was there with my family and had such an amazing time that I plan to visit again next month with my friends. Totally worth the money!! :)",ayeshaRonak,/Profile/ayeshaRonak,"Mumbai, India",50
pauri-garhwal,"One of the worst experience at any resort I have ever been. the food was pathetic...no time to serve the food...u get thanda pakoras as snacks at 8:00PM and dinner with one food item with excess salt and other without it at 10:00 pm. The common area is very close  by the executive rooms..so please dont opt for it. You will be listening to blaring music till 11:00PM if you are looking for a quite getaway. Also, if Ms Suhaani promises you that rafting starts at 8:30 AM in the morning..beware..it will not start before 12:30 PM ...also dont expect much for breakfast and lunch....There s no scenic beauty near the camp...thin stream of dried river with some pebbles...if you are looking for white water rafting experience please DONT go to SECOND LIFE RESORT...it will take away remote",wanderlust0091,/Profile/wanderlust0091,"New Delhi, India",10
pauri-garhwal,"Don't know where to begin, and once I do .....don't know where & how to start.  For all that and more, one first has to find the sign which tells you of its location (there is one sign-board & that too hidden behind another). The food would be a welcome change, if you love the dishes they serve you in hospitals..... Evening snacks is cold oil drenched pakoras, and that too is served just before dinner.  Co-ordination between the rafting bit and the resort is nil.......as they do not have their own rafts; and they have no staff that accompanies you to the point where there is a supposed pick up arranged (again supposedly) to take you for rafting.  In short, everything (and I assure you I have been lenient) from the moment one arrives at the camp till the moment you get picked up",Abhishek R,/Profile/eKranti,"Bidhannagar, India",10
pauri-garhwal,"It was an extremely satisfying experience. Location: Exotic Outskirts of a remote kumaoni village (nothing like the modern villages of Haryana and Punjab). Next to a river bed that has less water than the main Ganga river and between majestic foot hills of himalayas...WoW. The location was good for us as we had small children and we could be a little less worried about the children falling in to the river all the time. Service: Very personalized service, the staff im mostly local so you get a feel of a farm house at times. Food: Nothing like a hotel although is very close to home cooked food. Make sure you let the staff know of any dietry requirements in advance as they will cater to your special needs. I have to mention the snacks that flow around the bon fire in the evenings.",chiavs,/Profile/chiavs,"Melbourne, Australia",40
