location,review,name,user_profile,userloc,rating
pauri-garhwal,"GMVN has this heritage property at Top of the hill in Lansdown, the nearest hill station to Delhi. It takes just 4 hrs from Delhi border to reach. Drive from Kotdwar onwards is scenic and a pleasure. once you reach Lansdown and Check in GMVN wooden swiss cottages its a wonderful experience. A minimum of 2 to 3 nights stay is recommended to enjoy the beauty of the forest, calmness, sounds of breeze, birds and trees. One can visit this place round the year.",Anil J,/Profile/598anilj,"New Delhi, India",50
pauri-garhwal,Manager mobile number for tip n top is 9568006671 so peaple please come here to feel memorable days and you sure get peace fabulous view which is seen from lawn of tip n top resort gmvn and don't forget to cantact,sonukumargautam56,/Profile/sonukumargautam56,"Najibabad, India",50
pauri-garhwal,"This GMVN hotel is located at a vintage location , very well maintained and is the top place to stay in Lansdowne. From here the view is magnificent and is located a bit away from the main market. Excellent Huts are there for staying and other facilities of Resort are also there.",1969atul,/Profile/1969atul,"National Capital Territory of Delhi, India",50
pauri-garhwal,While searching for the hotels in Lansdowne with amazing view I found Tip n top to be an amazing getaway but earlier I was a little sceptical about choosing the same. Yet I decided to go for it and thankfully I am more than just happy. I got awestruck by the view and how well maintained the hotel premise was. Well behaved staff and amazing host Mr. Nanda Purohit made us feel like home away from home. Food was amazing too and what amazed us was the unbelievable hotel property and how well furnished the room was. I highly recommend everyone planning to travel to Lansdowne to surely come here and have an amazing getaway in the woods.,Traveladdict,/Profile/Traveladdict199524,,50
pauri-garhwal,"If you are visiting Lansdowne for vacation, Wooden cottages and huts should be your first choice at Tip N Top resort. Situated at the perfect place, surrounded by awesome lush green hill views and amazing ambiance. Cottages are made completely of wood with special care for comfort. Service is also good. Amazing food at very reasonable prices. Staff is also very helpful.  In case of booking online, book three days in advance as they stop taking bookings later.",Sandeep,/Profile/sandeepsokhey,"Gurugram (Gurgaon), India",50
pauri-garhwal,"This is my first ever visit to Lansdowne and literally I am addicted to the mesmerizing view of this hill city! Though I am already a proud pahadi from Dehradun, yet this place has rejuvenated a more intense pahadi feeling inside me. This weekend cannot be planned so better than traveling to Lansdowne via Kotdwara. The restro is located at the top hill, probably the last stop of Lansdowne. You will witness an intense deep fog, clouds, chilled wind, naughty monkeys and a greener hills all around. The restro manager Mr Purohit has guided us well in selecting the best cottage to stay in. I highly recommended you to try Garhwali Food there- kaphli, kadhi, jhangore ki kheer & many more in the menu. The environment is so chilled that you will forget that its summers going on. Forget",Rashmi Kanti,/Profile/DehradunFoodBlogger,"Dehradun, India",50
pauri-garhwal,"This is the only property at the highest elevation situated at Tip in Top (a view point for sunrise). You can watch the sunrise from your cottage with an amazing view of the Himalayan range if the sky is clear. At some 500m , there is a view point for sunset as well. All the facilities are available here with ample space to roam around. A truly beautiful and peaceful place to take a break from the monotonous city life. Great for all age groups. The only problem in Lansdowne is of conveyance. Taxis charge as per their wish and almost unavailable post 7 pm on road. So it's better to get your own cab or do the booking in prior.",Singh.singh,/Profile/Travellerhill112,,50
pauri-garhwal,This is a must stay for people visiting Landsdowne. My suggestion is try and stay at least one night if your pocket doesn't allow more. The resort is located at one of the three major tourist spots of Lansdowne. You can experience the sunrise and sunset from your hotel and see the entire mountain range and clouds right from the hotel room.  And if good food and friendly staff is added to the mix it becomes a perfect vacation.,Nidhi Gupta,/Profile/Means2Madness,"New Delhi, India",50
pauri-garhwal,"We stayed here for two nights in Super dlx room , beautiful location with clouds entering in the room . Location cannot b better then this in Lansdowne . Staff was so cooperating nd adjusting . I wud love to go there again with my family . Family rooms have better view then any other . Although the whole campus is well maintained . Will go there again .",coolnoida,/Profile/coolnoida,"Noida, India",50
pauri-garhwal,"Stayed in GMVN Tip n Top Resort for 2 days. Serene is what I can say about the place. Carrying the tag of govt. enterprise, it is still managed in a very professional and hospitable way by Sh.Purohit (Manager). We were 2 families with kids and stayed in Family suite which was very comfortable. Apart from 2 bedrooms, the living room also has a Sofa cum Bed arrangement which can be used appropriately. The food served in restaurant is freshly prepared and good. near to Tip n top & Sunset point. I recommend this property",NeerajGGN,/Profile/NeerajGGN,"National Capital Territory of Delhi, India",50
