location,review,name,user_profile,userloc,rating
tehri-gharwal,"If you want to be in a location that, while being near civilisation, still has this 'middle-of-nowhere' feel to it, then this is your pick. Excellent location + great guest service ensured our holiday was fabulous :)",chait123,/Profile/chait123,"Mumbai, India",40
tehri-gharwal,i found no negative point in this property. location best. from here one can see artistic Hills and valley. Manager and staff are cooperative. food is good. there is little open space for kids too. recommended.,Ramesh Rai,/Profile/rameshrrai,"New Delhi, India",40
tehri-gharwal,Very bad attitude by the hotel staff who was there to book my reservation...very very bad experience..I paid 1000 as advance money by Paytm and also confirmed that in case of any issue it should be refundable and staff (Vinod) was agree. But now the staff is not picking my call and not responding. If you choose this hotel make sure to discuss this otherwise u can seriously face troubles. I have very bad experience and I will make sure to spread this feedback everywhere.,Sanjeev K,/Profile/SanjeevK1261,,10
tehri-gharwal,"I would like to highlight the location of this resort - away from the crowd, in the lap of nature. The views from the resort is beautiful. On top of this, I would like to mention the hospitality of the staff. We received good accommodation. The room was spacious with adequate amenities to beat the cold. And if one enjoys well-cooked homemade like food, then this will be worth trying.",Aniruddha D,/Profile/142aniruddhad,,50
tehri-gharwal,"U will be amazed by the lovely Himalaya view from your room. It's bliss. Good rooms , Great food. Lovely coffee. heater provided in rooms. Awesome barbeque ...lipsmacking in the chilling cold. Superb service. The manager himself looks personally that the guest are comfortable.",Sangeeta,/Profile/sangeetalakhani,,40
tehri-gharwal,Nice cottage with clean rooms. The place is calm and peaceful. Staff were friendly and provided good service. It's not a luxurious place but provides good value for money. Enjoyed the morning walks around the place.,Manoj G,/Profile/ManojG1094,"Bengaluru, India",40
tehri-gharwal,Cottage was very beautiful...location was awesome... food was great ..Staff was very nice and fast service....the only negative thing was there was network issue...If you are planning to travel this place make sure you have BSNL sim card with you to stay connected....Overall it was an awesome and peaceful stay...,Mandvi S,/Profile/MandviBhardwaj,"New Delhi, India",40
tehri-gharwal,"Stayed there for a night in Two Bedroom Cottage. There was a living area in the cottage connected with the two bedrooms. Both the bedrooms have attached toilets.  Rooms were clean and very spacious. Bed was very comfortable as well. Beautiful view from the balcony and room window were very refreshing.  Resort has many more things to offer like Play activities, Camp Fire, Observation Deck.  Staff was very helpful and polite. Food was good and freshly cooked.  Do carry enough cash while visiting these hill stations as ATMs are very far from Dhanaulti (Either in Mussoori or Chamba). The two ATMs in Chamba were empty. Most hotels and Resorts ( Almost all ) accept only cash payment here in Dhanaulti. Thankfully staff on both our resorts was really helpful.",GauravDhaka,/Profile/GauravDhaka,"Noida, India",50
tehri-gharwal,Had relaxing time in resort. Though this is not a luxurious property but nice place to spend lonely and relaxing time with family. Good lawn for open sitting and bonfire. Staff is very helpful. Food is good. Good view of Himalayan range. Suitable for group of 2-3 families.,VijayBansal,/Profile/VijayBansal,Delhi,50
tehri-gharwal,"It is not a luxurious hotel, but, is very calm and fresh. The staff are helpful. A few of the rooms are a bit small, but if you can get a family room, slightly larger, then it is totally satisfactory. The breakfasts are good, and economical, not exciting or a great deal of choice, but enough to give one a good start to the day. Don't forget to visit Eco Park when you stay here, the place is 5 minutes from the hotel. I would visit the place again, it suits my purposes, location is great and it is comfortable.",hemant d,/Profile/936hemantd,,40
