location,review,name,user_profile,userloc,rating
kangra,"Beautiful and relaxing property. The view of the mountains from the terrace is awe inspiring. Mr Sanjay who is the owner and retired from the geological survey of India is very helpful and a gracious host. It felt like we were with friends rather than a hotel. The staff are excellent. Fireplace that you can lounge around , yoota room with a view of mountain peaks , excellent food. What can I say. The best place to be  in dharamshala ",rohan m,/Profile/rohan63,"New Delhi, India",50
kangra,"We stayed here for 5 days with family of four in a suite . First of all everything has been taken care by Mr.Sanjay with personal touch . We never expected such excellent hospitality in Dharamshala . It’s basically a bungalow turned into a boutique guest house which has combination of both Hotel & a guest house . Yes prices are on a higher side buth worth every penny spent in here . The only negative would be it’s distance from McLeodgunj as all the main attractions are in McLeodgunj, but having said that we explored the city enough to figure out that despite being main city attraction McLeodgunj doesn’t offer such pleasant stay ins , it’s also over crowded and overpriced we felt .   Dear Mr.Sanjay : Thank you for a wonderful experience and we will definitely come back to same",Shantanu S,/Profile/422shantanus,"Bengaluru, India",50
kangra,"Great Hospitality with wonderful place to spend time, the room and all other amenities are well maintain with touch of local tradition, mind blowing arts pictures every inch of interiors. me and my family had great time.... thank you to Divine Hima and Sanjay.",Thanga P,/Profile/thangap2020,,50
kangra,"A wonderful place to spend your time. If you love art it's a place you should visit at least once. Awesome ambience with a variety of cuisines served for the meal. It has seven rooms, overlooking beautiful Dhauladhar ranges if you are looking for staying.",MadEye Moody,/Profile/Heisenberg_Werner,,50
kangra,"Exquisite attention to detail and nothing left to chance, my brother and I had an outstanding experience at the Divine Hima. This boutique hotel is clearly a labor of love evidenced by its impeccable design and decor, both inside and out. Our warm welcome started at the airport and continued on throughout our four day stay. Our room was warm and spotlessly clean, as was the entire establishment.  We loved all our meals (the local dishes! the fresh orange juice!) and the staff was kind and professional at every instance. The owner, Sanjay, frequently checked in with us and curated a perfect daily itinerary taking into account our interests and the weather. The driver and vehicle provided were exceptional. Sanjay and his staff deserve the highest praise for creating an unmissable",Anne313,/Profile/Anne313,"Albany, New York",50
kangra,"There are some nice places and then there are the extraordinary, the ones that have been created with the heart and soul and The Divine Hima is one of those. It is not a hotel, it is a haven for the traveller to rest and replenish within a tranquil setting full of loving kindness. Sanjay, the owner and his staff treat you like a long lost relative coming back after a certain absence. Nothing is too much trouble for them. Your comfort is their priority and it is done with warmth, happiness and real genuine care. The rooms are very comfy, beds are like sleeping on feathers, showers really hot. I particularly like the fact that solar panels have been installed for electric usage and that the environment is a concern the hotel has thought about. The restaurant has food to die for.",NathalieBaron,/Profile/NathalieBaron,"Royal Tunbridge Wells, United Kingdom",50
kangra,"The Divine Hima gives you all the home comforts with five star service.Beautiful rooms ,great service,delicious food and perfect location. The owner Mr.Sanjay Kumbkarni has a fascinating collection of photographs and unique decor items gracing the hotel.His personal advice helped plan our sight seeing to a T The staff are helpful and courteous.Sanjeev amongst the wait staff was very accomodating and ensured my child got her favourite  breakfast item. The car service  by the hotel was extrordinarily pleasant and Mr.Sanju was there with us for three days of day trips in comfort. The hotel has a wide range in its menu and the veg thali (kangra dhaam) is specially recommended. Loved the sizzling brownie too. The view from the Pin Parvati pass family suite is beautiful and the bird",dramritamisra,/Profile/dramritamisra,"Malda, India",50
kangra,You would be nuts to overlook this gem. A unique boutique hotel with the most extensive and creative international menu I have sampled in this area. The food is fresh and delicious . The staff friendly and kind. The dining areas are full of striking photography and interesting artefacts . If you can reserve the lounge area with open fire you are in for treat.,James M,/Profile/jamesmV2599ZK,,50
kangra,"Tucked away in the precincts of the Norublingka Institute and Monastery, it is easy to miss The Divine Hima. But for a wooden board that announces its presence quietly. A pathway that is just enough for an SUV to manouevre through and we are into the modest parking lot of this boutique hotel that we have booked into on the recommendation of a friend who couldnt stop raving about it. We look around. Is this the same one? Was our friend over optimistic? Then we spot a pathway leading onwards and we follow it dutifully. A sign says we are almost there.  We cant help feeling we are on a treasure hunt! Another sign: Get suprised! And we gingerly open the heavy wooden door that is perched atop a short stone stairway laden with plants in interesting pots including a worn out",Sharmila B,/Profile/811sharmilab,"Mumbai, India",50
kangra,"this weekend stayed with family having two kids. very very clean rooms...excellent washrooms with nice toiletries.Food was superb!! You ask it and they have it !!staff was very polite. The photographs in rooms and all over the hotel are excellent...Family room with fireplace is heart of the place.Mr. Sanjay the owner,is a great person who takes personal interest in making guests comfortable...great place to stay !!",namrata madan,/Profile/namratam138,"Ambala, India",50
kangra,"We stayed at this place from 26th to 29th December 2019 with my family including 7 yr old child.  Overall 5 star experience starting from place,  view,  behavior of all staffs,  food and ambiance.  We choose Dharamsala because of cleanliness,  proximity from Airport and the natural beauty ",Dr. Abhijit Misra,/Profile/drabhijit2018,"Malda, India",50
kangra,"We visited this place for dinner . It has an aura of exclusivity with interesting signboards like 'Get Surprised'as one walks the way up to the property. I must say it has been built with a lot of passion by the owner Mr Sanjay Kumbhkarni, a former geologist. The decor is unique ,almost eclectic with lots of interesting photographs clicked by Mr Sanjay,soup spoons as wall decor ,boots used for growing plants,ropes used on staircase railing being few examples ....two walls were lined with pickles of all kinds including exotic ones like tardi,mahasheer fish,kachnar pickle...1 tasting free,INR 250 for 250 grams if one wants to purchase.We tried kachnar pickle which is a himachali delicacy.  They serve a wide array of cuisines including Japanese ,Tibetian ,French and",Anika,/Profile/64anikas,"Navi Mumbai, India",50
kangra,"We selected the Divine Hima for our stay, thanks to reviews in TA. Bang on! our choice was better than we thought. Mr Sanjay, the owner, who has developed this place like his baby, ensured that our check in was very smooth. We felt at home as soon as we entered our room Parang La. Great ambience, cosy environs, attic with bunk beds for kids and to top it a balcony with view of the mountains...What mote you want at a hill station. The entire property showcase and celebrate nature through various snaps clicked by Mr Sanjay..a treat to eyes for sure. Coming to food, no words to describe..absolutely  sumptuous and served fresh. The fireplace is an added attraction and kids enjoyed it thoroughly. The staff very courteous and smiling always. Not to mention more than 30 varieties of",drkakkar,/Profile/drkakkar,"Chandigarh, India",50
kangra,This hotel is good to just see but not stay. We faced so many issues and our stay and trip was completely spoiled. No proper heating arrangements in the hotel. We were shivering during dinner as there was no proper heater. Food was too pricey and was not good. NO HOT WATER in room. We could not take bath due to this in the morning. We complained so many times but no one helped. The breakfast was not available till 8 am in the morning as cook was not available. I booked this hotel looking at reviews. But don’t get misguided by the reviews. Its not a good hotel to stay.,Shraddha A,/Profile/461shraddhaa,"Thane, India",10
kangra,"On paper, the Divine Hima is a boutique hotel and when booking it, one expects that some compromises typical to a boutique hotel will be required. But one conversation with the owner Sanjay Kumbhkarni should be enough to set your mind at ease.  Everything about the Divine Hima is top of the line. From their service, their cleanliness, the quality of everything used to run the place, the expansive menu and the wonderful food, it's a challenge to find a flaw. And all this while retaining the flexibility and warmth of a home.  From the time we landed, to the time we landed to the time we left, everything we needed was taken care of. As for our itinerary while we were there, before we arrived Sanjay had assured us that the itinerary was his responsibility and he would ensure we saw",Rajiv S,/Profile/thefamilytravelogue,,50
kangra,"My family and I stayed at the Divine Hima for 2 nights, although we all agreed we were definitely sad to have not stayed there longer (would recommend at least a week!)  The service, food, surrounding views and most of all, homely feel of the boutique hotel were all complete stand outs for us and we will definitely be returning for a longer stay in the future.  We were also happy to have met the owners of the hotel, a warm and welcoming family who made us feel very comfortable throughout our stay.  We wanted to give a particular mention to the restaurant at the hotel which makes everything from scratch. In the morning, expect a very generous breakfast and in the evening, an extensive yet incredibly thoughtful dinner menu accompanied by friendly and efficient service, we didn't",Tanisha Dadar,/Profile/TanDadar,"London, United Kingdom",50
kangra,"On the way to the Hotel from the main gate you will see a small plate fixed on the wall saying ""Get Surprised.!"" And you will start thinking, what sort of surprise one should expect walking thru the narrow path to the hotel. But...but...but......I must tell you, you will get spell bound when you enter the main door. Everything beyond those doors that you see, you feel and you eat will be an absolute SURPRISE. Interesting interiors, delicious cuisine and homely feeling thats what you get here. Owner Mr. Sanjay Kumbkarni is a multi-talented and a very humble person. You will realise this and more during your stay. Rooms and washrooms are maintained very well. Every piece of artifacts is interestingly placed. All the picture frames clicked by Mr. Sanjay are masterpiece tagged with",Jay Tailor,/Profile/JayTailor,"Vapi, India",50
