location,review,name,user_profile,userloc,rating
almora,This resort is actually located in Micholi near Ghatti Bhatrojkhan . A serene hill side with full view of the mighty himalayas with clear skies and far from the madding crowd. The resort we stayed was Essence of nature was very cosy and the staff very cooperative. The hill side is full of birds and trekking is a must. A view of khaleez pheasant and red billed blue magpie around is common. The place is situated around 80 km from lalkuan between Ranikhet and Corbett. The weather was fantastic and the 4days of stay was memorable There is an old temple the Ma Bhona devi temple at the top of the hill which can be visited after a short trek. The river Ram Ganga flows silently behind the hill.,manisankarbpl,/Profile/manisankarbpl,"Kolkata, India",30
almora,We really enjoyed our stay in this place and had a very useful visit to Jim Corbett Park. We were extremely lucky to spot a tiger also. The food here was delicious and their service was courteous and personal. Amolak Rattan Kohli  Former Governor of Mizoram ,A R Kohli,/Profile/Traveltolexcel,"New Delhi, India",50
almora,"1) The service was terrible . Had to call at least 3-4 times for any help . Very casual attitude of the staff  Worst thing is that you cannot call anyone as there is no network    2) The route for last 3-4 KM's was really scary . In fact there was no road only . It was a pain  3) No facilities for senior citizens So I would recommend not to take senior citizens along with your cells as it would be really boring for them and there are so many stairs , so it's difficult  4)Food was Pathetic and expensive too for the quality of food  5)Lastly the attitude of manger was very casual. He did not change your room as we also showed him that they were cockroaches in the bathroom but he didn't agree.  so I would strongly recommend you not to visit I would have seriously 0 star if there",Sunil,/Profile/solotraveller1665,,10
almora,"1) The service was terrible. Had to call at least 3-4 times for any help. Very casual attitude   2) The route for last 3-4 Kms was really scary . In fact there was no road only . It was a pain  3)No facilities for Senior citizens So I would recommend not to take senior citizens along with yourselves as it would be really boring for them as it’s really steep so it’s difficult .  4) Food was pathetic .  5)Lastly the attitude of the manager was very casual . He did not change our room as we also showed him that there were cockroaches in the bathroom,but he didn’t agree  So I would strongly recommend you not to visit . I would have seriously given 0 star if there was an option.  ",Sunil,/Profile/sunilayu,,10
almora,"The resort was beautiful and same as shown in pictures had an amazing time with family. We visited twice (May & June 2019)  ""Essence of Nature"" by EON. Our carving was not fulfill while visited for two nights in month of May again we have planned in June for five nights it was an amazing experience had a best holidays ever. The rooms were very clean and comfortable and the most important is the view which was ultimate from the balcony. I would like to thanks the sportive staff  specially Mr Sandeep, Mr Rana, Ms. Meena & Ms Tara. Need to improve the 3 km passage which may be scary for some of the visitors but we enjoyed that ride.",Devesh Sharma,/Profile/Sunshine_Dev,,50
almora,"I stayed at EON for over a weekend and had an amazing time. The resort was beautiful, the rooms were comfortable and the view was good. There were a lot of fun activities. The staff was well mannered, the manager was extremely nice and helpful. The food was delicious and the service was good. It was overall a great vacation. Ideal place for a family time out.",Rachna,/Profile/Rachna139,,50
almora,"Went to stay with family earlier this month. The resort is beautiful, the view is breathtaking as well. The service was incredible, everyone was nice and respectable. The food was good. Great place to stay with family and be close with nature. Would definitely visit again soon.",karnika,/Profile/karnikaaa,"New Delhi, India",50
almora,"Recently we have visited EON and had one of the worst holiday experience in my life. Summering our experience as below -    1. Attitude & Behaviour of Sr,Manager and staff was terrible 2. Last 4 KM road to EON is quite risky, it is almost putting family to risk.  3. Price of food  and beverages is way too expensive as per the food quality. 100% monopoly at EON as to get anything we'll have to travel 10Km down on the risky road.  4. In our room we have found the used bed sheet and towels and need to convince staff to change the same. No proper toiletries. Totally unhygienic !!   5. Room is very smelly, Room service is pathetic  6. Overall we had very bad experience.",Prabhat,/Profile/rajvanshi69,,10
almora,From the NH 4 km stretch to resort is very dangerous scary and very narrow unsafe road how govt allowed this resort to operate with such narrow photo are completely misrepresented as it like a ghost house alone staff is very rude no one is from hospitality industry looks normal house hold maids and servants are there if u order anything  will reach to u less than 1hour and that too after so many reminders it very unsafe for family no icecube available it better to live in jhuggi to have a better experience,jainashok33,/Profile/jainashok33,"Varanasi, India",10
almora,"Very very excellent resort,rooms are very very excellent & view from rooms are too beuti ul.staff also too good cooperative specifically one day before of my booking call come from resort from meena mam & till i rech they contiously give direction how to  come in short route to reach resort",Rahul S,/Profile/rahul_shah99,"Mumbai, India",50
almora,Had a amazing experience getting my trip organised with them. Property was situated in lap of Himalaya. Million of thank to EON-R team to make my trip memorable. staff was really cooperative  and very friendly.,pooja,/Profile/pooja121007,,40
