location,review,name,user_profile,userloc,rating
uttarkashi,"Ac Rooms in New building are great interms of interiors, space, cleanliness and bathroom . Reasonably priced, you'll get the cozy feel while staying over there. Ample parking space, Restaurant where you have tell them in advance to prepare food. Overall you can say its worth. Suggestion- Book rooms in new bilding only whether AC rooms or Super deluxe.",NISHANKSAROHI,/Profile/NISHANKSAROHI,"Uttarkashi, India",40
uttarkashi,"This property needs severe attention in terms of management and maintenance. The staff here is like a disease which will not let this property survive. There's no concept of service. Poor quality linen, stained towels, stale food, pathetic housekeeping summarise my stay here.  You would find most of the staff roaming around with their fingers up their mouth trying to spit out tobacco or up their nose. They consider hygiene overrated :).  The hotel run restaurant is managed by extremely arrogant folks who never hesitate to charge you for food you did not eat. Yes, please check and double check you bills before paying. GMVN should strongly consider changing all of their staff here to improve their services.",TIng C,/Profile/TIngC497,,10
uttarkashi,Got old complex and new one.please make sure which type of room is located in which complex .old complex seem more like horse stable.absolutely avoidable.restaurant food is barely passable.service is non existent,vivek k,/Profile/vivekk1494,,30
uttarkashi,"TRH Uttarkashi is now known as Bhagirathi Tourist Complex. But not just the name, property itself as added a lot of glitter to it- glitter in terms of comfort and facilities. Although you would have wished that the interiors could have been done in more ethnic way but nevertheless it has got more comfort than you can expect from a government property. Staff is good natured and helpful, food was very good. They were courteous enough to provide us a warm and fresh food when we were very late to reach past midnight due to landslides on the way. Uttarkashi is important use for chardham yatris going to Gangotri or Yamunotri. This property mainly targets those tourists. Rooms were big and spacious with separate sitting area.",Upendra Swami,/Profile/swamiupendra,"New Delhi, India",40
uttarkashi,"Our stay in bhagirathi tourist complex, uttarkashi was very good.. We stayed for two nights.. very good and cooperative staff..  food was good ...also they helped us to reschedule our tour itenary.. thanks to gmvn Bharathi Vittal",Bharathi V,/Profile/BharathiV30,,50
uttarkashi,"Firstly  I am very thankful to garwal mandal tourisum. .. Tourism provide the facilities for  4 dhaam yatra . I visit 3 times 4 dhaam yatra. .. Yestrdy night we are stay at garwal mandal  uttarkashi  resort .. I am coming alon , my yatra is osam ... In uttarkashi. .. hotel management is excellent. .. Staff gud .., They provide all facilities as well as good nature. .. Specially I am very thankful to  restur. ..manager ...sushil dimri and his staff members... He provide all facilities .. Nature is gud ... Again I am very thankful for garwal mandal tourisum.  It was gr8 pleasure for me.   Thanks & regards  Deepi sharma ( civil Judge ) A.R.C  Delhi ...",Pooja S,/Profile/570poojas,,50
uttarkashi,Visited Gmvnl Uttar Kashi tourist rest house on 1st June 2018 with family. Location of the rest house is excellent as it is located just on the banks of river Bhagirathi.  Most of the rooms have clear view of the river. Services of the rest house were prompt   ,santosh Jha,/Profile/santoshjha18,"New Delhi, India",50
uttarkashi,"We stayed in TRH Uttarkashi for a night and were treated to horrible service. Neither the restaurant nor the 24 hour Room service was available at 4 PM. The menu was extensive, but most of the dishes were not available. The manager of the kitchen/restaurant was extremely arrogant and cunning. Some of the staff is nice, but some is tired, arrogant and dismissive.  The hotel rooms were good and clean. The bathrooms were clean and had hot water.",Amitabh K,/Profile/amitabhk2018,"Pune, India",20
uttarkashi,"GMVN Uttarkashi and RM & his team members have been very hospitable, nice arrangements, clean rooms, good food etc. The meeting which was organised at GMVN conference hall has been very successful, food was delicious and served in a nice manner. All team members of GMVN, Uttarakashi are very nicely behaved.",Praveen T,/Profile/PraveenT250,,50
uttarkashi,I have stayed at Barkot Uttarakhand tourism ( GMVN) it’s being excellent n food was awesome n maintance n staff service was superb.. After that I came to Uttarkashi tourist guest house (GMVN) Evan this is also wonderful feeling very happy with my entire family n a must visit at GMVN and all of the staff service is also wonderful n very polite way.. On dated 10-05-2018 Rm Uttarkashi sri Kamal Natiyal meet at T.R.H Barkot morning at 10am also suggested for Uttarkashi TRH n give us 3ac rooms n excellent commodation n food n staff service was excellent n wonderful..Thanks for GMVN for next visit,shailesh kabra K,/Profile/shaileshkabraK,,50
uttarkashi,"Hotel is very nice and reasonably priced and food as also service is excellent. Good choice for stay of 2 nights. Location is not very good, but is close to many spots to visit in Uttarkashi. Staff very helpful",systemspune,/Profile/systemspune,"Pune, India",50
uttarkashi,"We have stayed at your GMVN during our chardhar YATRA. During our stay today our experienceat uttarkashi is excellent.  Your Mr.Sushil extended maximum support during our stay.  His leader ship in the catering services is very good. In INDIA in my experience of 30year noweare we could such a clean & good environment ever.  Kindly continue you support all at times. Kindly keep it up.  Regards, Ramnath +28 members from Hosur, Tamil Nadu",ramnath s,/Profile/ramnaths29,,50
uttarkashi,"We travelled with family for Char Dham Yatra & found this location extremely convenient. The room was clean, spacious & well maintained. Hot water facility is available 24 by 7. Food was also excellent. Thank you GMVN for making our stay comfortable",Rajaram P,/Profile/RajaramP24,,50
uttarkashi,"when we were travelling to Gangtori with my friends, we stayed at very nice hotel and restaurant which name is Bhagirathi tourist complex uttarkashi. They offered us very tasty Indian food and rooms were very clean, comportable and spacious. We stayed there one night and really enjoyed there for all services. If you travel to Gangtori, we offer to stay there for a while.  Boyo and his friends from Mongolia",Boya. L,/Profile/LkhagvaaB1,Mongolia,50
uttarkashi,"Great location walking distance to vishvanath temple, market, shops.they have really pleasant ,clean and comfortable room .The hotel staff  is friendly and helpful.food also good with reasonable price.",archana d,/Profile/archanad173,,40
uttarkashi,"I stayed in this property on the way to Gangotri.The deluxe room is ok in size but maintenance leaves much to be desired. The disturbance by DJ party,organized in the hotel premises is another major drawback. I experienced same ordeal in KMVN TRH as well. There is no view,worth the name from the hotel. The location is,however, good with the Viswanath Temple situated in walkable distance.Staff are courteous. Food is average.",ddebabrata2016,/Profile/ddebabrata2016,"Ghaziabad, India",30
uttarkashi,"As with all GMVN properties, this one has very friendly staff. Even though our stay was not free of problems - there was no electricity and no water for some time - these problems were resolved and the manager and front desk staff were very apologetic. They explained why there was were these issues and they did their best to take care of us. The rooms were beautiful and clean, but just with a hint of disrepair. Maintenance is not quite the strong suit of these rest houses. However, the behaviour and the service is beyond complain. The Manager personally helped us regarding issues that had nothing to do with the stay at Uttarkashi. He is one of the most friendly men that I have come across in my travels. The food was good and the stay was comfortable. There was at least one",Siddhartha Biswas,/Profile/Siddharthabiswas,"Kolkata, India",40
uttarkashi,The GMVN TRH is a very comfortable place to stay en route from Rishikesh to Gangotri or north. We have been staying in this place since a long time but recently the  Government of UK has renovated some of the rooms and made them very luxurious.   It has a definite advantage of being right next to the Rishikesh - Gangotri highway route and also its proximity to the Kashi-Vishwanath temple which is just a 7-10 minute walk from the transit rest house a big advantage.  This has a very good restaurant and the menu is basic and good. Special mention to the honesty of the staff as forgotten personal belongings are returned after check-out by giving a call and reminding the owner.   One of the best places to stay and break journey or also an excellent place to stay while in Uttarkashi.,Harshawardhan,/Profile/Harshawardhan,"Nagpur, India",30
uttarkashi,Typical government establishment with poor maintenance but surprisingly helpful staff.  The rooms were large with a large bathroom but in urgent need of attention.  The food was veg. & good.  The location wonderful as a starting point for solitary walks into the surroundings & along the Bhagirathi.,luciom,/Profile/chemengg00,"Panjim, India",30
uttarkashi,We stayed at TRH Uttrkashi for one night on 16th September 2016 during our chardham yatra.Uttarkashi is a big city and lots of alternative accommodation may be available.we got this as a part of the travel package.this is a large setup.rooms and linen are clean and good.most of the rooms are old fashioned like mosaic tiles and white ceramic tiles in bath rooms.they are now renovating with modern vertified tiles.parking and open space to sit are  available inside the compound.food quality is also ok. the famous kashi viswanath temple of uttarkashi is 10 minutes walking distance from this rest house.all the market and activity areas are near the temple..the river bhagirathi is visible from the room.,sasinpc,/Profile/sasinpc,"Mumbai, India",40
