location,review,name,user_profile,userloc,rating
kangra,"A perfect getaway for family , where one can enjoy life in every possible way.... you can trek , read books , hear birds chirping if you wish so, meditate and heal your soul just by putting your feet in pire n crystal clear natural flowing water stream.... food is awesome n your kids will not disturb you at all as they will be busy with the nature and swings.... perfect for family time,  couple goals n me time as well. Amazing place.... must visit for all who prefer royal stay n quality time",Ruchi S,/Profile/RuchiSangwan,,50
kangra,This is a bit before Dharamshala town but really something which you would enjoy. Here you get to stay so close to nature through the river which flows. The owner stays at the property for maximum time and everyone ensures that you have a great time. The food is Indian and very good. Loved our stay  Thank you. Hope to visit again,sahildev,/Profile/sahildev,"New Delhi, India",50
kangra,"A magical place. You can feel the energy yet it is so calm and peaceful here. You hear the beautiful sounds of the river flowing through the Himalaya Mountains. I felt like I was in heaven. KT, the owner was incredibly hospitable. A must stay! The paragliding is surreal! Thank you KT!",Marisa M,/Profile/marisamC8303CU,,50
kangra,"Hotel is about 10 kms from the Dharamshala city. We visited the palce with family and stayed in a villa for 4 days. One needs to walk down the small hill and then cross a metal bridge over the Revulet to reach the hotel. Hotel location, food and service is superb. One can trek in the jungle behind the hotel.  Hotel rooms are constructed in old India achectect style. There is no TV in the rooms for me this is best thing as one can have more discussion with family. There is small parking lot on the main road.",Vishal69,/Profile/vishal_sim,"Jalandhar, India",50
kangra,Lovely property nestled amongst the mountains with a stream running through the property and sound of gurgling water. Courteous and very helpful staff. The location of the property and the associated trek in the evening is every nature lover’s delight. Would love to come back.,Manoshi M Ghosh,/Profile/ManoshiMG,"Bengaluru, India",40
kangra,"We visited this property for a short 4 nights stay in a big group, and we couldn't have chosen a better place to stay. The property is absolutely stunning with a fabulous view of the Dhauladhar range and the Manooni river flowing right through it. The woods behind the property are breathtakingly beautiful, with a variety of flowers and birds. There is a fun trail to a sunset point that takes about 40 mins, totally worth it. The property itself is very well designed, earthy and open. Rooms are spacious and very clean. They have activities like table tennis and a games room, and a small library. The staff is extremely helpful and efficient, and the food is divine. They organised several activities for us too, like bonfires every night, Karaoke sessions and Sufi night.   Be warned",d_nomad,/Profile/d_nomad,Mumbai,50
kangra,"This place is one of a kind, completely removed from the noise and pollution of the city. Surrounded by rivers, fields, forests, and mountain ranges on every side with magical  lights all over the grounds at night and plenty of cozy corners to relax and breathe the fresh air. The staff is very helpful and friendly, as well as the owner and his family. The beds are comfortable, the rooms are beautiful, and delicious organic dishes are served at each meal. It is family friendly as well with outdoor activities, swings, a small children's game room, and a spot for campfires. I highly recommend this gorgeous location and know that it will not disappoint.",AppreciateExcellence,/Profile/AppreciateExcellence,,50
kangra,"The Manooni rivulet that practically runs through the property is gorgeous. The property has a great view of the Dhauladhar Range.  The food at the property is very basic. And very very reasonably priced.  We had a Family Suite on the ground floor. The accommodation left a lot to be desired. Opening and shutting the wood framed windows was a challenge. They had to be slammed shut or pried open. Another challenge because the room had a musty smell and we needed to keep the windows open to let the smell out. The carpets were worn and the floor was mountain stone (didn't feel very clean). Specially a problem in the toilet. It's a mountain lodge. One needs to set one's expectations accordingly.   Abhimanyu, the resort manager, was a great guy. Very helpful and very responsive.  The",Rohito,/Profile/Rohito,Gurgaon,40
kangra,"Location! Location! Location!!  Yes, it was a stretch for my 70yrs old mom to trek through the treacherous slope and uneven rocks to reach the plane ground of the property.. but once done.. absolutely bliss!! We were transformed into the lap of nature with the fast mountain stream, chirping of birds.. fresh crisp air of the mountain, the pine trees surrounding the beautiful designed eco cottages and above all the huge dhauladhar range lapping it’s arm and protecting this nest.. what a beautiful place!! A hidden gem!!  The place is also marked by great hospitality of the prakriti aalay team, very engaged and committed! right from the time of booking by Kishore and Amita (we missed you meeting) to on the ground caring the comfort of our stay.. Abhimanyu , Avinash and the entire",Kaustab,/Profile/Kaustab,"Tiong Bahru, Singapore",50
kangra,Best place to rejuvenate yourself in laps of nature. Cricket lovers can opt for this resort during matches in dharamshala.  Value for money if you love peace and nature.  Delicious himachali cuisines. Best time to visit Prakritialay is between april to november.,Alka K,/Profile/Alka2209,,50
kangra,We visited this property for a family outing . This place has a perfect location with a nice clean river flowing in front and a forest in backside sorrounded by mountains . Rooms were cozy and has a large balcony with very nice hammock chair in the balcony bathrooms were also nice and clean with all amenities. Food was simple homely cooked the taste was good with sufficient variety . Staff was also helpful and corporative good hospitality provided by the staff members. The biggest plus point of this property is the location if you want a nature stay and want to experience nature at its best this place is a must visit.   ,Jay Agarwal,/Profile/jay072002,"New Delhi, India",50
kangra,"Prakriti aalay  First of all I am writing this review after almost two years... It had been in my mind for long but was occupied in something or the other. So the property is huge, lush green with breathtaking views and you need to trek down a little to reach the property..it was so fun and adventurous coz the surroundings was something to die for.. and be ready to meet the host you would't see anywhere in your life.. It seems that hospitality runs in their blood.. This husband wife duo will make sure that you have a slpendous time, Mr Kishore is an adventurous chap and keeps on sharing his thrilling experiences and Amita ji is such a simple patient and a humble lady and is more than willing to help you out.. There is so much to write about my stay experience but let me just cut",Pathfinder421571,/Profile/Pathfinder421571,,50
