location,review,name,user_profile,userloc,rating
ladakh,I have stayed there in 1st week of Sep -19. The staff is courteous & always wear the pleasing smile on their face. Mrs. Diskit & house keeping boy Bipin stands out & can give competition to any five star hotel in terms of taking care of customer. The rooms are of decent size & there is no compromise on cleanliness & hygiene in any of the aspect. They have even served us our choice of food even though when it was not there on Menu card. I had Poha for breakfast which is very unusual in that part of India. Food preparation is also as per the taste requirement.  Some of the rooms are having awesome glacier view & I absolutely love it.  The big open space at first floor presents a lovely view of surrounding while sipping tea .  The place is also very near to the main market . It is,j_piyush,/Profile/j_piyush,"Mumbai, India",50
ladakh,"Its location is just perfect - just 150 M from the main market, and a bit away from the main polluted road. And it's a big, comfortable Hotel to stay in. For me the icing on the cake though was Sanjay and Ms Diskit's terrific professionalism and hospitality - extremely polite, humble, and might I add 'caring'.  After running the Ladakh half marathon, I was exhausted and my heartbeat became a bit irregular. The staff was most helpful at this point, in coming up to my room(since i was unable to move), measure the oxygen level in my blood, and advise me about nearby clinics and hospitals. And this isn't an isolated incident, the staff was most helpful at ALL times.",Saumyajit,/Profile/Saumyajit1,,50
ladakh,"I used this hotel as book ends to my trek in Ladakh, and would highly recommend it.  Spacious rooms and courteous service. The rooms I had had excellent views of the Stok Kangri range, as did the large terrace. The rooftop is also accessible to get a 360 degree view of the hills around Leh.",mkhaki2016,/Profile/mkhaki2016,"Toronto, Canada",50
ladakh,"I would love to visit again to experience the efficiency, cleanliness, delicious food, superb view from the hotel its amazing. Comfortable rooms. Simply one of the best hotel at leh. Staff is very friendly and helpful.",Rash j,/Profile/Natyakalpa,,50
ladakh,"Nice & Clean Hotel with Automatic Temperature Control in Rooms,Clean Bathroom,Excellent Courteous Staff situated near main market near circuit house,also serving good food in restaurant,overall very good experience for our 4 night stay 21-25 May 2019.",Arvinder Anand,/Profile/arvinderanand,,50
ladakh,"Rooms are good, and food is also great, however on day 1 we had to struggle for service in hotel.   Post speaking yo the reception on all the issues faced, everything was fine and we had a wonderful stay at this hotel.",781ankurd,/Profile/781ankurd,"Gurugram (Gurgaon), India",40
ladakh,"An excellent hotel - warm and responsive staff, great location and very clean and well maintained rooms. I will definitely recommend this hotel to anyone visiting Leh. Food is very tasty and not very oily or spicy. Lovely view of the mountains. The Manager at the reception Ms Diskit is a very warm and helpful person",epn618,/Profile/epn618,"Bengaluru, India",50
ladakh,"I stayed at this hotel for a couple of days and it was a memorable experience. The staff is very humble and they made us feel at home throughout. The stay was comfortable in every way,the food was yummy and customised as per our needs. Located at walking distance from the market, one can easily enjoy the scenic beauty even from the comfort of the cozy rooms.  No doubt that my next stay at Leh would be at this place only.",Megha Sharma,/Profile/Legiblestrokes,,50
ladakh,This property is “Home” to me! Services are excellent. Staff is the most humble and hospitable in the whole of Leh. Food is fingerlicious. Rooms are amazingly beautiful and clean. All amenities are available in the rooms. Toilets are lavishly big. A stone’s throw from the main market. A “Must” for everyone who wish to have a comfortable and stylish stay in Leh. Their Suite Rooms are worth a shot!,Tina Hult,/Profile/Tina_the_soul_travel,"Boston, Massachusetts",50
ladakh,This hotel stay was an awsome. Hotel view was very nice also food. Specially hotel staff are very friendly and supportive. I highly recommend to promote these persons Ms Diskit & Mr Sanjay for the next level. I really miss both of these persons,Chandrashekhar,/Profile/MrParkar,"Navi Mumbai, India",50
ladakh,"Last week my family and I stayed at Hotel Glacier View for our Kesari tour. It was a wonderful experience! The hotel is located at a walking distance from the market, close enough to be convenient, but far enough to be peaceful and quiet. It also has a stunning view of the snow capped mountains, as promised in its name. We really enjoyed our stay there. The rooms were comfortable and clean, and the staff was super friendly and helpful! Everyone always greeted us with a smile and a ""Julley""! The hotel also has great facilities like WiFi and a TV in each room. The food was good too!  The only small suggestions that I would have are one, it would've been nice if there was a game room with a carrom table or some board games, and two, I would have liked to taste some local food as",Manali Shukla,/Profile/manalishukla,,50
ladakh,"Great Hotel with best Natur view and near to Leh Market. Nice and clean rooms, friendly staff members, and Tasty foods. They also offer Hot Bad in the winter time. Good options in Breakfast. You can take the best photographs of Beautiful Valley of Leh from the Hotel.",FastTreck,/Profile/FastTreck,"Valsad, India",40
ladakh,We visited Ladakh in mid September.This  hotel is located in close proximity to the market. clean rooms and good food are two significant points. But the USP is the friendly and courteous staff. Arvind and Vipin made our stay very comfortable and gave us personalized service. A big hug and thankyou to entire team of Glacier View. Will surely come back again,Ritu,/Profile/Rituamitabh,,50
ladakh,"The hotel is strategically located within walking distance from Leh old town. There are a variety of good restaurants serving local cuisine near the hotel. The bazaar and shops selling local goodies, dry fruits & nuts, local souvenirs and scarf are also located within 5 to 10 minutes walking distance from the hotel. The hotel staff are friendly and rooms are neat. An ideal place to rest and rejuvenate before making the next move. ",Shirley_wong,/Profile/Shirley_wongsf,"Shah Alam, Malaysia",40
ladakh,I stayed here for 4 nights before and after my Stok Kangri climb. The hotel is well located a few minute walk from the town. The rooms are a good size and clean. The food was good and staff super friendly and helpful. There is free Wi-Fi in all areas but it can be a bit slow at times. There is a large terrace with amazing views of the mountains. Would recommend this nice hotel ,G1naM,/Profile/G1naM,"Gloucestershire, United Kingdom",50
ladakh,We visited Ladakh for a week beginning 19th July. Since Leh was the base for us we opted for this highly recommended hotel and we were amazed at the high standards of quality and services being meted out tirelessly by the staff 24*7. Spacious and neat and tidy rooms with a beautiful view of snow capped mountains was the expectation after reading other reviews. However what stood out was the level of personalised service  being rendered by a highly skilled team of ever helpful locals. Sanjay and Thiksey in particular were outstanding and ensured that our entire trip was seamless.  Also the owner himself was phenomenal with his recommendations and paid attention to each and every guest by personally interacting and ensuring everything was taken care of.  Thank you and wish the,Sandeep K,/Profile/967sandeepk,"Gurugram (Gurgaon), India",50
ladakh,"Stayed here for four nights as part of a trek to climb Stok Kangri. The hotel was lovely, with a huge terrace with great views of Stok Kangri. The staff were attentive and friendly and the hotel was clean and well maintained. WiFi was slow (normal in this area of India) but free and accessible in all areas. The rooms were all en suite and clean and tidy. Would certainly recommend this hotel to other travellers. ",Gordon S,/Profile/GordonS152,,50
ladakh,"Amazing hotel, great views from the 2nd/3rd fl rooms overlooking the glaciers. Very friendly staff who will go out of the way to accommodate your specific needs. Centrally located, walkable distance to the market, downtown area.",amjhawar,/Profile/amjhawar,"Fremont, California",50
ladakh,its a very very good place to stay in Leh city with an amazing view of the stok range from almost all the rooms....had a really great time staying here! we will definitely be back to this place! 🙏✨🙏,meyhaakilam,/Profile/meyhaakilam,"New Delhi, India",50
ladakh,We visited Hotel Glacier View June 2018 end.This was our base stay during our tour.The hospitality we received were excellent.It was more homely atmosphere.Here we like to thank Mr.Arunava Ghosh who assisted us in all our difficulties.The hotel is safe and best place to stay at Leh.,SOMNATH G,/Profile/master483,"Kolkata, India",50
ladakh,we stayed in hotel glacier view hotel for almost 6 days and it was amazing. you could see the beautiful mountain range (stok range) from our rooms along with the beautiful scenery of the city of leh. really enjoyed it ,Kaira K,/Profile/KairaK6,,50
ladakh,"Glacier View Hotel lives up to its name as it has an amazing view of the snow capped Himalayas ..and that's the reason one is in Ladakh. Their terrace overlooks the beautiful range and we were lucky to have a room  with THE VIew!! The rooms are clean ,spacious and comfortable. The staff extremely helpful and welcoming.Full points there .The buffet meals were good and they were open to making changes as per our choice..Thank you Mr.Arvind in the dining hall and Miss Diskit at the reception.  The hotel is also walking distance from the market and faces the ice rink which is functional only in winters.",Neelam_Singhal80,/Profile/Neelam_Singhal80,"Gurugram (Gurgaon), India",40
ladakh,"Stayed at the glacier view this June. Great place for family. Nice spacious rooms. Good food. Very close to centre. Walkable. Had a great experience. Would recommend. The staff is great. Hospitable, helpful and very friendly.  ",Rachica O,/Profile/RachicaO1,,50
ladakh,"An excellent place to stay away from the congestion of the main city square. Well appointed, spacious, clean room with wonderful views. Friendly and helpful staff. Definitely my go to place in Leh. Highly recommend! ",SynaD,/Profile/SynaD,"New Delhi, India",50
ladakh,"I stayed at this hotel for a few days whilst acclimatising before a trek.  The staff are very friendly and welcoming, the location is great and easy to walk around Leh from there.  The rooms were clean and comfortable, a good base to explore from.",_ballykgill,/Profile/_ballykgill,"London, United Kingdom",50
