location,review,name,user_profile,userloc,rating
almora,"Amazing property and great staff. Good food, warm hospitality with some amazing views. Enroute Pithoragarh and Almora in Uttarakhand this place is worth a stay. Good parking lot with the property being on the highway just minutes away from Jageshwar dham cannot be missed, while the stay will be one to be remembered always.",Geoindiatravel,/Profile/Geoindiatravel,"Gurugram (Gurgaon), India",50
almora,"We had lunch there, and the food was really awesome. Location of resort is very nice. You can enjoy very good view from resort itself. Staff was very interractive. We spend around 3 hours in resort, just because the view  we were got from there.",Sandeep Yadav,/Profile/Sandeep117a,"Gurugram (Gurgaon), India",50
almora,Location with scenic backdrop of hills and valley. Service is praiseworthy. WiFi has good speed. Staff was considerate enough to provide better heaters as night became cold. Restaurant food was fresh and tasty.,Saahil,/Profile/Wanderlust-with-SK,,50
almora,Very clean and nice rooms even for european standards with a beautiful setup. The balconies offer a great view on the surrounding landscape. The food provided was also delicious. We fully recommended it for a stay in this area.,Kai B,/Profile/824kaib,,50
almora,It is such a well maintained beautiful property. So much greenery and mountains around. Children playarea is there as well. Just 3 km from Jageshwar dham. Lot of beautiful flowers outside your room. We stayed in family suite and view is breathtaking of himalayan range. Staff is very polite and cooperative. Food is also tasty and service is also good. They have big balcony which is a plus.,Mohit S,/Profile/mohits41,,50
almora,"This place is very good, nicely maintained and friendly staff. View from all the rooms is just amazing.  We visited this place dor single day Stay. Food is just okay.. not so good, apart from this highly recommended to stay..!!",arpitbh02,/Profile/arpitbh02,,40
almora,We stayed here for 2 nights in mid April 2019. We arrived around sunset and there were dense and thundering clouds towards the eastern skies. A bit of drizzle made the evening super amazing with most exotic views in the east. It was a wonderful experience overall. The property is easy to access and is exactly on the main Almora-Pithoragarh highway (not so busy). The staff is super excellent.The staff was constantly in touch with us on the day of our arrival confirming our location and whereabouts. The best thing about this hotel is that it is well built with separate cottage type units. One cottage block can have up to 4 rooms for 8-10 guests. Some units are even bigger. So a big family can have an entire unit to themselves. Another good about this hotel is that the property is,Skak,/Profile/SunilK2236,"New Delhi, India",50
almora,"An excellent resort for spending leisur time with family. Nice location with valley and mountain view, very helpful staff, good food, easy access.  Advice to take full package with food.  Worth to visit once.",Pradeep gupta,/Profile/pradeep122009,,50
almora,"Place and property both are brilliant , staff well managed and well behaved , Mr Lucky is managing the clients very well.the food quality is awesome, shall visit in winters again.the cleanliness and humbleness of the hotel and staff is the usp, hope this place turn out to be a favorite place for all visitors who are planning to visit Jageshwar.",Saurabh S,/Profile/SaurabhS1277,,50
almora,Everything is on point and will took care. The staff was helpful. Like the way the staff help and room service was great they delivered everything I needed and was on time. Place is amazing plantation were off different types. I loved the owners dogs!!,Sahil,/Profile/Sahil305,,50
almora,It was a very pleasant stay. This resort is one of its kind in the vicinity. View from the room was very good. Food was very nice. Manager Mr Lucky is very polite and helpful. Looking forward to visit again.,tewarigopal,/Profile/tewarigopal,,50
almora,"Beautiful place with good food, friendly and co operative staff enjoyed a lot rooms were clean with all the basic amenities available love Flora and fauna in and around resort also in proximity to jageshwar",Nitin sehgal,/Profile/Nitin0910,,50
almora,"An awesome property with overwhelming scenic beauty in the lap of nature. Splendid verandahs with mesmerizing views of Himalayan ranges and Kumaon's villages all around.  Caring and helpful staff. Ideal location. Very well maintained. Good landscapes. Easily accessible.   Although I have some health issues with dietary restrictions but (for me) every meal was prepared to my requirement despite the area being at remote location and with limited resources.""  I extend my special thanks to Mr Lucky for making our stay really comfortable and memorable.",Jagdish Bist,/Profile/JBCAUSA,"San Francisco, California",50
almora,"This was my second visit to the property with my friends and as expected, it was a beautiful experience staying in the perfectly constructed cottages overlooking the Jageshwar valley. Each room is constructed with the idea of luxury and comfort with best views and ambience. The property is located on a hill slope and guests can enjoy birdwatching, small hikes and many other activities in the area. Many temples like Jageshwar, Vriddh Jageshwar, Jhakarsem Temple etc are easily accessible and very close to the resort. The staff is very courteous and food is delicious. You should try the local pahadi cuisines during your visit to the place. They are also trying to develop few trails and feeding stations for birds which will help birdwatchers like me to enjoy the beauty of Himalayan",Prashant Kumar,/Profile/natureprashant,"Ramnagar, India",50
almora,"Went to Jageshwer with no idea of the place to stay.. Green village is a beautiful resort very close to the temples, it is probably the only resort in the vicinity of the temples which has comfortable stay. I visited them in march and the heating in the rooms was very good, there comfortable rooms also have big windows offering a good view outside. the food was very good as well. Since it is a bit high from the temple complex this place offers you a beautiful view of the himalayas although the temples are not visible due to the forest",Swarnpal S,/Profile/swarnpalsingh89,,50
almora,Friendly & courteous staff very clean rooms & toilets  3km from Jageshwar temple very nice view tasty food  very easy to book & stay direct  value for money  not a concrete jungle so gives you the mountain view & feel,MrYASH,/Profile/MrYASH,Kolkata,50
almora,As my title suggests.... this place really is a lil heaven on earth... the place is beautifully serene and so calm... it rejuvenates your soul... the place offers you adventure Hiking which is a add on to this place... nearby treks to add on to your fitness.. Staff is cordial and helpful in every possible way.Food is also very nice (not missing our home cooked food).A perfect getaway and a place looking forward to go again.Special thanks to Manager mr. Neeraj for organising my little  special candlelight dinner and anniversary party. thanks for this organising Neeraj.,Deepti D,/Profile/90deeptid,,50
almora,"“the location is what makes this gem of a place. perched on top of a hill. far from the crowds of Almora but close enough to access if you feel like a hill station experience.The location, the staff was amazing they were courteous and pampered us and knew exactly what we may want next. The food was exceptional too” . manager Mr. Neeraj  we expect all these if its a 5 star resort. no doubt about staff they were very friendly, food was awesome. In all the kids games some ",Niramal S,/Profile/NiramalS,,50
