location,review,name,user_profile,userloc,rating
ladakh,We stayed  in this camp for a night during our visit to Pangong tso. Location  is on the shores of the lake and on the quieter  area. View of the lake is awesome  and one can reach the lake by walking about 100 meters. It's about 3 km away from the first camping area.  Tents are basic but clean with  attached bath with running  water. They are also somewhat windproof. Hot water is supplied in buckets but would  become cold by the  time it reaches and wait is long as boiling  water at minus temperature is time consuming.  Do carry wetwipes as water can be ice cold Nights are cold with temperatures  going down to minus 5 degrees. You will be provided with lots of blankets but you must wear thermals while sleeping.  Food is average but  you cant expect more in a desolate  place,somam,/Profile/somam,"Gurugram (Gurgaon), India",30
ladakh,"First thing first...Pangong is located at very high altitude, so head-ache and breathless ness are common here. Its very uncomfortable feeling, but the beauty of the Lake and surroundings makes one forget everything else. This camp is at walking distance from the Lake. About the camp, the Tent was clean and so is the bed and bedsheets. Electricity is almost an alien concept so be prepared with adequate charge in mobiles/camera batteries.  This place is very chilly and tents do not offer any respite from the chilly air....woolen clothing is therefore absolute must.  Food is strictly okay....for sustenance purpose only. ",GoutamV,/Profile/GoutamV,"Mumbai, India",40
ladakh,My wife and I checked in this camp on the 4th of July. The amenities are very basic and the tents are average. Camp is a bit far from the Pangong Lake but a good view of the Lake is available. Food is decent and the staff are courteous. Overall a decent stay but expected much more,Anant S,/Profile/875anants,"Kolkata, India",30
ladakh,"The place is nice, but in the end corner it is. The crew here is not helpful, they don't care much for the guests. But if you're at your own this place is nice in the budget. 4 for the camp, 2 for the service & hospitality. The owner is good but he wasn't in Pangong when we arrived.",arungautam10,/Profile/arungautam10,"New Delhi, India",30
ladakh,Please be aware of the good pictures of the camp uploaded. They fool you by giving you the worst tent not even in the pictures and will say rest are occupied. on complaint to owner he assures to refund the money but back out later. hated the expereince completely. last day of trip was spoilt.,nidhi b,/Profile/nidhib268,,20
ladakh,"Tents were better than the one shown in image. Tensts were neat & clean and had ample space for accomodating upto 3 people. Though tents are not aside to pangong lake, still view of lake from camp site is just awesome....... due to camp location is on height than the lake, you can have a big view of lake, nearby mountains and many more...... Due to remoteness of the location (pangong lake) dont expect 24hrs electricicty and water, though the arrangements were excellent and more imporatnatly food offered was very good. Thnumb-up for the ""Pangong Delight Camp""",Ameya L,/Profile/AmeyaL6,,50
ladakh,"If you really want the comfort of a hotel like room in a tent with your personal bathroom, this is the place for you. It's a bit far from the point where the lake starts and from the hustle bustle but that isn't much of an issue because there camp is by the lake and the view of the lake from this site is breathtaking.Also the dinner and breakfast are amazing and the team handling the place is really cordial and helpful. There's a fixed time for hot water.",Arnav G,/Profile/ArnavG40,,50
ladakh,nothing great about this place...tents are below average...no running hot water in the room...no electricity for most of the day...cramped up space...no arrangements for keeping your luggage..below average food ..pathetic dinner options..all in all donot stay if option is available,sushil sharma,/Profile/sush555,"Mumbai, India",20
ladakh,Nice place to visit. Awesome hospitality by them. Near the lake so nice view. In morning as well as evening time. Good food and breakfast. Well response by employees their. Camps were good and hot water facility were available.,UMESH H,/Profile/691umeshh,,50
ladakh,"We booked this place via online portal with a price tag of less than 3k . With such cold weather and high altitude already does enough to keep one on the edge, they should provide minimal service. The staff try to help upon request however it does lack basic training on handling basic ammenites such as  hot water request , power supply etc. Food is very basic and minimal. Wouldnt visit for the second time and there are better options nearby.",Sanexplorer666,/Profile/Sanexplorer666,"Mumbai, India",30
