location,review,name,user_profile,userloc,rating
ladakh,"I visited Lchangnang in September with friends. We took warila route and reached the porperty at around 7pm tired. We were welcomed with warm hospitality and smiling faces. The managers explained every thing very nicely and the chef took exta care at dinner time with amazing presentation. They also planned our itinerary and we drove to Siachen side of the valley( it was worth it with the hot springs, lake and water fall). They also do village walk and stargazing at night before dinner but then we were tired and spent some time at the bon fire cum bar listening to some live music. You must visit this property to complete the ladakh experience. Kudos to the team.",Danethesane,/Profile/Dane7654,"Palampur, India",50
ladakh,"Lchang Nang Retreat is an idyllic place to relax. Their focus is on the guest experiences and they seek to redefine the term luxury. The food is great, the staff are polite and the property managers makes sure that the stay is comfortable .",Mahesh Gupta,/Profile/mahesh678906,,50
ladakh,"Hard to get there maybe, but harder to leave. The environment between moonscape, sand dunes, moving Nubra river bed and some orchards of Apricot, Apple and Willow trees. Fascinating location! and a beautifully done retreat, totally running on solar system, off the grid. Stunning ""secret"" retreat!",Asiadvisor001,/Profile/Asiadvisor001,"Bangkok, Thailand",50
ladakh,Lchang Nang Retreat was like a shangrila. with very friendly staff. Rooms are spacious and great not luxurious. Food is superb and grown in the premises.  internet connectivity is a challenge. The estate manager Whitney was very friendly. So was Benjamin and the Yoga teacher.  The stay is recommended as a break from civilization .  i hope to spend some time again there,Ravi Shankar,/Profile/RaviBahrain,Bahrain,40
ladakh,It’s a beautiful n peaceful place to stay with a very friendly staff and an amazing chef( mr acharya). It is a little out of the way from Disket and Hunder but people who wish to be away n enjoy some time in the midst of nature- then this the place to stay- n the star gazing on a clear night is breath taking- we even saw the milky way:)Cheers to the team!,Dania,/Profile/dentsol,"Noida, India",50
ladakh,"The retreat offers a personal touch. It is place to relax! Rooms are nice and spacious, the garden is lovely and the entire retreat offers great views.  The staff is very helfpul and professional. Food was very good and we very much enjoyed the evenings around the bonfire.",Marc V,/Profile/marcv2013,,50
ladakh,"Lchang Nang has by far been my best experience ever. The whole retreat is made in a way which makes you feel like you are living in a wonderland. The lush green surrounding with the view of the snow peaked mountains on the shore of Nubra River makes this place a dream destination, one you can only imagine or see in movies.  If you are looking to get away from you busy hectic life and enjoy a serene environment, then Lchang Nang is the place. It is very quiet and peaceful and you can spend the entire day admiring the beauty around it. You are also in for a treat because the milky way is also visible from here at night.  The staff here treat you like friends and will make it a point to take care of you all the time. They would also join you at bonfires and tell them about your",GuptaSajal,/Profile/GuptaSajal,"New Delhi, India",50
ladakh,"The drive from leh to lchang nang is about 5 hrs via the daunting roads of Khardung la. A mere 120 kms taking that long duration is bound to make any traveller tired, and there is absolutely no respite when you reach this place. It is located in Sumur village, away from the main touristy hundur village. On reaching the place, you encounter the main gates which are to be opened by yourself. There is a guard room adjoining the gates without any guard ever present.  There is no room service for in room dining (only for tea/coffee at max), there is no tea and coffee maker in the rooms (as claimed to be on booking.com) and there is no TV in the rooms but there is a projector room in a common area, where you have to walk to every time from your cottage in case you want to watch",KHManager1,/Profile/KHManager1,"Jodhpur, India",10
ladakh,"Firstly the rooms are spacious and nicely decorated. Bed is comfy, plenty of hot water for showers and a peaceful garden sitting area. Buffet breakfast and dinner was plentiful and delicious and the Chef was more than happy to take any special requests. There was free yoga which we really enjoyed. We feel like the staff really try their best to please the customers and they should be commended for it. My Wife also had a massage with Manoj which she said was amazing.",mlidna13,/Profile/milidna13,,50
ladakh,"Five friends and I stayed 2 nights at LChang Nang in 4 different cabins.  The scenery surrounding the resort was beautiful. The resort ground was very romantic and looked like a painting in every corner we turned to. There was a bonfire area with a bar for drinks. There were hammocks and outdoor tables and chairs to sit.  Each cabin has great view of the snow capped mountain. The cabin was roomy and spotlessly clean with sitting area for reading. The bed has an electric mattress. The bathroom was large.   What I loved the most was the resort ground and the garden. The food was not bad.  I had one minor complaint. On the first night, the food was a little too spicy for most of us. We were asked by the management team whether we would like to have something less spicy the",trang2010,/Profile/trang2010,"Hillsborough, California",50
