location,review,name,user_profile,userloc,rating
ladakh,"I stayed there for a night while driving to leh, Aprox 1 km off track from kargil leh road but Spaceous rooms, good food with resonable price, friendly staff & ample parkign space,  value for money Cheers   ",Vishu M,/Profile/914vishum,"Pune, India",40
ladakh,"We had booked 2 rooms in September for one night thru our tour agent. The room and bathroom were clean. The room had fan so it was bit relief for me:-). The food was ok, tables in the dining hall were not clean. The breakfast was also ok. We got hot drinking water in the room. Room service was good. Wifi worked only in the lobby at ground floor, not in the room. Our room was on first floor facing the road, the view was good. Overall it was a good stay.",SwetaTamse,/Profile/SwetaTamse,,30
ladakh,"As said, located at the best place, also adding good things like courteous staff, spacious rooms, comfortable stay, goof WiFi and above all excellent delicious food.  it is one of the best hotel in Kargil region.",Nimit G,/Profile/NimitG20,"Navsari, India",40
ladakh,Great welcome at the hotel. The rooms are comfortable. The staff is courteous and helpful. Overall the property is spacious and has good ambience. The arrangement of evening event was enjoyable. Good hospitality. The location of the hotel is also Good. Excellent service ,Chetan Bhambi,/Profile/26chetanb,"New Delhi, India",50
ladakh,I really thanks for Hotel Royal Gasho and Sami International Travels. They planned excellent package for our. Hotel Staff were very good. They take care of us. Room were very clean..I really recommend to our family and Friends.,Cosmopolitan676574,/Profile/Cosmopolitan676574,,50
ladakh,Hotel staff was quite efficient and prompt in responding to our requirement. Nice rooms with all basic amenities. No Tea Coffee in the Room but same was provided centrally or at the door step in the morning. Limited choice of food but quality was good. The staff took good care of our Group.,Dalbir_S_Virdi,/Profile/Dalbir_S_Virdi,"Navi Mumbai, India",40
ladakh,"Hotel rooms are excellent. Courteous staff. Parking space is available. It is situated in front of Suru river. Nice view from some of the rooms. They have wifi, but it wasn't working during our visit. Dinner was good. Excellent food. But during breakfast, we had to face very unpleasant stench in the dining hall. Was smelling like some open sewer.",Subodh,/Profile/subodhsamyak,"New Delhi, India",30
ladakh,"We stayed for a night at Royal Gasho on 14th Aug, on way to Leh from Srinagar, while on our motorcycle tour of Ladakh.  We were a group of 11 riders + our crew. The stay at the hotel was comfortable. Rooms were clean, spacious and well lit and ventilated. The room had continuous hot water.  The staff at the hotel were helpful. The food served though limited options and basic was tasty.  Good place to stay if you are taking a break in Kargil on way to Leh.",VJ1974,/Profile/VJ892147,India,40
ladakh,"The room was clean and that was about all. The food below any acceptable standard,  the restaurant as dirty as it wasn't cleaned for weeks and the staff couldn't care less if you are there or not. TripAdvisor askes for 200 words, well.... bad, bad, dirty, dirty ",Heinz E,/Profile/HeinzE365,"Hong Kong, China",10
ladakh,"Stayed here for a night while travelling from Leh to Srinagar with friends all of us were couples. The rooms were big and comfortable and one can opt to stay here if you are travelling to Leh or Srinagar as plan for the night halt in Kargil. The wifi was not working, food was not that great, staffs were helpful and courteous. Overall, comfortable and decent enough place to stay while intransit and night halt at Kargil.",sayam49,/Profile/sayam49,Kolkata,30
ladakh,"In Mid July 18 stayed for one night. Nice room with good outside view. Clean, neat and decent room with hot water facility. In a very peaceful area. Courteous staff. Good food at restaurant and Breakfast also. Having a parking facility.",nJ0shi,/Profile/nJ0shi,"Ahmedabad, India",40
ladakh,"Stayed one night at Royal Gasho kargil with my friends from Srignar to Leh tour. Small town kargil limited resources but at hotel everything is available... Good service ,we all enjoyed very much.. Very cool and charming air at kargil.  1..good service 2..co operative staff 3..good space 4..Reasonable rate",chowdary i,/Profile/chowdaryi,,50
ladakh,Most of the hotels in Kargil are for a pit stop on way to Leh from Srinagar. It’s a small town with no sightseeing . The war memorial is at Dras. Hotel is located at the city centre. The room was descent with basic amenities. The food is standard. At the breakfast a large travel group was with us and the staff was not capable to cater to so many people at the same time. On the whole the stay was OK. ,Gouri Gore,/Profile/GouriGore,"Mumbai, India",30
ladakh,"The place Kargil is a small township. There are very limited resources due to hilly area and remote access.  The Hotel is good enough for night stay during journey from Srinagar to Leh. Food in the Hotel is horrible. However, you do not have much options and have to depend on the Hotel food.",Anand J,/Profile/388anandj,,30
ladakh,Stayed here for 2 nights and went back satisfied.  Pros:  *good food *quick service *24*7 running water *24*7 electricity   The staff & manager are very friendly. You can ask them for cabs / sightseeing help anytime.   Good parking space for the vehicles is a add on for all  the people travelling to Kargil  for their roadtrips.,RohitKhattar,/Profile/RohitKhattar,"Delhi, Delhi, India",50
ladakh,The hotel is situated near the Indus River on the Kargil Srinagar main road. The property won’t offer you great views from all the rooms. Do opt out for the rooms that are just above the restaurant.  The food was good. The staff was helpful and courteous. The rooms were pretty big and clean. One can opt for this property for their stay in Kargil. ,Akash_Topdar,/Profile/Akash_Topdar,"New Delhi, India",40
ladakh,"This hotel in probably the only one where I stay whenever I visit Ladakh region. The hotel is at a good location, is safe and very clean. The food, I will say is not that great, but one should not expect a lot from such distant/remote places in one of the most High Alerted region of Ladakh. The hotel staff are helpful and understand your basic needs and are very friendly as they do not see much of tourists visiting the place due to security issues and other known issues, so they treat every customer with utmost respect and love.",Ashwini K,/Profile/Ashwinikapoor,"Noida, India",30
ladakh,We were a group of ten that stayed in the hotel for a day. Nice hotel. Food was good too. Clean rooms and hot water was available too. The only drawback was because we were a big group they didn't give us WiFi which we asked them so many times. Otherwise all was good.,Marina P,/Profile/MarinaP4622,,40
ladakh,"We stayed for a night in Kargil en route to Leh. Rooms were very neat, nice and cosy. We had opted for their dinner buffet. Glad we did as the dinner buffet was very good. It was really nice to have a such a sumptuous dinner on such a remote location :) Wonderful stay.   Just a tip:if you want to hire a taxi for local sightseeing, better approach a taxi stand directly and bargain for the taxi rates. Because, the hotel staffs quote taxi rates that are double the usual rates which is unethical and also blatant lie.  not sure about the kind of deal they have with local taxi drivers.",shubashini,/Profile/shubashini,"Singapore, Singapore",40
ladakh,"Stayed here for a night on my way to leh from Srinagar. My requirement was very basic and needed something which us value for money and Royal Gasho didn't disappoint. Great location, courteous staff. Didn't try any food so can't comment. This hotel has no AC (usually you don't need in kargil) and Wi-Fi is only in lobby area (was disappointed with this). They allowed me to make as many calls as needed back home as Vodafone wasn't working here",bhavikvc,/Profile/bhavikvc,"Mumbai, India",40
ladakh,Good points :  1. Excellent rooms and amenitites 2. Good service 3. Decent view from rooms  4. Good food but limited variety 5. Good location - near the banks of a river as well as the tourist facilitation centre.  6. Excellent view from rooms   Disappointments :  1. No elevator  2. Wifi availability - only at reception and limited connectivity ,Tapan Mehta,/Profile/tapanmehta0812,"Mumbai, India",40
ladakh,"I would actually give this place a 2 star, but their rooms are manageable, but not for more than just a night stay when on your way to Leh.   The food is tasteless and the staff serving it are equally dis-interested in serving you as well.   If you have other options, just go for them.",Aditya P,/Profile/689adityap,,30
ladakh,Stayed here en route Zanskar hotel is bike friendly went out of their way to secure bikes and our gear. Rooms well appointed everything works ...wifi slow until late evening early morning...restaurant staff are great and the food is good.,mrsteen,/Profile/mrsteen,bangkok,50
ladakh,We were a group of 6 persons and booked 2 rooms. We stayed there for one night on our way to Leh. The rooms were spacious and neat and clean. The staff was also good. . Hot water is available after 6:30 Am till around 10:00 Am. We had dinner and breakfast in the hotel restaurant. The food was good. It is a good option for budget travellers.,jagmeet_s88,/Profile/jagmeet_s88,"Amritsar, India",40
