location,review,name,user_profile,userloc,rating
mandi,"Delighted to note that standards have been meticulously maintained over the several years I have been visiting the property. The rooms are extremely well appointed and shows attention to the smallest detail.  The linen and toiletries are of a high standard. Adequate heating was available to mitigate the surprisingly cold weather for mid-March.   As occupancy levels were low, probably due to seasonal factors, our meals were personalised with adequate care being taken to ensure variety and quality. Service, as usual, was excellent.   The property is well maintained with the garden being a very comfortable space to sit out on a lazy, sunny afternoon. The housekeeping tea are a bunch of 4 ladies who work efficiently in tandem.   Urvashi Retreat is highly recommended for those",Deepa,/Profile/Avitech123,,50
mandi,We were celebrating our 1st anniversary in urvashi retreat..We chose manali to be witnessed of snow fall but the view made it more and more beautiful..  Would love to visit the urvashi in on season some day,Pallavi,/Profile/Pallavimahajani,,50
mandi,Good place to stay..very helpful staff..specially the guy who served during the day time..I think his name was Prakash. Location is 6 to 7km away from the Mall road but worth a risk. Rooms are clean and utmost care is taken. Since it was off season and lot of snow inside the property there was not much which can be done. Food in particular veg was awesome...non veg was not great due to less footfall dint taste fresh. Overall good place to stay with family,shay_shinde,/Profile/shay_shinde,"Mumbai, India",40
mandi,"It was our 1st visit there and we had a wonderful vacation. The access road was a bit tricky but the efforts paid off well...  Rooms are super cozy warm, well-equipped, bathrooms are neat & clean. Room heaters and hot water geysers were two boons for us. Playing for an unlimited time in the snow, warming our clothes with the heater and devouring on the scrumptious delicacies was our enviable routine over there. We enjoyed the peace and quiet we needed, very high quality offered in all the facilities of your gorgeous property; espc the food !  Be it Lal Maas or Gajar Halwa or anything, you name it and it was served fresh piping hot in such a cold winter !   Every staff member with whom we came in contact was attentive, kind and professional including the reception, room service",Prachi Vishal,/Profile/PrachiVish,,50
mandi,"We visited this property for our weekend trip from Delhi to witness snowfall in Manali. The property is in tie up with ITC Hotels. The property is located a bit far from the mall road. So you can expect this to be a quite place. The road leading to the property is a bit patchy but drive-able. But the location as per google maps is apt.  The property is absolutely perfect! I am short of words to describe how mesmerizing it looked covered in snow. As soon as we arrived, snowfall started so we got to witness the lush green garden before the snow covered it.  Talking about the room, it has 2 heaters to keep you warm. It was -10 degrees in the morning when we woke up as per the weather app but the temp inside the room was maintained at cozy +10 degrees as per the Thermometer on the",RaunaqSinghPunn,/Profile/RaunaqSinghPunn,"New Delhi, India",50
mandi,We went to Urvashi's Retreat in the last week of December on the recommendation of our friends (who came along with us for a second time) and I must say we were not let down. The staff and the setting stood out the most.   The hospitality was definitely what got our friends back again I believe. And We'd probably visit again too.,Mohit T,/Profile/MohitT_13,Mumbai,50
mandi,"Urvashi's retreat is a real treat to your senses. Both aesthetically as well as in the epicurean sense. Service staff are its crowning glory. The view from the property are spectacular. We were there during Christmas 2019 and there was ample snow in and around the retreat. Each room is meticulously decorated and is provided with essential furnishings. The bath rooms are neat and well equipped with essentials.  The retreat is indeed a five star property. Must add a few lines about the food. The Chef and the staff deserve a strong applaud for the eclectic spread. Breakfast had huge choice. The dishes like butter chicken, lal Maas, Dal, Trout and the large spread of tandoori parathas and naan is worth mentioning. But the real icing was their service staff in the restaurant. Most of",nalegave,/Profile/nalegave,"Bengaluru, India",50
mandi,"We stayed here in Dec. The property was good. But the staff need to ensure snow is removed for the Guests to get comfortably to rooms. We slipped a few times as it was sub zero degree temperature and ice was there which was not cleared.  Rooms were good and food was also good. The approach to this property tricky as one has to take a very narrow bridge from Manali-Solang valley road. Also, there were lot of traffic jams on the road. So if one is planning to go in peak periods one got to be watchful.",yks21,/Profile/yks21,"Bengaluru, India",40
mandi,"We had an amazing stay in Urvashi's retreat. It is located far away from the hustle and bustle of Manali town for a good reason. The cottage was very elegant with grand views of Kullu valley and Rohtang la All the staffs were very polite ,welcoming and helpful. The check-in and check-out was very smooth,thanks to Mukesh. Parkash and Bodh Raj made sure that we had a hot meal/tea every time even when it was snowing heavily. The chefs Suraj and Vikas not only served delicious north & south Indian dishes but also provided the right remedy for our stomach ailments .  Last but not the least Dharam Singh ensured our room was warm throughout our stay and filled our water jug to the brim every time. Hope to be there in Summer to enjoy Urvashi's hospitality and see the green Himalayas!",ApaKar,/Profile/ApaKar,,50
mandi,"It is often said that having experienced an excellent stay at a property, the second time round rarely meets the expectations.   However, Urvashi’s Retreat kept beckoning and we succumbed... and are already hooked for a potential third stay.   Serene, luxurious, tucked away from the crowds - Urvashi’s Retreat is a rare gem that evokes memories of a by-gone era in Manali.  The rooms are spacious and well appointed with deep verandahs that command a stunning view of nearby orchards, and of the snow clad mountains which seem a hop away.  The staff is very attentive and go out of their way to make it an unforgettable stay. Be it a twist to the recipe to meet your taste, advice on walks, visiting other spots in the area, arranging a picnic hamper ....or even a luxurious spa treatment",Shal211,/Profile/Shal211,"New Delhi, India",50
