location,review,name,user_profile,userloc,rating
ladakh,"We stayed at Nimmu House in early September. This was our first hotel after we landed in Ladakh, and we spent 2 days. Food was wonderful - incredible cook, ambience great!  We are definitely staying there next time we go..",Nandu N,/Profile/nandu-99n,"Atlanta, Georgia",50
ladakh,This is a nice hotel in a beautiful Ladakhi house surrounded by lush garden. There os nothing much to do around but it's very pleasant to stay here and just relax. The management of this hotel pays attention to details and staff is very professional.,sujeet,/Profile/sujeetbangbang,,40
ladakh,"Nimmu House offers cuisine created with a spirit of generosity and profound hospitality.  The home holds a rare Himalayan charm in the rooms, the attention to detail, and the most caring staff members. My great surprise came in the range, quality, and rare find of the cuisine!  Maya brings her life gift to her preparations, across a range of palettes and global offerings.  Nimmu House makes a wonderful base to explore the region, or share in a relaxing holiday space. It defines one of those life destinations!  Thank you so much to all!",Jennifer Natalie,/Profile/jennifernatalie,,50
ladakh,"Stayed for 3 nights in the house itself. Room was really comfortable. The house itself is beautiful. Food was good. Really enjoyed talking with Adam whilst sat in the beautiful garden. He was really great to talk to with lots of helpful suggestions.  It’s a quiet and relaxing house, and as it’s lower than Leh, was much easier and more comfortable. I can understand why people go straight there rather than Leh. It was lovely to walk up to the village in the morning and evening and see a bit of local life. People are really friendly and would stop and chat. Good base to visit surrounding area. Would love to return. Sat under an apple tree reading, looking at beautiful flowers and enjoying the peace, was a definite highlight of the trip to Ladakh.",becklambert,/Profile/becklambert,Brighton,50
ladakh,"The Nimmu House in Ladakh, some 30 kms away from Leh, is a place worth visiting by itself. It's an old house that used to belong to the King of Ladakh, and it was restored a few years ago, now serving as a guest house but keeping the tradition of the place intact. There are only five rooms in the house itself, and some six or seven well-appointed fixed tents in the gardens surrounding the main house. The food, vegetarian, is absolutely delicious and breakfast in the open-air patio is also excellent. The hosts, Fabrice and Vik, do their very best to make you feel at home.",Ricardo S,/Profile/G6519JVricardos,"Sunny Isles Beach, Florida",50
ladakh,"We loved this place, in a beautiful restored building, carefully modernised. The internal rooms looked very nice but we stayed in a tent in the quiet gardens. Tent does not really do justice to the well designed space with showers and flushing loos. The gardens have chairs and hammocks for sitting and this is a restful place to acclimatise if you’ve just arrived in Leh. Food was good and the people who run the place are extremely friendly and most understanding about altitude sickness. Nimmu itself does not have much to offer (small village with large military base) but it’s not far to tourist destinations and is a great place to start your trip, being a bit lower than Leh itself. We did not really want to leave!",Richard D,/Profile/Richard54,"Wiltshire, UK",50
ladakh,"Our stay at Nimmu House was nothing short of amazing. From the lovely space, to the friendly and caring team, to the wonderful food, everything was perfect.   We spent four days at the beginning of our trip, and Nimmu House was the best place to slowly acclimate to the altitude and get into the holiday spirit. We stayed in one of the heritage rooms that was lovely, cozy, yet spacious.   Only downside to our stay; Afterwards all other hotels seemed a bit wanting.",Hybrid_Nomad,/Profile/Hybrid_Nomad,"Bremen, Germany",50
ladakh,"Nimmu House is an extraordinary experience, just 45 minutes away from Leh. It is a beautifully renovated heritage house, with stunning gardens and camp sites set in the orchard with apricot, apple and walnut trees and a little stream running through it. The tents are super luxurious and they have thought of every little detail. There are hammocks and chairs scattered throughout the property to relax and read or take a nap. It is the perfect place to acclimatise for a few days or to relax after a long trek or drive. The food here is also world class, and the staff here go out of their way to ensure you have a good time. The yoga classes are a great way to start and end the day, in a beautifully renovated room leading to the temple. Can't recommend this enough!",Bruce M,/Profile/963BruceM,"Cape Town, Western Cape, South Africa",50
ladakh,"Nimmu is a small village, near the meeting point of the Zanskar and Indus. Beautifully renovated house, very comfortable, nice and friendly service. and from there , the team can arrange unique experiences to discover the area, from a picnic on a sandbank on the Zanskar river, to a pottery workshop, or soft to more difficult treks. Must be visited when in Ladakh for at least 3 nights to enjoy.",Asiadvisor001,/Profile/Asiadvisor001,"Bangkok, Thailand",50
ladakh,"I fell in love with every aspect of Nimmu House.  The little girl playing with a balloon in the courtyard. The apricot and apple trees. The gardens, filled with the most exquisite flowers.  The hammock that had my name on it, perfect fo afternoon naps, placed alongside the gurgling stream.  THE FOOD, OMG ,the food.  Freshly prepared, so tasty, quite delicious.  We had two nights, I could have stayed a week.  Perfectly positioned to relax, walk to the village or to the exquisite viewpoints, and easy to go river rafting which was thrilling, or take part in any of the adventure activities.  Huge shout out to Patrice and the staff, what an extraordinary astonishing place.  My favourite!",Sandi C,/Profile/sandic158,"Johannesburg, South Africa",50
ladakh,"Already adored this hotel when scrolling through instagram few months back and finally this happened:) We straight away heading to Nimmu house once touched down in the airport. This is my second time to Ladakh so I’ve decided to stay out of Leh town to have some tranquility moment, nimmu house always on my priority choice. The place is exactly what I thought. Absolutely beautiful and authentic, yet every corner is so tastefully decorated.  The room is neat and clean, filled with natural sunlight every morning. The temperature at night dropped quickly and guess what, there’s two heat pad warmer already inside our blanket while we were still outside. Ahh... those little details that warms my heart, so thoughtful. Not to mention the food here is so fresh and tasty, all the staffs",Kit,/Profile/longblackgirl,,50
ladakh,"You cannot get closer to Ladakh than this.  Very tastefully and sensitively restored old mansion , with all its quirks and charms and yet extremely comfortable.   Michelin star worthy curated menus - (Maya the chef is a jewel)  Nestled in a beautiful orchard and grove.",Sanjeevgoa,/Profile/Sanjeevgoa,"Goa, India",50
