location,review,name,user_profile,userloc,rating
ladakh,"I was here for 4 nights in July 2019 and I must say it was a delightful experience at Snowland hotel. It offers decent rooms, cleanliness, good food and good view too. More importantly very helpful staff. This hotel is also near to main Market, 10 mins walk",rmnene,/Profile/rmnene,"Pune, India",50
ladakh,It's a well maintained & clean hotel. They organise a cultural event for guests (of group bookings) on check in which is worth a watch. The food was superb and three meals are included with your booking. Hope you continue to maintain the quality standards.,Gunjan_21,/Profile/Gunjan_21,,40
ladakh,A wonderful hotel set in a magnificent valley with exceptional staff and excellent food.  Rooms very well appointed and comfortable.  Staff very willing to assist.  Food excellent and well priced.  Highly recommended.,Craig Giese - South Africa,/Profile/craiggiesesa,,50
ladakh,Comfortable warm rooms. Bathroom was clean but hot water was on a restricted basis. Internet slow but free wifi. Restaurant average quality but the staff were very friendly and made us feel welcome for the days we stayed here.,RobyNZ56,/Profile/RobyNZ56,"Auckland Central, New Zealand",40
ladakh,"excellent views, service, cleanliness, food & people !!! The best in Leh. The owners stay there so thats why they can look into smaller details and are involved in everything. They are wonderful people and the service, food everything is just excellent. Stayed here in 2010 and again in 2016, their standards have gone up and have become even better.",Rajivkm,/Profile/Rajivkm,"Mumbai, India",50
ladakh,"Snowland is nice n cozy hotel with good lawn n comfortable rooms Hotel is bit understaff with fix timings for hot water breakfast lunch n dinner which is big drawback with people comi from metropolis who r following fix routine life n want to breakfree from the clock  But must mention Sunil Who manages the show is courteous n caretaking The staff is off duty after 11 in night  Food is ok ok with fixed menu for breakfast not so Gr8 ,people giving food as their main priority for stay should avoid this hotel So in all the hotel is decent stay bit overprice One can just opt for stay n have food in market which have pretty good options around",Pranav,/Profile/pranav81177,"Mumbai, India",30
ladakh,"Hotel Snowland is about an 8-10 minutes drive from the Leh airport and close to the main market. It is inside a not-so- broad lane and hence if you are traveling in an SUV, it would have to park on the main road. The walk from the main road through the lane to the hotel is not more than a minute.   Once inside the hotel compound, the first instant feel is that of warmth and coziness. The small lawn and vibrant colours of the garden flowers are bound to attract your attention. The hotel manager is a very efficient man who controls the hotel with a smile on his face. The inside decor is richly done in tradition Ladakhi style.  The rooms are pretty big and you get an excellent view of the distant mountains from the balcony and the windows. The toilet is clean and spacious, with hot",anidg77,/Profile/anidg77,"Kolkata, India",50
ladakh,Awesome place to live. Nice rooms Good Food Polite staff. Very nice Garden and very good food.  Locations is also very good.   Though you can not compare it with 3or 5 star hotels but Its worth a money. Overall Nice experience,RahulBarveIndia,/Profile/RahulBarveIndia,"Pune, India",40
ladakh,"Possible the cleanest place we have ever stayed.The garden watered and tidied early every morning, fences wiped down. The garden is very pleasant to sit in.  Comfortable rooms, we liked our balcony, friendly helpful staff, free wifi, great food. Fresh veg picked from the immaculate garden. You must try the Marsala Omelette, delicious.",Pat P,/Profile/Trekker1948,"Kirkby in Furness, United Kingdom",50
ladakh,"Booked a triple room with family. Rooms are spacious with hot water facility available throughout the day. Heater is available at an additional price of Rs.250 per day. Room is equipped with basic amenities only. There is no provision of an electric kettle. Rooms are cozy and clean. Food was good but have to order 2 hours in advance. They arrange for buffet depending upon the number of people staying at that point of time. In all, a budget hotel. Would like to try a different place on my next visit!",Manish Deo,/Profile/deomanish,"Navi Mumbai, India",30
