location,review,name,user_profile,userloc,rating
haridwar,Haridwar Regenta Orko's is not like the usual Regenta Hotels. Breakfast buffet was normal and not the usual Regenta Breakfast. The dinner was also just fine and not great. Rooms were normal however housekeeping staff in the night was not good providing the services requested for. The staff during the day was very helpful. Front desk did provide helpful information related to travel around Haridwar and Rishikesh.,KarunaShastri,/Profile/KarunaShastri,"Bengaluru, India",30
haridwar,Really impressed with this hotel. Good and clean rooms. Great service overall. The size of rooms is big and are clean. Really impressed. Special mention for Ms. Harmeet Kaur who is an excellend staff. Service minded and helpfull. She works in the restaurant and make sure that all the customers leave happy and satisfied.  Highly recommended.,Sonnu M,/Profile/s0nnum,,50
haridwar,Very nice food very good staff net and clean room very big spa & trained staff nice fitness area very good location all staff very helpful thank you regenta for making my day was very enjoyable. I'm once again visit at this hotel.,kumarsandy71,/Profile/kumarsandy71,"New Delhi, India",50
haridwar,Great experience. Small hotel. But it's all services was awesome. Restaurant served tasty and less spiecy food. Breakfast was nice. It's an spread buffet. Room was neat and clean. Washroom was very neat and clean. Everything was awesome.,Pioneer37836718557,/Profile/Pioneer37836718557,,50
haridwar,"I am really shocked that Regenta Haridwar is very proffessionally running in an small Holly city. Room, food,spa,gym and also staff were awesome. Stone shop manager was very proffessional. Also food was very tasty. We enjoyed my stay at Regenta Haridwar.",Vacation275787,/Profile/Vacation275787,,50
haridwar,Regenta Haridwar is the best hotel at Haridwar. Food was very nice.  Breakfast also very tasty. Room is very comfortable. Spa also is the best part of hotel. Overall good stay. Location is very attractive.,Rocky roy,/Profile/Rockyroy123,,50
haridwar,"Location: located approximately 10 min distance by bus from Har ki paudi. Good overall hygiene with prompt service and polite staff.  I stayed here along with my family with my kids and the stay was quite comfortable. It was quite cold in Haridwar, but the room heating was extremely effective. The best part of the hotel was its buffet lunch and dinner. Both were three course meals which we enjoyed a lot.  The hotel can host small events for 30-40 people as well. Overall I would recommend this to all my fellow travelers. I have no idea about the price as I stayed here as a part of a planned and outsourced tour. ",Yogesh,/Profile/Yogeshdeo,"Pune, India",40
haridwar,"yummy food, own bar,  Big  restaurant,  own parking,  24  x  7  security,  professionally managed hotel with well dressed staff. good lobby area.  lift available..A must visit hotel. located between Hardwar and Rishikesh on NH  main road. WOMH TOURS had a lovely experience for their regular guests.",WOMH TOURS,/Profile/Womhtour_India,"New Delhi, India",40
haridwar,"it was a very pleasant stay here for me and i would love to come here back again. Just one thing i wants to highlight that I booked room for 3 adults while the room size we got was for 2 adults.So,yeah that's one thing that room size should be little bigger if someone is booking for 3 adults in single room.Thanks",bhatnagar_akhil,/Profile/bhatnagar_akhil,"Bijnor, India",40
haridwar,"Awesome cleanieness level, excellent food quality with lot of options available to choose from.Apart from this staff behavior is above my expectations,truly friendly behavior, courteous approach, ready to help promptly.The Hotel staff is well trained.",Sandeep k,/Profile/Sandyk2971,"Gurugram (Gurgaon), India",50
haridwar,"We stayed for a couple of nights at this hotel half board. We had no issues, the rooms were decent, the breakfast and dinner buffers were adequate. The gym is really tiny. The lunch at the restaurant ala carte was really good as well. ",SGZZ13,/Profile/SGZZ13,"Goa, India",30
