location,review,name,user_profile,userloc,rating
mandi,After an 8 hour drive we were delighted to arrive at the hotel. Our timing was good as no sooner had we checked in than two very large groups of train buffs arrived and took the place over. We were shown to our Luxury Rooms with wonderful views over Shimla to the mountains  beyond.  There was tea and coffee and bottled water available.  The rooms certainly were beautifully fitted out and the bathrooms had all modern facilities done in a traditional way. After a walking tour on the first day I booked in for a foot and leg massage in the spa which was excellent. There were two large dining rooms which were full of groups and another area which were tables off a central walkway with people coming and going.  We felt pushed out by the groups.  We were encouraged to try the evening,206JAM123,/Profile/206JAM123,"Buckinghamshire, United Kingdom",50
mandi,"We stayed at The Oberoi Cecil from 1st June to 4th June 2019. It was by far the best hospitality experience we have had. Each staff member go way beyond to ensure that the guests have a wonderful experience while at the hotel & also while in Shimla. The personal touch that we received here was overwhelming. We were greeted by all the members, like we were part of their extended family. Right from the check in, we were made to feel at home away from home. Mr. Amardeep Singh (G.M.) personally attended to us as soon as we were seated in the Lounge. All the staff members ensured that we had a outstanding experience & beyond pleasant stay while at the hotel. The food was also great. I would like to mention a few members for their outstanding service: Prateek- Front office Manager-",Siddharth S,/Profile/sudsiddharth,"Gurugram (Gurgaon), India",50
mandi,"Elegant Hotel in Beautiful Mountainous Shimla .Full of character with modern facilities. Very comfortable , superb service , very warm indoor pool ,delicious meals . Excellent breakfasts and buffets but the special Indian set dinner menu and typical Indian breakfast particularly recommended .All the dishes were well explained  Wonderful hotel and most memorable stay .",John C,/Profile/johncL6375HP,,50
mandi,"Wonderful old hotel, massive rooms, great swimming pool and beauty salon. Food excellent and service second to none. We could easily have spent a week here instead of 2 nights. Bar a little pricy but we were getting used to that. 15-20 mins walk into the centre of Shimla but perfectly safe.",Paul C,/Profile/O3201RZpaulc,"Manchester, United Kingdom",50
mandi,"Our stay at the Oberoi Cecil was truly memorable.  From the time we arrived until we left we were treated by charming, helpful, friendly staff, who went out of their way to ensure we were comfortable.  The room was well appointed and the bed very comfortable.  The lounge was an excellent place for a pre-dinner drink.  Dining was enjoyable with an excellent dinner buffet, where there was a good choice of appetising dishes.  Breakfast was a-la-carte and one of the best I have been served.  This is definitely a hotel I would go back to!",DP1066,/Profile/DP1066,"Hastings, United Kingdom",50
mandi,Large and impressive colonial style hotel. Splendid atrium with bar and lounge on ground floor. Quality public areas and dining rooms. Excellent guest rooms and very polite and courteous staff. Very good breakfast and sumptuous buffet dinner. Some rooms with splendid views but rooms on street side somewhat noisy.,Courrieu,/Profile/Courrieu,Europe,50
mandi,"A beautiful old hotel with much to offer. Magnificent lounge and bar area just inside the entrance, along with large, very well appointed rooms. Timber floors with rugs, dressing room, good sized bathroom, small balcony with great views, which include the Himalayas on a clear day. The restaurant offered excellent Indian food, buffet or a la carte, along some outstanding western dishes. The most outstanding feature of the hotel were the staff. Friendly, very efficient, not condescending, just brilliant people.",PJMAustralia,/Profile/PJMAustralia,Australia,50
mandi,Fantastic hotel with very large rooms.  Staff very friendly and helpful.  Beautiful views from our room.  Indoor pool was clean and enjoyable.  Visited hotel for 3 nights during a Golden Triangle Tour.  Food exceptionally high standard.,Tim W,/Profile/TimW850,"Royal Tunbridge Wells, United Kingdom",50
mandi,"Where should i start from.... this place “ Cecil in Shimla is simply devine & on top of that the Super Chef named “Mr. Rajkumar Bhatia” made our stay more special with his awesome food he cooked specially for us. The quality & the ingredients used were superb. The best part was my daughter’s birthday, where she had her first outside meal cooked by Mr. Bhatia, she simply loved it... A round of applause for u Mr. Chef :) Keep up the good work & All the very best!!",Poornima G,/Profile/PoornimaG35,"New Delhi, India",50
mandi,"Seldom does one come across a hotel which is comfortable, well run and with staff who care.  Somewhat old-fashioned, with wood panelling but well kept and clean.  The staff really seemed to care and were excellent.  Not just good training but with good manners and character.",1940mossy,/Profile/1940mossy,"Bedford, United Kingdom",50
mandi,"Visited Oberoi Cecil last year, It is a heritage hotel with beautifully designed rooms gives you a feel of a royal hospitality.   Crisp and warm welcome greets you at the entrance , never experienced a better welcome from the doorman the way charming lady here does, totally upbeat.  All hotel staff are proactive and gives you impeccable service , its like getting pampered with oberoi hospitality.  Food menu is delightful and appetizing with proficient staff  who can guide you through the dishes with an ease.  Lobby and bar lounge area is exquisite with beautiful wooden interiors gives you a glimpse of all rooms ,  with a bar which makes some nice cocktails  and a piano man , playing amazing indian and western tunes.   Two days were like , you live a royal luxurious  pampering",Yatin Gugliani,/Profile/DreamingYatin,"New Delhi, India",50
mandi,"Our stay at the Oberoi was undoubtedly the best accommodation experience that we had found over 18 days and ten hotels throughout India. From the initial check in procedure completed in the comfort of the lounge over hot chocolate, through the courtesy and service from our room maid to the service and quality in the restaurant it was first class. The hotel is well located and we walked to both the Viceroys Lodge and up to The Mall from it. On our first afternoon we did struggle up the hill with breathlessness, but soon became acclimatised to the rare air. One slight cloud on the horizon was that both of us suffered with upset stomachs having gone for European fish dishes as a break from Indian cuisine, and suffered for it!! Best restaurant in 18 days and upset stomachs!!!  Can’t",Sandman753,/Profile/Sandman753,"Clitheroe, United Kingdom",40
mandi,"Stayed for two nights in this beautifully refurbished hotel. It has a central atrium with balcony access to rooms running all the all around. Restaurant has view through trees to valley if you are sitting in seats near the windows but otherwise views hard to find. Staff are attentive and very well trained looking after guests beautifully. As this is a heritage building they have been limited to changing anything so there is no bar with a view, or rooftop view (roof is mainly glass) which considering its view is a shame. Many rooms however have great views which compensates somewhat. A really beautiful hotel, 10-15 mins walk uphill to the centre of the town.",sharmer1,/Profile/sharmer1,London,50
mandi,Real class....in fact everything this hotel does is very classy.... the property is in superb condition and is as comfortable a hotel that we have ever stayed at it the world. Service standards are impeccable from the moment you check in until the time you jump into your car after checkout....its paperless too.  Bedrooms have a wonderful view and are perfectly comfortable.  Food quality is of a high standard...it takes a Chef to be full of confidence in order to introduce himself in the dining room...this one does and he deserves the compliments he receives.  The lounge and bar are spectacular and have a quiet buzz as guests meet up and chat about their days exploring.  The location near the famous Shimla mall is good.,the edit,/Profile/staithe,"Fakenham, United Kingdom",50
mandi,"This is the best hotel in Shimla! It has been beautifully renovated. It’s wood panelled interiors, luxurious bedrooms, heated indoor swimming pool and spa are all amazing. The rooms are a great size with good views. The restaurant is first class. The chefs are so helpful. This is a five star hotel and for me the best part about our stay was the great service of all the staff. They are so friendly and helpful. Cannot recommend this enough. Didn’t want to leave!",J W,/Profile/866jw,"Reigate, United Kingdom",50
mandi,"What an experience... 😃  # Our stay happened to be during my birthday and they surely made it extra special for me and my family. # Room was decorated with balloons and a delicious cake awaited when we checked in... loved the personalised hand written birthday wishes from Mr. Amardeep (GM) of the property. # While the property had its own charm, its lifeline is its service staff.. they make your stay so comfortable that we wished if we could stay for few more extra days... # Hats off to Mr. Vineet who ensured we added few extra kilos...😝 thanks to his extremely warm service at the restaurant.. so much was he liked, that my kid looked forwarded to our breakfast and meals to interact with him.. You definitely Sir will reach greater heights in the hospitality sector.  # Overall",AntonyAliyath,/Profile/AntonyAliyath,"New Delhi, India",50
mandi,"We cherished our entire period of stay. , Check in was smooth and pleasant,as if they are just waiting for us. Room was well laid out with all necessary amenities. We moved out and returned for dinner. Received a hearty welcome and ordered dishes the details of which were well explained to us. Morning started with a beautiful view of snow laden mountain from the balcony of our room.  Ti me spent in steam sauna was rejuvenating. Breakfast was well laid out with further service of dishes cooked to our choice. Upon return from Kufri,we found lovely decorated pineapple cake as gift to celebrate our anniversary  Again experience of having dinner in the restaurant was wonderful due to extra efforts of the staff and the Chef. Next day breakfast was again a treat and check out very",Vijay Kumar Dhall,/Profile/vjdhall1951,"Ludhiana, India",50
mandi,"What can anyone say about The Cecil that I am sure has not already been said - we had an amazing 4 nights stay and everything about our stay was outstanding. Our experience of the restaurant and the service from Vineet who says his only ambition every day is that you (the guest) has an amazing time coupled with the outstanding food prepared by chefs Gunjit & Rajkumar makes The Cecil absolutely world class. The service and attention to detail is outstanding; a simple example being, we always had a glass of water melon juice for breakfast, in our ‘picnic breakfast’ that we opened on the train were two bottles of water melon juice along with several other treats.",williamfI8256CI,/Profile/williamfI8256CI,"Chennai, India",50
mandi,Fabulous Hotel very close to the Viceroy Lodge. Excellent rooms and very comfortable. Service was superb. Restaurant and Bar both very comfortable and food was glorious. Service was beyond the norm one would expect in a 5*  Hotel.,Ian,/Profile/Ianwake83,"Eastbourne, United Kingdom",50
mandi,For those of you considering this hotel may I just say that I have just eaten the best lamb bhuna cooked by chef Rajkumar in the best restaurant in the best hotel I have stayed in for 40 years Customer care is exemplary and the staff take care that you feel special,Jeremy Frobisher,/Profile/Jmf281154,,50
mandi,"We were fortunate to be recommended this hotel when arranging our holiday. The Oberoi Cecil was just excellent. Professional welcoming staff, beautiful accommodation in a stunning setting. Easy walks to either the Viceroy Lodge or into the the town centre, so central yet peaceful. And the food, OMG, just delicious, we enjoyed a beautiful dinner and the breakfasts were fabulous. Our stay in the Cecil was far too short.",Trisha M,/Profile/trisham166,"Inverness, United Kingdom",50
mandi,We have had a three night stay during our first visit to India. This is a lovely elegant hotel with friendly helpful staff in every area from the minute we arrived. The food and service is excellent and all accomplished with a smile and willingness to help and advise. ,David63Johns,/Profile/David63Johns,"Telford, United Kingdom",50
mandi,Beautiful old style Raj Hotel that despite a long and illustrious history as modernised tastefully.  Rooms were very comfortable with fabulious views.   Staff were very attentive and to be honest couldn't do enough for us.  Food was very good,drwbaker,/Profile/drwbaker,"Muscat, Oman",50
mandi,"We spent two nights here and thoroughly enjoyed ourselves. Service was excellent and the food delicious. My husband enjoyed the pool, which he said was like a warm bath, and I loved my spa treatment. It's also a suberb location for exploring Shimla. We highly recommend this hotel",Kjce V,/Profile/kjcev,,50
mandi,"Overwhelming welcome.  Staff is pretty helpful in all manner.  Since it was my birthday, i got surprise gift and decor too. Infinity pool is just relaxing.  Surely visit again to relax in the nature lap. The only drawback observed is they don't have balcony.",travel the world,/Profile/traveltolearn-know,India,50
mandi,Hi Everyone and Hi Team Oberoi's Cecil... This must have been my atleast 5th or 6th stay in this property and by far the best. This time we travelled in a Group of 3 familes and that mean 10 Pax including children and its not easy to fulfill everyone's wishes especially when you are travelling for 31st december Evening so expect the hotel to be jam packed but the way everyone took care of us it was absolutely brilliant. At the end of 6 days we never wanted to come back. They took care of every small thing from morning tea with lemon/honey with cookies to breakfast to evening snacks to dinner to housekeeping to help us in packing at the time of checkout.  Thank you Mr. Amardeep Singh (General Manager) for giving us 4 rooms when the hotel was completely sold out (only God or you,Amit,/Profile/Amit32000,"New Delhi, India",50
