location,review,name,user_profile,userloc,rating
mandi,Sprawling soulless place.  Cold and damp.  Disorganised and shabby.  Wifi not available in some lower floor rooms.  Some kind of renovations going on when visited.  Overpowering smell of solvent/glue around reception - no wonder receptionist so miserable!  Would not stay again ,20Nomad17,/Profile/20Nomad17,"Oxfordshire, United Kingdom",10
mandi,Stopped here on for one night on my way to Parashar Lake . The hotel is at the junction between the exit/entry of the town. It is a good place to pit-stop . The rooms were clean and hot water was available . The food is simple but tasty . Parking is available at the front of the hotel on the road for those who are driving.  ,ajayjames2018,/Profile/ajayjames2018,"Gurugram (Gurgaon), India",30
mandi,"It's good experience to stay at hotel valley view Mandi Himachal Pradesh. Room was good. As hotel is on highway, noise of vehicles disturbe your sleep. Food is good. There is no view of valley as per name of hotel",Ramneek Jain,/Profile/ramneekjain,"Chandigarh, India",40
mandi,"This entire property was booked for a friends wedding. Rooms were spacious, hospitality was good. And the banquets are good enought for a decent wedding. I got to stay in one of the rooms on the first floor and I still remember, when I opened the doors of the balcony, there was a table setup for coffee and the entire balcony was covered in fog, that was sereal.  Overall a very good experience.",Nirliptha,/Profile/Nirliptha,India,50
mandi,this place is nicely placed on the way to manali. you can have good rest on the way. place is good for one night stay. food is good. this place is huge. only thing is you can hear traffic sound. But in night there is very less traffic.,charudattaathale,/Profile/charudattaathale,mumbai,30
mandi,The place is around 5-6 KM's before Mandi and is a decent stop-over if you're driving from Delhi or other far location...rooms are neat...valley view is good...food is nice...service is quite prompt!  Washrooms could've been better....bar is stacked with decent options...,Ravi_Taneja_Delhi,/Profile/Ravi_Taneja_Delhi,"New Delhi, India",40
mandi,It's a awesome restaurant . Ibwas driving through mandi and had a lunch there . 10/10 for ambiance. Service is a bit slow however overall response is good. Price is also reasonable and last but not the least food was yummy...,Badal Singh Malik,/Profile/badalmalik8843,"Noida, India",50
mandi,The hotel is mostly used by people as a stopover while travelling from manali to their destination. The hotel provide great food. The washroom facilities can be improved as my experience was bit of smelly. Overall good one.,joyienjoy,/Profile/joyienjoy,"Nashik, India",40
mandi,This hotel may be good for a lay over. But according to me it is upgraded Dharam shala. They still have to create comforts for the tourists. Rooms are not seen like this in a modern hotel / resort. We stayed just for a night. Checked in with lots of requests and argument with front staff and checked out much earlier than the Check out time since we wanted to pass night. Strategically located for long driving tourists to stay and take a break,Shubhrant,/Profile/Shubhrant,"New Delhi, India",20
mandi,*Nice rooms * Clean & spacious- had a night stop here so was perfect for that * Ample parking on the road * good restaurant & banquet facilities  * No lift so would need to climb stairs * Food is costly; they charge you more than 100 bucks for a plate of toasted bread,Vaibhav_Methi,/Profile/Vaibhav_Methi,"Gurugram (Gurgaon), India",30
mandi,Very nice hotel.....stayed for two nights.....staff is very polite...food quality is nice ....location is perfect ...away from city traffic....calm & peaceful. Serves both veg as well as non-veg food.Nice view of near by hills...reception staff is also good.......one of the best hotels in Mandi ....!!!!,neeraj sharma,/Profile/neerajs343,"Chandigarh, India",40
mandi,"We stayed overnight at mandi on our way to Manali. We found the room okay. Basic, clean. Had hot water, toiletries, and creature comforts like an air conditioner and blankets. The room seemed a little run down. The food was pretty average. The only things I liked about my meal were the rotis and the onions (given the chicken was undercooked and underwhelming!) The service was pretty quick though. The room per se was a tad overpriced. And it didn't offer any kind of view (which is an aberration in the Himalayas!). It should certainly be okay for a night stop over - no more. No less.",Sairekha S,/Profile/sairekhas,,30
mandi,"Stayed here just for a night while we were travelling from Chandigarh to Manali. Helpful staff, good spacious rooms. If getting some good sleep is all you expect, you'll be happy. But do not expect anything extra-ordinary. A bit expensive it might seem but the location makes it worthy. In winters, you'll love the weather here and surely give this hotel a higher rating for the experience!",vishal_negandhi,/Profile/vishal_negandhi,"Mumbai, India",30
mandi,stayed at the hotel last week.....first of all room well below average.....the bedlinens were colder than outside..............and very untidy and foul smelling and we were freezing all night and there was a feeling of unsecurity around..........reception guy was just asking what u want ??? style.totally disgusting attitude and talk...we had  a good  trip  but stay at this hotel spoiled all....at last we waited in bed just till and escaped .....when i asked for feed back form ...they were just fooling around stay away..........................,pinkbob2015,/Profile/pinkbob2015,"Trivandrum, India",10
mandi,Had been here for just one night but the experience was great. The staff was great and the rooms ambient. Food was very good. Room comes with a heater so it's convenient during cold weather. Will definitely visit the hotel again.,Abhas7383,/Profile/Abhas7383,"Mumbai, India",40
mandi,"We stayed overnight in this hotel, the rooms are large and clean and hygenic, food is above average and service is good. The Hotel is right on the highway and is very easy to find which makes this place an ideal night halt. It was a tad on the pricey side for what they were offering but then we reached there late in the night looking for rooms.",thetravellerChennai,/Profile/thetravellerChennai,"Bengaluru, India",30
mandi,"Stayed overnight at this hotel, on our way to Manali .Decent hotel, with good clean large rooms ,food is also good...Good  balcony sit outs. A very good choice for people wishing to make a noght halt en route to Manali",Sachin S,/Profile/724sachins,"New Delhi, India",40
