location,review,name,user_profile,userloc,rating
uttarkashi,The cottages are very beautiful. Good food and other facilities. Parking not possible nearby as the road is not fit for big vehicles to be taken till the hotel. Harsil is a beautiful village with apple orchards and river Bhagirathi flowing beside it.,Anuj,/Profile/879anujj,"Faridabad, India",40
uttarkashi,Stayed at Harshil retreat in May   . The hotel and cottages not very well maintained . The staff not trained shortage of manpower as only three people to cater to seven cottages. Food so so . Hot water by solar heater so not adequate for so many cottages . Location is excellent serene surroundings but property needs to be maintained and managed well.There is another property adjacent to this by name of Himalayan nature resort which is far better ,Shilpi,/Profile/shilpisinghal,"Greater Noida, India",30
uttarkashi,"Ended up here by chance following the floods and landslides in the Himalayas. Mr Mehta the owner made us feel at home.  The service was excellent, food lovely and accommodation comfortable and clean.   The location was beautiful surrounded by snow capped mountains and fast flowing streams.  Would definitely go again.  Thanks Mr Mehta for your hospitality Dr Avtar Ghattaora, Nottingham, UK",Sukhi G,/Profile/SukhiG,"Nottingham, United Kingdom",50
uttarkashi,We stumbled across Harsil Retreat by sheer coincidence and I am happy that we did. We found clean modern comfortable accommodation with breathtaking views. Hospitality offered by Mr Mehta and his staff was second to none and they made us feel welcome throughout our stay.We would recommend Harsil Retreat to anyone contemplating visiting this area  Sukh & Kiran UK,sukhattwall,/Profile/sukhattwall,"Nottingham, United Kingdom",50
uttarkashi,"Just been to Harsil retreat . the cottages are of high standard, beautiful location with outstanding views. Mr Mehta the owner offered us amazing hospitality , the staff were pleasant as well . meeta nottingham uk",Meeta P,/Profile/MeetaP_12,,50
uttarkashi,We were ten persons.we booked 4 cotteges on 26&27 may.we receiived warm welcome by mr.rajiv mehtaji who is owner.The location is fantastic.rooms are good but we took two extra beds which was very crowdy.food was exellent &with our choice.but the problem was of electrcity.we stayed two nights and the lights were off at nihgt so no hot water in morning.again generator was not working for 2 days.so we could not get water for toilets. Then room boys provided it through buckets.Overall stay was good.please carry warm clothes because of extremely cold whether and there are no heaters in rooms.,Raaj @50,/Profile/rajeshgargate,"Pune District, India",30
uttarkashi,"What a place! Green coniferous covered mountains, gushing tributaries in a hurry to empty out into the Bhagirati and lovely walks. We spent 3 nights at Harsil Retreat and we had a great time. The staff was helpful and the meals were good. Mr Mehta was always full of stories and anecdotes. It is situated on the banks of one of Jalandhari, so you have a sound of water constantly. The famous Raja of Harsil's bungalow is just opposite the property though now not as great as the original bungalow might have been. The Tibetan village is close by and the one street town a 5 minute walk away.There are not many places to stay in Harsil except for a few small hotels in the main street. We noticed a new hotel being developed right next door. Gangotri is close by and can be visited in half",SangeetaG,/Profile/SangeetaG,Pune,40
uttarkashi,"Me and My wife visited the place between May 2nd to May 4th , It was just Awesome . We took a cab from Dehradun and reached Harsil in 7 hrs of Gruesome travel . But the Moment we reached , we have enthralled by the beauty and Mr. Mehta . Mr. Mehta took us with personal care . The beauty of Harsil lies in the sound of Wind blowing through the Deodar trees and Buzzling river of Bagirathi . Truly a hidden gem .  Harsil retreat accommodation is luxuriously Basic , at  9000ft this is best accommodation you can find in the area . What you can expect is   1. Great food --> Esp with Local made Rajma 2. Excellent service from Mr Mehta 3. Sound of Wind and River  4. Snow capped peaks staring at you all around (Even in the Month of May)  Harsil should be go to place for the Nature lovers",karthikjoshii,/Profile/karthikjoshii,chennai,40
uttarkashi,"Nature in its most majestic self - Harsil is for those that want a glimpse of heaven. Surrounded by snow peaks, the sound of rushing rivers, pure air to breathe, a view of a crystal clear night sky as you sit around a warm fire, white waterfalls, treks of discovery - it was an out of this world experience. Three loud cheers to Rajiv Mehta for putting up such a place - it is his lovely touches and attention to detail that make your stay even more special. A wonderful place for a family visit. Our kids were amazed that they could have sooo much fun, even without a TV in the room. Ideal place to stay wrt Gangotri - you can make a great day trip. Can still see and hear all the magical sights and sounds every time I close my eyes - Harsil is a place that will remain in your heart",SeemaGurgaon,/Profile/SeemaGurgaon,Gurgaon,50
uttarkashi,"If nature is your thing and if you are not put off by silence and a laid-back existence, then Harsil is the ideal place for you. Harsil is a footnote in the book on spiritual pilgrimages.... it is a tiny hamlet 20 kms before Gangotri that most pilgrims pass on their quest for salvation. We stopped at Harsil. For us, Harsil was the main destination. After a long drive all the way from Haridwar we reached late in the evening. Harsil Retreat is a set of cottages. The location is unbelievable and right out of a fantasy. But I will come back to that a little later. The cottages are wooden and nothing very fancy. The beds are comfortable and the bathrooms neat. What you appreciate is the clean linen, soft quilts, the big glass windows that lets you see the mountains outside. The food",Diptesh G,/Profile/dipteshg,gurgaon,50
