location,review,name,user_profile,userloc,rating
ladakh,"Checking in was quick. Room was neat and clean. Delux room had kettle, blower etc. Our stay package includes breakfast and dinner. Catering or the restaurant here is outsourced. you get good tasty vegetarian food. Though the meal was good, the outsourced contractor keeps a grumpy face and provides food as if we are eating on their mercy. There is no information on restaurant time. Every time we go, we have been told either it is too early or too late. At the same time they are good with group tour people who are their business partners. We had to rely on them unfortunately as we had a toddler who was unwell.   No wifi on 1st or 2nd floor. Have to access wifi only at ground floor. Wi-Fi didn't work on both the days we stayed there ",Passi0nate_Traveller,/Profile/Passi0nate_Traveller,"Thane, India",30
ladakh,Had a wonderful experience there. Good and friendly staff. View from hotel is just awesome. Good ad hygienic food. Luxurious and spacious rooms In low budget. Overall it was nice experience must visit.,shivani k,/Profile/534shivanik,,50
ladakh,"We could just walk into the hotel and book a room without any advance and also negotiate. The rates were reasonable and the rooms were spacious.  Though you find it poorly mainained while there is water seepages in the wall and you find it moist when you enter.  Even in the night you find small insects around the light.  But the beds were comfortable.  The food wasnt too great tasting, but as that was not out primary motive, it worked for us.",jaya_rajan_1985,/Profile/jaya_rajan_1985,Vadodara,30
ladakh,"We stayed at Ladakh continental for 3 nights during our July trip to Ladakh. It is a cosy property on the Old Road. The room on 2nd floor was neat, clean and spacious for 3 persons. The food was quite good with enough choice. The staff was extremely helpful and courteous. We left the bags in the hotel when we were on the excursion to Nubra. The hotel is at walking distance to the Mall. We loved the stay here.",Arun_Murthy_65a,/Profile/Arun_Murthy_65a,"Bangalore, Karnataka, India",40
ladakh,"Found all gujjus and gujju food all around in the hotel ;P  Room is neat and clean - little congested. Bathroom has 24x7 hot water , hair dryer which was missing in most of leh's hotels and guest house.  Luckily Wifi was working in hotel lobby as well as in our room",Padma_Nirav,/Profile/Padma_Nirav,"Vadodara, India",30
ladakh,Amazing hospitality ! We were here last year means in may 2016 . Mr Salim has helped us a lot .very neat and clean hotel .mob no of Salim if needed is 9906979771. Our whole frds group enjoyed a lot ...we stayed here for 5 days and everyday food was delicious ..pure veg !,ritu j,/Profile/106rituj,,50
ladakh,Very  Good budget hotel.  Neat and clean  room & toilet. We stayed for 3  nights & 4days. Hotel staffs are  very efficient. They  arranged for our local tour and Pangong Tso Visit .  It way a enjoyable event. ,Swapan D,/Profile/SwapanD36,,40
ladakh,I visited this hotel 17th Nov to 21st Nov 2016.   We found only 1 person in this hotel. He mentioned that hotel will be closed in next few days so no other staff is there. He also mentioned that he was not able to provide any service to us. So after paying good amount we were staying there like we were in a dharamsala room. After returning home I still see hotel available in oyo and few other website. I don’t know why they are accepting booking if they can’t provide service.  Here is few problem we faced in this hotel during our stay-  No staff to provide bed tea. Breakfast is included in room cost but they didn’t serve it.  No water in toilet. No drinking water. No staff for cleaning.During our 4 days stay nobody clean room and toilet so it was mess everywhere and we had to,Sunil P,/Profile/SunilP781,"Jaipur District, India",10
ladakh,"It was my first to ladakh. Adding to all the experiences of serendipity was my stay at ladakh continental hotel.  The reception was beyond my expectations.The hospitality, the service was way more than what I expected. Ladakh is a place you should visit and the place for your stay I would suggest ""Ladakh Continental"" Without best accommodation you can never experience the full wonder of nature.❤👍",Suzanna J,/Profile/650suzannaj,,50
ladakh,Enjoyed the leh Ladakh tour . Drink 2 ltr. Water atleast per person per day so no oxygen level will be ok for each person.we went with Hazel trek and tours service by tour operators was excellent as well as food by the operator was excellent.,shethia k,/Profile/kalpesh8775,"Mumbai, India",50
