location,review,name,user_profile,userloc,rating
mandi,Visited before couple of days for having dinner their staf & manager both are not having manners to talk food was not worth it with the price taste was very worst they actually dont know how to talk with the customers (-)minus ratings,Himanshu1993,/Profile/himanshuji1993,,10
mandi,Nor room services nor room cleaning nor bathrooms nothing is good worst stay ever in my life .. not have easy to stay there only for a night .... I was travelling manali to chandigarh and having stay only to rest in night they provide the room first of all reception phone was not in working .... After that when I go to reception the person came and say it will work at 22 degree 18 degree will be hot and neglect me ... So I tried that after that I make some loud noise at 10pm no body is there at reception after that I call them and somebody came and arrange other room no body come to shift my luggage they just open the room and left at 11.30 so I have to make struggle for 1 and half hour to set the night ,Tushar k,/Profile/Tushark430,"Amer, India",10
mandi,"Stayed here again a few days back while coming from Manali. Stayed alone. Called up and got an offer of 900. I feel for this price the hotels in Mandi (before town on right , while coming from Manali) offer a better deal. Plus point here is the huge parking. Also only non veg food here. Food is expensive and I ordered a thali that was 190 bucks. Room upkeep is average. No shampoo or toilet papers given. TV works though. Overall, not worth the money I guess.",BunnyPunia,/Profile/BunnyPunia,"New Delhi, India",30
mandi,I just stayed here for couple of hours with friends for a lunch so the few things that I know that food is very good and location of the hotel is also good near to NH with beautiful lake in front of it.  For family stay it is also good as staff is good and friendly ,705onams,/Profile/705onams,,40
mandi,"We stopped here for lunch. It's a nicely appointed place with good Indian food and prompt service, though somewhat pricey. Washrooms are clean and there is enough parking space. There is also a  separate dining hall for cab drivers.",Lalit Surjan,/Profile/lalitsurjan,"Raipur, India",40
mandi,This is fantastic place to stay. excellent stay best food & very very courteous staff they are very helpful  everything is awesoe about them food was very tasteful  and room are pretty nice and neat cleaned its not very expensive on your pocket as well. thanks to Besillio grand team.,singhja1234,/Profile/singhja1234,,50
mandi,We  have booked a super deluxe room  on 23rd April 2017 for family of 4 members on the way back from Manali to Chandigarh airport with booking advance of Rs.1260/-  We arrived around 7 pm after a long trip of 7 days with tired souls to break for rest. We have got room no 207 and shock to see ugly /muddy bathroom and no light in the bathroom. Bath towel kept was in torn conditions. We have taken up with Hotel manager who is non co operative and rude who took 2 hours to get the room little bit cleaned. They switched off electricity during night time  and  AC was not working /no light in the room/lift was not working. No one was available to attend the customers in the night time. We could not sleep whole night and no rest to us by spending   Rs.2520 rent. Food quality was very,asnayak12,/Profile/asnayak12,"Mumbai, India",10
mandi,Everything was clean and tasty. I had Chinese and north Indian Thali.  One can try starters and soups. They are also good.   It is situated in Mandi. One can reach there very easily. This place also have accommodations which could be worth trying as well.,namen b,/Profile/namenb,"Ao Nang, Thailand",40
mandi,"Pls note I stayed here alone. Was on a bike trip back from Manali and it suited my requirements perfectly well.  Paid 800 for a single room with balcony. Parking is ample though did not see a security guard there. Room size was average and so was the upkeep. However there was a balcony. Only veg food here but taste is good. TV works, bed is slightly hard but the let down is traffic noise as bang on highway.  Checked out early morning. Skipped breakfast. Staff is helpful and quick on their toes.  Recommended place if u just want to eat dinner and sleep for 6 hours before hitting the highway again. Note that there is a bad 6-8km patch just before Sundernagar (if coming from Chandigarh) side. So don't fill your belly and then hit this part of the highway (can cause nausea easily) ",BunnyPunia,/Profile/BunnyPunia,"New Delhi, India",40
mandi,"Service was okay,Just had an overnight stay  bathrooms were clean hot water was available  most of the time did not feel like the ac was working Overall an okay hotel to stay overnight after a long ride really wanted the break not sure about food as we had dinner in a close by restaurant not in the hotel",hersheys_shetty,/Profile/hersheys_shetty,"Mumbai, India",30
