location,review,name,user_profile,userloc,rating
ladakh,The amenities were good and basic. Rooms and premises are clean. We took a romm first floor room with balcony with views of mountain. The owner is friendly and is interested talking about his village to visitors. He guided us to take a walk in the village and also told us about Baltik culture and people.,RoyRP,/Profile/royroyrp,"Dubai, United Arab Emirates",50
ladakh,It is a good & clean basic accommodation among the limited options available in Turtuk. Owners are friendly and very approachable. Loved our stay in Turtuk. Lovely and helpful people. Food is great as well.,hollalikestravelling,/Profile/hollalikestravelling,"Bengaluru, India",40
ladakh,Well in Turtuk one can't expect a good hotel like we get in Leh. There are very limited options. Ashoor is just ok as far as accomodation is concerned. Infact they have got few new rooms but there was a Rat in both our rooms to disturb us in night. Only great thing about this place is the food. The food is veg and really good in taste,vipultmi,/Profile/vipultmi,"Pune, India",40
ladakh,"Nice stay..on main road, Nice Manager. Turtuk is must visit palce during Leh Trip if you are nature lover.Loc is near about 5 km far from here. Peoples are very nice and road from Nubra to Turtuk is in Good condition. ",knitsandy,/Profile/knitsandy,"New Delhi, India",40
ladakh,Ashoor guesthouse is located on main road and is very much accessible to the Turtuk village.Rooms were very neat and we also get the best rate since we went in off season. Owner was very much friendly and professional. Soup was very good and food was decent. Much recommended.,ChaitanyaPatwari,/Profile/ChaitanyaPatwari,"Hyderabad, India",50
ladakh,"The majority of accom in Turtuk is located in the upper part of the village. It's a lovely area and will likely draw more tourists. However there is no road access. You need to walk across a bridge and up a hill.  Ashoor GH is located in the lower part of Turtuk on the main access road. It is therefore more easily accessible.  The room was clean, of a good standard and included bed, table and chairs and power sockets. There is a shared bathroom with toilet and ""shower"" (bucket) in the one room. Although small it was a decent standard for the area. There is also a separate hand basin in the hallway.   Staff were friendly and there is a restaurant on the ground floor.  Throughout the village power is only available in the evening until 11pm.  I was pleasantly surprised by the",WalkaboutKen,/Profile/WalkaboutKen,"Sydney, Australia",40
ladakh,"Turtuk is a small village about 3-4 hrs drive from hunder or diksit if you are driving directly from sumoor. The last check post ( india-pak border)  for visitors to enter is 4 kms from Turtuk. It would be better to plan for 2 nights stay. Ashoor guest house is highly recommended as it is on the way,we dont have to carry our luggage up. owner is well informed of the places to visit and the food is excellent.  The village itself is divided by the bridge into 3 parts and one has to walk to explore the beauty of all the regions. Historically it seems horse polo started here in 16th century and every year in march even today it starts from the old ground. The locals are very fond of this sport. Most of them are muslims speaks Balti language and are very hospitable. The walk to",suresh s,/Profile/525sureshs,"Mysore, Karnataka, India",50
ladakh,"This is a small guest house where you actually sleep to sound of small water fall which is behind this guest house. Very basic place but well maintained and clean.  They serve food in room as well as in dining area. Food was really nice.  People who are running this place are also very nice,  we met the guy who is owner's son,  he took us around to show the village, his hospitality was remarkable. He made  sure that we saw and enjoyed the village completely. I will any day recommend this place if you are visiting Turtuk.",Monicathakur20,/Profile/Monicathakur20,"Kochi (Cochin), India",50
ladakh,"We stayed here for one night after a long motorbike trip from Leh.  The place is lovely, very comfortable with clean rooms and bathroom.  The owner and his son could not have been more welcoming and gave us a 'briefing' on the village, where to go and what to see.  The food served in the restaurant was some of the best we had in India (amazing paneer butter masala) and the waiter was incredibly nice.  If you are taking the trip to Turtuk, highly recommend staying here.",IrishAussieLondon,/Profile/IrishAussieLondon,London,50
ladakh,"We stayed for 1 night on turtuk , In such a remote place they are providing great thing, Rooms neat and clean,  Bathroom with modern facilities that is amazing in such a small and remote palace,  The best part was food , it was really awesome ,It's completely different,  service good ,The owner personally came with us and he explained the minute details of the heaven on earth-turtuk that was really great ..",vimmalmvoarra,/Profile/vimmalmvoarra,cuttack,40
