location,review,name,user_profile,userloc,rating
rudraprayag,"The location of the resort is excellent. Perhaps the best in Guptkashi. The resort has both tents and cottages. We stayed in one of the cottages. The rooms are basic but facilities are adequate. The food is also basic Indian food but the food is tasty.  The staff led by Mr. Lucky are quite helpful and cooperative and they tried everything they could to make our stay comfortable and safe.   One should not expect any kind of luxury but in a place like Guptkashi, the facilities are one of the best available.",Debashis Mukherjee,/Profile/debmuk-traveller,"Gurugram (Gurgaon), India",40
rudraprayag,"Anyone who does the Kedarnath and Tungnath yatra knows that it isn’t an easy journey. Staying at Camp Nirvana really solidified our experience with memories to last a lifetime. We stayed in the rooms at Camp Nirvana and the hospitality is SO warm and accommodating. The rooms and toilets are clean and the food is excellent. Thank you to Lucky, Sumith and team for a wonderful experience. We will keep this place in our hearts forever. With love from South Africa. ",Sheina Kiyara Gokool,/Profile/sheinakiyara,,50
rudraprayag,"Excellent location, beautiful view of Himalaya from tents & cottages. My group loved the place and vegetarian food. One Helipad for Kedarnath ji is within walking distance and another is just 2-3 kms away.",Tour Info,/Profile/Tourinfo1,,50
rudraprayag,Went there for a stay.. No doubt its a heaven place with a beautiful view of snow covered mountain.. Staffs and owner are very friendly with customers and provide every kind of facilities as much as they can provide..,raghav karnataki,/Profile/raghavkarnataki,"Dehradun District, India",50
rudraprayag,"Stayed here from 10/16/18-10/17/18 as part of Tour group Tirtha Yathra...during Chardham visit in October 2018.....nice place to stay, both Cottages and Camp tents. no heating inside the cottage/tent. Kettle in the room. Stayed in the cottage..very clean, good customer service. Hot water available in the morning. Make request for hot water after 7 am. No restaurant available, no kitchen, make your own arrangements",gkv2014,/Profile/gkv2014,"San Francisco, California",40
rudraprayag,I had booked 2 tents for 13-14th October 2018 and payed them 50% in advance. But due to some reasons we had cancelled our trip and same I have informed to Camp Nirvana through mail (on 10th September 2018) as well by telephonic talk and requested for refund of the amount.  When I called them they said that their computer operator is on leave and they will process it as soon as he comes back. But now its going to be more than 15 days that they have not even replied to my mail. The amount is still to be refunded.  Poor show!,DrAbhinav2014,/Profile/DrAbhinav2014,"Lucknow, India",10
rudraprayag,"Camp Nirvana is really basic, you have to be aware of that. But there actually is not really comfort in the whole area. This area is poor and has no facilities. But though it is a nice place to stay. The tents are decent and equipped with basic things. There is a spacy bathroom with cold water. Every morning you get a bucket with warm water. Enough to take a shower.  The 'restaurant' is very basic but the food is very tastefull! You get a set meal with roti, rice, Dahl and two/three dishes with potatoes and vegetables (no meat, but that is also normal in this religious area). I regret not making pictures in the restaurant.  I think the beds are not cleaned that often, but I think you can't expect that much luxury in this area. And don't be afraid of some spiders or insect in",Lisanne-76,/Profile/Lisanne-76,"Culemborg, The Netherlands",30
rudraprayag,The camp is located a little away from the main city market but the view from the camp is absolutely spectacular. One can’t help but enjoy the beauty of nature here. Do for a stroll around the camp and you will see how beautiful and simple nature can be ,Srishti Misra,/Profile/srishtimisra,"Dubai, United Arab Emirates",40
rudraprayag,Except location everything is just basic. Average food and accommodation.Swiss tents are maintained poorly. Insects are freely available inside tents. However views of the snow clad mountains are awesome.,MK S,/Profile/MKS194,,30
rudraprayag,"The camp offers views to die for . The place is very well connected by road. It is high up in the mountains and offers 180 degree of snow capped mountain views. The tents are not ordinary tents, they are luxury tents. They have nice washrooms with hot water. We enjoyed camp fire and the food was sumptuous served by amazingly ready to service staff. The bedding were clean and soft. The management must be very professional to provide such luxury in such a remote location. I thoroughly enjoyed looking at amazing scenery all around me and the constant landing and take off of helicopters ferrying pilgrims to Kedarnath. I visited Tungnath and Chandrashila one day and Devariataal next day. Amazing place for trekking as so many treks originate from this place",rajesh r,/Profile/rajeshr1919,,50
rudraprayag,Stayed here for two nights during Chardham yatra. This serves as a stop over to visit Kedarnath. Barkot has a tents with the same name (same owner) but this one is much better especially the location. The sleep quality is acceptable & food is fine as well (much better than any other place we stayed during Chardham yatra). They provide hot water in the morning (very small quantity) & if you need lunch you need to inform them in advance. The tent has a fan & acceptable beds. Recommend for its picturesque location & decent service. (I cannot rate very good & since there's no good I'm giving it an average).,Naveen Subbaiah,/Profile/navjyo08,"Fahaheel, Kuwait",30
rudraprayag,"Stayed from may 5 to 7. 2017. Location perfect on a mountain top, overlooking snow clad mountains and deep valleys. Stay good in cottages than in tents. All features one would expect in a 4 star hotel, available in cottages, including running hot water, hot water kettle, 24 hour food supply. Bonus picture post card views even from bed. Very near the helicpoter site at Guptkashi, so that you could hop in bed within five minutes of landing from Kedarnath.",vselvarajfca,/Profile/vselvarajfca,"Coimbatore, India",50
rudraprayag,"They have tents as well as condos and are situated in the amidst of nature with very nice scenic beauty. The location is little away around 3Kms from main road towards Kedarnath Dham, but the place is real gem. They have very nice garden maintained in and around the rooms with beautiful flowers that please the mind. The food served is always fresh and good. The staff is very polite and helpful. The cost is on expensive side.",Ashay R,/Profile/ashayr2016,"Mumbai, India",40
rudraprayag,"the tents were habitable and insulated, bed, linen and rugs were clean, bathrooms were very good, food was decent and they tried to do their best to provide us with our preferences. hot water buckets were available even in the middle of the night.",J_Majethia,/Profile/J_Majethia,"Mumbai, India",30
rudraprayag,A good place to stay though lacks some basic amenities like running hot water and a running restaurant.As it is located almost 3.5 kms away from the town you are dependent for food on the property.But overall a good place to relax and enjoy the nature.The staff is courteous.,ravi k,/Profile/ravik660,,40
