location,review,name,user_profile,userloc,rating
bageshwar,"Place was beautiful, 15 kms away from Nainital. Quite, serene and greenery all around!  Best part was they were cooking fresh food whenever you order that's why they take some time to serve. All rooms are designed with different themes and they have something unique about them. Good property! Just would recommend to keep reception number handy in the rooms and mineral water bottle should be provided inside the room. Friendly and responsive staff!",Paradise08606385292,/Profile/Paradise08606385292,,40
bageshwar,"Pros: Location a bit away from Nainital, peaceful, Staff friendly and very good, All rooms are good and different, activities such as nature walk, good place for birding.  Cons:- lawns need a little more work, monkeys,   Suggestion:- place bird feed at few places in the lawns esp the lawn in front of bungalow II. ",vipnesh,/Profile/vipnesh,"New Delhi, India",50
bageshwar,"Amazing property, Excellent stay, cooperative staff, Delicious food, Great hospitality. Thanks to Chandan for arranging on-house Doctor to treat wife who fell sick during stay.  Special thanks to entire staff Mohit, Kumud, Gaurav, Girish and Chef Sunil for making our stay comfortable and full of fun with delicious mouth watering food.We would love to visit the property again.",Naveen G,/Profile/Stay695256,,50
bageshwar,"This beautiful boutique hotel, (just an hour or two away from Mukhteshwar, Bhimtal and Nainital) is calm, serene and has a very homely feel to it. All the rooms are designed differently and has a welcoming feel to it. The place has a cozy study, swimming pool, and an indoor fireplace. The decor of the place is very beautiful and eclectic at the same time (do check out the various nick-knacks inside the property). The food served is here is also very delicious. The hotel staff (Ankit, Mohit, Gaurav, Kailash and Ganesh) and the resort manager (Mr. Pandey) are very hospitable, courteous and polite! Add-ons such as a day trek to Nainital and a traditional Kumaoni Cuisine are a must!",Pankhudi,/Profile/pankhs16,,50
bageshwar,"Bara Bungalow is a great place to relax and enjoy your holiday. The facilities are fabulous and the rooms are comfortably and lovingly furnished. With the view of the mountains the location invites you to stay. Everywhere you will find small places to relax or to spend time together in a group. The service is fabulous, attentive and not intrusive. The Bara Bungalows are highly recommended.",mariafr0mgermany,/Profile/mariafr0mgermany,,50
bageshwar,"I am so happy to have chosen this property for our first Anniversary. We just wanted to chill and have good food and that’s exactly what we got here. The place is very boutique, located in quiet area in Gethia away from the rush! Loved that. Our room, The Nest, has the best view and location in the property, although you shoulf beware of the monkeys and avoid sitting in the balcony. The staff here is very pleasant and friendly, they made our stay extremely special and treated us with desserts specially made for us throughout our stay for our anniversary. I must say, when you stay at such a place , away from the hustle bustle, there are no cafes or restaurants around, it is very important to have good food at the hotel. This place offers the best food ever!!! I had one of the",yamunabhuchar,/Profile/yamunabhuchar,"Noida, India",50
bageshwar,"When I was searching for resorts in Nainital, I came across some beautiful pictures of Bara Bunglow and made up my mind that this place is something that is worth staying... And oh sweet lord, The place was something much above the expectations. It was a peaceful morning when we arrived at Bara Bunglow and we were greeted with an awesome tea and snacks. We had our stay in ""The Nest"" and I was awestruck seeing the beauty of the rooms... The vintage touch in each and every corner of the rooms made us feel like we had reached the colonial age. The staffs did not seems to be like staffs there, infact they were like a big family, who were busy to host us in the best possible way. One thing I must say is that I have never felt such homely feeling in any resort ever.  We ordered a",Roy,/Profile/nirmalya43,,50
bageshwar,"Well maintained property, nice location. Although we were there only for 12 hours but our stay was nice. I must appreciate their service including room service. Special thanks to Mohit who made our stay memorable.",Smit Sisodia,/Profile/smitsisodia,,50
bageshwar,"We went to Bara Bungalow recently on a visit and stayed about 4 nights. The staff makes it special for you. They are warm and friendly. Shivam (the chef) went out of his way twice to serve us at beyond meal times.  Mohit was helpful, and so was everyone else. The place is a little before Nainital, so go there only for solitude.  Don't expect too many people. It's a quiet, and peaceful location.  The geyser was a bit of a problem for us and I had to bathe in cold water in the chill couple of times, but I will wave that because of the courtesy.  Cheers. ",Amarwanderlust S,/Profile/amarwanderlust,Delhi,50
bageshwar,"I stayed there for 2 nights. I was overwhelmed with the hospitality of the property. Above everything their food is delicious. The chef serves you with home cook food. Trust me you wouldnt find ab better stay in nanital. Rooms were clean and comfortable with a great view. Great place for families, couples, friends and solo travellers. Before it looks like a paid review I should stop typing.",Himank Gupta,/Profile/himankgupta90,"Mumbai, India",50
