location,review,name,user_profile,userloc,rating
uttarkashi,We stayed here on our way to Gangotri. It took us a bit longer to find them as they are not in Harsil but in a nearby town called Dharali. After getting over the annoyance of that once we reached that everything was a superb experience. Mr Vjijay - Manager there was simply awesome. Kids were a bit skeptical about living in an actual tent...however once they saw the tents and living arrangements everyone relaxed. Food was excellent. They took special care for my wife who is gluten and nuts free. She was served special dishes off the menu and that too with a smile. Our tent was on river bank and hence sounds of the Ganga was very soothing entire time we were there. Views of the snow clad Gangotri mountains and the town of Mukwa were some other highlights.   In the end we would,dss999,/Profile/dss999,"Atlanta, Georgia",50
uttarkashi,No Value. Normal road side hotel in Harsi are better than this camp. Average food. PLEASE AVOID No access to river though it is on river side tents are very small food is very average not allowed to do born fire as there are apple trees around basically they have leased out an apple orchid and have put in tents where ever they have found space.,Saket R,/Profile/525saketr,,10
uttarkashi,"We booked 3 tents next to river. Must say , it was an awesome experience. Kids loved it.  Positives :  Scenic and blissful One of its kind of experience next to river Lots of trees with hanging fruits..was a fun for kids Located near main road to Gangotri Good food We were served tea even at 12 pm - sitting in open with group under moon light and next to flowing river and having hot tea was an heavenly feeling Reasonably maintained tents  Negatives:  Need to work on maintenance specially in bathroom  Overall a must visit place while on the go to Gangotri. No issues with safety. Kids can be their own. Its an experience one must have atleast once. ",Prabhat J,/Profile/prabhat_fca,"Mumbai, India",40
uttarkashi,"#ChardhamCamps which are managed by #LesiureHolidays is situated #Harshil town in #Uttrakhand #India.   If you are on to visit of #GangotriDham, one of the Chardhams, it is recommended to stay for overnight at this Camps. Whole of the Camp is spread out in an Apple Orchard and the Tents are well maintained and has twin beds, proper blankets and has ensuite bathrooms with running hot and cold water. A community tent is provided with a dish TV and games.  Delicious meals including breakfast, lunch and dinner are served in big dinning Tent.   They have well trained staff and highly recommend this place for ones stay during#CharDham #Yatra",Adler T,/Profile/JimmyRajkot_India,"Rajkot, India",40
uttarkashi,"We spent a day at Harshil camp.  We got the tents, which were right next to the river bank - this was the best part of the our stay.  We were up till mid night sitting next to river and chatting with friends.  The staff was quite cooperative to serve us tea at 11 pm. Food is also nice.  In terms of areas of improvement, it is promoted as a luxury camp - in my assessment, it is not close to a luxury category of camp; basic and nice.  They also refer to a number of activities, but there are none.  Warm water supply is limited to 30 mins, and it is erratic with water being muddy - was a problem with kids.  Our objective was to stay at a campsite next river in hills, which was served just about right.",Rahul P,/Profile/634rahulp,"Mumbai, India",30
uttarkashi,"Nestled amongst apple and walnut trees, this camp overlooks the River Ganges and the majestic Himalayas. The camp has a very picturesque location and amazing views (especially room nos 9,10,11, 12). This is the 2nd Leisure Hotels property that I stayed in, in Uttarakhand. I stayed at this tented camp for two nights while visiting Gangotri Dham.  On the plus side, their food was delicious and wholesome and the staff were exceptional with their service. They left no stone unturned to make our stay comfortable. They woke up as early as 3 am to provide us with hot water, morning tea, breakfast, packed lunch for our pilgrimage to Gangotri or our onward journey. They were always ready to cater to our needs. Rinku (at the camp) in particular was very helpful. He accompanied us to",ANJUGOELA,/Profile/ANJUGOELA,MUMBAI,40
uttarkashi,"In village Dharali lies The Chardham Camp, a beautiful resting place for pilgrims coming for chardham yatra. The holy River Bhagirathi flowing in vicinity adds beauty to this place. Majestic mountains that can be seen from the camp. The camps are spacious and are provided with comfortable beds and all the basic amenities to ensure that every guest enjoys a contented stay.",Nirmit S,/Profile/NirmitS15,,30
uttarkashi,"We had two nights booking at Harsil camp made by leisure hotels as part of their chardham yatra package tour. BTW, makemytrip chardham yatra also uses the same camp/package. When we reached camp from Barkot we were told they are overbooked and the camp reserved for us was given to another customer. Camp manager was complaining that their Delhi office accepts bookings without consulting them for availability. This is very unprofessional of leisure hotels and causes uncertainty of accommodation. This is unacceptable for the money they charge for the yatra package. Camp manager finally made us wait for 2 hours while cleaned one of the newly setup camps and for second day he moved us to a regular camp. This left a bad experience of the camp. Also, Harsil is the coldest among places",Srinidhi H,/Profile/SrinidhiH3,,10
uttarkashi,"The camp is said to made up during the summer begining and every year they take out all tent materials and refix the same. Due to which there is lot of issues, such as walking to and fro from dinner tent is bad and connectivity is very poor only BSNL works and that too if towers are up and running. From bathrooms water does not drain and food is not very good.  But the area is fully covered by Apple orchards and river bhagirathi flows nearby and there is a Mahadev Temple, it is said no covering can be built on that and tried and feel down. Near to this temple you can visit the river and have nice time. Also there is nearby village called Mukhwas, where gangotri Devi is kept during winter season. The old classic village is very steep to climb but it gives a real pleasure if some",jvd4801,/Profile/jvd4801,"Mumbai, India",30
uttarkashi,"My wife and me had confirmed booking in this camp during our Chardham package tour booked through Make My Trip, in May 2016. After a long quite tiresome journey from Barkot, when we reached this Harsil camp in the afternoon, we were told by the Manager that all the tents were not ready / completed, only one tent was available and over booking had been done by the management based in Delhi. The only available tent was a small one, in pathetic condition, with a single bed, no shower, but a tap and a bucket to take bath. When we refused to check-in, we were offered a room in a newly constructed hotel, Prakriti Resort at Dharoli, about 2 kms away. This hotel was nice but  was located in isolated place and had the problem of frequent power failures. Being peak season, we had no other",Santu18,/Profile/Santu18,"Mumbai, India",20
