location,review,name,user_profile,userloc,rating
ladakh,Living in a camp at such a mesmerizing location is such an amazing experience that it belittles all other factors! The camps are nice and clean with all basic amenities. Food is good..it's commendable how the staff tries to make your stay comfortable with limited resources. Hot water is provided in the mornings for an hour or so. Electricity is available for a few hours in the evening. All this makes the stay even more enjoyable! The camp location is a little difficult to find due to lack of sign boards and a bumpy approach road. Don't expect a 5-star experience..but it sure is an experience of a lifetime!,Swati A,/Profile/SwatiA318,,40
ladakh,"If you wanna enjoy your adventure by the river, this is the best deal.. Hunder village has solar based power supply during 7:30 PM to 11 PM every day.. You need to charge all your electronic equipments during these hours.. You'll get hot water in the morning for taking shower as well.. Other than that there is no power supply in the whole village including Cold Desert Camp.. Thus, its a good place for experiencing technology detox.. Experience once and you won't regret....",lalliansanga,/Profile/lalliansanga,"Aizawl, India",50
ladakh,"The best tents in the area, very well managed, food was good. The only tents available near shyok river with a beautiful view.. the best part is the clear sky u see full of stars,. The staff is good and friendly",Faiz M,/Profile/FaizM04,"Kanpur, India",50
ladakh,Location is good by the riverside but approach is bit difficult.Camp is good though not well maintaned.Bed was comfortable.Food is good.People are helpful.As with all camps you get electricity only from 7pm to 11pm.,drmeenushukla,/Profile/drmeenushukla,"Jaipur, India",40
ladakh,"The place is superb with very good food and amicable people to serve you. The owner, as well as the people, serve you very good. The location is awesome with the river flowing on its side with camel ride 5 mins drive from this place. A perfect camping place.",travelcheer,/Profile/travelcheer,"Mumbai, India",50
ladakh,We were group of three friends and hired one camp at this location.  1st of all the location and beauty around will impress you and make your day. It's next to river (wherein water comes from Siachin glacier) and a beautiful serene view of mountains. Rooms were pretty comfortable and hygienic. Food and services is also good. We received a warm welcome from the staff there.   Overall the place is best suited for making your trip a memorable.,Mohit K,/Profile/MohitK1339,"Nainital, India",50
ladakh,"It was my fifth season stay with my friends at Cold Desert Camp and every season we feel more and most comfort, Excellent by the way for Food, Stay & nature of the staff. Best riverside location. In the short EXCELLENT.",Mayur P,/Profile/MayurP513,,50
ladakh,"We have booked 2 tents 4 months prior to our travel. But when went for check in we were not given the tent saying that 2 tents were broken. Also there  were 4-5 people apart from us who were arguing as they were also not alloted the tent .   As our booking was confirmed, they had given us an alternative  accommodation of cheaper quality.  We had booked this camp as the views are pretty good from this camp but we were not able to enjoy it.  Hence i feel this camp is not trustworthy.   ",mausam n,/Profile/mausamn,,20
ladakh,"We stayed here on 25th May, 2017 and the stay was pleasant. The tents were clean but the bathrooms were without tiles.  The quilts were so warm that we did not feel cold inspite of so cold and windy outside.  The charging point was available only in the dining area.  The staff was courteous and on our request they arranged bonfire. The food was delicious , loved the sweet dish that was served, it was yumm. In the morning we had to leave early by 7 am and on request the staff packed breakfast for us.  Thank you the staff for providing us services in such secluded place.  Regards, Ambika ",Ambi M,/Profile/AmbiM9,"Mumbai, India",40
ladakh,We were awestruck by hospitality of d owner and staff. Very humble. It was our first experience with tents and Cold Desert Camp didn't disappoint us...food was beyond our expectations in such far away place...only one suggestion- color of tents could be brighter... ,378ankitg,/Profile/378ankitg,"Mumbai, India",40
ladakh,This is the best tent you can have in Nubra. The location has 360 view of  beautiful Korakaram range. This is the only camp near the river . The ambience is gr8 and the service very prompt. I would recommend everyone to stay in Nubra for 02 nights as 01 night becomes very tiresome. The camp arranges camp fire on request. The food is simply superb.,aakash s,/Profile/aakashs343,,50
ladakh,"Tents located in mid of beautiful landscape,very clean and spacious tents, great service provided by the staff, good food. We had a comfortable stay in Cold Desert Camp. I would love to visit this place again",s0mmy,/Profile/s0mmy,"Bengaluru (Bangalore), India",50
ladakh,"Great place, amazing Staff, good food, nice tents and what a nice view ! all in all it was one of the best experience i had in my Ladakh itinerary. The camp has amazing location with Shyok river banks on its front door. P.S : The camp manager is an amazing guy (do ask for his contact before visiting and get a brief about all of the questions you may have)  Bottom line : A must visit camp while you are travelling in Ladakh",Rahul D,/Profile/dobhal87,"New Delhi, India",50
ladakh,Had a grt tym at cold desert. Its so gud to b at such a place surrounded by mountains and cherry on the cake is the camp with such a good quality of food.. Liked it👍🏻👌🏻👍🏻 Hope to visit u bck soon. ,674bhavanic,/Profile/674bhavanic,,40
ladakh,"Awesome view, Awesome location, Awesome Food, Awesome Hospitality, Hot water was made available for our bath. Jain food was also available.  Kartik Bhatt & Team running the show in adverse conditions also!  Just one suggestion... kindly cut the bushes regularly for better aesthetics!",Jenil K,/Profile/JenilK5,,40
ladakh,"This camp, is in the quiet place of Nubra Valley. The camp has an amazing view of the mountains and Nubra. There is a lake just outside the camp property which one can visit.  The rooms/tents are very good. It has all modern amenities required. Western toilets and hot water facilities.   Food was average, which the camp can work on future. But overall satisfied stay for me.",Jeetkshah,/Profile/Jeetkshah,"Mumbai, India",40
ladakh,"The Camp is located about 200 meters from the shoreline of the lake.  The tents are in four rows; as such, if your tent is in the back rows the view is restricted by those in front. The food is fair...nothing special.  I would suspect that the bed linens are not changed daily, so bring a liner or sleep in your clothes.     It appeared that some of nearby camps had nicer accomodations.  But since most people only stay one night.....no real problem considering where in world you are spending the night.  It is a safe choice.",ugaworldtraveler,/Profile/ugaworldtraveler,"Athens, Georgia",40
ladakh,"Great location away from the crowded camp areas of Nubra, Cold Desert sits on its own on the bank of the river. View is stunning, be it sunrise, sunset or night. What makes this camp truly unique is the service. Mr. Karthik Bhatt, who runs the show is very polite and always ready to go extra mile to make sure service is top notch. Camp fire under the stars was a perfect getaway. Without a doubt, all my future stay in Nubra would be at Cold Desert - Period.",Subodh S,/Profile/subodhs165,Dubai,50
ladakh,"Remote, nestled by the river in an ancient river valley...hot food and brilliant tea to warm you up.. tons of exploration options for kids.. so un-city an experience that, with a few adjustments, you will love.  Karthik Bhat and his staff work very hard to keep the place going.. and that is not easy - the camp is remote which is its key pull factor.. you can walk for miles along the river. The beauty of the place is absolutely stunning! The experience is sure to include a dust storm, brilliant dances by sunlight and, if you plan well, a glorious full moon to cheer the insides of your soul!.  Have to thank Karthik and his team for their commitment to keep things going - the odds are totally stacked up against them - just to get hot food and tea in this place is amazing!",vb2cool,/Profile/vb2coolJaipur,Jaipur,40
ladakh,"A quiet and peaceful places to stay... We stays here for two nights and we felt so safe to stay here as it's has a parameter fencing and gate which you felt so secure even though there's no lock for your camp. (We are three singles ladies). When there's no moonlights and clouds pollution, you can easily having star shooting(i.e. milky way) and enjoy the galaxy of stars at night. The staffs are very helpful as will always ask us whether we need anything and beverage. At nights although is cold and windy, the blankets will give you warm enough to cover yourself on bed. Amenities is basic but is clean. The camp is surrounding with flowers and you could smell the flowers early in the morning. If I have a chance to visit again, will definitely staying here again.",YSYSTAR,/Profile/YSYSTAR,"Johor Bahru, Malaysia",40
ladakh,"A fair camp with the usual basic amenities, Serve simple rustic vegetarian food . staff a bit surly and claim everything is self service, for the price you could expect better service. Camp is not sign posted at the main road like other places and it took us an hour to find it. Once we were there , it was worth it , hearing the Shyok river bubbling throughout and a wonderful view of the lower Karakoram ranges. Would like to do it though again, may be a in a camp which is more suited to our needs. The valley is exceptional in its beauty.",nikrang,/Profile/nikrang,"Hyderabad, India",30
ladakh,"A peaceful camp with no charging ports, WiFi and a beautiful view of the mountains! This is around 7km from the desert where you can take a camel ride. The camp is very comfortable with beds, a lamp and a washroom. The nights are pretty cold and if look up to the sky you can see a galaxy of stars - a mesmerizing view(we could even see some shooting stars ;)). The service here is excellent and the food too is good. If you have taken your bikes, there is a place for you to park. Hot water is available from 7 am to 8 am. Diskit Gompa is around ~10 km away. Recommended to stay here. You wont regret it!",kArjunShenoy,/Profile/kArjunShenoy,"Pune, India",50
ladakh,"The camp in Hunder is located at an exclusive location by the Shyok river and it's location is its USP. We loved being away from more commercial areas and were thankful for not being surrounded by campsites by other operators.  The tents provided were spacious, clean and had a small sit out area where we sat counting stars till midnight. We were provided hot water in the morning and the food was simple but hygienic. The staff was polite and helpful. Was a memorable stay and one of the best pieces of our Leh holiday.",Travel Junkie,/Profile/writtikam,"Hyderabad, India",40
ladakh,The visit to Nubra Valley was indeed a very memorable one...firstly because of the place itself and secondly because of the stay at Cold Dessert Camp. The location and the feel of the camp is brilliant. The people there are extremely helpful and cooperative...the food was simple but nice. I experienced a very warm and comforting welcome from the owner as well as the staff...  Inspite of it being a camp it is very well maintained and clean. The feel of living there is just awesome and specially if with a group of friends as there is camp fire facility and is by the river side. Excellent experience...,Darshni S,/Profile/darshnis52019,"Amsterdam, The Netherlands",50
ladakh,"Remote, nestled by the river in an ancient river valley...hot food and brilliant tea to warm you up.. tons of exploration options for kids.. so un-city an experience that, with a few adjustments, you will love.  Karthik Bhat and his staff work very hard to keep the place going.. and that is not easy - the camp is remote which is its key pull factor.. you can walk for miles along the river. The beauty of the place is absolutely stunning! The experience is sure to include a dust storm, brilliant dances by sunlight and, if you plan well, a glorious full moon to cheer the insides of your soul!.  Have to thank Karthik and his team for their commitment to keep things going - the odds are totally stacked up against them - just to get hot food and tea in this place is amazing!  Watch",vb2cool,/Profile/vb2coolJaipur,Jaipur,50
ladakh,This is probably the only camp beside the river. Location is nice along with good service. Clean and well maintained. Here the electricity is only between 10.30pm - 4.30 am but honestly it doesn't matter. Good food and nights are amazing especially the moon rise and stars. Definite place for 2 nights.,Pramod N,/Profile/pramodn198,"Mumbai, India",50
ladakh,Cold desert camp is the only camp situated at riverside in Nubra valley. The views are awesome and the hospitality is heart warming. We reached there at around 3 PM and were personally greeted by owner of the camp Mr. Karthik Bhatt. He himself showed us around and told us about the valley. The view from the camp is excellent.  The camps are spacious and resist cold. They are clean and well maintained. Hot water comes in every morning for 2 hours. Electricity is available from 7:30-11 PM.   Food is kept simple but tastes good and the owner personally supervises everything.  Bon fire can be arranged at night for a price. Try stargazing at night and you will be amazed by clear sky.,Anshumali,/Profile/anshumali2018,"Noida, India",50
