location,review,name,user_profile,userloc,rating
tehri-gharwal,"Visited this last weekend.  We were 12 Adults n 7 Kids, we had a great time there. We stayed their for 2 days and it was fun.... Things we liked about this place:  1) Awesome Food... For the money spent it was great. 2) Extremely helpful Staff 3) Camps with Attached washroom were nice and cosy.  4) We did Flying fox n rappelling.. It was fun and staff was very helpful.  5) Activities included in the prices... 6) Campfire... both the nights. 7) Great location... (Good view n small trek in nearby mountains were nice) 8) Punctuality about the timing of tea/lunch & dinner.   Points of improvement: 1) Few activities mentioned on the website was not available as it got destroyed. Hopefully they will built it again. 2) Few Hammocks here and there on the Camp with be great. 3) Plant a",naveenkumarverma,/Profile/naveenkumarverma,Bangalore,40
tehri-gharwal,"When you are on a tight schedule and wanna get out of the humdrum of city life, this is the place to go. My friends and I all wanted to go someplace to camp, sit around a bonfire, wind out and just relax. And we did just that. There was no mis-management and everything was clean and in order. The staff was soft-spoken and generous with their help. And on top of it all, we got to play with one of the cutest and jolly dogs I've ever met. This is one trip I'd like to take again.",Dhruv B,/Profile/772dhruvb,,50
tehri-gharwal,"We were at Camp Hammock last week with family. The place itself is beautiful with great view.  Accommodation was nice- Camps were clean and well managed, Well behaved staff- ready to serve all the time. Overall, Calm & Quite Place to go. I Would suggest the place to people who want to relax , calm & enjoy the nature. It was one of the best Trip I ever had and Wanna go again. They have many activities to do. which we enjoyed a lot. My Overall Experience is mind-blowing..",manishasethi,/Profile/manishasethi,"New Delhi, India",50
tehri-gharwal,"Awesome Experience!!! A much needed weekend from frustrating IT schedule . The services, staff, cleanliness, bonfire, activities all were very well managed. Witnessed amazing sunsets and sunrises .Must visit for Nature Lovers .The tents are neat and clean . It was  soothing trip in the wilderness.",Sanyam M,/Profile/659sanyamm,"New Delhi, India",50
tehri-gharwal,"I had one of the best getaways ever!! The place is perfect if you're looking for an unwinding and rejuvenating experience It's not too far from Delhi and that makes it perfect for a long weekend trip. I witnessed amazing sunsets and sunrises and camping in the lap of nature was truly exquisite. The camp organizers are very careful about your needs and the people are friendly and helpful. There was so much to do. We could choose from a range of adventure activities and were free to relax and enjoy nature's beauty too. Great experience, definitely going back soon!",TravelToesOfficial,/Profile/TravelToesOfficial,"New Delhi, India",50
tehri-gharwal,My vacation was very well executed and very pleasant at camp hammock. I wasnt very sure about camping at hills with family earlier but camp hammock proved my decison right. I am coming with my office colleagues next month again. Thanks camp hammock.,Anshul A,/Profile/245anshula,"Noida, India",50
tehri-gharwal,"Very often we go for shorttrips to rishikesk and nearby places with friends and office staff, but the last trip that we had at Camp Hammock was really awesome. I mean ""a trip to remember"". The services, staff, cleanliness, bonfire, activities all were very well managed and we really had a good time there. I would like to thank the team who has very well managed all the requirements that we mentioned prior to the visit. Keep it up!!",manassethi,/Profile/manassethi,"New Delhi, India",50
tehri-gharwal,Just wanted to thank you for all the amazing experience me and my friends had at the Camp Hammock. Awesome location which I would love to visit again. I would recommend this place for all my friends who love adventure & nature lovers.  Again thanks for all the hospitality. One of the best camping nearby Delhi.,varun007,/Profile/varun007,new delhi,50
tehri-gharwal,"I visited camp hammock, Tehri last weekend (holi weekend). The Camp is located in an apple-peach orchard. The location of the camp is mind blowing, i was awestruck when i first saw the view of the Chamba valley from the camp. The place is about 100mts from the road so, it feels like you are living in a jungle. I was woken up by the chirping of birds in the morning, i later went for a hike in the forest which is completely untouched by Humans. My afternoon was spent under a tree with a book in hand. The evenings were amazing, one of the best sunsets i saw at the camp. The bon fire and light music set the mood for the night. It was an amazing experience. A great place to unwind from the hustle bustle of the city, a place to feel content with oneself and nature.",Udit B,/Profile/212uditb,,50
tehri-gharwal,"Oh my my....what a superb location!!!! you always feel like being in paradise. Would luv to visit again n again. Must visit for Nature Lovers / Bird watchers and Adventure Freaks..  After visiting the place I can recall my favourite quote by Robert Frost Woods Are Lovely, Dark & Deep But I have Promises To Keep Miles To Go Before I Sleep And Miles To Go Before I Sleep",HoneyGold_RC,/Profile/HoneyGold_RC,"New Delhi, India",50
tehri-gharwal,"Sanjay, just wanted to thank you and your team for all the amazing experiences we had at Camp Hammock. Not only did your service far exceed everyone’s expectations, the unbeatable price left all of us in awe.   We love Camp Hammock!!! …the landscape is totally unique and the experience is so special.   We'd recommend this camp to anyone",AWGeorge,/Profile/AWGeorge,"Gurugram (Gurgaon), India",50
