location,review,name,user_profile,userloc,rating
shimla,Visiting the Bodhi tree is delightful and enlightening experience.THE TREE IS BEAUTIFUL and mesmerizing. It is obviously very old and true to its name. You get a wonderful feeling in it's shade. The thick foliage and the expansive branches recreate an aura of things divine,sudershan s,/Profile/lovingGurgaon,"Gurugram (Gurgaon), India",50
shimla,My wife and I stayed at this hotel for 3 nights during the 1st week of Jan. There was snow and it was magical. The entire staff was very cooperative and helpful. The location of the BNB is very nice and ideal for family and friends. I loved my stay here.,Gopal,/Profile/Gopalchauhan123,,50
shimla,Stayed here for almost 4 nights with my group of friends. We booked all the rooms here.  It's a small property but really unique. The decor is welcoming and warm.  They have made a nice ambience. I would surely be back here again. ,Prdeep C,/Profile/prdeepc,,50
shimla,"Me and my wife stayed at the bodhi tree bnb in Shimla. The BnB is in lower Bharati, only 2 Kms from the ridge. We had all our meals at the bnb as the food was very nice and tasty. The overall stay was very comfortable. Staff was kind and polite at all times and were very helpful. I loved the view from my room. We extended our stay by 2 nights as we liked it so much. Would surely visit again. Recommended for those who are looking for a getaway from the city.",Kamal kant,/Profile/kk45701,,50
shimla,If u love isolated but clean and best hotels this is one of it.. offers grt views .. so peaceful.. homelike ... clean and spacious rooms and bathrooms.. mr Vicky tries doing his best to serve guests with whatever they need... grt stay indeed,Nishant,/Profile/Nishptl,"Rajkot, India",50
shimla,"I love to travel alone and during my trip to Shimla i stayed at the bodhi tree bnb for over a week. From the beginning till the end, everything was perfect. Beautiful designed property and rooms. The quality of food was also very nice. You must try the kadhai paneer, it was just too good. For peace and comfort this is the place to be. PS : you will love the view.",Dimple T,/Profile/504dimplet,,50
shimla,"A very pleasant property with a comfortable environment for all types of travelers be it aged or youngsters. Nice wooden interiors that are absolutely unique, definitely something you have not seen before. I recommend this property. Will be here for sure the next time I visit shimla. Thank you to the entire team.",Āj ßtyle g,/Profile/_j_tyleg2019,,50
shimla,I would like to thank the entire team at The Bodhi Tree BNB for their lovely hospitality. They took great care of my entire family. We were so comfortable that it felt like home. The rooms are so beautiful especially the Master Suites. What a view from the balcony!! If you want to be close to the mall and yet a little far away then chose this bnb. Special thanks to the young boys managing the show. Keep it up team. Definitely recommended!!,Vikki T,/Profile/978vickyt,,50
shimla,"The place is a museum of artefacts, together compiled with love and sharing. The surroundings were just like a paradise, with so much of wildlife abundance. A big thanks to *The Shukla family*, who are the owner. Totally blown with the audacity. I just felt like a I was Home, away from Home. Beautiful pursuit of memories i tasted and came back to Gurgaon to go back again soon.   Sharing a picture. Feels be like 🦋",Dhruv J,/Profile/Jet687606,,50
shimla,The hotel rooms are comfortable and the view is beautiful . Hospitality is par high. Also the food is very tasty . I visited with my friends and we had an amazing experience with the beautiful view. We enjoyed the stay and would recommend the same to others.,Deepika C,/Profile/DeepikaC31,,50
shimla,By far the best hotel that provides exceptional service. It has the best hospitality team and the location is perfect.The best thing of this hotel is its food. Worderful place to stay. Highly recommended !,Harpreet,/Profile/Harpreet10897,,50
shimla,We enjoyed our stay in the Hotel The bodhi tree. It is centrally located and easy to get around to all the places one wants to visit and see. We enjoyed our time there very much. The staff is very Good and cooperative. One must visit when travel to shimla.,Shubham Jindal,/Profile/Shubham370,"New Delhi, India",50
shimla,Such a lovely place to stay with friends and family. Nice environment with lovely view! The staff was also good and you will feel like home here ❤️ I will suggest this place to the people who want a place like home in Shimla. ,Gunjan Joshi,/Profile/gunjanjoshi08,,50
shimla," The staff, food, decor and view, everything is just so so amusing that you never want to come back home. The rooms provide you with the comfort of your room. The view is no less than a scenery if the whether is good, which was luckily my case. Food is yummy. Its a little ahead of the mall road, so its quite and calm.  So, I fully recommend a visit here. 😉",Arundhiti S,/Profile/ArundhitiS,"New Delhi, India",50
