location,review,name,user_profile,userloc,rating
tehri-gharwal,"This place is not for couples or small family due to its location away from market or city. We chose it for team outing and it turned out to an amazing trip due to the comfortable stay, tasty food, friendly staff and Mr sunil(owner) because of is cooperation. They provide hot water during morning hours, buffet meals and cocktail snacks with a little extra cost.  A must visit place for team outings.",Amarpreet_Saggu,/Profile/Amarpreet_Saggu,"Noida, India",50
tehri-gharwal,"1. “Camp Calista” was renamed as “Camp Dhanaulti Magic” when it changed hands from one owner to the next. They are one and the same. I however see different reviews under the two names.  2. All Camp owners have joined hands to raise their prices similar to the hotels and resorts, which have spent lot of money in doing the construction and landscaping. These camps are nice, but do not deserve to be at even half the price. They charged us Rs.2K for each person. So 8K per night for 4 of us. “Green forest Resorts” located within the same premises, provide much much better facilities. 3. The beds and the sheets looks shabby to say the least. 4. Water taps and running water available in each tent. 5. Food is average and not bad actually. If you have a car, you may go and explore",Soumen N,/Profile/S0umenN,Delhi,20
tehri-gharwal,"For 1500 pp breakfast and dinner included in one camp with good basic facilities such as western seats, wash basins however no hot water and mattresses were a little hard but I guess that adds to the whole adventure and camping experience.  The location is perfect with good views of the Uttarakashi and Himalayan ranges. Excellent parking facility : private parking space available.  Jimmy the dog is also very friendly.  Food was good : served us chicken in dinner and also got eggs/omelettes for  breakfast and alloo paranthas.  A worth it experience - the price was also very nominal considering bon fire was also included.",TarangTravels,/Profile/TarangTravels,"Ghaziabad, India",50
tehri-gharwal,"As its a village but this place is equipped with all basic amenities... hot water is little problem... food they made as per your request... care taker is also amazing... basic games are also available for recreation, must have trained driver to reach at down.. they should arrange some lights at the bone fire or DJ area... anyways nice stay ... will try to find some other food options to stay next time.. ",Saxenati,/Profile/adidas333,"Gurugram (Gurgaon), India",30
tehri-gharwal,"I stayed at Camp Calista during last week of December'16, Sorry for the late review ;)... wonderful stay we had there. We were 3 bikers on a ride from delhi and we found this place really worth riding for these many kilometers. Food spread is not too lavished but that is how it is supposed to be in such adventurous places. the staff was very very helpful to accommodate your needs (if appropriate). Special thanks to staff members for helping us out when one of our bikes didn't start due to minus temperature and they helped us pushing it up to the road...Hats off to you guys. Thank you so much for your support. We shall visit for longer duration during end of this year too ..Cheers ",Amit Sethi,/Profile/Aamitt,"New Delhi, India",50
tehri-gharwal,"Camp Calista was  superb.. it was very nice place the food service is very good , &  all staff behavior is too friendly... this camp is so good. that is very enjoyable camping. best  facilities in the camp.for camping & adventure. surely  i will come back soon....",450neha,/Profile/450neha,"New Delhi, India",30
tehri-gharwal,We did an over night camping there with friends and family in march this year. This camping site is located at almost 8300ft. above sea level at very best spot in dhanaulti. This was only site where parking is in house.mobile connectivity was  not regular but in camps we get some signals but as we want to remain cut from the outside world. The resort had tents set up on two step levels of the mountain.we took larger tents with attached bathrooms. The tents were huge with rot iron beds and comfortable linen and one of the best quilts ever found in camps.but i will say if you r for camping go with open mind and enjoy the beauty.we ask for separate bonfire and after that it was awesome in front of snow clad peaks straight in front of our eyes and we lost in that sight and sit there,joginderchhabra24,/Profile/joginderchhabra24,"New Delhi, India",50
tehri-gharwal,The time you reach to the campsite you get to have a spectacular view of the Himalayas in front of your camp. The view gives you a great feeling and the stay add on the experience with a nice services from the staff.  Food was great with a nice bonfire in the evening with cool wind blowing. The stay in the tents is very comfortable along with the attached bathroom with spacious tent space. I dont know why and how people have rated there experience as bad but we have been coming here since so many years and also suggested this property to many of my friends and the feedback has always been nice n grows better. They also provide a local excursions too. BE prepared for less phone networks that will give more peace. Have also viewed the snow here so its the best place to be in the,Himalayan Lama,/Profile/Himalayan_Lama,"Dehradun, India",40
tehri-gharwal,It a good camping in Dhanaulti . In camps we do not expect much . But it was a great deal for the me . Food was good although limited option but my expection was not so high . View from this camp is good . Linen was clean . Happy Holiday in Jungle .,AmitDhanda,/Profile/AmitDhanda,delhi,50
tehri-gharwal,"To start with, I have been to a lot of camping resorts, and this one is not even worth reviewing.   We were a group of 5, hoping for a relaxing 2 day stay,  however the place was so mismanaged that we decided to leave the very next morning.   The camp site was very dirty and unhygienic. The food quality and taste was bad. In the evening when it was time for bonfire,  you expect a good ambience with all the camp residents gathering around a single bonfire,  however the camp staff preferred to light multiple small bonfires for each group, which literally killed the fun of camping in first place.   The beds were dirty and the camp itself was in a very shabby state.   If you prefer going to a camping resort,  please don't pick this one.",Milan3103,/Profile/Milan3103,"Faridabad, India",10
tehri-gharwal,"when we went there the local guy called up someone (the owner maybe), the booking on cleartrip was done 2 days back, but I was suddenly told that you should bring a print out in the middle of the forest, and moreover it was an instruction made to me by some stupid fellow on the phone when I have the mail copy on my phone/laptop etc, super stupid I must say. Water goes off suddenly in the evening in toilets, so you have to steal it from the overhead tanks in the morning, the tents are almost open from the bottom so there is a high risk of any reptile to walk in and have fun with you for the night, we asked for drinking water atleast 7 times but we never got one, no network coverage of airtel mobiles, no wifi, if it shows on the website ""IT IS JUST NOT THERE"", food is pathetic.",Shirish D,/Profile/ShirishD1,"New Delhi, India",10
tehri-gharwal,"We were 6 boys . We took a camp which was enough for all of us to sleep  Rooms were clean and the washroom was also good except the water flow. There is scarcity of water in hilly areas. location was very good , view from outside the camp was worth it plus in the night we were allowed to play loud music and two huge speakers were provided by the owner. So in all it was a good experience. One can go there and relax, which is the best part about it 'peace'.",rishab j,/Profile/RIshabh5,"New Delhi, India",40
tehri-gharwal,"it was a great experience staying in Camp calista. The camp was really awesome, clean and pleasant. staff was really good. location and Food was very nice in fact very good. I never heard and seen the camp like this, i really enjoyed very much, I will command to stay in camp calista to get enjoy in vacation again .",sarvjitpratap,/Profile/sarvjitpratap,"National Capital Territory of Delhi, India",50
tehri-gharwal,"we a group of 5 girls went for 3 day camping at dhanaulti with camp calista . it was an awesome experience with best of the services provided. we felt the nature at its best . got to our feet with adventurous activities like zip line , sky walk , sky bridge . next time would definetly try jungle walk and rock climbing etc. the trip was totally fun. will go again with my family .",priti92,/Profile/priti92,"New Delhi, India",40
tehri-gharwal,"The worst place to visit. Everything except the location is terrible. The resort is untidy. Broken tables and chairs. The caretaker Mr Michael is mostly unavailable and comes back late evening drunk. The resort is mostly taken care by 2 kids aged 10-15 (yes my friends might be Child labor, though they might also be related to the owner/caretaker not sure about that) but they were the only one doing everything from bringing food, water, cleaning rooms etc. With only one more adult who was the cook and hence would not leave the kitchen. The price was high and we had agreed thinking the service would be good, but it was to the contrary. I gave them my license which they were supposed to xerox and return next morning and they conveniently lost it. The food is average and the",Dipanshu G,/Profile/dipanshug,New Delhi,10
tehri-gharwal,We booked campcalista for our two day stay in dhanaulti near mussorie  .This serene and picturesque abode is a place where anyone will feel refreshed. A vacation here will be cherished ever. This place is perfect for those who want to enjoy the greenery and the serenity of the mighty Himalayas.it is located on very beautiful location.one is not required to go out.parking is within the camp.food is great . surely value for money.staff is cooperative.,aashi507,/Profile/aashi507,"Gurugram (Gurgaon), India",50
tehri-gharwal,"I went to this place with a group of 25 friends from office. We stayed in tents. Most tents have attached toilets. Like every hill camp, there is water shortage, but staff can get you a bucket of water, in case there is none in the tap.  May be because of the large number of people in the group, the staff was not able to manage the food service properly. They were usually late for the service, through the taste was good.  Hot water is available on demand.  If you are going with children or elderly opt for the rooms instead of tents.",Prasenjit Bose,/Profile/bosepra,"Bengaluru, India",30
tehri-gharwal,"We were a medium sized group of around 8 people and had a corner house with 4 magnificent apartments. With weather playing its hide and seek, the views and had three camps at camp calista, Dhanaulty. That day there was a music camping at Camp Calista. There are around 70 other guest. That day We had a great stay at the Camp Their service was par excellence. It has a great view of the Himalayas. Very peaceful and calming. The food is good, and the staff is very helpful. we went for a long walk and also enjoy DJ night and other activities at the camp. Great camps for a break from the routine and respite from the Delhi heat. Love to come again.",tabishkazmi,/Profile/tabishkazmi,"New Delhi, India",50
tehri-gharwal,This serene and picturesque abode is a place where anyone will feel refreshed. A vacation here will be cherished ever. This place is perfect  for those who want to enjoy the greenery and the serenity of the mighty Himalayas. Well equipped camps and perfect services of camp calista made our holidays  even more memories. Loved the place,archava,/Profile/archava,"Delhi, Delhi, India",50
tehri-gharwal,"It was a nice stay.There are 3-4 standard hotels in this beautiful place in the lap of Himalayas ,camp calista  is definitely the best as far as location is concerned.All rooms are spacious with a mind blowing view,the front rooms offer view of pines, .campcalista is very best location from where you can have a view of entire valley. with a property of 19 acre .and snow clad peaks in front of your camps . apart from this you can also visit 02 eco parks which are very close to the hotel.The hotel staff are good and the food is tasty. you can also go for forest walk upto tapovan . will came back soon ,i love the trip.",133Ankit,/Profile/133Ankit,"New Delhi, Delhi, India",50
