location,review,name,user_profile,userloc,rating
haridwar,"I don't think anyone have to read the review details after reading the subject line. It is worst hotel ever I have stayed. We were 3 families booked 3 rooms and everybody has the same bad feeling. We booked 3 rooms for 2 days @ 9800 which is not daam cheap too.  Their hotel is full of bug and anybody need to run to hospital after spending 1 night there. we were sick too. Only the location was good and nothing else. Though their ganges facing rooms are so terrible to spoil your entire trip. Best of luck if you still book this hotel after reading this review.  Terrible Hotel, Dirty rooms, Bugs everywhere, No Gyser, Bad behavior of manager, Your belonging can be stolen, Good Location but I wod rather stay at road.",Prosenjit,/Profile/Ghosh_Prosenjit,"Kolkata, India",10
haridwar,"The good point of this hotel is, it is bang on the ganga ghat. Though the hotel is an average one where you can find some cleaning issues. Otherwise, a good one for its service. Vehicles don't move in lane of the hotel, so big vehicles are not allowed.",amitkumar_bec,/Profile/amitkumar_bec,"Gurugram (Gurgaon), India",40
haridwar,"Dirty, badly maintained, not cleaned, unresponsive to guests, boring food, worst manager ever. I think will run out of adjectives staying for this hotel We were three people who stayed three nights and we had to as we had booked online. The hotel employees, one person who was the most efficient, actually told us never to come back to the hotel. All agree that the manager was the worst thing to have happened to it. He also told us not to book online as they extracted the discount through poor service and behaviour.  We had gone in Feb, off season, and we could have got many hotels, cheaper and definitely cleaner and with some semblance of service. The rooms were so dirty that you could see dark rings around furniture, which too were broken. Everything in the bathroom was dripping",Paroms,/Profile/Paroms,"New Delhi, India",10
haridwar,"Very good and clean hotel at the bank of river Ganga. Its have parking facility too. You can attend all rituals at Har Kee Pauri without any hassles. You are very much there just after going downstairs and when you are in your room you will feel comfort as there will be no noise, disturbance.",Manojjha14,/Profile/Manojjha14,"National Capital Territory of Delhi, India",50
haridwar,"An amazing place with amazing people running the show.It has all the facilities for a holy dip in har ki pauri.Best part is the location of the property, which is just away from the hustle bustle of ghat and just walkable for any other place.The kitchen is an added advantage,as they prepare almost all dishes without onion and garlic .  ",Neal,/Profile/nealpant,,50
haridwar,"We stayed here for 1 night in Oct 1st week. Awesome location, though it is slightly tricky. The main gate of the hotel is about 1.5 km from Hari ki paudi. Though, there is a catch, the hotel has a door opening right at the ghat (150 meters from hari ki Paudi). The timings for this door are 0600 hrs to 2100 hrs.   Check in was smooth, porter is available. Rooms are very basis but clean (though the front office Manager gave us Ganga facing room which was a plus). We had the booking on 'room only' basis so can't comment about the food.   Washroom was clean with hot water facility. Our overall stay was pleasant.",Pushpanjali D,/Profile/pushpanjalid2017,"Chandigarh, India",30
haridwar,"The hotel is of substandard facilities comparing to the tariff it charges for the room. Only plus point is the location of the hotel. Dining facility not good, Spread is limited to only spicy north Indian variety, rooms were not provided with the basics like towel soap and tooth brushes, excessively priced.",Biswanath D,/Profile/993biswanathd,,30
haridwar,"Our first visit to this hotel & we think twice for our next visit. Location are very good but rest all the things are not as per our satisfaction. Rooms are not neat & clean,furniture & ac are very old & staff of room service need proper training. Reception staff are cooperative but rest all need to improve.",Bipinbhatt,/Profile/Bipinbhatt,"Ahmedabad, India",30
haridwar,Had two rooms for family and my family came back with a bad experience at the hotel.  - Damp Rooms - Bad service quality - Cleanliness an issue - Toiletries are bad - Didn't even give a towel to the third guest in the room (paid for and pre- informed) - No parking at the hotel premises (we knew about it beforehand though)  Overall a really ordinary experience. Avoid staying here.,Nishith14,/Profile/Nishith14,"Delhi, New York",10
haridwar,"A nice hotel affordable rates , gud stay neat rooms , friendly staff , near main spot har ki puri . It has a  seperate entry for ganga ghat   Rooms r big . N clean   . Wanted to  eat out try  hoshiyarpuri, mohan puri wala &   vaishnadevi hotel bang opp har ki puri    Its a five star",poojaphysio,/Profile/poojaphysio,"Calangute, India",50
haridwar,Right on the banks of ganga. Should be kept well aa a hotel with such steep prices for rooms. Pathetic tea kettles even for serving tea. Just a Dharamshala types. Pros.. Gnaga ghat else no point.... Usually i don't say bad about but i am really disappointed ,z00g,/Profile/z00g,,20
haridwar,"Pathetic and worst to pay even a single penny - no room service, no basic amenities, nothing given during stay. you have to ask for everything and the quality of product or services given is used one not clean beds, not washed, beware of fraud. i checked in with 2 rooms and told him to provide 2 big rooms in place of  3 small rooms but he kept the same cost even after we took 2 rooms in place of 3",Nkapil,/Profile/Nkapil,"Gurugram (Gurgaon), India",10
haridwar,The usp of the hotel is the location. It is right at the bank of Ganga and 2-3 min walk from Har ki pauri. It is also close by other major temples like Mansa Devi Rope way and Shanti Kunj etc. Rooms are Big and neat but the food taste is avg.,Manish S,/Profile/manishs898,"Pune, India",30
haridwar,The room which was promised to us was never given.  The one given was similar to it but in a pathetic condition  When enquired why is our room so poorly conditioned he mentioned the actual room allotted to you has been taken by someone else.  When asked him to show his register he did and also showed his system software not realising we are hoteliers and caught his fraud and lie in less than 40 seconds.  The guy at reception is rude  I wouldn’t recommend this hotel to anyone. ,ajay b,/Profile/ajayb2804,"Mumbai, India",10
