location,review,name,user_profile,userloc,rating
ladakh,"The best place to stay in Leh and best hospitality ever received by us all over the world, hotel is the good neat and clean.the location is very convenient, room are big and clean well maintained,  Enjoyed the stay at hotel . All in all a. Good place , the best part is the staff and their hospitality,",Rajan K,/Profile/271rajank,,50
ladakh,"Location wise the hotel was situated near about 2 minutes walking distance from the main market and it was good location, I was able to reach the hotel comfortably without any problems.  The hotel is maintained with WiFi facility and   hot Water . The staff excellent in cooperation and services. Room are there very view and excellent neat and clean bathroom.   We are recommended this hotel  ..",Deepa J,/Profile/100deepaj,,50
ladakh,We stayed in this hotel 2 night in September 2018 . The hotel was friendly feel to it . The service is very good . The view from the terrace is excellent. Wonderful views of the snow clad mountain and was easy walking distance from the market area at leh  The reception department was very helpful.  Food was also good .,cheriankerla9,/Profile/cheriankerla9,,50
ladakh,"We were in Ladakh for 7 nights and stayed at hotel alpine villa for 4 nights.   Hotel is in short distance (5 mins walk) to the Leh main market where you can enjoy dinner, nice cafe or local shopping experience.   Staffs are eager to service and response quick to our request.   I ask Mr. Naveen (Hotel GM) to arrange trip for us to places in Ladakh including breakfast, dinner and he did very well arrangement.   Room is spacious with hot water, wifi(even not so fast but I still able to get my work done via email and Wifi calling).  In front of the room has a terrace where you can enjoy coffee in the morning or take a view of an alpine in an evening.   Dinner and breakfast are great,  they can arrange dining to match our taste.    The hotel is highly recommended for friends, ",Thanavudh,/Profile/Thanavudh,"Bangkok, Thailand",50
ladakh,"I stayed here for 4 night.. The best place I have visit ambient, service, people are awesome..  Food is excellent I never realized.   Service is very very good room service excellent. Wi-Fi is little slow and you not get the range if your room is just above the reception.   Location are excellent...  Very large room and spacious..  Bathroom neat and clean..  Hot Water every time  Overall the best experience and will definitely recommend this hotel to all kind traveler,",katriya58,/Profile/katriya58,,50
ladakh,"Very good hotel, specially hotel staff and hotel manager Mr. Naveen.  Provided Full supports and taken good care of customers , food quality and taste is good. Location of hotel is near to main market. Taken complete package for hotel and car travel with hotel Alpine villa and fully satisfied with service of hotel and driver.  Mr. Naveen arranged a proper arrangement and taken a good care of their customer. Thank to him.  Advice for travelers is that must visit panting lack , it's beautiful, but not stay there , just come back to Leh to stay as in pangong electricity is available only for 3.5 hrs in a day from 7:30 pm to 11:00pm only, therefore, advisable that come back to Leh. If wish to experience the village life without light, hot water in buckets for bath, then it's ok for",santosh13january,/Profile/santosh13january,"Jaipur District, India",50
ladakh,"I stayed this place in first week of June 2018, overall decent place to stay, clean place , cooperative staff, walking distance to leh main market, 2nd floor rooms are big nd best to stay, only drawback is wifi connectivity is almost negligible in rooms",Amit Garg,/Profile/amitgrg77,"New Delhi, India",40
ladakh,Excellent hotels very good service very nice staff. Rooms are very good nice view from the room. Nice location very near to market. Food was great 24 hrs service. Neat and clean room. Manager is good.,Mithun G,/Profile/105mithung,,50
ladakh,We enjoyed holiday with my family members at Leh ladakh om May 2018. it was amazing experience!!!  The hotel alpine villa has taxi and tour service with experienced....all staff are polite and cheerful with treated it's guest like family members and took ulmost care to each and every guest and go out of their way to make your stay memorable one ...,Omparkash Singh... O,/Profile/omparkashsinghthakuo,,50
ladakh,"We happen to stay for 4 night in this hotel , the service was good and is best hotel in leh ,the hotel is near to market so you can easily walk down any time of the day.  The room were comfortable in everyway. I would recommend the hotel to all those who are visiting leh, ",Yashwantyudu,/Profile/Yashwantyudu,,50
ladakh,"We had been to Leh-Ladakh during  27th April to 4th May 2018.  Had stayed at Alpine Villa through a friend`s reference.  We had a wonderful experience while staying there. Their services are excellent.  Timely advises by them made it easier for us to acclamatise more easier there.    comfortable  services  were provided by the hotel staff.  Rooms are neat and clean. They supplied quality food.  They made arrangements for site seeing locally and to other places in a very comfortable manner with specialised drivers.  Shri Naveen Pande,, Manager,  deserves special praise for managing things with his team.",kannakumar N,/Profile/kannakumarN,,50
ladakh,"Hotel alpine villa near of the market , it's a great hotel to stay with good food and had enjoyed the place , rooms are decent comfortable  ( shower with proper hot water ) , Rooms are spacious and architecturally it's influenced by tibetian culture.  All in all great place to stay and travel around leh, ",sunilku95,/Profile/sunilku95,,50
ladakh,Rooms are comfortable and spacious; within walking distance from market.  Food quality and variety offered in restaurant was really good. Staff was helpful and prompt. Our request to accommodate a room change from top floor to lower was taken care of swiftly.,Rajkumar S,/Profile/RajkumarS399,,40
ladakh,This hotel is plumb in the center of the Leh market place. It is affordable and comfortable at the same time. The rooms are big with large windows for the sunlight to come in. The hotel is clean with neatlt maintained rooms. The bathrooms are big and clean with 24 hours hot water!!! Food is good and tasty. Staff is very friendly and helpful. It was a real enjoyable stay.  ,Goutam D,/Profile/goutamd557,,40
ladakh,"Excellent, very good and amazing hospitality in hotel alpine villa ,good service and food great location large room clean bathroom hot water everytime , helpful staff , Naveen and jigmet friendly and very helpful..uor  tour organise Leh Ladakh , Definately recommend it to visit for stay close to market HOTEL ALPINE VILLA ",anujos32,/Profile/anujos32,,50
ladakh,"Stayed here for 4 nights as per Yatra captivating Ladakh trip in sept . Very hospitable staff, comfortable rooms, clean toilets.Good food. Hot water available most of the times,very convenient location near to city centre. However no room heaters,even in September when it was freezing. But staff here are very hospitable and they managed to find heater for rent, but I feel heated should be standard equipment here.",Vinay M,/Profile/vinay2016,"Bengaluru, India",40
ladakh,"We had a good stay for a few nights here. The outside of the hotel has been done beautifully, though the rooms are not all up to the same standard - those on the lower floors seem to have been nicely refurbished, but the upper floors have not caught up yet. The hotel is in a great location and is decent value for what you get. We also found the WiFi here to be better than elsewhere in Leh - there are routers throughout the hotel so, when it is working in Leh, you get a good signal.",Alyssa111,/Profile/Alyssa111,"London, United Kingdom",40
ladakh,"While the street is an unmade road the location is very good, being close to the main tourist area with lots of local eating and shops. The hotel is large with big open outside areas on each floor where you can sit. Rooms are large and comfortable. The staff are terrific and looked after us very well. If we asked for a banana for breakfast a guy would rush out the front door to buy one from nearby. They also serve cold beer in the downstairs lounge area. There's a great place nearby in the same street for eating and drinking called the Penguin garden (or the German Bakery). Wi-fi is free but is unreliable, as it is in all of Leh.",Ian J,/Profile/Mindai,,40
ladakh,"Nice hotel Alpine Villa leh. ..great view in 3rd floor. Room are very large ...neat and clean bathroom, we are 4 persons stay there room are so nice hot water good morning time ..we are very happy there ...☆☆☆☆ .. !!!!!",ritu1412,/Profile/ritu1412,,50
ladakh,"I booked a Leh Holiday package  (Deluxe) and got this hotel allocated for 03 nights between June 25-July 1st 2017. My experience with this hotel was not so good, this hotel has few good points and opportunities for improvement are unlimited.  Thumbs Up : 1. Location of hotel is very close to Leh main market which makes it a suitable place in case you love shopping 2. Hotel infrastructure is new and good 3. Nature of staff is simple and humble 4. Food quality is satisfactory   Thumbs Down : 1. Though Staff is humble and kind they miss In professionalism, like how to manage orders and client request. If you order tea in room sometime it comes in minutes but sometimes you need to make 3-4 calls followed by a personal visit to reception. 2. You will be surprised to know this hotel",Ajeet,/Profile/apande28,"Gurugram (Gurgaon), India",30
ladakh,"The + of this hotel is its location few walking meters away from the ""market"" and restaurants. The staff could be a bit more smiley but so far they have been helpful the minimum required when necesary. The room is clean. If I had to go back to Leh I would probably go there again.",mariejd,/Profile/mariejqmd,"Dubai, United Arab Emirates",30
ladakh,"Market is walking distance from hotel. We stayed for 2 days, food was goo, traditional touch in dining area, rooms were clean & spacious, wifi connectivity, books overall...it was a very comfortable stay...",Shweta B,/Profile/973shwetab,"Singrauli, India",40
ladakh,Stayed in this hotel for 6days and 5 nights and its one of the best and nearest hotels from the Market. They service great food (Breakfast and Dinner was included in my package). They served me from Local Veges. To Indo-Chinese food (Noodles/Manchurian). They do have Wi-Fi but was not working properly due to local problems. They do have clean and Tidy toilets (A great concern for everyone). A few of the staff were rude but thats not to be cared at a high level.  Highly recommended if you wanna stay in Leh near Market.  Stay- 5/5 Food- 4/5 Service- 4/5 Staff- 4/5,Aishwary M,/Profile/854aishwarym,,40
ladakh,"We booked the package through Make my Trip- 7 days 8 nights. Make my trip got us an attractive package and the Hotel alphine was so peaceful, good food except the Wifi was bad. food charges are quite reasonable. there are no fans and in july one day we struggled as it was quite hot in the night",rr_vsr,/Profile/rr_vsr,"Bengaluru, India",50
ladakh,"Decent hotel just 5 minutes away from the market. The rooms are nice and spacious. WiFi connectivity is good (at times, it is down throughout the city).  Make sure you ask for rooms which have WiFi signal.  Food in the restaurant is not great. Being just 5 minutes away from the market, you can find many good restaurants. ",Srinath Gupta,/Profile/srigups,"Mumbai, India",40
ladakh,"First we thanks to Mr. Naveen (9622304341) for his best service provided to us. Hotel Alpine villa is best hotel for traveller, we are 6 pair went for tour. Naveen help us at ever moment were required.   From Ramesh Kumar Surana",Mithilesh M,/Profile/MithileshM26,,50
