location,review,name,user_profile,userloc,rating
ladakh,"We spent several days at this hotel and we felt like home :  warm welcome, friendly staff, excellent service and good food.  The manager and his staff did a great job to make our stay enjoyable, always there to help meet our needs.  Mohan and Umesh at the restaurant took good care of us :  suggestions of local dishes, customized meals and great service.  The room was spacious and very comfortable with hot water 24/7.  We enjoyed very much our stay and were very satisfied.",Renee,/Profile/ReneeD14,"Montreal, Canada",50
ladakh,We visited Leh from 24th to 30th September 2019. Stayed in this hotel for 4 nights. Beautiful large room furnished with large king bed with nice mattresses. Double glazed glass windows with beautiful view. Attached bath with showere's stall and ultra modern fittings. All the staffs are customer friendly always eager to help. Food quality and quantity is very good. Manager Mr. Lendup is very helpful and guides the guests about aclaimatization.,santabhanu,/Profile/santabhanu,"Kolkata, India",50
ladakh,"Sera, courtyard and family, a big thanks for making me feel at home. Great hospitality, awesome ambience, just few minutes drive from airport and main market , ginger liking food and most importantly personal touch of Mr. Namgayal, Hope to see you soon.  Superstar service  Stay blessed.  Dr. Abdul Majid  Srinagar Kashmir",Abdul Majid,/Profile/abdulm2452,,50
ladakh,"Good spacious rooms with natural light from the full glass windows. Very polite and helpful staff, but still does not compensate for the below negative point!  Only thing disappointing was: Why the discrimination in restaurant service & options for full paying customers on different days based on their occupancy rate? When they had full occupancy in hotel then they had good buffet style breakfast and dinner. But when only a few rooms occupied, then no buffet.. OK..that is understood.  BUT on those a la carte days.. excuses that ""Tandoor is not ON and Grill /Oven is not ON"" because not enough guests...ultimately resulting in very few & tediously repititive options of vegetarian dishes for breakfast and dinner. Dessert being limited to two options of regular canned stuff, nothing",kshodh,/Profile/kshodh,"Ahmedabad, India",30
ladakh,Hi stayed there from 29 June to 5 th of July for my leh trip.itbis nice small deluxe hotel with basic amenities like restaurant etc.There is no spa or extra activities to do.The parking space is also very small. About the rooms I could say they are good enough for the price one pay but bathroom needs shower partitions. The best thing is there food and service with personal touch.The staffs are really very caring . Overall a nice hotel,rajesh Ghy,/Profile/rajtrips,"Guwahati, India",40
ladakh,Our most favorit hotel that we stayed at in India. Such lovely and courteous staff! Rooms were always tidy and food was always nice and well spiced. Hotel is only 1 km away from city center.  Thanks for everything!,Andrea K,/Profile/206andreak,,50
ladakh,The rooms were good but the window shades were light and let through a lot of sunlight .. additionally the chef is really bad.. during the buffet the dal was very less so we asked waiter to get more.. the chef added water to the dal and sent to our table.. we had to make noise for him to fix a fresh portion of it.. you charge so much money for buffet at least serve proper food.. the card machine doesn't work and you have pay in cash.. wifi is too slow..,bhoomimehta,/Profile/bhoomimehta,"Noida, India",30
ladakh,The new wing in the hotel is a very good option for staying in Leh. A smaller hotel with very good staff and good (if quite rich) food. Important to note - they do not offer room service and wi-fi is spotty.,vaipatel,/Profile/vaipatel,"Mumbai, India",30
ladakh,"I have visited Ladakh more than 16 times as a travel photographer and stayed in multiple properties but almost from last 4 years, this is my favourite hotel. I like the hotel because of:  1. The owner himself Mr. Namgial is the super cool guy 2. Staff is very prompt 3. Hot running water 24 hours 4. Comfortable beds 5. Neat and clean rooms/washrooms  6. A bit modern look of the rooms 7. Value for money 8. Food is decent and well cooked, you cannot expect lavish cuisines at that altitude.  9. Walking distance from the main market  Conclusion: Best property if you are ready to spend (within limits of course) and want value for money. Highly recommended for families. I have recommended this to so many friends of mine who travelled Leh with their family and all of them gave me",Abhishek S,/Profile/WeChitra-Abhishek,"New Delhi, India",40
ladakh,"The hotel is Centrally located, a decent place for a stopover with a wonderful restaurant and walkable distance from the market. One of the best options available in Leh for a stay and to chill with a wonderful staff read to help.",Uday Krishna,/Profile/udaykrishna79,"Noida, India",50
ladakh,"A very rare to see in service industry where the entire staff scores a perfect 10. Be it the stay, food, location and service, I would term it as Outstanding. The Khatri team in the kitchen were all ears to our special needs and served Jain food whole heartedly and going out of the way to serve it before sunset. Thank him for delicious food and  varieties during our 5 days stay.   Also the Manager Mr. Jimba was always there to help us and was sensitive to all our request.   The staff were courteous and helpful.  Will stay there next time too !!",Nevil S,/Profile/911nevils,,50
ladakh,I was staying at courtyard sera in 1st week of June 2018. It was really amazing proper location just 10 min away from the airport and 5 min away from the market area so easily accessible to everything.  The room were just perfect to stay very spacious plus great view of the mountain the bathroom was just too perfect with hot water coming 24*7   The staff were just too good plus very courteous helpful and always smiling n there for u to help u when need anything   The food was just too perfect just home made food   So I would suggest whoever is going pls go and stay there   Overall I would give 4 out of 5 rating   Thank you  Karishma shah,karishmag22,/Profile/karishmag22,"Mumbai, India",50
ladakh,Sera Courtyard - a beautiful place to stay in Leh.  very neat clean and quite spacious room.  Should commend the staff for their always smiling and ready to help attitude.  Good food though a bit repetetive menu.,rads69,/Profile/rads69,"Mumbai, India",50
