location,review,name,user_profile,userloc,rating
ladakh,"Beautiful location, amidst the mountains, lovely walks/ treks around, with Sherpa Bhaiya, who is just wonderful. The rooms have most amazing cloud beds, with the best linen, beautifully done up interiors. Food is great and all the staff perfectly warm and accommodating. Best place to stay in Leh, just 15 minutes from the centre of the city in a peaceful location. Look forward to going back there !",buddy376,/Profile/buddy376,"New Delhi, India",50
ladakh,"Calm...soothing....peaceful...comfortable...relaxing...a spa for the soul...this is how I would rate my recent stay at the Woodyvu Stok House. Despite being a bit quizzing, the location of this property is absolutely superb, away from the maddening crowds of Leh. It's a fantastically restored old Ladakhi house & worthy of being known as one of the best accommodation options in the region. The staff is honest, very cooperative, & went the extra mile to make my stay memorable. A special mention of praise for Nima Sherpa for his hospitality. A word of advise to the management of the property - an introduction of authentic Ladakhi/Tibetan cuisine in the menu would be very refreshing & most welcome.",Navin K,/Profile/NavinK355,,50
ladakh,"This amazing property is just 15 to 20 mins away from Leh airport. Although in remote location but that’s what the USP is of this property that it’s seculuded from the city hustle bustle and located in between of trees, mountains and breathtaking view. Such a serene place and rooms are very quaint and cozy! Food is amazing too. They’ll serve you in way you’ll feel that you’re at home, Cz they’ll fulfill you wish to eat whatever you want and it will taste like home. Moreover the there’s a guy named ’Nimma Sherpa’ he’s a gem of person there. His hospitality is at next level. He’ll treat you like anything, with a smile on his face 24*7. He took care of us, and served us like a Michelin Star like hospitality. Cheers for him. I would suggest this property very much!!",Ashish R,/Profile/Nomad55831525755,,50
ladakh,"This beautiful hotel is 20 minutes from the airport. The hotel is surrounded by beautiful trees and the view from the hotel is mesmerizing. It’s peaceful and you can hear the birds chirping in the early hours.The rooms are spacious and very well designed. Each room is very different from the other. The staff is very friendly and helpful at any hour. Also, the meals at the hotel are sumptuous. I was glad to have stayed there when I was in Leh.",nikitakothari39,/Profile/nikitakothari39,"Mumbai, India",50
ladakh,"The absurdly poor quality of workmanship and the very remote location of this hotel and dare I say, the ridiculous difficulty in finding this place, were for us sufficient reason to abort staying here. By the look of it, we were the only ones expected. Adios!",Peter B,/Profile/N191YIpeterb,,20
ladakh,"This restored old ladakhi house is in Stock, a 20 minute drive from the airport. Its been beautifully restored and lies in a big green compound of trees and gardens. Its a great way to start you Leh experience as you rest and take small walks in the garden to acclimatize to the high altitude. Leh City is now crowded and the blaring of horns and people everywhere. This is a complete change and opposite with just bird calls for company. Highly recommended -  the house has 5 rooms and each room is different.",NikhilDevasar,/Profile/NikhilDevasar,"New Delhi, India",50
ladakh,"Some friends and I stayed a long weekend. It was a fantastic experience. First it was away from the hustle of the downtown, which meant it was quite and peaceful.  You could see the magnificent peaks and stars. The host was very accommodating and was always there to provide great service.  The food was outstanding. Very fresh and flavors were exceptional. A great place to relax and take in the beauty of Leh. ",Todd S,/Profile/todds101,"Coral Springs, Florida",50
ladakh,"This is one of the best hotels which provides luxury and essence of beauty . With very classy interiors n friendly staff, celebrated my wife’s birthday, all arranged by hotel staff with a perfection. this hotel gets considered at the top 5 places in my list, will visit again soon and also highly recommended to my friends.",Dr Ansh Verma,/Profile/Dranshverma,"Dehradun, India",50
ladakh,It was great stay in WoodyVu property in Leh. Enjoyed thoroughly with great picturesque beauty and excellent hospitality.   Rooms are very aesthetically managed and gave great ambience. Would definitely consider coming again.,Mayuresh P,/Profile/54mayureshp,,50
ladakh,"WoodyVu gave us the most perfect vacation, away from the hustle bustle of city life. The rooms are comfortable, staff was most attentive and food was delicious. We particularly loved the orchard behind the house inside the property. We could pluck apples and peaches by our hand for breakfast! We also appreciate the help from WoodyVu in arranging a very good, experienced and safe driver for our travels to Pengong lake and Nubra.",DeeptiCh,/Profile/DeeptiCh,"Mumbai, India",50
ladakh,"WoodyVu is a great property situated in the picturesque Stok village (45 mins from Leh main market). The rooms are large, have 4 poster beds and are tastefully done up. he view from the rooms are also spectacular.   Its a slightly smaller property with just 4-6 rooms which also ensures adequate privacy and focus from the service staff. The hospitality & food on the 2 days for which we stayed at WoodyVu was also top notch.  However, the place is very far from the main city of Leh and is not well connected. Also the tariff is very high as compared to the quality of rooms. Being situated in such a remote location with virtually no shops/ hang out places in the vicinity - the limited hours of operation of the restaurant is also a concern. The mobile connectivity was also patchy on",Prateek_Rungta,/Profile/Prateek_Rungta,"Kolkata, India",30
ladakh,The rooms are not bad and the view is fantastic but the food and the staff are simple - they don't really speak much english either. The surroundings are beautiful and quiet which is fantastic. There is a nice stream near by as well.,anupampoddar,/Profile/anupampoddar,"New Delhi, India",40
ladakh,"I travelled with my family to leh in the month of May.  we booked woody vyu after reading to the reviews by many travellers and considered ourselves lucky to to have actually found this place. Once we arrived we were chauffeured to this stok house, which to our pleasure was not in the city. Its quite to the interior, around 35 min from the airport in stok village. defiantly a breath taking view, but the marks for that would defiantly go to the nature and not the the cottage.  We were welcomed by Mr. Ashok the errand boy, and was shown to our room. There are only 5 rooms, and to our surprise no reception area. Once in the room, our string of surprises started. The room was OK, but the actual surprise was the balcony to which it opened. The complete flooring was broken and in",pooja1611,/Profile/pooja1611,"Noida, India",20
ladakh,"WoodyVu Stok House is located around  15-20 mins distance from the Leh market.  This house is in a quiet Stok village surrounded with a beautiful scenery, breezy natural and complex mountains. It’s wonderful atmosphere which you can’t find in any places like this in the town.  The interiors of the old house with contemporary furniture and decoration is nice. The room is large, clean, comfortable and privacy and the view from the window was make me feel peaceful and relaxed.  A very very good service from staff ,home owners, guide and divers.   It was a difficult time to find food for foreigners in the Leh market but they brought food from Delhi to cook for us. (The chef is very expert, very tasty food.)  Me and my family would like to thank all the staff, including the",JSKLG,/Profile/JSKLG,Thailand,50
