location,review,name,user_profile,userloc,rating
ladakh,"The worst hotel. Room services are poor. Telephone was not working. Basic amenities are not provided in the room. On complaint, manager answers rudely and threateningly. Totally uncomfortable and avoidable.",Sanjay B,/Profile/681sanjayb,"Jaipur, India",10
ladakh,"Right along side main market in Leh this hotel is a must option if you want to spend relax time after all those hilly travel all the day. Best food, amazing chicken preparations, fantastic staff and hospitality. Cosy rooms with all day hot water. Clean bathrooms and they provide additional linens in cupboards. Enough parking space with all dailyneed items shop just outside the hotel entrance makes it more comfortable for families travelling with kids. Over all a fivestar place.",Aakkash S,/Profile/AakkashS,"Pune, Maharashtra, India",50
ladakh,"Hotel is very close to Leh market and some of the best restaurants here in leh. Gesmo, Sumner Harvest and Tibetan Kitchen are merely two mins walk from here. Many good shops are also available around the hotel.  Rooms are good, staff and food is also good here.",Harshal A,/Profile/harshal88ajmera,"Mumbai, India",50
ladakh,"The hotel is very near to main market. The hotel staff is very very cooperative. It has all the amenities you need. Their manager Deepak is very friendly and arranges anything you need. The staff provide breakfast even at 6 AM in morning which I have rarely seen.  The hotel decor, is good but its staff is excellent.  Most of the hotels don't have lift so you may prefer ground floor if you have problem climbing stairs. But if you have habit of getting up late, prefer ist or second floor as many people go for sightseeing in morning at 5 0r 6 and they will create noise",rajeshceeri,/Profile/rajeshceeri,"New Delhi, India",40
ladakh,"Value for Money - 3.8 out of 5 Location - 4 out of 5 Staff Friendliness - 3.7 out of 5 Unique Quotient - 3.4 out of 5 ExploresterStay Category - Comfort ExploresterToDo - Enjoy the evening cultural program and a walk on the streets of Leh. Explorester Recommends - 3.7 out of 5   We stayed at this hotel for 4 nights. It has one of the most amazing locations. It is centrally located at the market on one side and the most beautiful mountains and valley on the other side.  While you are there, make sure you go up the terrace as you get the most amazing view. In the evening they even have a cultural dance in the hotel, which is fun to watch. The rooms are decent. The food is good and they do provide great variety as in 4 days we never really got bored of it.   The staff are very",The Explorester,/Profile/TheExplorester,"Mumbai, India",40
ladakh,Hotel is neat and clean and the location is good. Stok kangri range is particularly visible from the roof. Food is good. Hotel service is good too no complaints. Only food if you have to purchase is expensive. It is 300 per person. ,Uday S,/Profile/715udays,"Kolkata, India",40
ladakh,Stayed for 3 nights in the suite room. The rooms are spacious and clean with good views of the mountains. Staff are polite and manager was very helpful. We stayed for 2 nights initially and then moved onto Nubra valley and Pangong lake where we spent a night each. As we were on a long trip with lots of luggage we didn't want to tag it along everywhere. The manager was kind enough to let us leave part of our luggage in the hotel for 2 nights. On our return we spent another night here. The hotel offers a good package including breakfast and dinner which we opted for. The food was decent and had a good spread. The hotel exterior has typical Ladakhi architecture with nice wood carvings. The main shopping and eating areas are just round the corner so it's a nice place where,GallivantingSoul,/Profile/GallivantingSoul,"Mumbai, India",40
ladakh,"Very close to Leh market, main bazaar and chankzpa bazaar. Managers are very cooperative and staff are friendly and helpful. It's decent hotel with all necessary equipment. Rooms are quite clean. Room service is also very good and apt. Needs improvement in toilets with more equipments like geyser and more cosmetic products like shower gel or body lotion.",Crispin,/Profile/FrancisCrispin,"New Delhi, India",40
ladakh,We stayed here for 2 nights and it was a very good experience. Manager and Staff are very polite. Rooms were clean and spacious. Our room was Suite Room on Top Floor which gives a nice view of Snow covered mountains. Food was great. Hotel is near to market just walking distance. Wifi was slow but i heard wifi facility in leh is not as good as other cities.,NiravSarodia,/Profile/NiravSarodia,"Morbi, India",40
ladakh,Pros: I got an awesome deal on a online with great discount.  I should say the value for money was great as compare to actual hotel rates.  Nice and clean room space  wi-fi connectivity but very low speed and most of the time its not available Average breakfast and dinner Near to main market so its good for the shopping,sushil j,/Profile/891sushilj,"New Delhi, India",30
ladakh,"We stayed here for 1 night only and it was a good experience.  Located about 10 minutes walking from the main market, the location of the hotel is central.  The staff service is good. The WiFi is slow and unreliable like in most places at Leh.  The rooms however were pretty large and spacious. There's no fans or heater in the room, but we were able to sleep comfortably. On the flipside, due to the open design of the hotel, noise on the ground floor can easily be heard on the higher floors. Hot water is available all day.  Overall, we had a pleasant experience staying here briefly for 1 night and would recommend this hotel for those seeking comfortable large rooms, near the market area.",Rahul Ajmera,/Profile/rahulajmera,"Pune, India",40
ladakh,"The hotel situated in fort road just away from market and marvelous view of the mountain from old wing.The staffs are  so friendly ,the rooms are clean and well managed.And above all the quality of food is awesome.",Crazy0109,/Profile/Crazy0109,"Bolpur, India",40
