location,review,name,user_profile,userloc,rating
tehri-gharwal,"Set in the heart of the Indian Himalayas and surrounded by dense Pine, long wooded slopes of Deodar, Pine, Oak and Rhododendron forests, Jayshee Camps & Resort offers tranquillity seems to be straight out of some romantic classic. Wild Iris, snow capped peaks and heart filling peace embraces you here. The beautiful and picturesque 180 degree view of the snow clad Garhwal Himalayas will fill you with a romantic charm.  Beautiful and captivating environment and camp life will make you feel like the love and pleasure of lying in Nature's lap and what's more, it is the highest destination nearest to the city of Delhi - the Capital of India.  The place is almost perfect for an adventure holiday packed with Rock Climbing, Repelling, Valley Crossing, Trekking & Snow Walks or a quiet",SahilChrungu,/Profile/SahilChrungu,"New Delhi, India",40
tehri-gharwal,I am regular vister of jayshee camp kanatal. When we plan for camping in kanatal jayshee camp kanatal is our favourite site. I think I have visited at jayshee camp kanatal approx 9 Time with my family friends and parents also. I very satisfied from jayshee Camp services and a spl. Thx by heart to owner Anil jaspal and manager altaf who always make our holidays Spl.,Rajesh,/Profile/Kadiyan,,40
tehri-gharwal,If looking for camping in kanatal jayshee camp kanatal is best one for camping in kanatal. In jayshee camp kanatal we enjoy well accommodation with nice food and service.  We stay here for 2 night 3 days with our team enjoy lots with nice services,Rahul S,/Profile/E5306ZPrahuls,,50
tehri-gharwal,"I visited the camp with my friends to beat the heat.. I stayed here for the first time. Very nice hospitality by Mr.  Altaf 👌, very good food, camps are neat and clean.  Camp  have very nice view of mountains, Greenery with apple garden, weather is chilling awesome , love bonfire with music.***** very affordable price.   Love to visit again n  again  👍",akshey vir y,/Profile/aksheyviry,,50
tehri-gharwal,"One of the most Mesmerizing Place I have ever visited. Such a nice place we found it, 'll plan again with family or friend.Reaching this camp in Kanatal  was mesmerizing at some points.Awesome hospitality ,Superb Food.Safari was unique in terms of it ,was not like other forest safaris to look for forest animals or birds etc.My friends were ecstatic to see the scenarios there , awesome weather . This place has a lot to offer. A Must visit place for Delhi or NCR people",Kumar A,/Profile/KumarA705,,50
tehri-gharwal,I went with my friends in the 1st week of June to jayshee kanatal camp post having spoken with the owner Mr girdhar who claimed the best of services and ambience. What they show in d photos and what it actually is..it's a sham. They hooked us one last tent left with them.  On having reached..the tent provided to us was ghastly..unkempt..all dirty muddy linens..it looked as if the tent had not been used in ages with all sorts of mosquitoes and spiders on d bed..walls. in the water bucket..dirty toiletries..nd on speaking with the boys there ..they claimed to have made the camp ready. On complaining since the camp was in a pathetic shape we were moved to a cottage which though again dirty was a shade better ..it took us almost 2 hours of trying to sort things out and settle down,Shal21,/Profile/Shal21,Delhi,10
tehri-gharwal,"I have been to ""Jayashee Camp, Kanatal"" many times and will appreciate my and my many family and friends visits to this Camp. It is one of the must-visit stop for one who are visiting Uttrakhand and wants to enjoy Hills and forest walk and view.  Mr. Altaf who is my now friend, is one person who will ensure your visit most memorable for life is very nice guy who is also in that region for over a decade so he organises adventure sports, activities like born fire etc according to school, Col, Corporate or Family as per their respective need, Jayashee camp as I have visited it many times has best views one can enjoy and explore and these camps are well fecilitated with modern toilets, and all seasons tents making it an awesome experience  as most of us from our childhood wish to",Sanjeev D,/Profile/SanjeevD_12,"Calcutta, West Bengal, India",50
tehri-gharwal,100%  Happy visit again & again Just Amazing. The view is so beautiful feels as if you are in heaven 😍😍. Scenic beauty and snow ❄️. First time visited kanatal  and it was such a wonderful experience didn’t feel like going back. The view is so mesmerising and breathtaking that you would not want to leave. Will visit again in summers.,Aniket S,/Profile/AniketS318,,50
tehri-gharwal,very nice place and very good and cooperative staff..everyone is so helpful.......thanks Aniket for your great help and cooperation...you make it more joyfull and happening trip to us . we ll visit you again.,seeksahil88,/Profile/seeksahil88,"New Delhi, India",50
tehri-gharwal,I traveled to this place through a group.....the pictures shown were very different from what the rooms were like.....the sheets were soiled and seemed they had not been washed for months.....i understand that it's a camp but it's important to maintain some standards.It was very cold the day we were there but got hot water after 1day of waiting only. Food is just tolerable.Some of the staff members are helpful.....but some are really weird. The only good thing .....about this place is the view and what a pity that even after having such a good location the owners are not doing anything to maintain their property.,V29A,/Profile/V29A,,10
