location,review,name,user_profile,userloc,rating
rudraprayag,Courteous Staff Good Well Furnished Rooms Clean Bath Room Good Food Nice Location On Highway At Moderate Tariff Very Beautiful Picturesque view of mountains Calm and quiet Loaction very close to Guptakashi Town ,Dream175520,/Profile/Dream175520,"Bengaluru, India",50
rudraprayag,Delightful place with gorgeous views of the Kedarnath range.   Rooms are very clean and well appointed though the dining room could be cleaner Spic and span bathrooms also and large rooms very convenient to take the helicopter to Kedarnath. Food is also good,ista660,/Profile/ista660,"Madikeri, India",40
rudraprayag,"Definitely best place to stay in Guptkashi, stayed at Villa Aadhya during Shri Kedarnath Darshan. Close proximity to Main highway with refreshing mountain View when you enter in resort, even rooms and restaurant have perfect mountain View. Staff was very friendly and helpful. Food was tasty and specially enjoyed Poori Bhaaji. Rooms clean and very specious with outdoor sit out.  Over all perfect stay. Spent memorable time.",Ustahav,/Profile/utshavsingh,"New Delhi, India",50
rudraprayag,"we stayed at this facility after having the darshan of Kedarnathji. Our aviation company accommodated us here after the drive from Sersi helipad that took more than one hour. the views are absolutely wonderful from the villa, friendly staff. The food is very ordinary, could have been better.  We yatrikas are not looking at the spread, but expect food palatable. Wash room had a odor, got hardly half a buck of hotwater.",Bhagini,/Profile/Bhagini,"Chennai, India",30
rudraprayag,"Villa Aadhya is a great place to stay in Gupt Kashi. We stayed here on our visit to Kedarnath. Rooms were very clean and food was delicious. Outside view was also great. Its a superb Hotel for stay, So would recommend other visitors also to enjoy your Stay here.",Vivek Bora,/Profile/boravivek,"New Delhi, India",50
rudraprayag,Its an hours drive from Sonprayag from where Kedarnath trek starts...Perfect location with a beautiful view Good food and sweet staff with prompt service  Lovely sitouts outside the rooms make for a great ambience to read in leisure  har har mahadev 🙏,Swati Chiripal,/Profile/Swatichiripal20,new delhi,50
rudraprayag,It was a very good property. Hotel was very clean and hotel staff was very good. View from the room is very good.Overall very good experience. Will advice others traveling that area to stay in Villa Aadhya.,Anubhav Arora,/Profile/Anubhav2412,,50
rudraprayag,"The moment you enter this property, you would be really mesmerized by the views. I hardly stayed inside the room and spent almost the day out on the chairs. The hotel is really maintained well. The rooms are cosy and have all basic amenities that you would want. I don't know if this is common across all hotels in Guptkashi but it was missing Electric Kettle. Anyways i didn't feel like missing it because tea, milk, coffee is just a call away and you can enjoy this out.  The only thing that did not go well is their restaurant. They don't have sufficient sitting capacity and have very limited menu. If you plan to order anything, check out the prices first. Overall nice experience and worth staying once. You would not regret.",Mohit Bansal,/Profile/MohitB857,"Greater Noida, India",40
rudraprayag,We had booked 2 rooms and stayed here for 2 nights. This was a stopover for darshan at Shri Kedanathji. The rooms were reasonably clean and food was simple but good. The staff were very helpful. The rooms had no telephone /intercom which was inconvenient. One of the rooms did not have a refrigerator. They did not have good staying and food facilities for driver. Had we known we would have paid extra for driver but we got to know only after we checked out. The location was very convenient from Phata helipad.,MumbaiKss,/Profile/MumbaiKss,"Mumbai, India",30
rudraprayag,"Stayed at villa aadhya on way to kedarnath. Its a very nice resort with clean comfortable rooms. Hot water, toiletries , towels, room service, buffet lunch and dinner are provided. Staff is very courteous and helpful. The person at the reception helped and guided us for kedarnath darshan in the peak season. Food served in the dinner buffet was very tasty and they actually served us tea at 3 am in the morning as we had to leave for the trek. This gesture is highly appreciated. The mountain view from the rooms is awesome. We had a very good stay and will highly recommend this place to people visiting kedarnath. ",maniagni,/Profile/maniagni,"Bengaluru, India",50
rudraprayag,"Villa Aadhya has clean and comfortable rooms, each with a view of the mountains.  The rooms were spacious and bathroom clean. The staff were very friendly and couldn't do enough to make sure our stay was as pleasant as could be.",Susan B,/Profile/sebbhd,"Melbourne, Australia",50
rudraprayag,"Villa Aadhya has been a great experience. Hotel location is good with Mountain View right from the room balconies. The rooms are clean and nicely furnished with all necessary amenities. Food also awesome, I would recommend this for everyone staying.",Kailash Verma,/Profile/kking8294,,50
