location,review,name,user_profile,userloc,rating
ladakh,Hotel Royal palace is the one the best hotels in leh .Great location it just walking Distance away from the main markets .friendly staff .Rooms are clean and have nice views .i was there from 2 september 2018 to 4september ,Scenic820797,,,40
ladakh,"The hotel is very good. The staff is is quite friendly and polite. The service is great. The food is good. The WiFi network is not that good, but that's the case with the whole of Ladakh. The rooms are very spacious.",Shahnawaz Wahid,,"New Delhi, India",50
ladakh,Our Stay at hotel was comfortable. Food was excellent. Wi-Fi is not working properly due connectivity issues. Over all good experience. Said review is about newly renovated rooms. One can choose this hotel as it is near to the Airport. Market is far from the hotel but Taxis are available for local visit.,Harshu,,"Ahmedabad, India",40
ladakh,"Our stay of 6nights at Hotel Royal Palace Leh was very comfortable, great location. Good food, well maintained overall. Hot water 24hrs. Quick laundry service. Wonderful snow clad mountain  view from the rooms Helpful staff, Ali at the reception was very kind and efficient. Highly recommend staying here as the city area could get  crowded. At the same time easy  access to the market. ",kim l,,,40
ladakh,"Worst hotel don't book, very cheap and average food daily same repeated breakfast and dinner. When we approach to hotel staff regarding food they are asking this is management call. Hotel water is major issue. My frind has book this hotel, he told me amount 37k but when I reached hotel owner surprised me cost of 40k very cheat and cheap. Also this hotel is far away from main Leh city. Their is much more hotels are available nearby main Leh city with good price and quality.",Khalidshaikh,,"Mumbai (Bombay), India",10
ladakh,"Nice Hotel with flexible staff, good food and ambience. Hotel Owner is always ready for any type of assistance. Easy access from market, facility for permit and arrange tour program. Please stay and experience",Manoj V,/Profile/ManojV503,,50
ladakh,"Amazing sets of rooms, this hotel has a friendly and efficient staff. Food and restaurant are functional and whip up decent meals in short time. The compound within the hotel is nice, sunny and great to be surrounded by fruits bearing trees. Staff responsible for cleaning worked with clock work precision. Bathrooms in lower rooms were equipped with geysers ( Deluxe rooms). Runners who participate in Leh Marathon ( September) may find this hotel convenient due to its proximity to the start / finish point ( 500 meters). Leh market is uphill from this hotel and a brisk walk takes about half and hour to get there ( market).",san293,/Profile/san293,"New Delhi, India",40
ladakh,"i went hotel royal palace in the month of September 12th to 17th with my friends, it was great memorable trip. hotel was nice, cleaned, decent. Staff was very help full, Food was tasty, good location, & best part was wee got best room with beautiful view from our rooms. we recommend to other also when you travel please select this hotels.",virag s,/Profile/VMS0087,"Mumbai, India",50
ladakh,"Royal Palace hotel is a wonderful hotel ! We got a room on the third floor which was excellent in all aspects especially the view. The staff is wonderful and made an effort to give us everything we asked for - from a bottle of water to an extra pillow. We had breakfast included and we found the choices offered to be very good and satisfying. Food is made with effort and the staff is super amazing and helpful.   Zubair and his staff really did their best to accommodate all of our needs. From arranging taxis, trips to Nubra Valley and any question we had regarding the area. Wifi works well and hot water is available all the time. It was really important to us and the hotel didn't let us down. I can assure you that when we return to Leh we will definitely stay here, thank you to",Trip_expert_166,/Profile/Trip_expert_166,"Tel Aviv, Israel",50
ladakh,Hotel hygiene standards are very low. They didn't change the towels or bedsheets of previous room occupants. When informed abt same to management they were not even sorry abt it.  Worst experience of my life. ,Dhvani N,/Profile/dhvanin,,10
