location,review,name,user_profile,userloc,rating
ladakh,Best place in leh to stay in holiday. Food and services were amazing. All the staffs were polite and best in the services and were very helpful throught the whole time we stayed there. Good management with clean and prosperous environment. Staying there was awesome and worthy.,Abhishek,/Profile/abeeshake,,50
ladakh,Hotel is located in a central place in Leh. The view from room is a  feast to eyes. Service is excellent. Staff are caring. Market and some tourist attractions are within walking distances. Taxi stand is nearby for out excursions. Full value for money and time.,Sanjay B,/Profile/681sanjayb,"Jaipur, India",50
ladakh,We visited Leh in September with 4 Friends and stayed at Munshis. It is in the middle of market with access to all places including German Bakery. The food and staff at Munshis was fantastic. We would definitely like to visit it again.,Rohit3v,/Profile/Rohit3v,"Jaipur, India",50
ladakh,"Did leh for 9 days n stayed at MUNSHI ORIENTAL for about 6 days. Hotel was good but service provided was the best.  From the general workers to the friendly dog that comes in to sit in the garden every day from 7pm to 7am nothing can b complained about. The kitchen helps were every ready to cook up anything for a meal. Rooms very clean n spacious. Do opt for room 205,beautiful view of apple trees from window. Manager Mr.Rajan was extremely helpful from providing  oxygen tank to porridge,most of all he had a big smile every time you walked into the hotel . Thank you Rajan Ji for making our stay beautiful.",Ravinder R,/Profile/447ravinderr,,50
ladakh,"The location of the hotel is superb, right where the main market starts. The rooms are big and quite well maintained. There is frequent electricity cut and wifi hardly works, but the hotel can't be blamed for that as it is the problem everywhere. The food has variety and taste both. Full marks to the staff which was very helpful! The garden is just amazing.",Pranay,/Profile/842pranayp,"Pune, India",40
ladakh,"The hotel is located on Fort road, one of the busiest marketplace of Leh. In spite of that, the hotel has a big garden and huge rooms, huge lobby space. The room is equipped with TV, water heater(for tea), tea kit, cupboard, wall fan etc. The bathroom is big and clean. 24 hours hot water facility and room service is also available. The buffet dinner is expensive, but quite yummy. Overall a nice hotel.",Amaresh M,/Profile/amareshm2013,Jabalpur,50
ladakh,"Located in just 5 minutes walk from the main market of leh.  Hotel is really beautiful and gives perfect idea of luxury holidays. Got really beautiful garden as soon as you enter inside the gate. Lobby is decent enough. Rooms are really nice and spacious. Gives fresh feel as soon as you enter. Few of the rooms has balcony, luckily our room had. Restaurant is just next to lobby, serving Indian and Tibetan food. Hotel staff is always smiling and welcoming. People who are looking for a good hotel in Leh city they should really prefer this hotel. Strongly recommended.",Anish Deshmukh,/Profile/375anishd,"Mumbai, India",50
ladakh,"The staff here were very good.  More than happy to help you anyway they could.  Ranjit the Manger was such a nice man.  He would give you Chi at any time of the day or night - nothing was too much trouble.  The kitchen staff were very happy to cook our eggs how ever we liked them.  The rooms were spacious and clean and tidy, they were serviced everyday with fresh towels etc.  This is a great place to get washing done it comes back beautiful and clean and all nicely folded.  Its within easy walking distance of the main town.  I would stay here again.",RATZnz,/Profile/RATZnz,"Ashburton, New Zealand",40
ladakh,"We stayed for 4 days in the hotel. The rooms are clean. The location is best very close rather in the market. Hot cold water is available, the room service is excellent and quick. The food is not very great but comfortable. The closeness to the market also has a little noise problem but it does not bother.",Tejinder J,/Profile/TejinderJ,Chandigarh,40
ladakh,"I had a wonderful opportunity to do a Manali Ladakh bike trip last month. We didn't get to pick the hotels as it was a tour package, but I was quite pleased with the hotel.very close to the town. And loved the service- spacious room as well as toilet,with provision of hot water through out the day.... The only problem we faced was lack of wi-fi as there was power shortage , not sure if it was just a one time thing. Good food, friendly staff altogether had a pleasant experience",Liz Andrews,/Profile/lizandrews2015,,40
ladakh,"Stayed here for 3 nights. Rooms were large, clean and airy. It is located close to the market. There was always sufficient hot water. But the best part was the staff Rajan, Babloo and Pashang who attended to us tirelessly whether it was tea at 5 am in the morning or hot drinking water late at night. ",uttaraja,/Profile/uttaraja,"Mumbai, India",40
ladakh,We stayed here for 2 days. Nice and warm hotel with 24 hours hot running water. Quick room service with decent food and wifi. A new property and you can view shanti stupa and leh palace from the roof. A bit away from the main market but not far enough.,gshaks,/Profile/gshaks,"National Capital Territory of Delhi, India",40
ladakh,"Stayed here as part of Cox & Kings Ladakh delight package. Spent 5 nights and stay was very good. Staff is THE attraction as they are very polite and happy to serve always. Breakfast, lunch, dinner are buffet and you can also let them know your choice. Location is 5 min walk from the main market and offers great mountain views. Mr Rajan- manager is always ready to help. Hotel equipped with running hot water and free Wi-Fi.",shweshah,/Profile/shweshah,"Vadodara, India",50
ladakh,This hotel was recommended by a family friend and I was not disappointed. All the facilities were just OK and can be considered for next trip to LEH. Owner is a nice guy and all places are nearby as well. Overall a satisfied customer. ,raman_mac,/Profile/raman_mac,"New Delhi, India",30
ladakh,"Good place to live in. Cordial staff, prompt services, good food, easy accessibility to main Leh market.  Good rooms, 24 hours hot water facility available, wifi facility available on request.  Owner Dr. Angchuk Munshi (Opthalmologist-by Profession) very helpful  & attentive person. Over all a good experience of staying at Hotel Munshi Continental, Fort Road, Leh.",PankajSurana,/Profile/PankajSurana,"Bhiwandi, Maharashtra, India",40
ladakh,"i stayted at Hotel Munshi Continental in the month of September 2013 and had a very comfortable stay. the hotel is very centrally located, very close to the market and we were lucky to get a room with a balcony and had a very good view. Super food, great hospitality and not to forget the ever smiling and helpful staff and eager to help, manager.  the best part was hot water throughout.  Kudos",shanteed,/Profile/shanteed,"Thane, India",50
