location,review,name,user_profile,userloc,rating
ladakh,Lovely hotel around 2km from the center of Leh. The hotel has a serene garden where they sometimes offer breakfast or BBQ. Food is awesome and inlcudes western style breakfast and ladaky/indian style dinner/lunch.  Staff is super friendly and helpful. A free shuttle service to Leh center is available.  The rooms come with western style bathrooms and modern facilities. ,Norbu,/Profile/norbuflow,"Singapore, Singapore",50
ladakh,"Maintenance is good, Staff are very cordial is all aspects, food is good.Decent Rooms. Overall good to stay in this Hotel when visited LEH. Not a 5 star hotel, we can rate it as 3 star hotel.Near to airport, 3 km to Mall Centre.",sashigunt,/Profile/sashigunt,Ananthapuramu,50
ladakh,I have been visiting Leh since about 3 years now every season with my motorcycling group. It was the first time ever that we chose this property and I must say i do not regret my choice. The hotel is located a bit away from the Main Market which makes it a quieter option compared to other main stream options. The hotel has a decent parking space.  We found the rooms to be spacious enough with all the modern amenities one would need in a place like Leh. Over and all the rooms did have the heating system which i suppose can be turned on on special request or maybe during the winters. They also have the provision for the heated mattress system which was really helpful for those who had a sore back. A small but helpful feature in a place like Leh.  The hotel has a very nice garden,janaknmistry,/Profile/janaknmistry,"Mumbai, India",50
ladakh,The hotel staff is cooperative but the owner is highly rude and non cooperative. The manager is not professional and for any pity item he consults with the owner who is never available personally and discuss the matter on phone as her house is attached with the hotel. The hotel is in between air port (2-3 Km) and market (2Km) and for market you have to higher taxi. There is no any item of recreation. Cotton fiber is filled in the surrounding as cotton trees are grown in the lawn which create problem to one having breathing trouble. The windows of some rooms open to back side from where the bad smell of sever fills the room and windows of some rooms open to staff quarters and some time in night they fight after drinking. There is no jet in the bathroom in sheet in some of the,Kamanihbti,/Profile/Kamanihbti,"Kanpur, India",20
ladakh,"One of the oldest and secured place in Leh, the entrance open up to a vast stretched terrain and amazing mountain view. We visited Leh in June 2017 and were very delighted with the kind of services and amenities provided, the rooms are all well equipped with modern amenities and facilities. The complete environment gives you peace, i loved the hammock in their lush green lawn facing towards tall trees and the soft sound of the wind chimes is really soothing to the ears. Our stay was a complete bliss, we were supported and assisted throughout our travel in Leh. Mr. and Mrs. Norbo is a gentle couple and a great host who manages this place and its and honour to know them, they guided us well in planning our trip.  Location: 4/5 Amenities: 5/5 Cleanliness: 4.5/5 Food: 5/5 Service:",painulyhimanshu,/Profile/painulyhimanshu,"New Delhi, India",50
ladakh,"Hotel Shambhala is a perfect place in Leh if you are looking for peaceful homely stay. It is 10mins from Leh market.  To begin with the staff is extremely friendly and helpful. If it's your first day in Leh, they request you to rest for the day so as to enjoy the rest of the Leh tour. They give personal attention if you are not feeling well due to high altitudes and arrange for cab to hospital if required.  The rooms are wooden, cozy and clean with all basic amenities. They are not typical lodge rooms. You get a feel of a hostel with a common hall to have chats if you are with big group.  There is a big lawn below where our tour leader had organized a Ladakhi folk show. The ambience is enchanting. The food is also good. They provide proper breakfast and meals.  ",Prerana S,/Profile/PreranaS45,,40
ladakh,"Have been visiting this fine and simple hotel since 2009..The Narboo's are very warm and hospitable and make a great working couple who are always willing to help out. The kitchen is well run and food has been very good..perfect for the first few days of acclimatization...at the same time, not very expensive",rajiv15y,/Profile/rajiv15y,"New Delhi, India",40
ladakh,Beautiful cozy property in the middle of the valley.. loved lounging on hammocks in the gardens under the stars.. excellent food and hospitality.. they organised all our trips and excursions.. a stream flows behind the property and it's a nice area to walk/ hike around in the evening..  highly recommend!,Shashankni,/Profile/Shashankni,,50
ladakh,"It is best hotel in Leh for comfortable stay, I like to recommend this hotel for trekking and excursion people who want to visit Ladakh. This hotel is situated in nice peaceful area and walking distance from Market. ",Iron Horses A,/Profile/ironhorsesa,"Rishikesh, India",50
ladakh,"I've been staying at hotel Shambhala every year for the last 4 years.  Absolutely love the chilled out atmosphere, comfortable rooms with very neat and clean bathrooms, the garden with lazy chairs, hammocks and the tall trees.   Thanks for your lovely hospitality Mrs. & Mr. Narboo and your team.  Looking forward to being back at Shambhala next year!",SaurabhKapur,/Profile/SaurabhKapur,"New Delhi, India",50
ladakh,"A cozy property with a helpful staff and good food. Good rooms and services. Rooms open up in a garden with lot of seating, hammocks. It suits my definition of chilled out property. It has been done up in wood in  traditional Ladhaki style giving it a charm of its own.",nirav24,/Profile/nirav24,"New Delhi, India",40
ladakh,"We stayed at this hotel for a week. A truly memorable experience. The hotel is well maintained with a very hospitable staff. Location is excellent(have to see it to believe it). The lawns, streams and the surroundings truly make a serene environment. The hotel had a good spread of local and other cuisines. The front desk staff arranged for all our trips and excursions in and around Ladakh. Would definitely recommend it to all visiting Leh. We thank the hotel and staff for a delightful stay. ",SumP0001,/Profile/SumP0001,,50
ladakh,Stayed in Shambhala with a group of ten people this  July.  Had the most amazing experience of our lives.  The staff was friendly and welcoming. They went out of their way to accommodate our requirements.  The hotel was like a home...  as we felt after coming back from an overnight trip to Nubra. V inviting and friendly vibes.  Enjoyed a delicious hot tibetan dinner on our last night specifically prepared by the owner Mrs Narboo.  Will always cherish this trip. And would love to come back again,Mansi D,/Profile/MansiD99,,50
ladakh,Hotel rooms were Ok but quality of service was very poor. Staff was not of good quality. Quality of food was very poor & all food was served at a time. Food was not warm. Services were never delivered on time.,Nilkanth M,/Profile/vijaynmane,"Dubai, United Arab Emirates",20
ladakh,"Very nice hotel, The owners and the staff is very kind and very helpful. Rooms are spacious and some rooms have bed heaters too. The breakfast is very good & tasty, we stayed for three nights and they had a good variety too.",AnukGunawar,/Profile/AnukGunawar,"Nugegoda, Sri Lanka",40
ladakh,"I stayed at Shambhala on my return trip from Nubra in the month of September last year. The moment I arrived I just fell in love with its location. There were trees and grasslands and even an old fort (i found out later), that were lined up along the road. As I entered the gates, tall poplar trees framed the most relaxed garden in front of the rooms. My room itself was cozy and had a view of the surrounding greenery. And the food was heavenly! Never had better Thukpa (noodles with soup). However I recommend this place because of the hospitality i received from the owners, who themselves are such amazing people. Because I was traveling alone, they made me feel like i was a part of their family.  This place has managed to maintain the charms of that natural beauty and the",Priyanshi2015,/Profile/Priyanshi2015,"New Delhi, India",40
ladakh,"We planned our trip to Leh during August'15. We stayed here for 4 days (not the same 4 days for which we had booked the hotel). When we reached the hotel, we were informed that there has been a landslide and routes are closed. This led to change in plans for us, but hotel owners, who stay in the hotel only were very understanding. Hospitality was much better than any 5 star hotel.   Exceptional hotel, will recommend it to everyone.",jaideep s,/Profile/839jaideeps,,40
ladakh,"The family running this, lives in a private part of the same property. So if you are not one of those who like big, luxurious, impersonal hotels, this one is for you. The family itself and staff are friendly, caring and attentive.  Nice large rooms with an additional small attached room for any accompanying children or additional adults. A short walk (uphill - so can be tiring) away from the main shopping/dining area that's super noisy. Food is average. While they claim to offer room service - it's really only available for tea/coffee/snacks. For meals you would have to order many hours in advance to be served in the common dining room.   It's a ground + 1 floor property.  Lovely, cozy garden with garden furniture and hammocks to hangout in.  Well located to head out without",madzsen,/Profile/madzsen,"Mumbai, India",40
ladakh,Hotel Shambala offered us a very comfortable stay.The rooms are very clean and equipped with adequate heating.The food is amazing and delicious. We enjoyed our stay ! Its located close by Market and is very peaceful.,Anushreenaik,/Profile/Anushreenaik,"Mumbai, India",50
ladakh,Set in a lovely peaceful location this hotel was a great escape from the busy life in town.We stayed here for four nights and it was always so pleasant to relax on the shady lawn. The hospitality was exceptional. The meals were very tasty and the staff were always happy to assist.,richard_gemmell,/Profile/richard_gemmell,"Raglan, New Zealand",50
ladakh,"The hotel is a pleasant oasis of silence and peace close to the centre of Leh.  During our stay we had a few issues with hot water, WiFi (but the issue was in the entire state of Jammu and Kashmire), lack of heating in the room. All these little inconveniences have been compensated by the professionalism and care delivered by the staff. They are very hard working and always ready to go beyond customer's expectations. The atmosphere is very familiar and the stay at this property is a real Himalayan experience with no frills but with a friendly service. Overall a great place!",avrorj85,/Profile/avrorj85,"London, United Kingdom",40
ladakh,The hotel is basic but the service is great and the meals were too big but tasted great.  Highly recommend.  The hotel has hot showers and is quiet. I recommend you rent a motorcycle and venture out into the hills.,richo878,/Profile/richo878,new york,50
