location,review,name,user_profile,userloc,rating
tehri-gharwal,"Often it's well said then well done but this Himalayan Ecolodge in New Tehri leaves your senses spell bound and you just feel lost amidst the Snow clad peaks and clouds. My Birthday was around and we were eager to do something not knowing what exactly, so we took a road less traveled considering the time we had in hand. The decision that was made hurriedly happened so that I had the most memorable of Birthdays. Away from the hustle bustle, up in the mountains yet all comforts at disposal, I spent my time doing things I rarely do. The service was impeccable and the staff was always on their toes with whatever you ask for. I wonder how people in Himalayas are so hospitable. On our way we covered multiple destinations but at experience at Sursingdhar Himalayan Eco Lodge New Tehri",itraveltrek,/Profile/itraveltrek,India,50
tehri-gharwal,You get to tell a lot about hospitality when a company of several men come out in the parking just to receive you with all smiles at -5 Degree Celsius. Enter the room and the room service has already tucks your luggage in with lights and geyser on!  Each and every minute detail was taken cared off with a smile on their faces. Shall pay a visit again!,BnB Trips,/Profile/BnBTrips,"New Delhi, India",50
tehri-gharwal,"Lovely views of the Himalayan snow peaks, cosy cottages, nature walk, messemerizing sunrise and sunset, star lit night sky and a courteous manager are some of the features of this place. The location of this property is far from the maddening crowd, but definitely provides the perfect solitude or great opportunity to connect with yourself as well as your loved ones. Early morning sunrise is a must experience thing here, as beholding the clouds down in the valley gives a special feel of ""aaj mai upar, zamana hai neeche....."" feel.",Shailesh S,/Profile/307shaileshs,"Noida, India",50
tehri-gharwal,I was initially very sceptical while checking into the property as we were the only guests in the property on that day. My fear starts vanishing after receiving the warm welcome from the property keepers. The sight from the lake view room makes you spellbound. The hospitality of the staff is amazing and they will go an extra mile to ensure you had a wonderful time and lipsmacking meals during your stay.,technogaurav,/Profile/technogaurav,"Ghaziabad, India",50
tehri-gharwal,"This place is definately going to be on my recurring travel list. It’s so calm, peaceful and serene, and the staff is literally on their toes to keep you comfortable. Their chef is very talented and the food is probably one of the best in the area. Their stuffed parathas and seasonal vegetables are a must try. Other than these basic comforts, they also have some loveable mountain dogs around the vicinity, who will keep you engaged if you are a dog lover. 💛",Aishwarya B,/Profile/AishwaryaB22,,50
tehri-gharwal,"Not an eco venture at all. It’s a commercial property with a mobile tower installed right in the middle of the resort. One goes there to relax unaware of staying right under the heavy dose of radiation being emitted by the mobile towers. Those going there with young ones, be kindly beware of the harmful effect of such mobile towers which are allowed to be installed by the owners simply for their commercial purposes, unmindful of serving their clients with the cocktail of radiations.",VINAY,/Profile/mongiavk,,30
tehri-gharwal,"First of all, I would like to write about positives - staff was courteous and helpful, especially helper Sumit and cook Anand. Anand ji has prepared mouth-watering food. We have requested to cook one or two items without chilly for kids. He did an awesome job. View from all the cottages were mesmerising. I liked their welcome drink. Property is located at the beautiful location. It had such a wonderful surroundings, less crowded. We had a peaceful time with family and friends.  We were highly disappointed with the maintenance of the property. We took one cottage which has two rooms and two washrooms. Geyser in one of the washrooms was not working and it took so long to make it worked. Furniture and fittings were very old and not maintained well. There was some annoying noise on",TarunaKhanijow,/Profile/TarunaKhanijow,"New Delhi, India",30
tehri-gharwal,"Stayed for 4 days with family with 3 little kids. The rooms are well maintained with large space, beds are very comfortable in the Resort, the location is beautiful with a great view. Surrounded by greenery, flowers, fruits trees.  Team has provided so many things free of cost - daily 2 times milk for kids and tea all the time.  1 - The food was nice and homely.  2 - Nework connectivity - they have mobile tower within resort. ( no issues of network in mountains ) 3 - Bon Fire with Music ( Those wants personal bon fire that also can be arranged with liquor ) 4 - Trekking ( we got 2 expert staff -> we took 3-4 hours trek - amazing ) 5-  1 hour Drive to- water sports at Tehri Dam from resort. 6-  On a clear day, the majestic snow capped peaks like Bandar Poonch will also grace you",kapil Aggarwal,/Profile/kapil06,"New Delhi, India",50
tehri-gharwal,"Not sure why such high ratings for this property......?! Booked this place with high expectations but it was far from the same. When we reached at 6pm,  even then the rooms were not ready and they made us waiting for one hour. Even no one courteous enough to ask for glass of water. The property is maintained well at all.  There are no intercom system to connect with room service.. Even if they have given you their cell number but half of the time they wont pick the call or call you back. The manager was not very helpful and had a very lax attitude towards our concerns. Room service is very poor. Only Jio and Vodafone network works there. ",SantoshMohapatra,/Profile/SantoshMohapatra,"Puri, India",20
tehri-gharwal,"I Recently visited this place, we booked it because we thought it is in kanatal also we had high expectations after reviewing this property in social media but the fact is that this place is extremely far from kanatal, it was approx 30 km from dhanaulti,so you have only option to be inside the hotel for food or anything else.Weather was very normal till evening it was only child at night  Now the property is good but not at all maintained, food options are very limited and tasteless that they serve , room services extremely slow, Mb network was good.  Overall you can only enjoy this property with friends circle.",Neha,/Profile/mishra29,"Noida, India",30
