location,review,name,user_profile,userloc,rating
ladakh,"Rooms in this hotel are fine, though overpriced. Dinner and breakfast were ok too, without being amazing. The hotel is indeed on the bank of the Indus River, unfortunately it's not really possible to enjoy a walk from the hotel without having to walk on the highway to Srinagar (many vehicles including dangerous trucks).",kiki,/Profile/71kiki,,30
ladakh,"A modern hotel overlooking the Indus river, we had an lovely upstairs room with balcony on the river side. Rooms were well appointed although the lack of kettle meant you had to keep asking for tea. Food was ok, buffet style and wifi (along with elsewhere in Ladakh) was patchy. A great base to explore this part of the Indus valley",Richard D,/Profile/Richard54,"Wiltshire, UK",50
ladakh,"I've been traveling to Ladakh since 1989 for work. I've stayed at a lot of hotels there—from high end, luxury places to the straightforward, rustic homestays. Recently I learned from a friend who works in Leh about the Apricot Tree in Nurla. While the location is about an hour from the airport, it is absolutely worth the drive to stay there. Nurla is gorgeous and convenient for day trips to visit Alchi, Saspol, and Lamayuru. It also is at a lower altitude than Leh so you can unwind and acclimatize in an absolutely gorgeous spot, overlooking the Indus River. Owner Wangchuk Tsering Fargo is a terrific host. He artfully balances to caring and attending to his guests while giving them space to take in the quiet beauty of his gorgeous property. Such graciousness is hard to come by",LauraKtraveling,/Profile/LauraKtraveling,,50
ladakh,"I stayed in the Apricot Tree Hotel with one of my sons for two nights and we loved every moment there. After you drive through the eerie and barren Ladakh landscape, you will find this boutique hotel in an oasis of greenery. The location overlooking the Hindus River is exceptional and you can easily go on short or long walks in the area. The decoration is elegant. The rooms are modern and very clean, and the beds are particularly comfortable. The food is excellent too, and we especially liked the lamb momos that the Chef prepared at our request. What made our stay so special was the outstanding hospitality extended by the owner and all his staff. They made us feel like special guests and family all at once. And if you are lucky enough, you will be able to have a drink and enjoy",ericf722,/Profile/ericf722,"Paris, France",50
ladakh,I stayed at Apricot Tree based on great reviews from TripAdvisor. I was not disappointed.  The hotel was nicely located next to the river. The courtyard was beautiful. The service was great and the food was very good.  Each room has private balcony looking into the beautiful river.,trang2010,/Profile/trang2010,"Hillsborough, California",50
ladakh,"Our stay at The Apricot Hotel was booked through a travel agent, and so I didn't really know what to expect when I went there.   A bit of a drive from Leh, but once you get there, you're spellbound. The property is pretty isolated, with an unmatched location, right on the banks of the river Indus, with rooms looking right on top the ever-flowing river, backed by the majestic rocky Himalayas, that change colour at all times of the day with the rising and setting sun.   The place is quaint, clean, spacious, surrounded by tall apricot trees, and the food surpassed my expectations. The staff was uncommonly friendly, and we even met the owner (Wangchuk) who showed us their own patch of organic vegetables!   Make sure to climb up to the terrace in the night, to see a star spangled sky",Chantelle M,/Profile/ChantelleM346,"Mumbai, India",50
ladakh,"We found  heaven in the mountains directly on the Indus River at the Apricot Hotel. In the morning you wake to Leh beautiful sound of the  flowing river. We were happy to see a gleaming black Yak being herded to higher elevation to spend the summer. This place  is filled with exotic birds, dragon flies, designed for relaxation.  a perfect retreat to enjoy lunch on your own balcony in your room.  The food is good the rooms super clean, beds with quality linen and  real boutique soaps and shampoos. The owner Mr Wangchuk Fargo is a great host with a very good staff. This is a place of peaceful communion with nature with all the creature comforts a perfect base outside the bustle of the main city Leh.",drbluebird,/Profile/drbluebird,"San Diego, California",50
ladakh,"We stayed at The Apricot Tree, after visiting Alchi Monastery. A lovely boutique hotel situated on the banks of river Indus. True to its name, it is surrounded by Apricot trees and a beautiful Ladaki architecture is strongly visible in the balconies and dining room of the property. View from the balcony is pretty as a picture post card. And they have a beautiful central courtyard with Apricot trees where you can strike a casual conversation with other fellow travelers . It was a delight to talk to Mr.Fargo, who owns this property and runs an adventure company too. They had a campfire in the night with food and drinks. We were happy to meet and share our experiences with few residents of the Hotel.  Rooms are simple and clean. They do not have heaters, but do provide hot water",Rati05,/Profile/Rathi05,"Hyderabad, India",50
ladakh,"We stayed at the Apricot Tree during our recent holiday in Ladakh. This hotel was an unexpected surprise and we were thrilled to stay there for 3 nights. The guest rooms surrounded a peaceful, central courtyard which was decorated with panoramic photos of Ladakh. Cleverly cut marble floors lined each of the walkways. Our well appointed room led out onto a verandah, decorated in traditional Ladakhi style overlooking an amazing view of the Indus River and across to a lush, vegetated bank below a picturesque, steep rocky mountainside.  Each of our meals was served in the restaurant, once again featuring captivating views across the Indus. The meals were all delicious and very generous, served by attentive, friendly staff. We spent quite a bit of time talking to the owner of the",WendyEW181058,/Profile/WendyEW181058,"Brisbane, Australia",50
ladakh,"There is little competition in this part of Ladakh but that has not impacted the standards. Clean rooms with large terrace offering a great view over the Indus River.   Restaurant is a bit bland.  Unfortunately, you cannot easily walk towards the river from the hotel but have to walk down a large road a couple of hundred meters up to a nice hanging bridge...",pojke-fredde,/Profile/pojke-fredde,"Brussels, Belgium",30
ladakh,What a memorable experience this turned out to be! We booked at Apricot Tree on a friend's recommendation and he obviously wanted to surprise us because he did not reveal too much about it. So we did not expect much but were simply delighted with everything about the hotel - the charming courtyard with the Apricot Trees and the absolutely stunning view of the Indus river from every room. Mr Wangchuk's impeccable taste is evident in the decor as everything has just the right touch of traditional design without being overdone or too kitschy. And the food - delicious! I can still taste the perfect  paneer pakodas we had at tea time and crepes served at breakfast. The ladakhi meal they put together for us was really the best meal we had in the entire Ladakh trip. The location is,parohr,/Profile/parohr,"New Delhi, India",50
ladakh,"I loved my stay at this hotel. The location is absolutely stunning, and the staff is excellent. Right from the front desk, Mr. Tundup, to the proprietor, Mr. Fargo, to all their restaurant staff - they all made us feel like a valued customer, and made our stay so comfortable and relaxing.  We ate dinner at their restaurant. The food and the service was 5 star. They have a really good chef. I wish I could have stayed longer here!",Rc1,/Profile/Lv2Teach,"Sacramento, California",50
ladakh,"One of the most beautiful places I have ever stayed on a holiday. On the banks of river Indus, surrounded by beautiful apricot trees, mulberry and rose bushes and majestic poplars, this is a slice of heaven. The rooms are surprisingly luxurious and comfortable. You can see that every minute detail had been personally addressed. Mr. Wangchuk is a delightful host and I still miss our conversations over the fabulous ginger tea. Another thing to marvel and enjoy is the food. The chef is par excellence and we loved every single meal we had there from Indian to laddakhi to Chinese, everything was delicious. I cant wait to get back to The Apricot Tree Hotel with a pile of books and enjoy the fabulous views, good food and even better hospitality. A must experience on your next trip to",Engee,/Profile/n1120,"Bengaluru, India",50
ladakh,"Great location and hospitality. Excellent staff and chef! Overall a wonderful experience. Mr. Wangchuk has done a fabulous job with the place. Attention to detail, preserving and showcasing Ladakh culture, and focused clientele. He is great company too.   Scenic trekking trails next to the resort. Must visit!   Easy to access. One hour flight from Delhi to Leh and then 90 mins drive from Leh to Nurla. ",VIPNEH,/Profile/VIPNEH,Europe,50
ladakh,"Situated on banks of Indus river is this quite little well-manicured boutique hotel. The well-appointed rooms with exclusive balcony overlooking the Indus river is a visual treat. Minimalist design interweaving the Ladhaki motives gives a sophisticated outlook and adds to the serenity. All ratings for the location. Efficient service. Responsive front desk. No TV in the rooms. Food is ok, nothing special. We ordered for lunch which was a set menu but each dish was separately charged. We were offered dishes which we would never order.  This made entire lunch far from value for money preposition. Tea Coffee machine not available, nor did they have a flask so that give us hot water. Nevertheless, given in kettles. Wi-fi connectivity not functional. Outdated toiletries. Adequate",Avidtraveller68,/Profile/Avidtraveller68,"Pune, India",40
ladakh,"Situated at in the river bank, this hotel gives a beautiful view from the rooms at the back. Its a very beautiful and a quite location. Had a very comfortable stay. Food is good and is an amazing guy.",ChauhanRuchi,/Profile/ChauhanRuchi,"Ghaziabad, India",50
ladakh,We stayed at the Apricot Tree one night en route from Kargil to Leh. We received a very warm welcome from the staff and the view from my room at the back of the hotel was awesome. The food was excellent and my room was very comfortable. My one regret is that I could not stay longer.,gef124,/Profile/gef124,"Dorchester, United Kingdom",50
ladakh,"We stayed for three nights at The Apricot Tree, on the banks of the Indus River in Nurla, about a 90 minute drive from the Leh Airport.  Rooms are spacious and comfortable, with good showers and plenty of hot water.  Staff are very helpful and friendly, and will gladly arrange for visits to monasteries and other attractions in the area.  A great way to start a visit to ALadakh!",JulesLandsman,/Profile/JulesLandsman,"Gypsum, Colorado",50
ladakh,"The best hotel I have found in Ladakh, very spacious and comfortable room with beautiful river view. Great hospitality, food and comfort. I was very happy to have met the owner, he is a really nice person.",plutone23,/Profile/plutone23,"Parma, Italy",50
ladakh,Stay here for one night during my road trip and find it very good place. Room was great and the staff were very polite. Dinner was good and breakfast was awesome there was so many option. Wi-fi was only available near the reception area but this is not a big issue because the place was so awesome and with view like that who need internet. one more thing you can eat apple and apricot fresh from tree,Bablu N,/Profile/bablun,"Amritsar, India",50
ladakh,"Excellent stay , excellent food , very hospitable and very friendly staff .Thank  you for such a lovely stay .excellent location too . Had the best ever mushroom soup , Thupka and Momos .The location next to the indus river adds to scenic beauty and the stay too . Mr wangchok( the owner) made the stay very comfortable and enjoyable too . Best place to acclimatize.",14kavitam,/Profile/14kavitam,,50
