location,review,name,user_profile,userloc,rating
badrinath,"I travelled in the month of December for 3 days and 2 nights. The valley saw its first heavy snow where all the services were put on halt. Me and my 2 friends reached Joshimath on Sunday night -15th December and were told by private property owners, not to travel at the location.  When we contacted the local authorities at GMVN, near the rope-way facility, they supported us and informed that the weather is open and services has resumed. The person at the rope-way not only helped us to get an accommodation at Eco Hut resort (one of the best maintained) but also recommended the sites to visit in order to make the most of our 3 days stay. The facility is managed by truly honest people - Kishore is one such person. He was humble and honest - informed us of the condition at Auli. He",Pawan S,/Profile/652pawans,"Mumbai, India",50
badrinath,"We booked in advance for three days this resort,(13 th dec to 15dec)for specially snowfall,cold and photography, (as per forecast on Google) but there was not responsible staff,manager kamal  is absent.on our arrival reception is closed .only three members at resort (narayan,giri chandra,vijayji),no light,then run only 4 hours generator out of 24 hours,staff said us management is very poor,they do not provide sufficient diesel for generator,we faced problem of electricity during stay ,then hot water,intercom,heater,gyser,toilet water supply,so we had left the resort and loss money of two days,at night they do not provide any service to us, there was not soap,shampoo,toilet paper roll,towel in room.staff advice us to leave resort because of electricity(said will not come for 4 to",Vmjrskyxlhxmhx,/Profile/VIJAY_123xlhculculc,,20
badrinath,"The rooms are clean very near to the Temple and very comfortable to stay. I liked the hospitality and the food. The best part is you can see the beauty of this place, just sitting inside your room from the windows. ",debasis2k,/Profile/debasis2k,"New Delhi, India",50
badrinath,Stayed at this hotel with my home-maker for 2 days on June 2 and 3. The property is good considering all limitations of high altitude. The room is average with scopes of improvement. However the hotel staff are friendly and cooperative. The Badrinath temple is just at walking distance. Another added attraction is the view of NaraNarayan and Nilkantha peak from the hotel compound. Our stay was comfortable and enjoyable to say the least.,201411pp,/Profile/201411pp,"Naihati, West Bengal, India",40
badrinath,"I with my better-half aged about 67 & 63 years respectively visited Badrinth Vishal on 2nd May'19 and stayed at Hotel Devlok being a hotel of GMVNL, very closed to temple, which is superb. All the Members and Staff are marvelous especially Mr. Negi. Behaving with tourist is a valuable things which should be learned from Mr. Negi. After taking hot spring water outside of the temple, both of us entered in the temple having a Que by an hour. But, by the grace of almighty, we completed Darshan without any trouble after having a journey of 15 hrs from Hardwar  completely at about 7.30 p.m. one important matter to deliver that after 8p.m, you could have a chance to enter into the GARVAGRIHA directly.Don't miss the chance. The scenic view of DEVBHUMI is nothing but a SWARG. Good luck.",Sujit Kumar Sarkar,/Profile/sujitkumarsarkar1953,,40
badrinath,"We stayed in the Nandadevi eco tourist resort. I am very happy about my experience in auli and the resort too, resort have all the required facility for a traveler or tourist like hot water, room heater, clean room, restaurant etc. Family also have good time here, will visit next time definitely.",AmitDubey,/Profile/TheDubey,"Hyderabad, India",50
badrinath,"We stayed in SKI Resort of Garhwal Vikas Mandal. Perfectly build, all facility including good restaurant and Bar but don't expect more like a private resort or hotel. Room service is very slow but at this place thia is acceptable.   Avoid taking children in winter season as is highly cold.",AbhikomPatna,/Profile/AbhikomPatna,"Patna, India",50
badrinath,GMVN NANDA DEVI ECHO HUTS RESORT located at auli is amazing. Fortunately one day was sunny day and we could enjoyed the heavy piles of snow. Huts are very good but due to heavy snow fall water supply was not there. Although we got few buckets of water daily. Food is just ok. It's good that inspite of bad weather staff was able to give services. Property is very good but need maintenance. Overall visit was wonderful.,drguptaml,/Profile/drguptaml,"Udaipur, India",50
badrinath,"We stayed in Nanda Devi eco huts, it's economical and nice as compared to other private property here, huts are cosy and have basic amenities, but I suggest to provide guests with complimentary tea bags and a electric kettle in room as it's a must in such a cold weather, staff is nice and kind but very less in number to cater the need of all. There were only 3 people who were doing everything from cooking, cleaning, room service, reception, bell boy and what not, though they served us yummy meals but it wud HV been great to hv better service wen one pay arnd 6000 for a night. experienced beautiful snowfall, we enjoyed our stay.",kushal1988,/Profile/kushal1988,"New Delhi, India",40
badrinath,"We stayed at the Nanda Devi Eco Huts which is near Tower No 8. The view from this place is amazing. The nanda devi peak, Brahma kamal hills and trishul is seen from the rooms. the rooms are clean and cosyy.. We had a great time there. Mr. Girish is very helpful. He guided us very well. he cooked best food for us. Must stay at this place. Its expensive but worth the price.",karishma_pb,/Profile/karishma_pb,Mumbai,50
badrinath,"We took up 2 rooms with 2 beds each. The rooms were clean and tidy. The temple is only a short walk away from the hotel, and all items that you may need are available for purchase close by.   The canteen was very neat and clean. There was ample parking space. The check in process was also quite smooth and quick.   Trip #451 booked by Madhava Murthy",nikhilmurthym,/Profile/nikhilmurthym,"Bengaluru, India",50
badrinath,All the hotels in Uttarakhand are good to stay for families & groups also. They are almost having their hotels all tourist places of U.K state & price reasonable & cleanly maintained.   Dormitory stay is also also available for group tourists.,Yatrarthi k,/Profile/yatratri,"Bangalore District, India",40
badrinath,"The biggest plus of this hotel is the location. Breathtaking views of the snow clad mountains, easy access to skiing area via the cable car make this hotel the top choice.   Being a GMVN hotel, facilities are just adequate. Though not a luxury, it does not fall short of critical facilities either. Well appointed staff, courteous front desk. Rooms are clean, equipped with heaters, warm covers and blankets. Food is average.  Offers spectacular views of the snow clad mountains.",Goutham Shetlur,/Profile/OffBeat123,"Bengaluru, India",40
badrinath,"2.	Breathtaking view 3.	Very warm and courteous staff. 4.	Unfortunately, needs more care in maintenance;  of the three huts we booked, in one, the heater was not functioning and in another, water was continuously leaking from the sink in the kitchennette. 5.	Staff may be trained for more variety in meals. 6.	The path to the huts is covered by a sheet to protect against rain / snow. This obstructs the view from the huts / front deck (if one is sitting). To avoid this, the height of the sheet may be lowered to say, 7 feet.",Kadakia R S,/Profile/ksrajesh,,50
badrinath,"I visited GMVNL pipalkoti tourist rest house from 27 May to 29 May 2018 with my family on our way to Badrinath dham. Support staff there was Co-operative. We were given the family suite which had good interiors and nice furniture. Food was very good too. Special thanks to Mr.Pawar,   manager of tourist rest house for arranging accommodation on priority ",santosh Jha,/Profile/santoshjha18,"New Delhi, India",50
badrinath,This place is as good as gharwal mandal in rudralrayag.  This place is dingy and not maintained.   No heaters and the rooms are very small.  I stayed here because i reached badrinath late at night and had no tine to look for a better place to live.   ,Jeevika S,/Profile/epicureanconfessions,"New Delhi, India",20
badrinath,"I visited Gopeshwar today evening, 19th May 2018, and looking out for hotel to stay and when I stepped in to GMVN, the receptionist, with great hospitality shown the rooms which are clean and neat. Besides, the manager spoke to me with care for any issues and helped me to book GMVN in Sonprayag. I cant forget this friendlyness and all kinds of comforts during stay. I syrongly recommrnend GVVN for stay in Uttarkhand.",Muralidharan S,/Profile/MuralidharanS21,,50
badrinath,"We went to GMVN gopeshwar on 02.05.18 it was a lovely evening in gopeshwar,it rained very badly with( thunder storms lightning & power failure)  The best part was the manager of the hotel. He was personally very much concerned about the guest in the hotel. He was on rounds till late in the night. He personally was monitoring the supply of power and all needs of the guest  Very nice experience at GMVN GOPESHWAR  ",Nitin Agarwal,/Profile/422nitina,"Kovalam, India",50
badrinath,"Went for the 2 weeks basic course at GMVN ski resort , Auli. Plus points : - Professional instructors (they would go out of their way to make sure you get your money's worth , as far as skiing is concerned) - Good Accomodation (basic but warm and cosy ) - Delicious food (the cook really knows how to keep your spirit high during cloudy days , with his awesome parathas. Every meal, snack , tea is served dot on schedule) - Superb ambience (waking up to sun rays bouncing off snow clad peaks is an absolute delight).  Minus: - accessibility (government buses ply from Haridwar to auli/joshimath , but it's one tiresome ride. Hiring a vehicle is an option , but a bit on the expensive side.)   Overall a great experience, value for money. If you are looking for a new skill to pick up ,",vipin p,/Profile/vipinp222,,50
badrinath,We went on the Month of April...Decided to stay in Auli for 2 days and stayed in this amazing resort...From Rooms to Stuff and the view is so awesome felt like staying there for couple of days....The view of the snow mountain is great it looks like its so close to you...We trekked to the Goonsang valley and its really the Abode of God...In Auli must stay in this resort,Subhankar G,/Profile/464subhankarg,,50
badrinath,"If u cherish mountains,you would love this place.Nestled in between himalayan range,this hotel provides a panaromic view of various peaks. All rooms are good. There is a restaurant or dining area for food,which is okkay. There is a chair lift which starts from behind the hotel ( need to climb stairs) which leads you to the top . The place offers splendid 180 degree view of the garhwal Himalayas. In case of clear skies, one might spot nanda devi as well!!   Overall, a good property, reasonably priced and of course with astounding view.",Debashish R,/Profile/951debashishr,,40
