location,review,name,user_profile,userloc,rating
mandi,"I stayed here for 4 nights. Which Anantmaya made it memorable. Excellent service and cozy rooms with balcony facing mountains made the whole stay amazing. I strongly recommend this resort in Manali.  It's just 10 - 15 mins away from Mall road, Manali. So, it's very accessible without wasting too much time in traveling. Food was good here. So, overall it was great.",Yuvesh,/Profile/Yuvi-LostSoul,,50
mandi,"Right from the time of booking, we had a wonderful experience. The hotel guys called us to confirm booking, then again when we were on our way. The food was excellent. The hotel staff was extremely responsive and we'll behaved. They went out of the way to. make our stay comfortable. Will recommend this resort to everyone.",Preeta1909,/Profile/Preeta1909,"Amsterdam, The Netherlands",50
mandi,"Very good and comfortable stay.. room was clean and had a nice view..offered quick service..staff behaviour was good... Food was yummy (ordered pahari mutton, rogan josh, yellow dal)..buffet breakfast had many options..highly recommended",Mahak,/Profile/MahakRaghav,,50
mandi,"We stayed in their villa rooms for 3 nights. They are quite spacious with the look of the snow capped peaks from the balconies. The property is very beautifully maintained. Staff is courteous and their food preparation is also quite good. Infact we ended up eating hotel food more than outside food. The best part was that the location was accessible, connects straight to the main attractions like solang valley, hampta pass etc. It’s very decently priced and we might end up staying there again just because of the hospitality of the staff.",Shashwat,/Profile/darklrd,,50
mandi,"Great view of whole Manali from the resort.Food at restaurant was great and the hospitality of the staff was up to the marks. If someone is going with the family, definitely consider staying here.....",Harsh,/Profile/Lightharsh,,50
mandi,"One of the good hotel I have seen.  Ambience is good, it is very neat and clean,  All staff are well including reception team. Breakfast is super and food is also good.  Location is also good as it is easily accessible.  I would recommend this hotel to family and friends.",Purushottam Kulkarni,/Profile/prk1510,Bangalore,50
mandi,"This is a brand new property and is located at a wonderful location. Almost all the rooms have a valley view . All the rooms are equipped with all modern amenities, nice shower cubical, mini bar, decent balcony small sitting area and a study table !! Food quality of restaurant is very good. Overall Its a superb property and I will only stay in this property whenever I am back in Manali. Last but not the least thank you very much Mr.Gaurav who is taking care of all guests very responsibly...",Sunny M,/Profile/562sunnymom,,50
mandi,"A big thumbs up for Team Anantmaya,  Have been there for 4 days in Manali, the location of Anantmaya truely provides the serenity one couple sought for. The impeccable hospitality provided by them made an ardent remark.",safar.na.ma,/Profile/travel_safarnama,"Jaipur, India",50
mandi,"this month first week we were there in manali and stayed here. It surpassed our expectations in every aspect, be Rooms, interiors, Outdoor lawn, garden. Above all food of all varieties tasted great and unique. Morning breakfast was served with everything one needed. Staff was courteous and friendly. Mr Vishal thakur became our friend indeed. Our children enjoyed in the lawns, and don't want leave the resort for sightseeing at all. Morning flute music played by a man in that penetrating cold, certainly reinvigorates us and make us feel the extravagant morning breeze from the himalayas.",Abraham Berlin,/Profile/abrahamberlin,,50
mandi,This is one of the best resorts in Manali. The staff is very supportive and very professional. Food is very tasty. Service is excellent. Stay is very comfortable. Overall the best resorts and would like to suggest everybody to stay in this resort atleast once and I am sure you will not be disappointed.,Someshwar B,/Profile/bansalsomeshwar,"Jaipur, India",50
mandi,A great place to have a awesome memorable experience. Looking forward to my next visit. Don't miss any chance to visit this place. A great view from balcony to captivate the scenic beauty of the icy mountains and cool breeze.,Ahtesham,/Profile/Ar_Ahtesham,,40
mandi," my second visit to this hotel , awesome hospitality , awesome food but little costly , awesome view , that flute guy daily 2 times playing flute its very pleasant feel , over all worth for money .....",Ashok R,/Profile/prince_r_ashok,,50
mandi,"Excellent spacious Resort/Hotel. Excellent behaviour of hotel staff. Superb room and catering  services provided by staff/lounge, canteen. Very clean and luxurious rooms. Enjoyed very much the hospitality and stay at this Resort. Mountain views from room and urs balcony are UNFORGETTABLE.FROM                   M S RATHORE Retd Sr bank officer",M S RATHORE,/Profile/msrathore1152,,50
mandi,"Awesome Stay. Much worth the money.Each and every food served is very tasty. One cannot resist without lip licking. The reception, The view from balconcy, the lawn, the luscious room, in all a Complete dream living experience in the hills.",Jayanta Das,/Profile/Jayanta1munmun,,50
mandi,"Stay was super awesome. Everything about the place is appreciable. Beautiful and peaceful place to stay in mountains. Manager Vishal Thakur attended us really well. Room service was the best. Food too was really delicious. You would surely not like the idea of leaving this place once you stay there.  Perk: We got complementary spa, candle light dinner arrangement and a welcome cake for the couple stay. Loved the stay.. the ambience.. the people ♥️",Joga,/Profile/Jogacrazy,,50
mandi,"We had a 6 nights stay at Anantmaya to enjoy India's own winter Wonderland, and were very satisfied with every aspect of the resorts. The staff are very friendly, helpful, and knowledgeable regarding places to visit in and around Manali. We stayed in one of those beautiful villas with breathtakingly gorgeous  mountain views,  very clean throughout, all our rooms were spacious with everything that we needed. Breakfast was substantial, and suited all tastes, I wish I could say that about dinner too. The resort is quiet, and let us soak in the divinity of mountains . We would highly recommend Anantmaya to our friends and family. The front desk staff all were professional and pleasant. My Special thanks to Shubham from travel desk, he made our visit to manali a million dollar",Shweta Mujumdar,/Profile/Himalayan-dreamer,,50
mandi,"One of the best property to stay in manali .Excellent rooms , excellent service and and vy helpful and cooperative staff.. There is even childrens park for kids in the hotel campus..The Food served and breakfast was too good .. Stayed here for 3 days with family in aswatha cottage and our stay here was memorable. Every morning one guy plays melodious flute in the hotel premises which we liked alot. We even experienced snowfall in the hotel premises . Will highly recommend this property to every1..",amarpreets379,/Profile/amarpreets379,,50
mandi,"I found a wonderful place in Manali to stay and enjoy the Beauty of Himalayas. i had pleasant and very comfortable stay. Services were excellent that i never felt for a second that i am away from my home. Hotel is having all the basic amenities viz. Gym, wifi, comfortable beds, spacious rooms, heater, well maintained bathrooms with hair dryers etc. This hotel is also having indoor game facilities like Table Tennis, Billiards and we enjoyed playing carrom and ludo in the room. I did not get any ""No"" responses from the hotel for anything i needed during my entire stay of one week.  New year eve was a memorable day too. It was well planned with DJ and variety of foods with drinks. This place is around 5 km from the main bus stand just opposite side of Beas river.  The food was",Sanjeev,/Profile/neosanju,,50
mandi,"Thanks to Mr Gaurav and whole team for the wonderful and pleasant stay. Very much helpful staff. Food was brilliant prepared.  Will recommend the families and Couples has at once. Regards , Rajjat k Bhardwaj",Rajjat k Bhardwaj,/Profile/Rajjat_Hp,,50
mandi,"Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay are the staff. All of the people are incredibly helpful and generous with their time and advice. All Front desk staff were very very very helpful. Would love u stay in anantmaya in my next visit to Manali.",Shanaya,/Profile/Shanayaagarwal,,50
mandi,"Hands Down!! What a stay it was .  Must book this hotel if you want to have a pleasant stay in manali. This resort has got everything.  Views from balcony is something that i will gaze at for hours. Morning flute was so relaxing. Evergreeting staffs, Healthy food. I just love this place!!  Thanks Anantmaya, keep continuing your great service.  My clicks and small compliment for best hotel in the town.",king_kl,/Profile/king_kl,"Chennai, India",50
mandi,"Anantmaya is all about hospitality.The resort is very beautiful. I stayed in villa room and the views from the room were mesmerizing .  Room comfort was amazing be it about heater,hot water facility and cozy bed , everything was perfect. It was snowing from last 48 hours when we arrived but I felt very cozy inside the room. TV is a bit smaller in size but rest was amazing .  Hotel staff is well mannered and they know how to take care of the guests.Everyone at Anantmaya makes you feel special.  Special mention to the Kitchen and Chef- I have never had such wholesome meals in my entire lifetime and guys trust me on this.I have been to top 5 stars and luxury hotels in India but none of them were as good as Basil leaf. Every dish we ordered was up to the mark.  Overall I would rate",Munish K,/Profile/MunishK485,,50
mandi,"We stayed at Anantmaya for 3 nights in Jan and what an amazing stay we had in the villa rooms! The resort is very nicely done up with with lush greens and beautiful views. The rooms are large with top notch fixtures. Every morning and evenings, there’s a flute player who roams in the lawns playing melancholy tunes adding to the surreal experience. The food is definitely the highlight of the stay. It’s excellent fine dining menu with bespoke dishes like Palak ka halwa! The food itself is worth the stay. A special mention for the warm hospitality and personal care exhibited by every staff. Especially, the boss, Gaurav :) Well done guys.   I would highly recommend staying at anantmaya while you are in Manali. It’s absolutely worth it. ",@spookx75,/Profile/spookx75,"Gurugram (Gurgaon), India",50
mandi,We planned our first stay at Anantmaya during New year at a very last minute but were lucky that we choose anantmaya resort.  We communicated with responsive and courteous hotel staff via call and got responses for all our queries.We were worried about quality of our stay but Anantmaya staff took our extraordinary care.We relied on travel desk and got good services. We enjoyed flute music in the morning peacefully and continue our gym   Hotel staff is very helpful and provides quality services.Thanks to all staff and management for making us great time.,Jai A,/Profile/890jaia,"Riyadh, Saudi Arabia",40
mandi,An awesome hotel for family trip.  Villa room was spacious with own balcony. Great room service and the design was apt for a family room. Restaurant was nice with friendly staff. I ordered some good local cuisine and they made it specially and served with smile.,Pavan,/Profile/Pavan5300,,50
mandi,This resort is soo nice and they will provide us for free parking with free time service. We enjoyed outer nature with fresh environment they will helps us to know there local areas and this resort is very nice we  stay more  resorts but this is different from other. ,sandeep k,/Profile/sandeepk543,"Varanasi, India",50
mandi,"We had a great stay at anantmaya resort. The rooms were clean ,The reception staff were very kind and helpful. The food was awesome.  The service staff were very helpful.  This was our best stay till now. The food was very good. Thanks to anantmaya team for making our trip a memorable one",kartik k,/Profile/kartikk221,,50
mandi,"Fantastic place to stay. Really enjoyed the hospitality of the hotel team. The food was freshly made and the service is quick and  the taste is superbly amazing and the food quantity is also quite good. Very much satisfied with the service standards and the friendly nature of all front office staff (Pawan, Himesh & Gaurav) . The view from the room was awesome, you wake up seeing the snow clad mountains. This hotel has luxurious rooms with all the facilities you would require in manali in winter time. Over all it was a good and mesmerizing trip.",J singh,/Profile/Jassi004singh,,50
mandi,"We stayed for 3 nights in the Luxury Villa category. Firstly amazing hospitality, the staff was really helpful and always smiling . Now let's talk about the rooms, the view was incredible and the rooms are designed spacey  and modern. All the pictures what you see on Tripadvisor or any other website they actually look the same in reality. Manager in reception is very nice takes care of everything specially on 31st night event. Will visit againThank you.",deepak Jn,/Profile/Jn88deepak,,50
mandi,Hi everyone.  Thoroughly enjoyed my stay at Anantmaya Resort. I had reached the Resort around 6 hours prior to the check in time. The staff (A special mention of Shri Gaurav) was very co-operative and provided me with another room at no extra cost. It was a great gesture from the hotel management on a winter night with temperatures at -8 degrees. It speaks volumes about the culture in the Hotel. The staff is exceptionally well trained and decent. The best part of hotel was its quiet ambiance. You wont hear any staff murmur. The view from the room is mind-blowing with the valley in sight filled with snow and river down stream.  The food was sumptuous (a special mention of Chicken Grilled Sandwich) - really really good. The food overall is also very light and filling.  The travel,S P S Oberoi,/Profile/khalisgang,,50
mandi,"We recently had a most enjoyable stay at Anantmaya for our NYE. We had stayed in their villa room(Moksha) overlooking the most scenic mountain range topped with ice. The melodious flutist who walked the lawns 2-3 times during the day was such a unique and soothing experience. The rooms,toilet,whole resort were super clean. Temperature was around -6 but great hot water and very effective tower heater all during the day made us so comfortable to stay during this period also. They given us the warmest hospitality from front desk to restaurant. We had 2 meals during the day and it was yummy. Whatever we asked from front desk was provided in shortest time. Even they arranged taxi at the most affordable prices for further sight seeing. In all our meals at restaurant owner of this",Gopal J,/Profile/gopalj70,"New Delhi, India",50
mandi,"Had a lovely stay at Anantmaya resort. Very hospitable staff and great food quality. The view from the hotel was fantastic and the room, garden and the lobby were all great. Highly recommended for stay in Manali.",Shivmangal S,/Profile/shivmangals,,50
mandi,Good facilities are available for vacation. Food quality is good. Car parking is available. Resort location is good for natural beauty. Resort arranged a playing of flute which is so beautiful to listen during morning & evening.,D Roy,/Profile/droy-mail,,50
mandi,"Great food, lovely location and an even better view!!  Make sure to book the villa rooms for the best valley view ever♡   The staff was extremely helpful and very courteous. We will definitely be coming back!",Sejal Sethi,/Profile/Sejalsethi19,,50
mandi,Ambience of the hotel was very nice.. yummy food.. prompt room service... Had a wonderful stay here.. staff members' hospitality and cordial behaviour made my trip memorable..  Best Wishes to Anantmaya Team...,Sanakshi,/Profile/Sanakshi,,50
mandi,The hotel was awesome and the staff behavior was very welcoming. The Food was too delicious and the ambience was picturesque. All the places for sight seeing were nearby. One of the best resorts in Manali. Must visit,gourav verma,/Profile/gcool1211,,50
mandi,"Excellent will be an understatement to rate our experience of our 4 day stay in your hotel. Every thing was perfect and most satisfying. Your rooms were highly comfortable and well furnished. The heater was functioning throughout our stay without a hitch. The room cleaning was prompt. All your staff were very courteous and warm in their greetings. I presume the same level of treatment will be extended during the peak tourist season as well. The restaurant service, quality and quantity of food were also excellent and sumptuous. The highlight was the wakeup live flute music by shri Thakur(if I remember the name correct). Its such a nice feeling to be awaken by the gentle flute music, which when coupled with the magnificent view of the snow covered lawns and the yonder hills, makes",TrailBlazer294324,/Profile/TrailBlazer294324,,50
mandi,"The BCS Staff Bikers Club stayed a night at the home away from home and what a lovely place we decided to stay at. The hospitality was wonderful, and the electric blankets made us sleep like babies in the beds provided to us I  our rooms. The hot shower was so relaxing and the bonfire we sat around made the end of the day, so perfect. Thank you Dinesh and Deepak and your wonderful team for such a wonderful time.",Roy Robinson,/Profile/RoyRobinson2558,"Shimla, India",50
mandi,"Stayed for four nights. Excellent premises, great food, excellent room. Took villa room. Room heater not sufficient that was the only drawback. Otherwise it was a perfect stay. Great staffs as well.. Thank you for lovely memories",Saurav J,/Profile/625sauravj,,50
mandi,Really a very very good hospitality. The best of all was the reception. I would really like look forward and visit this place . Thank you very very much for everything. Thank you once again . I think next year I will surely visit your resort in December.,Satnam Singh wahla,/Profile/Satnam1963,,50
mandi,I am really very happy to comment on the overall services of the hotel and really very Buity full location of the hotel and its services are good.Food and staff are also good . View from room towards mountain are also awesome.,Ram mohan,/Profile/rammohanjha,,50
mandi,"Anantmaya resorts is a beautiful modern fully equipped resort at Manali our stay was made very comfortable by the courteous staff and delicious food the breakfast, snacks & Dinner. Each  meal was very nice specially the  Trout fish was amazing the hotel is equipped with modern amenities and the view of the snow clad mountains is beautiful. Recommend for a comfortable stay    Thanks.              Rajiv Mehrotra.",Rajiv Mehrotra,/Profile/Wanderer684099,,50
mandi,Stay was very good and food was awesome. Rooms are very clean. Mr.Pawan behavior was good and overall very good stay at this hotel.View from hotel is awesome specially Mountains view. Villa room is good.,Vasu,/Profile/68vasud,,50
mandi,Excellent facilities with good food and ambience. The staff was very cordial and friendly. The location of the resort was very picturesque. The rooms were very comfortable. The barbaque and bonfire was really enjoyable. Good luck to the management for the future..,Rohit VYAS,/Profile/Vyas1972,,50
mandi,A fabulous stay at Anantmaya Reaort. A beautifully located resort with modern amenities and ambience. The staff was very professional and cordial. The food and snacks were excellent. Wishing all the Anantmaya Resort team a very good luck and keep up the good work guys.,Praveen Dharma,/Profile/Dharma1973,"Chandigarh, India",50
mandi,The secenery from rooms balcony was excellent. This Resort is good for visitors coming by vehicle because the main market ie Mall is not on walking distance. Cleanliness and other services were excellent.,Kush Sapru,/Profile/Nabardian,,40
mandi,Every thing was nice and The staff of hotel was very cooprative.Restaurent of the hotel was awsm. Breakfast lunch nd dinner was very taste.Location of hotel was nice.Rooms of hotel was very clean.I like the hotel,Sagar verma,/Profile/Sagarverma1996,,50
mandi,Anantmaya a resort truly  matches the name... Endless and  blissful creation... Exceptional Hospitality yummy food.. currently sitting in balcony and writing this review everyone loved this property.. staff is very friendly always smiling and ready to help.. Thanks to front office statff Gaurav who helped in planning this stay..  amust stay for every one,Yogesh827,/Profile/Yogesh827,"Chandigarh, India",50
mandi,"Our family from Malaysia had an amazing stay at your beautiful resort. We enjoyed utmost care, concern and hospitality from your staff and were totally impressed with the high standard of food at your restaurant,the facilities provided for guests and the utmost cleanliness of the premises. The villa we stayed at was beautifully appointed, neat, well equipped and cosy...just like home.Not just room service was top notch but all services rendered by the staff. This resort if definitely a topper in Manali!",sriram19,/Profile/sriram19,"Doha, Qatar",50
mandi,"We stayed there as a Family in 3 rooms for 3 night and we made the right decision by choosing this Hotel. Great Hospitality with Courteous staff. The rooms offer an excellent view of the snow-capped mountains. Rooms were clean, maintained top class with all modern amenities. Room service is available round the clock and is always ready to help. The restaurant is Pricey but quality and taste are great.   Things to Improve: - They did not provide us the Buffet for BreakFast as promised due to only 12-14 rooms occupied. However, they did provide any item we ordered.  - Check for Damage before while Check-in: Another isolated incident that left a slight dent on our experience: After we checked out and our car ready to leave, they called us in saying that we had caused damage -  the",Deepak Raj Srinivasan,/Profile/deepakrajs,"Bengaluru, India",50
