location,review,name,user_profile,userloc,rating
shimla,"Groombridge truly became a second home for me during my 5 days there.  Vijay,Sheetal,Meet and everyone are wonderful and do the utmost to ensure you have all you need.  The food was lovely and the rooms are utterly delightful.  I had a taxi with me and went into Shimla every day. I am sure Groombridge would arrange a taxi if you needed one.  As it was February,  I used a heater and was fine. I appreciate the peace, away from Shimla itself.  ",Excursion55215198172,/Profile/Excursion55215198172,"London, United Kingdom",50
shimla,"Groombridge is a beautifully done up, boutique property where service with smile is the hallmark. Cheerful environment with vibrant interiors, it has a quaint hill charm. Vijay Suri, the owner, is warm and charming, as is his hospitality. The entire team is so hospitable and leave no stone unturned to make one feel comfortable. We wanted to visit the Mall road and promptly enough, a car with driver was made available to drop us there. Our room was clean and cozy, the mattress was extraordinarily comfortable and the bathroom had hot, running water.  We visited the property in December and Vijay specially organized a bonfire and barbecue for a wonderful winter experience. The peaceful serenity of the forest around Groombridge is a luxury for the urbanites.   We have already",Sabeena Khanna ... S,/Profile/sabeena727,,50
shimla,"Clearly this review is not in line with all the others.  Firstly let me say it is written by a retired Brit so my perspective is somewhat different for what appears to be all other reviews which seem to be Indian nationals.  We chose this accommodation based on the excellent reviews, which with hindsight was a mistake.  On arrival we found that the location was at least 30+ mins walk from the mall along difficult roads and the room/hotel had no heating.  Although we were provided with extra duvets and a small heater with a night time temperature of just above zero it made for a freezing night.  In fact too cold for a shower in the morning.  We cut short our stay and moved to another hotel on the Mall which had heating.  This was a smart move and ensured we enjoyed our stay in",Paul R,/Profile/paulr685,"Royston, United Kingdom",20
shimla,Awesome place to stay bit away from mall road. It’s a affordable luxury. The place is ahead of Radisson Hotel. Service is excellent by the all staff. They always prepare fresh food and always suggest your own dish which you like. The owner of the property Suri Uncle is gem of a guy. He takes care of his guest personally.  The valley view from the rooms and resort is lovely.,Pankaj G,/Profile/710pankajg,"Gurugram (Gurgaon), India",50
shimla,"A very nice cosy boutique hotel , with very nice and vibrant rooms with a good view of the forest and ridge .The rooms are neat and clean and very well kept with all the amenities available.  Excellent food as good as home cooked food , if not better.  ALL OVER AN EXCELLENT EXPERIENCE AND IT HAS VERY HOSPITABLE STAFF AND THE OWNER  TAKES PERSONAL CARE OF EVERYTHING.  HOPE TO VISIT BACK SOON AND HIGHLY RECOMMENDED.",ASHISH K,/Profile/Global562685,,50
shimla,"We stayed as a family, and we enjoyed very well. It was really excellent and peaceful. Special thanks to Vijay, Malkeet, Aman and Rohit for making our stay in Shimla wonderful. The hotel organized a Bonfire on the night of Christmas and it was an awsome experience. Mr. Vijay was very helpful and it was based on his suggestion that we visited the Indian Institute of Advanced studies and it was an excellent experience. We would visit again for sure.",Balaji Jayaraman,/Profile/Balajijayaraman1975,,50
shimla,This is by far the most amazing stay in a hotel I have had in long time This place is an amazing hotel with the the most cordial staff It just does feel like a hotel rather it feels more like  home and everyone kind of knows me It's highly personalised The beds are really comfortable The food was awesome the staff very courteous Mr Suri makes sure the every detail is looked into I am really happy that I was not dissapointed to come here  Our room Arum had a beautiful balcony where we could look at the forest and see Shimla from a distance.The nostalgia of the old world charm with modern day luxuries would describe this place  We would love to come again to this lovely place Highly recommended,H bhargava,/Profile/Hbharagava,,50
shimla,"Went to this place after a lot of positive reviews from the website . The hosts (Mr suri) is a gem of person and knows how to delight their guests . He helped us planning out our itenerary . The food was wonderful  Suggestions :  Parking arrangement should be made and some basic services should be provided to the drivers ( water, washroom etc)  Gulab Jamun was a bit pricey .",ALOK,/Profile/alokchhabria,"Bengaluru, India",40
shimla,We were searcing for a hotel close to the Mall road yet we wanted to be away from the hustle bustle of Shimla we then discovered  this amazing place Right from the word go it was lovely to food the rooms the decor the location the warmth of the hotel staff is worth complimenting  A big thanks to the owner Mr Suri who put a lovely bon fine for us All three friends had a great time Wow love to come back Cheers to Groombridge,$aurabhSharma 1987,/Profile/Saurab112345,,50
shimla,We travelled to Shinla to discover tgud beautiful jewel in the hills Amazibg property surrounded by the jungle and a great hospitality by the staff at Griomnbridge Two days were real bliss  Thank you would like to come again Thank you Mr Suri for your personal touch,Viplav,/Profile/Viplav1929,,50
shimla,"It was pleasent to stay at Groombridge .The room with a view is very comfortable.The breakfast and dinner provided to us is amazing.Thankyou for serving us such a delicious food. The owner Mr. Suri is very humble and down to earth.He always make sure, that the guest must feel like home. The staff was very  cooperative and we appreciate that. Especially thanks to Makirat jee , for helping us like a family member. We will definitely going to miss this place",Ankita,/Profile/Ankita2011,,50
shimla,"We stayed here for 3nights. We booked the room named Iris. It is the room on the topmost floor, facing west. The view from the room was fabulous. It had a small sitting place outside the bedroom, from the window of which northern mountains can be seen. The room is very cozy, clean and had the necessary amenities. The heater was chargeable, though. The rooms look exactly as shown in the photos by the owner — perfect place for a stay amidst nature, a little away from the noise but not too far. It is just 30mins walking distance from the Ridge. The food there was great and yummy! They always served them hot. On the first day, there was very heavy snowfall within a very short time, and we got stranded with very low phone battery. The lady from the resort sent two of their boys to",cutiesrijita,/Profile/cutiesrijita,,50
shimla,"We went as a group of three girls and the hospitality was fabulous. We received a room from which beautiful part of Simla was seen along with the hill ranges, tranquil. The Mall Road is around 3km from this place.  The rooms are not numbered , but named according to the exotic flowers and the interiors match the colours of the named flower. Every minute detailing is a piece of art and much efforts have been given to make it what it is!  Mr. Suri, the owner of the place will make sure to welcome each and every guest. A very sweet person. Hopefully, the pictures will be enough to explain what I cannot put in words",rushreeta,/Profile/Rushi168,"Pondicherry, India",50
shimla,"We had the most warm welcome and personalised attention. Apart from cooking at midnight just for us, they also guided us where to go at what time and in what sequence that wud suit for the type of trip. We also had a tour to all the rooms. Each room had a flower theme, with bedsheets and pillows covered with the respective color of the flower. Overall an amazing exerience. ",jhansijsawanth,/Profile/jhansijsawanth,,50
shimla,"We stayed in groombridge hotel for our visit to Shimla. It's a very nice property away from city q noice and surrounded by trees and flowers  The hotel owner Suri ji is of very helpful and charming nature ,his never lasting life experiences teach you so many things, hotel staff is promot and helpful.  Food served in hotel is fresh and all meal is freshly cooked. Rooms are neat, spacious and well maintained as like of 5 star hotel. This property is specially good for a family group where you can stay without others interference.  We were group of 4 families and we enjoyed our stay in this property very much",Prabodh P,/Profile/prabodhp584,,40
shimla,"Just go and  grab the hospitality from Groombridge. To reach to the property, please keep in touch with the hotel people. Try to accompany two or three families and spend the holidays of at least 4.    To go near by place, take guidance from Mr.Vijay.",Dream52850732263,/Profile/Dream52850732263,,50
shimla,"We went the next day after Diwali and saw the frequently disturbing news reports on the  alarming rise in pollution levels in Delhi where we reside. Groombridge wasn't just a delectable place for a break but the complete opposite of what Delhi was - it was a place that ours hearts genuinely called home with pristine surroundings of nature, the serenity of the mountains and the effusive hospitality of Vijay Suri and his team. It has the diversity of being a great place for families as well as youngsters to take a break, its a shuttle away from the mall & its heritage buildings and truly a place to relax & have fun. This is a must place to check out for everyone visiting Shimla.- Ritika & Joe Sam",Ritika&Joe,/Profile/joeandritika,,50
