location,review,name,user_profile,userloc,rating
haridwar,"its easy to build a property but difficult to manage it commercially. I stayed for two nights in late October 2019. Technically no complaints, but I observed it was a bit stinky. The intercom in the room was just a showpiece with no cable, washrooms were clean but stinky, probably plumbing issues. The staff appeared active and welcoming though. I think its all due to the price war that hotels are unable to maintain the quality.",Mountain_Shepherds,/Profile/Mountain_Shepherds,"Auli, India",30
haridwar,Best location and food. That's all. Nothing to write more. Dertiest 3 star hotel I have seen. No daily room cleaning. Bedsheets not changed for four days. Just opposit Haridwar railway station. Haraki paudi is very near. About 10 minutes walking distance,BabaRajkot,/Profile/BabaRajkot,"Kolhapur, India",30
haridwar,"Visited/Stayed after 24 years & was surprised to find good/improved image since that time. A very good place with good location but mind you, don't expect star kind of professional service/s. Rooms are spacious but thought process is not used. We took family room with two walls separating the big room in two but management chose to remove TV from other side of wall (as informed). Overall the experience was very good with great food (taken care of Govind) & fabulous service by Himanshu. Still not a hotel for people expecting professional attitude.",buddyofall,/Profile/buddyofall,"Lagos, Nigeria",40
haridwar,"I recommend this hotel in low budget...all facilities were provided..hot and cold water, restaurant in hotel.. so you can go with Max two nights only.. exectly opp. From Haridwar Railway Station.  Only two min walk from hotel. But hotel is nearby the main road. So you Disturbed from traffic noise.",Yamik Parikh,/Profile/yamikparikh,"Vadodara, India",40
haridwar,Very near from haridwar railway station comfortable rooms with reasonable price staff very co operative it has a nice restaurant naming big ben with yummy aaloo paratha and curd and vegetable cutlet. It has a good dining too.,Harish,/Profile/Lakhwani123,,40
haridwar,"Stayed for 2 nights ,  No House keeping ( may be because of the off season),  I have to carry luggage my self to the hotel room on check in,  No wifi, No drinking water in the room,  Location is good as its on the main road,  Near to railway station and 10 Minutes ride to Har ki pauri  No toilateries provided,  Towel were not clean, Old window Ac,  Room walls not clean,  ",Shailesh B,/Profile/shaileshbaldha,India,30
haridwar,"Situated just 400 mtrs from Haridwar railway station, this is I would say one of the best hotels to stay in Haridwar. We visited during October 3rd week, during our tour of Delhi-Haridwar-Mathura-Agra. At every other place, when we enquired about early checkout, they refused, but only here the staff at reception was courteous and polite enough to say that they will arrange. We arrived around 6:30 AM (Mussourie Express from Delhi) - and although our checkin time was 12PM, they arranged room for us withing 1 hour. Another noticable thing was the beds : every other place when I booked a room for 3 persons, they provider 1 double bed and extra mattress, only here there was a single bed already there in both the rooms. Hotel has wifi with decent speed. Ganga ghat is situated arund",Pritam Kumar Paul,/Profile/pritamkp,"Hyderabad, India",50
haridwar,"Do you know that feeling of relief when you reach your hotel room and sink into the bed after a tiring day of travel? That is NOT the feeling I had at the Ganga Azure.   When we checked in, we found that the room had used linen, with stained sheets and strands of hair from the previous guest still on the bedsheet. The dustbin was still full. The floor, too, had trash from a previous guest. The hotel staff insisted that the room had been cleaned. We requested it be swept and mopped and the linen changed, which the hotel did.  Still, the musty smell that pervaded the room didn’t ever go. The bathroom shower curtain is less a shower curtain and more of a giant petri dish: it clearly hasn't been cleaned ever, and the colony of black mould growing on it now stretches from end to end.",GreyVitriol,/Profile/GreyVitriol,"New Delhi, India",30
haridwar,"Where to start from. I booked double room AC. No toilet paper, no rubber mat. The AC is an old one no cooling only sound. The door lock was broken had to request the desk several times to get it fixed. Finally it was done on the second day. No wardrobe in the room, uncomfortable blankets. The list is unending. The only good thing was that the toilet was clean. And it's near the bus stand and railway station. That's another plus. The restaurant within the hotel is good bur exorbitant price n less quantity. ",Jayoti D,/Profile/AbhishekJayoti,,10
haridwar,"Me and my mother were allotted the dirtiest room. Could not close the door of toilet and it stinked continually. The tea we ordered was tasteless. Room was not at all worth the money they charged us. Even though the room was pre-booked, got the worst facility. Wil definitely think several times before goin there again. ",Radhika R,/Profile/RadhikaR197,,10
haridwar,"Booked one a.c room over phone. The nroom was ok but the bathroom was filthy. Soap and towel(dirty)was provided after repeated request. The a.c brokdown in the middle of the night. As there was no window in the room,Had to shift to a non a.c room. The only redeeming features was that they charged the non a.c tariff for my stay.",subhasishdhar,/Profile/subhasishdhar,"Durgapur, India",20
haridwar,"I was here for 3 days. The main reason i booked this hotel it was vey near to the haridwar railway station, like 3-4 minutes walk from the station. I booked it at a very cheap rate from makemytrip as it was monsoon season. The hotel staffs were very friendly and cooperative.",Anup_Sinha,/Profile/Anup_Sinha,"Mechelen, Belgium",40
haridwar,"Pretty big and clean Hotel, clean toilets and rooms, but the rooms are stuffed with too many furnitures thus reducing free space...best part of the Hotel is the location..it is located bang opposite to Haridwar Railway Station...",Anirban,/Profile/Anirban0302,"Kolkata, India",40
