location,review,name,user_profile,userloc,rating
mandi,"Well it's a himachal govrnment property price reasonable, food is OK, cleanliness is not upto mark, but overall can stay there for 1 day. Toilets and towels are not clean, waiter only 3, telephone for our room was not working and they tried to ask for tax even though we had paid before, but later on settled. ",NAKUL Suhag,/Profile/nakuls944,,40
mandi,"It is a govt. run property located on Palampur - Mandi highway , but one has to negotiate thru a busy market area with a couple of sharp curves & busy intersections & constant threat posed by rashly driven state tourism buses.  .  It is an ideal place to stay if travelling from Mcleodganj to Manali , located away from the hustle & bustle of the busy market area in a calm & quiet location  .  it is the only decent option to stay for those interested in an adrenaline rush by paragliding @  Bir & Billing & those interested to visit the Buddhist monasteries to feed your soul or ones who want to enjoy tranquility & some angling in Barot valley , as it is a very centrally placed location in this tourist circuit. all other accomodation choices are either homestays or very small",RajeevDr,/Profile/RajeevDr,,30
mandi,"We had planned an overnight halt at this place on the way to Manali.   The hotel is managed by HP tourism. Like any other government run hotel, this also is slightly run down in terms of furnishings.   The rooms and bathroom are clean but again it’s old fashioned and gives feeling of typical government run hotel.   Restaurant serves very good food. We had dinner and the veg food was a delight.   Staff is helpful and courteous.   Like hilly areas the shops / market closes by 6:30 pm in evening during winters. There are small eateries where you will get veg momos, noodles, thupka, chicken fry / mutton gravy etc.   We couldn’t venture out to do any sightseeing as we left the place early morning.   ",SanjeevK,/Profile/SanjeevK,India,40
mandi,"This is a very nice and quiet place to relax, very spacious,clean and well maintained. When in North eat northindian is what i learnt here, so other cuisines not good. amazing parathas and coffee. There is not much to see around, other than the Machhyal lake.",AssumptionAntao,/Profile/AssumptionAntao,"Mumbai, India",40
mandi,"We went in off season and had our bookings done in Mumbai. It was sparsely occupied the hotel, but the manager and staff were very friendly and made us feel at home. The rooms were clean and the upholstery new then. i felt it was peaceful place to be with your family. The hotel was designed very well. Good for a two night stay.",Uttamghosh,/Profile/Uttamghosh,"Mumbai, India",40
mandi,Hotel is conviently located on NH20 between palampur and mandi. Very good option if you are looking something away from crowd.Rooms are good if you are not looking for luxury.one can have a peaceful vacation  in jogindernagar in this hotel as the options are very less.Nothing much to do in jogindernagar but one can go to barot for one day.service is good.Homestyle food is served in the restaurant.,v_loksi,/Profile/v_loksi,,50
mandi,"The hotel is very need and clean well furnished as shown in pictures, well mannered staff, good food and not like any type of incontestability during stay. the hotel is just opposite as our mind set about the government operated organisation in terms of Clutter. so i suggest that when ever you have to stay at that region you should be at ""The Uhl"" .",mech09297,/Profile/mech09297,"Bilaspur, India",50
mandi,"After my official  working at Palampur & joginder nagar ,i had planned to stay at some Good place in Joginder nager so that i can be refreshed for next day . So happy that my colleague from Kangra booked this place for me. Just looking at the place from the outside i had feeling that im going to stay at a very good place.Let me confess that during my recent visit to HIMACHAL this one was the hotel with biggest ,spacious & most open area with soothing greenery & scenic beauty around . Rooms were  just amazing with lot of space & beautiful extended wood work ( floor & roof too).In spite of very limited staff the cleanliness & services were not compromised. It will be worth mentioning here that Rooms were having cross ventilation. Excellent food was giving good taste in vibrant",jitendra s,/Profile/jitendrasinghsolanki,"Udaipur, India",50
mandi,"Self visited Joginder nagar on official trip.I booked hotel online as no. of rooms are limited.It was neat and clean,waiters were disciplined.The quality of food was like home made food hence two days stay passed nicely.One can enjoy surrounding beauty if visited with friends or family.",Rakesh S,/Profile/Rakesh33,"Navi Mumbai (New Mumbai), Maharashtra, India",40
mandi,Good hotel. Friendly staff. Good food. Rooms are very few so need to book in advance. Wifi connectivity not available. Ample parking space. Like other hptdc hotels rooms dont have lcd / led televisions. ,Chirag P,/Profile/800chiragp,,40
